Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-07 14:51:33.710,0 days 01:46:36.681000,0 days 00:00:00.282000,11157,234,6,100,False,1,car,18.503333333333334,0.0031716044556157484,-1647.36287052113,1352.1866018213402,1964.5403049421475,car,0 days 01:46:36.681000
2024-07-07 14:51:33.910,0 days 01:46:36.881000,0 days 00:00:00.482000,11247,238,6,100,False,1,car,31.72555555555556,0.00543798847181868,-1553.1425350065838,1471.4928744211868,1965.1098537584508,car,0 days 01:46:36.881000
2024-07-07 14:51:34.150,0 days 01:46:37.121000,0 days 00:00:00.722000,11477,244,6,100,False,1,car,47.992222222222225,0.008226212169063293,-1398.5941526656995,1665.6711414910956,1966.1079919833578,car,0 days 01:46:37.121000
2024-07-07 14:51:34.310,0 days 01:46:37.281000,0 days 00:00:00.882000,11648,246,6,100,False,1,car,58.92555555555556,0.01010026416229328,-1346.1556436345732,1733.6952915137588,1967.4523343843239,car,0 days 01:46:37.281000
2024-07-07 14:51:34.670,0 days 01:46:37.641000,0 days 00:00:01.242000,10627,252,6,100,False,1,car,84.12555555555556,0.014419725463762396,-1241.8559707446586,1876.827423918221,1968.990978191536,car,0 days 01:46:37.641000
2024-07-07 14:51:34.950,0 days 01:46:37.921000,0 days 00:00:01.522000,10590,259,7,100,False,1,car,104.27000000000001,0.01787262817080098,-1124.2965574486882,2039.7194851018587,1971.6057812660429,car,0 days 01:46:37.921000
2024-07-07 14:51:35.150,0 days 01:46:38.121000,0 days 00:00:01.722000,10697,262,7,100,False,1,car,118.82555555555557,0.020367555113007568,-1039.5612381544254,2156.2871101574497,1972.9360009611823,car,0 days 01:46:38.121000
2024-07-07 14:51:35.350,0 days 01:46:38.321000,0 days 00:00:01.922000,10790,265,7,100,False,1,car,133.54777777777778,0.02289104992096461,-953.65063099024,2274.0239249618808,1975.1920380408949,car,0 days 01:46:38.321000
2024-07-07 14:51:35.670,0 days 01:46:38.641000,0 days 00:00:02.242000,11031,270,7,100,False,1,car,157.54777777777778,0.027004822589030433,-813.7944730855206,2466.501937624656,1977.850738606182,car,0 days 01:46:38.641000
2024-07-07 14:51:35.909,0 days 01:46:38.880000,0 days 00:00:02.481000,11144,272,7,100,False,1,car,175.60555555555555,0.030100055616873293,-706.1237158837524,2614.624353074714,1980.3269515790007,car,0 days 01:46:38.880000
2024-07-07 14:51:36.149,0 days 01:46:39.120000,0 days 00:00:02.721000,11252,276,7,100,False,1,car,194.00555555555556,0.03325394799572376,-602.2754839737144,2762.141143279533,1982.964352505404,car,0 days 01:46:39.120000
2024-07-07 14:51:36.309,0 days 01:46:39.280000,0 days 00:00:02.881000,11356,277,7,100,False,1,car,206.31666666666663,0.035364161012490854,-476.44542023268247,2946.7928740085795,1986.613617520141,car,0 days 01:46:39.280000
2024-07-07 14:51:36.709,0 days 01:46:39.680000,0 days 00:00:03.281000,11496,281,7,100,False,1,car,237.5388888888889,0.04071587452974316,-363.69149380161036,3114.1502367474322,1988.9531490164104,car,0 days 01:46:39.680000
2024-07-07 14:51:36.989,0 days 01:46:39.960000,0 days 00:00:03.561000,11580,283,7,100,False,1,car,259.55,0.04448873733318686,-235.16181728691052,3308.2752285095994,1992.945867995118,car,0 days 01:46:39.960000
2024-07-07 14:51:37.269,0 days 01:46:40.240000,0 days 00:00:03.841000,11647,285,7,100,False,1,car,281.7166666666667,0.04828826347799766,-112.59773614779756,3486.320306021047,1995.2995102710438,car,0 days 01:46:40.240000
2024-07-07 14:51:37.469,0 days 01:46:40.440000,0 days 00:00:04.041000,11708,285,7,100,False,1,car,297.55000000000007,0.05100221072429109,-18.136095502154873,3616.9471314532398,1997.2159935161799,car,0 days 01:46:40.440000
2024-07-07 14:51:37.829,0 days 01:46:40.800000,0 days 00:00:04.401000,11166,279,7,0,True,1,car,325.45000000000005,0.055784471450917604,182.91819448375045,3876.8188427584987,2003.2528741341887,car,0 days 01:46:40.800000
2024-07-07 14:51:38.189,0 days 01:46:41.160000,0 days 00:00:04.761000,10849,268,7,0,True,1,car,352.25000000000006,0.06037818426359111,330.9629926018153,4044.435357715988,2007.7673609879685,car,0 days 01:46:41.160000
2024-07-07 14:51:38.350,0 days 01:46:41.321000,0 days 00:00:04.922000,10447,264,7,1,True,1,car,364.0566666666667,0.06240193187335349,415.37616260000016,4130.427886443555,2009.8044500320887,car,0 days 01:46:41.321000
2024-07-07 14:51:38.590,0 days 01:46:41.561000,0 days 00:00:05.162000,11700,255,7,1,True,1,car,381.0566666666667,0.06531585417990012,547.4292199277596,4245.091710758654,2011.0884086759984,car,0 days 01:46:41.561000
2024-07-07 14:51:38.790,0 days 01:46:41.761000,0 days 00:00:05.362000,11700,251,6,1,False,1,car,395.00111111111113,0.06770603228102169,745.512188390983,4375.1424555380745,2012.2007499063013,car,0 days 01:46:41.761000
2024-07-07 14:51:39.030,0 days 01:46:42.001000,0 days 00:00:05.602000,11511,245,6,34,False,1,car,411.3344444444445,0.0705056831245665,832.8456070023634,4418.67139656799,2013.2789242569438,car,0 days 01:46:42.001000
2024-07-07 14:51:39.390,0 days 01:46:42.361000,0 days 00:00:05.962000,11318,239,6,57,False,1,car,435.2344444444445,0.07460231507318203,1028.4331556551192,4474.99863477213,2015.0206599969404,car,0 days 01:46:42.361000
2024-07-07 14:51:39.670,0 days 01:46:42.641000,0 days 00:00:06.242000,11392,241,6,76,False,1,car,453.97888888888895,0.07781524770791678,1254.0490974471895,4508.137699036173,2015.996089216379,car,0 days 01:46:42.641000
2024-07-07 14:51:39.910,0 days 01:46:42.881000,0 days 00:00:06.482000,11604,241,6,83,False,1,car,470.0455555555556,0.08056918996626085,1470.6015270023631,4521.049289178725,2018.2728931781785,car,0 days 01:46:42.881000
2024-07-07 14:51:40.150,0 days 01:46:43.121000,0 days 00:00:06.722000,11673,247,6,87,False,1,car,486.5122222222223,0.08339169510240602,1560.300350318052,4519.64148842099,2019.4403901647377,car,0 days 01:46:43.121000
2024-07-07 14:51:40.390,0 days 01:46:43.361000,0 days 00:00:06.962000,11833,250,6,96,False,1,car,503.17888888888893,0.08624848167745172,1701.5091449109577,4509.449552890762,2021.5474953245277,car,0 days 01:46:43.361000
2024-07-07 14:51:40.590,0 days 01:46:43.561000,0 days 00:00:07.162000,11958,252,6,100,False,1,car,517.178888888889,0.08864818240049013,1846.0707558912768,4495.43983778868,2023.4951991102162,car,0 days 01:46:43.561000
2024-07-07 14:51:40.910,0 days 01:46:43.881000,0 days 00:00:07.482000,10978,256,6,100,False,1,car,539.9344444444446,0.09254864833761921,2069.6793091989803,4464.114411944769,2025.890851952587,car,0 days 01:46:43.881000
