Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:59:04.333000,ALB,0 days 00:01:28.535000,1.0,1.0,,,,0 days 00:00:29.206000,0 days 00:00:24.474000,,0 days 00:58:39.991000,0 days 00:59:04.409000,264.0,268.0,301.0,215.0,False,MEDIUM,1.0,True,0 days 00:57:35.434000,2024-08-25 13:03:12.072,17.0,False
0 days 01:00:23.447000,ALB,0 days 00:01:19.114000,2.0,1.0,,,0 days 00:00:26.973000,0 days 00:00:28.328000,0 days 00:00:23.813000,0 days 00:59:31.275000,0 days 00:59:59.603000,0 days 01:00:23.416000,282.0,274.0,322.0,284.0,True,MEDIUM,2.0,True,0 days 00:59:04.333000,2024-08-25 13:04:40.971,17.0,False
0 days 01:01:41.519000,ALB,0 days 00:01:18.072000,3.0,1.0,,,0 days 00:00:26.760000,0 days 00:00:28.196000,0 days 00:00:23.116000,0 days 01:00:50.176000,0 days 01:01:18.372000,0 days 01:01:41.488000,285.0,273.0,318.0,292.0,True,MEDIUM,3.0,True,0 days 01:00:23.447000,2024-08-25 13:06:00.085,17.0,False
0 days 01:02:59.266000,ALB,0 days 00:01:17.747000,4.0,1.0,,,0 days 00:00:26.763000,0 days 00:00:28.171000,0 days 00:00:22.813000,0 days 01:02:08.251000,0 days 01:02:36.422000,0 days 01:02:59.235000,281.0,273.0,317.0,288.0,True,MEDIUM,4.0,True,0 days 01:01:41.519000,2024-08-25 13:07:18.157,17.0,False
0 days 01:04:16.704000,ALB,0 days 00:01:17.438000,5.0,1.0,,,0 days 00:00:26.573000,0 days 00:00:28.109000,0 days 00:00:22.756000,0 days 01:03:25.808000,0 days 01:03:53.917000,0 days 01:04:16.673000,277.0,271.0,316.0,305.0,True,MEDIUM,5.0,True,0 days 01:02:59.266000,2024-08-25 13:08:35.904,17.0,False
0 days 01:05:33.663000,ALB,0 days 00:01:16.959000,6.0,1.0,,,0 days 00:00:26.293000,0 days 00:00:27.974000,0 days 00:00:22.692000,0 days 01:04:42.966000,0 days 01:05:10.940000,0 days 01:05:33.632000,278.0,272.0,319.0,297.0,True,MEDIUM,6.0,True,0 days 01:04:16.704000,2024-08-25 13:09:53.342,17.0,False
0 days 01:06:51.221000,ALB,0 days 00:01:17.558000,7.0,1.0,,,0 days 00:00:26.781000,0 days 00:00:27.882000,0 days 00:00:22.895000,0 days 01:06:00.413000,0 days 01:06:28.295000,0 days 01:06:51.190000,273.0,273.0,316.0,322.0,False,MEDIUM,7.0,True,0 days 01:05:33.663000,2024-08-25 13:11:10.301,17.0,False
0 days 01:08:08.487000,ALB,0 days 00:01:17.266000,8.0,1.0,,,0 days 00:00:26.338000,0 days 00:00:28.070000,0 days 00:00:22.858000,0 days 01:07:17.528000,0 days 01:07:45.598000,0 days 01:08:08.456000,277.0,272.0,318.0,318.0,False,MEDIUM,8.0,True,0 days 01:06:51.221000,2024-08-25 13:12:27.859,17.0,False
0 days 01:09:26.385000,ALB,0 days 00:01:17.898000,9.0,1.0,,,0 days 00:00:26.547000,0 days 00:00:28.325000,0 days 00:00:23.026000,0 days 01:08:35.003000,0 days 01:09:03.328000,0 days 01:09:26.354000,,270.0,316.0,312.0,False,MEDIUM,9.0,True,0 days 01:08:08.487000,2024-08-25 13:13:45.125,17.0,False
0 days 01:10:43.676000,ALB,0 days 00:01:17.291000,10.0,1.0,,,0 days 00:00:26.218000,0 days 00:00:28.182000,0 days 00:00:22.891000,0 days 01:09:52.572000,0 days 01:10:20.754000,0 days 01:10:43.645000,,270.0,316.0,318.0,False,MEDIUM,10.0,True,0 days 01:09:26.385000,2024-08-25 13:15:03.023,17.0,False
