Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-23 13:07:33.188,0 days 01:01:15.870000,0 days 00:00:00.160000,11741,284,7,100,False,12,car,12.666666666666671,0.002746505658795459,1313,-348,1707,car,0 days 01:01:15.870000
2024-06-23 13:07:33.348,0 days 01:01:16.030000,0 days 00:00:00.320000,10901,287,7,100,False,12,car,25.422222222222224,0.005512285041512288,1243,-459,1707,car,0 days 01:01:16.030000
2024-06-23 13:07:33.628,0 days 01:01:16.310000,0 days 00:00:00.600000,10441,291,8,100,False,12,car,48.05555555555556,0.01041985699499154,1095,-691,1707,car,0 days 01:01:16.310000
2024-06-23 13:07:33.828,0 days 01:01:16.510000,0 days 00:00:00.800000,10499,292,8,100,False,12,car,64.27777777777779,0.013937311610641864,980,-873,1707,car,0 days 01:01:16.510000
2024-06-23 13:07:33.988,0 days 01:01:16.670000,0 days 00:00:00.960000,10585,292,8,100,False,12,car,77.25555555555556,0.016751275303162123,943,-931,1707,car,0 days 01:01:16.670000
2024-06-23 13:07:34.348,0 days 01:01:17.030000,0 days 00:00:01.320000,10704,299,8,100,False,12,car,107.15555555555557,0.023234474187213507,806,-1147,1707,car,0 days 01:01:17.030000
2024-06-23 13:07:34.508,0 days 01:01:17.190000,0 days 00:00:01.480000,10704,301,8,100,False,12,car,120.53333333333333,0.026135169637379937,744,-1245,1707,car,0 days 01:01:17.190000
2024-06-23 13:07:34.868,0 days 01:01:17.550000,0 days 00:00:01.840000,10870,305,8,100,False,12,car,151.03333333333333,0.03274846615790058,525,-1590,1708,car,0 days 01:01:17.550000
2024-06-23 13:07:35.268,0 days 01:01:17.950000,0 days 00:00:02.240000,11060,308,8,100,False,12,car,185.25555555555556,0.040168849867628656,388,-1806,1707,car,0 days 01:01:17.950000
2024-06-23 13:07:35.588,0 days 01:01:18.270000,0 days 00:00:02.560000,11137,311,8,100,False,12,car,212.89999999999998,0.04616297800717523,170,-2149,1708,car,0 days 01:01:18.270000
2024-06-23 13:07:35.908,0 days 01:01:18.590000,0 days 00:00:02.880000,11199,313,8,100,False,12,car,240.72222222222217,0.052195653594564545,60,-2323,1707,car,0 days 01:01:18.590000
2024-06-23 13:07:36.108,0 days 01:01:18.790000,0 days 00:00:03.080000,11210,314,8,100,False,12,car,258.16666666666663,0.05597812191413373,-6,-2427,1707,car,0 days 01:01:18.790000
2024-06-23 13:07:36.508,0 days 01:01:19.190000,0 days 00:00:03.480000,11282,317,8,100,False,12,car,293.38888888888886,0.06361533501797724,-184,-2703,1705,car,0 days 01:01:19.190000
2024-06-23 13:07:36.708,0 days 01:01:19.390000,0 days 00:00:03.680000,11398,318,8,100,False,12,car,311.05555555555554,0.06744598764734985,-282,-2851,1703,car,0 days 01:01:19.390000
2024-06-23 13:07:36.948,0 days 01:01:19.630000,0 days 00:00:03.920000,11439,320,8,100,False,12,car,332.38888888888886,0.07207168138847905,-397,-3024,1701,car,0 days 01:01:19.630000
2024-06-23 13:07:37.268,0 days 01:01:19.950000,0 days 00:00:04.240000,11499,322,8,100,False,12,car,361.0111111111111,0.07827782049116072,-611,-3345,1697,car,0 days 01:01:19.950000
2024-06-23 13:07:37.508,0 days 01:01:20.190000,0 days 00:00:04.480000,11549,323,8,100,False,12,car,382.5444444444445,0.08294688011111301,-715,-3501,1694,car,0 days 01:01:20.190000
2024-06-23 13:07:37.827,0 days 01:01:20.509000,0 days 00:00:04.799000,11581,325,8,100,False,12,car,411.34305555555557,0.08919126550970113,-842,-3691,1690,car,0 days 01:01:20.509000
2024-06-23 13:07:38.067,0 days 01:01:20.749000,0 days 00:00:05.039000,11620,325,8,100,False,12,car,433.0097222222222,0.09388923571553547,-971,-3883,1686,car,0 days 01:01:20.749000
2024-06-23 13:07:38.427,0 days 01:01:21.109000,0 days 00:00:05.399000,11655,327,8,100,False,12,car,465.70972222222224,0.10097955690311007,-1135,-4126,1679,car,0 days 01:01:21.109000
2024-06-23 13:07:38.588,0 days 01:01:21.270000,0 days 00:00:05.560000,11683,327,8,100,False,12,car,480.33388888888885,0.10415050610088647,-1221,-4255,1675,car,0 days 01:01:21.270000
2024-06-23 13:07:38.908,0 days 01:01:21.590000,0 days 00:00:05.880000,11670,328,8,100,False,12,car,509.4894444444444,0.11047228754709637,-1383,-4496,1669,car,0 days 01:01:21.590000
2024-06-23 13:07:39.228,0 days 01:01:21.910000,0 days 00:00:06.200000,11742,329,8,100,False,12,car,538.7338888888889,0.11681334271722765,-1544,-4735,1661,car,0 days 01:01:21.910000
2024-06-23 13:07:39.468,0 days 01:01:22.150000,0 days 00:00:06.440000,11784,330,8,100,False,12,car,560.7338888888889,0.12158358938776713,-1671,-4928,1657,car,0 days 01:01:22.150000
2024-06-23 13:07:39.628,0 days 01:01:22.310000,0 days 00:00:06.600000,12037,330,8,18,False,12,car,575.4005555555556,0.12476375383479343,-1769,-5086,1653,car,0 days 01:01:22.310000
2024-06-23 13:07:39.788,0 days 01:01:22.470000,0 days 00:00:06.760000,11485,323,8,0,False,8,car,589.7561111111112,0.12787646024809496,-1870,-5254,1650,car,0 days 01:01:22.470000
2024-06-23 13:07:39.988,0 days 01:01:22.670000,0 days 00:00:06.960000,11193,317,8,0,False,8,car,607.3672222222223,0.13169506680001672,-1949,-5388,1647,car,0 days 01:01:22.670000
2024-06-23 13:07:40.428,0 days 01:01:23.110000,0 days 00:00:07.400000,10882,307,8,0,False,0,car,644.8894444444445,0.13983098751032572,-2182,-5803,1641,car,0 days 01:01:23.110000
2024-06-23 13:07:40.628,0 days 01:01:23.310000,0 days 00:00:07.600000,10610,302,8,0,False,0,car,661.6672222222222,0.1434689029004846,-2234,-5897,1640,car,0 days 01:01:23.310000
2024-06-23 13:07:41.108,0 days 01:01:23.790000,0 days 00:00:08.080000,9453,267,8,0,True,0,car,697.2672222222222,0.15118802933099396,-2386,-6167,1637,car,0 days 01:01:23.790000
2024-06-23 13:07:41.348,0 days 01:01:24.030000,0 days 00:00:08.320000,8562,246,8,0,True,0,car,713.6672222222222,0.154744031394487,-2480,-6325,1635,car,0 days 01:01:24.030000
2024-06-23 13:07:41.588,0 days 01:01:24.270000,0 days 00:00:08.560000,8707,216,8,0,True,0,car,728.0672222222222,0.1578663746697492,-2589,-6495,1632,car,0 days 01:01:24.270000
2024-06-23 13:07:41.828,0 days 01:01:24.510000,0 days 00:00:08.800000,9105,206,7,0,True,0,car,741.8005555555555,0.16084416501560114,-2635,-6557,1632,car,0 days 01:01:24.510000
2024-06-23 13:07:42.028,0 days 01:01:24.710000,0 days 00:00:09,9660,182,6,0,True,0,car,751.9116666666666,0.16303655111165716,-2681,-6616,1631,car,0 days 01:01:24.710000
2024-06-23 13:07:42.268,0 days 01:01:24.950000,0 days 00:00:09.240000,8756,170,5,0,True,0,car,763.245,0.16549395091163205,-2765,-6714,1629,car,0 days 01:01:24.950000
2024-06-23 13:07:42.708,0 days 01:01:25.390000,0 days 00:00:09.680000,9081,149,4,0,True,0,car,781.4561111111111,0.16944265510002304,-2912,-6857,1625,car,0 days 01:01:25.390000
2024-06-23 13:07:42.948,0 days 01:01:25.630000,0 days 00:00:09.920000,8632,144,4,0,True,0,car,791.0561111111111,0.1715242172835312,-2963,-6894,1624,car,0 days 01:01:25.630000
2024-06-23 13:07:43.108,0 days 01:01:25.790000,0 days 00:00:10.080000,8547,140,4,0,True,0,car,797.2783333333333,0.1728733779580272,-3021,-6931,1623,car,0 days 01:01:25.790000
2024-06-23 13:07:43.508,0 days 01:01:26.190000,0 days 00:00:10.480000,8187,133,4,0,False,0,car,812.0561111111111,0.17607763455995526,-3170,-6990,1623,car,0 days 01:01:26.190000
2024-06-23 13:07:43.748,0 days 01:01:26.430000,0 days 00:00:10.720000,8109,131,4,1,False,0,car,820.7894444444445,0.17797127793523002,-3242,-6995,1624,car,0 days 01:01:26.430000
2024-06-23 13:07:44.108,0 days 01:01:26.790000,0 days 00:00:11.080000,8027,127,4,20,False,0,car,833.4894444444444,0.18072501124049598,-3400,-6979,1627,car,0 days 01:01:26.790000
2024-06-23 13:07:44.268,0 days 01:01:26.950000,0 days 00:00:11.240000,7970,127,4,24,False,0,car,839.1338888888889,0.18194889270950307,-3429,-6967,1628,car,0 days 01:01:26.950000
2024-06-23 13:07:44.468,0 days 01:01:27.150000,0 days 00:00:11.440000,8148,127,4,37,False,0,car,846.1894444444445,0.18347874454576196,-3518,-6929,1629,car,0 days 01:01:27.150000
2024-06-23 13:07:44.827,0 days 01:01:27.509000,0 days 00:00:11.799000,8613,134,4,47,False,0,car,859.5522222222222,0.18637618755501664,-3627,-6881,1631,car,0 days 01:01:27.509000
2024-06-23 13:07:44.987,0 days 01:01:27.669000,0 days 00:00:11.959000,8799,138,4,48,False,0,car,865.6855555555555,0.1877060745055913,-3665,-6863,1632,car,0 days 01:01:27.669000
2024-06-23 13:07:45.188,0 days 01:01:27.870000,0 days 00:00:12.160000,9017,143,4,53,False,0,car,873.6697222222223,0.18943727652644127,-3740,-6830,1633,car,0 days 01:01:27.870000
2024-06-23 13:07:45.428,0 days 01:01:28.110000,0 days 00:00:12.400000,9304,148,4,54,False,0,car,883.536388888889,0.19157665988171352,-3838,-6793,1635,car,0 days 01:01:28.110000
2024-06-23 13:07:45.668,0 days 01:01:28.350000,0 days 00:00:12.640000,9509,151,4,42,False,0,car,893.6030555555557,0.19375940911580886,-3976,-6764,1639,car,0 days 01:01:28.350000
2024-06-23 13:07:46.028,0 days 01:01:28.710000,0 days 00:00:13,9691,152,4,41,False,0,car,908.8030555555556,0.19705521590636338,-4072,-6773,1643,car,0 days 01:01:28.710000
2024-06-23 13:07:46.188,0 days 01:01:28.870000,0 days 00:00:13.160000,9785,155,4,41,False,0,car,915.6919444444445,0.1985489295102697,-4140,-6788,1646,car,0 days 01:01:28.870000
2024-06-23 13:07:46.348,0 days 01:01:29.030000,0 days 00:00:13.320000,9943,155,4,46,False,0,car,922.5808333333334,0.200042643114176,-4207,-6808,1649,car,0 days 01:01:29.030000
2024-06-23 13:07:46.588,0 days 01:01:29.270000,0 days 00:00:13.560000,10118,158,4,53,False,0,car,933.1141666666667,0.20232657939885854,-4306,-6850,1654,car,0 days 01:01:29.270000
2024-06-23 13:07:46.868,0 days 01:01:29.550000,0 days 00:00:13.840000,10533,164,4,60,False,0,car,945.8697222222222,0.20509235878157536,-4380,-6890,1658,car,0 days 01:01:29.550000
2024-06-23 13:07:47.028,0 days 01:01:29.710000,0 days 00:00:14,10686,167,4,62,False,0,car,953.2919444444444,0.2067017147290099,-4448,-6931,1662,car,0 days 01:01:29.710000
2024-06-23 13:07:47.508,0 days 01:01:30.190000,0 days 00:00:14.480000,11398,177,4,74,False,0,car,976.8919444444444,0.21181888843013405,-4639,-7062,1673,car,0 days 01:01:30.190000
2024-06-23 13:07:47.708,0 days 01:01:30.390000,0 days 00:00:14.680000,11632,184,4,81,False,0,car,987.1141666666666,0.21403536668109177,-4721,-7120,1678,car,0 days 01:01:30.390000
2024-06-23 13:07:47.908,0 days 01:01:30.590000,0 days 00:00:14.880000,11782,190,4,82,False,0,car,997.6697222222223,0.2163241213967547,-4808,-7178,1683,car,0 days 01:01:30.590000
2024-06-23 13:07:48.268,0 days 01:01:30.950000,0 days 00:00:15.240000,10792,196,5,72,False,0,car,1017.2697222222223,0.22057397752141714,-4973,-7278,1691,car,0 days 01:01:30.950000
2024-06-23 13:07:48.508,0 days 01:01:31.190000,0 days 00:00:15.480000,10986,201,5,58,False,0,car,1030.6697222222224,0.22347949140256393,-5087,-7337,1697,car,0 days 01:01:31.190000
2024-06-23 13:07:48.828,0 days 01:01:31.510000,0 days 00:00:15.800000,11014,202,5,56,False,0,car,1048.625277777778,0.227372783634681,-5297,-7419,1705,car,0 days 01:01:31.510000
2024-06-23 13:07:49.068,0 days 01:01:31.750000,0 days 00:00:16.040000,10955,203,5,46,False,0,car,1062.1586111111112,0.23030720810170982,-5386,-7436,1709,car,0 days 01:01:31.750000
2024-06-23 13:07:49.348,0 days 01:01:32.030000,0 days 00:00:16.320000,11075,203,5,44,False,0,car,1077.9475000000002,0.23373070331324347,-5545,-7453,1716,car,0 days 01:01:32.030000
2024-06-23 13:07:49.668,0 days 01:01:32.350000,0 days 00:00:16.640000,10945,202,5,46,False,0,car,1095.9030555555557,0.23762399554536054,-5728,-7445,1724,car,0 days 01:01:32.350000
2024-06-23 13:07:49.988,0 days 01:01:32.670000,0 days 00:00:16.960000,10891,202,5,44,False,0,car,1113.8586111111113,0.2415172877774776,-5968,-7392,1734,car,0 days 01:01:32.670000
2024-06-23 13:07:50.268,0 days 01:01:32.950000,0 days 00:00:17.240000,10899,201,5,39,False,0,car,1129.4919444444445,0.24490705397214882,-6063,-7357,1738,car,0 days 01:01:32.950000
2024-06-23 13:07:50.548,0 days 01:01:33.230000,0 days 00:00:17.520000,10827,199,5,43,False,0,car,1144.9697222222223,0.24826309114995768,-6188,-7292,1742,car,0 days 01:01:33.230000
2024-06-23 13:07:50.748,0 days 01:01:33.430000,0 days 00:00:17.720000,10898,199,5,48,False,0,car,1156.0252777777778,0.25066026056267826,-6282,-7229,1746,car,0 days 01:01:33.430000
2024-06-23 13:07:50.908,0 days 01:01:33.590000,0 days 00:00:17.880000,11027,200,5,54,False,0,car,1164.9141666666667,0.2525876329548154,-6355,-7169,1750,car,0 days 01:01:33.590000
2024-06-23 13:07:51.188,0 days 01:01:33.870000,0 days 00:00:18.160000,11088,201,5,58,False,0,car,1180.5475000000001,0.25597739914948664,-6467,-7048,1754,car,0 days 01:01:33.870000
2024-06-23 13:07:51.347,0 days 01:01:34.029000,0 days 00:00:18.319000,11201,203,5,64,False,0,car,1189.5133333333333,0.2579214553588932,-6533,-6950,1757,car,0 days 01:01:34.029000
2024-06-23 13:07:51.627,0 days 01:01:34.309000,0 days 00:00:18.599000,11317,206,5,69,False,0,car,1205.5355555555557,0.2613955440957205,-6625,-6784,1760,car,0 days 01:01:34.309000
2024-06-23 13:07:51.788,0 days 01:01:34.470000,0 days 00:00:18.760000,11532,209,5,74,False,0,car,1214.8825000000002,0.26342223639643997,-6646,-6732,1761,car,0 days 01:01:34.470000
2024-06-23 13:07:52.028,0 days 01:01:34.710000,0 days 00:00:19,11024,213,5,83,False,0,car,1229.0825,0.26650121379287905,-6673,-6640,1763,car,0 days 01:01:34.710000
2024-06-23 13:07:52.428,0 days 01:01:35.110000,0 days 00:00:19.400000,10536,221,6,100,False,0,car,1253.6380555555554,0.271825580026158,-6726,-6350,1767,car,0 days 01:01:35.110000
2024-06-23 13:07:52.588,0 days 01:01:35.270000,0 days 00:00:19.560000,10757,225,6,100,False,0,car,1263.6380555555554,0.2739938739673123,-6735,-6241,1769,car,0 days 01:01:35.270000
2024-06-23 13:07:52.788,0 days 01:01:35.470000,0 days 00:00:19.760000,10948,229,6,100,False,0,car,1276.3602777777778,0.2767524257035586,-6734,-6145,1771,car,0 days 01:01:35.470000
2024-06-23 13:07:53.028,0 days 01:01:35.710000,0 days 00:00:20,11116,233,6,100,False,0,car,1291.893611111111,0.2801205089588183,-6725,-6018,1773,car,0 days 01:01:35.710000
2024-06-23 13:07:53.908,0 days 01:01:36.590000,0 days 00:00:20.880000,11259,247,6,100,False,0,car,1352.2713888888889,0.29321218593241,-6629,-5436,1781,car,0 days 01:01:36.590000
2024-06-23 13:07:54.148,0 days 01:01:36.830000,0 days 00:00:21.120000,10347,250,7,100,False,0,car,1368.9380555555556,0.29682600916766716,-6583,-5278,1785,car,0 days 01:01:36.830000
2024-06-23 13:07:54.428,0 days 01:01:37.110000,0 days 00:00:21.400000,10539,255,7,100,False,0,car,1388.7713888888889,0.30112645881762323,-6513,-5095,1787,car,0 days 01:01:37.110000
2024-06-23 13:07:54.708,0 days 01:01:37.390000,0 days 00:00:21.680000,10697,260,7,100,False,0,car,1408.9936111111112,0.3055112310097353,-6423,-4920,1790,car,0 days 01:01:37.390000
2024-06-23 13:07:54.908,0 days 01:01:37.590000,0 days 00:00:21.880000,10768,263,7,100,False,0,car,1423.6047222222223,0.30867934937931074,-6309,-4740,1793,car,0 days 01:01:37.590000
2024-06-23 13:07:55.148,0 days 01:01:37.830000,0 days 00:00:22.120000,10994,265,7,100,False,0,car,1441.271388888889,0.3125100020086834,-6224,-4612,1795,car,0 days 01:01:37.830000
2024-06-23 13:07:55.428,0 days 01:01:38.110000,0 days 00:00:22.400000,11092,270,7,100,False,0,car,1462.2713888888889,0.3170634192851074,-6137,-4497,1796,car,0 days 01:01:38.110000
2024-06-23 13:07:55.788,0 days 01:01:38.470000,0 days 00:00:22.760000,11235,274,7,100,False,0,car,1489.6713888888892,0.32300454468387024,-5934,-4192,1801,car,0 days 01:01:38.470000
2024-06-23 13:07:55.948,0 days 01:01:38.630000,0 days 00:00:22.920000,11222,274,7,100,False,0,car,1501.8491666666669,0.32564504486109813,-5876,-4096,1803,car,0 days 01:01:38.630000
