Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-02 14:22:54.923,0 days 01:04:13.054000,0 days 00:00:00.050000,12223,342,8,100,False,12,car,5.074999999999996,0.001196965329280116,-3593,-5586,7777,car,0 days 01:04:13.054000
2024-11-02 14:22:55.163,0 days 01:04:13.294000,0 days 00:00:00.290000,12271,343,8,100,False,12,car,27.94166666666666,0.006590188422128458,-3550,-5756,7784,car,0 days 01:04:13.294000
2024-11-02 14:22:55.443,0 days 01:04:13.574000,0 days 00:00:00.570000,12300,344,8,100,False,12,car,54.69722222222221,0.012900626326685701,-3497,-5957,7791,car,0 days 01:04:13.574000
2024-11-02 14:22:55.643,0 days 01:04:13.774000,0 days 00:00:00.770000,12370,344,8,100,False,12,car,73.80833333333332,0.01740808197279802,-3454,-6121,7795,car,0 days 01:04:13.774000
2024-11-02 14:22:55.963,0 days 01:04:14.094000,0 days 00:00:01.090000,12320,346,8,100,False,12,car,104.56388888888888,0.024661940826541565,-3376,-6412,7802,car,0 days 01:04:14.094000
2024-11-02 14:22:56.163,0 days 01:04:14.294000,0 days 00:00:01.290000,12429,347,8,100,False,12,car,123.84166666666665,0.029208705678869976,-3310,-6655,7806,car,0 days 01:04:14.294000
2024-11-02 14:22:56.363,0 days 01:04:14.494000,0 days 00:00:01.490000,12396,347,8,100,False,12,car,143.1194444444444,0.03375547053119839,-3240,-6918,7809,car,0 days 01:04:14.494000
2024-11-02 14:22:56.643,0 days 01:04:14.774000,0 days 00:00:01.770000,12173,347,8,0,False,0,car,170.1083333333333,0.04012094132445816,-3201,-7058,7810,car,0 days 01:04:14.774000
2024-11-02 14:22:56.963,0 days 01:04:15.094000,0 days 00:00:02.090000,11400,324,8,0,True,0,car,198.90833333333327,0.04691357215859951,-3125,-7335,7813,car,0 days 01:04:15.094000
2024-11-02 14:22:57.163,0 days 01:04:15.294000,0 days 00:00:02.290000,11400,295,8,0,True,0,car,215.2972222222222,0.050778977436515604,-3077,-7502,7814,car,0 days 01:04:15.294000
2024-11-02 14:22:57.363,0 days 01:04:15.494000,0 days 00:00:02.490000,10980,295,8,0,True,0,car,231.6861111111111,0.0546443827144317,-3030,-7659,7816,car,0 days 01:04:15.494000
2024-11-02 14:22:57.562,0 days 01:04:15.693000,0 days 00:00:02.689000,9626,242,8,0,True,0,car,245.0633333333333,0.05779947063602293,-2983,-7801,7817,car,0 days 01:04:15.693000
2024-11-02 14:22:57.722,0 days 01:04:15.853000,0 days 00:00:02.849000,10121,230,7,0,True,0,car,255.28555555555553,0.06021043528394347,-2949,-7897,7820,car,0 days 01:04:15.853000
2024-11-02 14:22:58.002,0 days 01:04:16.133000,0 days 00:00:03.129000,9716,193,6,0,True,0,car,270.2966666666666,0.06375088445713983,-2890,-8043,7816,car,0 days 01:04:16.133000
2024-11-02 14:22:58.162,0 days 01:04:16.293000,0 days 00:00:03.289000,9782,177,5,0,True,0,car,278.1633333333333,0.06560627899053956,-2856,-8115,7817,car,0 days 01:04:16.293000
2024-11-02 14:22:58.402,0 days 01:04:16.533000,0 days 00:00:03.529000,9767,165,5,0,True,0,car,289.1633333333333,0.06820068660080188,-2799,-8219,7819,car,0 days 01:04:16.533000
2024-11-02 14:22:58.602,0 days 01:04:16.733000,0 days 00:00:03.729000,9052,153,4,0,True,0,car,297.6633333333333,0.07020545611782276,-2780,-8249,7818,car,0 days 01:04:16.733000
2024-11-02 14:22:58.802,0 days 01:04:16.933000,0 days 00:00:03.929000,10103,143,4,0,True,0,car,305.60777777777776,0.07207919494745667,-2736,-8314,7816,car,0 days 01:04:16.933000
2024-11-02 14:22:59.122,0 days 01:04:17.253000,0 days 00:00:04.249000,9093,129,3,0,True,0,car,317.0744444444444,0.07478366833512405,-2665,-8397,7812,car,0 days 01:04:17.253000
2024-11-02 14:22:59.322,0 days 01:04:17.453000,0 days 00:00:04.449000,9014,124,3,0,True,0,car,323.9633333333333,0.07640844885872268,-2590,-8454,7804,car,0 days 01:04:17.453000
2024-11-02 14:22:59.602,0 days 01:04:17.733000,0 days 00:00:04.729000,8202,117,3,0,True,0,car,333.06333333333333,0.07855473151812152,-2490,-8508,7794,car,0 days 01:04:17.733000
2024-11-02 14:23:00.083,0 days 01:04:18.214000,0 days 00:00:05.210000,7710,109,3,0,True,0,car,347.62694444444446,0.08198963547262766,-2387,-8517,7787,car,0 days 01:04:18.214000
2024-11-02 14:23:00.323,0 days 01:04:18.454000,0 days 00:00:05.450000,7397,103,3,0,True,0,car,354.49361111111114,0.08360917476873081,-2321,-8511,7781,car,0 days 01:04:18.454000
2024-11-02 14:23:00.603,0 days 01:04:18.734000,0 days 00:00:05.730000,7075,98,3,0,False,0,car,362.11583333333334,0.08540691579968025,-2248,-8487,7770,car,0 days 01:04:18.734000
2024-11-02 14:23:00.763,0 days 01:04:18.894000,0 days 00:00:05.890000,7084,97,3,0,False,0,car,366.4269444444444,0.08642371393380326,-2209,-8468,7762,car,0 days 01:04:18.894000
2024-11-02 14:23:00.963,0 days 01:04:19.094000,0 days 00:00:06.090000,7591,98,3,18,False,0,car,371.8713888888889,0.08770781467019573,-2162,-8438,7754,car,0 days 01:04:19.094000
2024-11-02 14:23:01.203,0 days 01:04:19.334000,0 days 00:00:06.330000,7387,100,3,27,False,0,car,378.53805555555556,0.08928018291883956,-2108,-8397,7745,car,0 days 01:04:19.334000
