Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:22:00.701000,SAI,,1.0,1.0,0 days 00:19:34.169000,,,0 days 00:00:45.621000,0 days 00:00:44.492000,,0 days 00:21:16.355000,0 days 00:22:00.701000,246.0,259.0,225.0,283.0,False,SOFT,1.0,True,0 days 00:19:34.169000,2024-12-07 14:04:34.172,,False
0 days 00:23:24.188000,SAI,0 days 00:01:23.487000,2.0,1.0,,,0 days 00:00:17.128000,0 days 00:00:36.193000,0 days 00:00:30.166000,0 days 00:22:17.829000,0 days 00:22:54.022000,0 days 00:23:24.188000,287.0,324.0,220.0,325.0,True,SOFT,2.0,True,0 days 00:22:00.701000,2024-12-07 14:07:00.704,,False
0 days 00:25:17.626000,SAI,0 days 00:01:53.438000,3.0,1.0,,0 days 00:25:16.613000,0 days 00:00:23.899000,0 days 00:00:46.884000,0 days 00:00:42.655000,0 days 00:23:48.087000,0 days 00:24:34.971000,0 days 00:25:17.626000,203.0,225.0,,229.0,False,SOFT,3.0,True,0 days 00:23:24.188000,2024-12-07 14:08:24.191,,False
0 days 00:32:56.520000,SAI,,4.0,2.0,0 days 00:30:07.193000,0 days 00:32:54.587000,,0 days 00:00:43.620000,0 days 00:00:48.997000,,0 days 00:32:07.523000,0 days 00:32:56.743000,249.0,294.0,,248.0,False,SOFT,1.0,True,0 days 00:25:17.626000,2024-12-07 14:10:17.629,,False
0 days 00:47:20.633000,SAI,,5.0,3.0,0 days 00:45:06.203000,,,0 days 00:00:45.904000,0 days 00:00:42.070000,,0 days 00:46:38.673000,0 days 00:47:20.633000,246.0,274.0,225.0,267.0,False,SOFT,2.0,False,0 days 00:32:56.520000,2024-12-07 14:17:56.523,,False
0 days 00:48:44.149000,SAI,0 days 00:01:23.516000,6.0,3.0,,,0 days 00:00:17.043000,0 days 00:00:36.054000,0 days 00:00:30.419000,0 days 00:47:37.676000,0 days 00:48:13.730000,0 days 00:48:44.149000,289.0,324.0,222.0,325.0,True,SOFT,3.0,False,0 days 00:47:20.633000,2024-12-07 14:32:20.636,,False
0 days 00:50:36.291000,SAI,0 days 00:01:52.142000,7.0,3.0,,0 days 00:50:35.279000,0 days 00:00:25.320000,0 days 00:00:46.572000,0 days 00:00:40.250000,0 days 00:49:09.469000,0 days 00:49:56.041000,0 days 00:50:36.291000,248.0,231.0,,254.0,False,SOFT,4.0,False,0 days 00:48:44.149000,2024-12-07 14:33:44.152,,False
0 days 00:57:14.698000,SAI,,8.0,4.0,0 days 00:54:35.165000,,,0 days 00:00:46.089000,0 days 00:00:43.330000,,0 days 00:56:31.435000,0 days 00:57:14.897000,249.0,293.0,227.0,286.0,False,SOFT,1.0,True,0 days 00:50:36.291000,2024-12-07 14:35:36.294,,False
0 days 00:58:37.683000,SAI,0 days 00:01:22.985000,9.0,4.0,,,0 days 00:00:17.051000,0 days 00:00:35.769000,0 days 00:00:30.165000,0 days 00:57:31.749000,0 days 00:58:07.518000,0 days 00:58:37.683000,289.0,322.0,221.0,327.0,True,SOFT,2.0,True,0 days 00:57:14.698000,2024-12-07 14:42:14.701,,False
0 days 01:00:30.634000,SAI,0 days 00:01:52.951000,10.0,4.0,,0 days 01:00:29.464000,0 days 00:00:22.122000,0 days 00:00:46.642000,0 days 00:00:44.187000,0 days 00:58:59.805000,0 days 00:59:46.447000,0 days 01:00:30.634000,237.0,216.0,,217.0,False,SOFT,3.0,True,0 days 00:58:37.683000,2024-12-07 14:43:37.686,,False
0 days 01:08:38.240000,SAI,,11.0,5.0,0 days 01:06:21.955000,,,0 days 00:00:47.476000,0 days 00:00:41.136000,,0 days 01:07:57.238000,0 days 01:08:38.373000,223.0,240.0,224.0,275.0,False,SOFT,4.0,False,0 days 01:00:30.634000,2024-12-07 14:45:30.637,,False
0 days 01:10:01.579000,SAI,0 days 00:01:23.339000,12.0,5.0,,,0 days 00:00:17.201000,0 days 00:00:36.009000,0 days 00:00:30.129000,0 days 01:08:55.441000,0 days 01:09:31.450000,0 days 01:10:01.579000,288.0,322.0,220.0,324.0,True,SOFT,5.0,False,0 days 01:08:38.240000,2024-12-07 14:53:38.243,,False
0 days 01:11:52.081000,SAI,0 days 00:01:50.502000,13.0,5.0,,0 days 01:11:51.025000,0 days 00:00:21.952000,0 days 00:00:44.950000,0 days 00:00:43.600000,0 days 01:10:23.531000,0 days 01:11:08.481000,0 days 01:11:52.081000,228.0,233.0,,224.0,False,SOFT,6.0,False,0 days 01:10:01.579000,2024-12-07 14:55:01.582,,False
0 days 01:16:53.034000,SAI,,14.0,6.0,0 days 01:14:28.869000,,,0 days 00:00:45.096000,0 days 00:00:41.011000,,0 days 01:16:12.138000,0 days 01:16:53.219000,245.0,273.0,228.0,282.0,False,SOFT,1.0,True,0 days 01:11:52.081000,2024-12-07 14:56:52.084,,False
0 days 01:18:15.858000,SAI,0 days 00:01:22.824000,15.0,6.0,,,0 days 00:00:16.980000,0 days 00:00:35.787000,0 days 00:00:30.057000,0 days 01:17:10.014000,0 days 01:17:45.801000,0 days 01:18:15.858000,290.0,324.0,221.0,326.0,True,SOFT,2.0,True,0 days 01:16:53.034000,2024-12-07 15:01:53.037,,False
0 days 01:20:18.067000,SAI,0 days 00:02:02.209000,16.0,6.0,,0 days 01:20:16.243000,0 days 00:00:23.225000,0 days 00:00:49.829000,0 days 00:00:49.155000,0 days 01:18:39.083000,0 days 01:19:28.912000,0 days 01:20:18.067000,208.0,198.0,,208.0,False,SOFT,3.0,True,0 days 01:18:15.858000,2024-12-07 15:03:15.861,,False
