Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-30 13:51:49.330,0 days 01:44:18.219000,0 days 00:00:00.108000,11222,280,7,100,False,0,car,8.451111111111114,0.001967664438449239,1027.5918625819957,-1227.4642725519418,7214.349132051584,car,0 days 01:44:18.219000
2024-06-30 13:51:49.650,0 days 01:44:18.539000,0 days 00:00:00.428000,11414,284,7,100,False,0,car,33.69555555555556,0.00784530525380116,798.0625157128079,-1289.857561005315,7213.932792793413,car,0 days 01:44:18.539000
2024-06-30 13:51:49.850,0 days 01:44:18.739000,0 days 00:00:00.628000,11472,285,7,100,False,0,car,49.52888888888889,0.011531765712373557,643.3040574658778,-1331.6275797986227,7214.006561123426,car,0 days 01:44:18.739000
2024-06-30 13:51:50.090,0 days 01:44:18.979000,0 days 00:00:00.868000,11540,287,7,100,False,0,car,68.66222222222223,0.015986562140206304,456.18122591093834,-1381.7146660671287,7213.997156418776,car,0 days 01:44:18.979000
2024-06-30 13:51:50.410,0 days 01:44:19.299000,0 days 00:00:01.188000,11639,290,7,100,False,0,car,94.44,0.021988378465741715,163.90134812550065,-1460.834052379672,7214.004042474993,car,0 days 01:44:19.299000
2024-06-30 13:51:50.650,0 days 01:44:19.539000,0 days 00:00:01.428000,11778,292,7,100,False,0,car,113.90666666666667,0.026520784587439148,-54.48311669687138,-1520.4278837378665,7214.001060013836,car,0 days 01:44:19.539000
2024-06-30 13:51:50.850,0 days 01:44:19.739000,0 days 00:00:01.628000,11790,294,7,100,False,0,car,130.24,0.03032365958680857,-155.1701043940577,-1547.2694069406293,7213.976321816206,car,0 days 01:44:19.739000
2024-06-30 13:51:51.170,0 days 01:44:20.059000,0 days 00:00:01.948000,11589,296,7,100,False,0,car,156.5511111111111,0.03644965142252747,-445.6631955103967,-1625.6294857965527,7216.821683456319,car,0 days 01:44:20.059000
2024-06-30 13:51:51.370,0 days 01:44:20.259000,0 days 00:00:02.148000,10537,298,8,100,False,0,car,173.10666666666668,0.04030426621780668,-662.7085355078439,-1684.5594186818348,7219.826496692864,car,0 days 01:44:20.259000
2024-06-30 13:51:51.690,0 days 01:44:20.579000,0 days 00:00:02.468000,10617,298,8,100,False,0,car,199.59555555555556,0.04647164989025341,-858.5201923303142,-1737.1320288214083,7224.448066036272,car,0 days 01:44:20.579000
2024-06-30 13:51:51.970,0 days 01:44:20.859000,0 days 00:00:02.748000,10687,300,8,100,False,0,car,222.9288888888889,0.051904328460781156,-1033.0858137907248,-1783.5142315212056,7230.195609885477,car,0 days 01:44:20.859000
2024-06-30 13:51:52.210,0 days 01:44:21.099000,0 days 00:00:02.988000,10598,298,8,100,False,0,car,242.79555555555555,0.0565298662151162,-1214.7429646103571,-1833.9820540963103,7236.411320704095,car,0 days 01:44:21.099000
2024-06-30 13:51:52.530,0 days 01:44:21.419000,0 days 00:00:03.308000,10513,296,8,100,False,0,car,269.1066666666666,0.0626558580508351,-1473.9385478714967,-1905.506439285682,7247.406440288427,car,0 days 01:44:21.419000
2024-06-30 13:51:52.890,0 days 01:44:21.779000,0 days 00:00:03.668000,10322,292,8,0,False,0,car,298.3066666666667,0.06945446723338125,-1836.488157812586,-2007.368950211662,7268.642208846277,car,0 days 01:44:21.779000
2024-06-30 13:51:53.210,0 days 01:44:22.099000,0 days 00:00:03.988000,9856,283,8,0,True,0,car,323.46222222222224,0.07531141213036927,-2058.478179774618,-2068.5056539438515,7283.212847915676,car,0 days 01:44:22.099000
2024-06-30 13:51:53.490,0 days 01:44:22.379000,0 days 00:00:04.268000,8779,249,8,0,True,0,car,342.8288888888889,0.07982053534390729,-2201.006533851739,-2107.1890397169336,7293.830218338659,car,0 days 01:44:22.379000
2024-06-30 13:51:53.730,0 days 01:44:22.619000,0 days 00:00:04.508000,7845,224,8,0,True,0,car,357.76222222222225,0.08329744962904505,-2427.7225389369996,-2168.240537097305,7312.2147673686295,car,0 days 01:44:22.619000
2024-06-30 13:51:53.890,0 days 01:44:22.779000,0 days 00:00:04.668000,7904,214,8,0,True,0,car,367.27333333333337,0.08551191289398398,-2484.832785848889,-2184.0439523948603,7317.057256420226,car,0 days 01:44:22.779000
2024-06-30 13:51:54.290,0 days 01:44:23.179000,0 days 00:00:05.068000,8285,165,8,0,True,0,car,385.6066666666667,0.08978044605654148,-2633.371600904307,-2219.283075687444,7330.214860025967,car,0 days 01:44:23.179000
2024-06-30 13:51:54.610,0 days 01:44:23.499000,0 days 00:00:05.388000,8817,146,8,0,True,0,car,398.5844444444445,0.09280205013767312,-2768.8288330636187,-2239.7125453182043,7341.116844812188,car,0 days 01:44:23.499000
2024-06-30 13:51:54.930,0 days 01:44:23.819000,0 days 00:00:05.708000,8376,134,5,0,True,0,car,410.4955555555556,0.09557530319843775,-2889.3897314354626,-2242.311926353057,7352.307966750314,car,0 days 01:44:23.819000
2024-06-30 13:51:55.210,0 days 01:44:24.099000,0 days 00:00:05.988000,8200,130,4,0,False,0,car,420.60666666666674,0.0979294639123331,-2989.006645097909,-2229.4910793083186,7360.170376598719,car,0 days 01:44:24.099000
2024-06-30 13:51:55.530,0 days 01:44:24.419000,0 days 00:00:06.308000,7799,126,4,4,False,0,car,431.80666666666673,0.10053714962618643,-3091.323543463742,-2198.0617078900955,7372.848168020527,car,0 days 01:44:24.419000
2024-06-30 13:51:55.970,0 days 01:44:24.859000,0 days 00:00:06.748000,7946,121,4,45,False,0,car,446.5955555555556,0.10398043304398281,-3239.4885259557063,-2102.664941665848,7379.807659287645,car,0 days 01:44:24.859000
2024-06-30 13:51:56.290,0 days 01:44:25.179000,0 days 00:00:07.068000,8236,124,4,65,False,0,car,457.6177777777778,0.1065467269211083,-3290.9567649383007,-2040.5754690726724,7383.631779751593,car,0 days 01:44:25.179000
2024-06-30 13:51:56.610,0 days 01:44:25.499000,0 days 00:00:07.388000,8777,130,4,69,False,0,car,469.17333333333335,0.10923719630841727,-3352.192916124165,-1939.7323585387712,7388.101234012557,car,0 days 01:44:25.499000
2024-06-30 13:51:56.850,0 days 01:44:25.739000,0 days 00:00:07.628000,8917,136,4,84,False,0,car,478.24,0.11134817998153662,-3404.2986384763376,-1840.0855079606445,7392.777936432614,car,0 days 01:44:25.739000
2024-06-30 13:51:57.050,0 days 01:44:25.939000,0 days 00:00:07.828000,9568,144,4,85,False,0,car,486.24,0.11321081263428899,-3436.5103198748143,-1781.0174976958044,7394.989601320049,car,0 days 01:44:25.939000
2024-06-30 13:51:57.250,0 days 01:44:26.139000,0 days 00:00:08.028000,10658,151,4,99,False,0,car,494.6288888888889,0.1151639899298835,-3470.4886183576355,-1718.943834611769,7396.531848941498,car,0 days 01:44:26.139000
2024-06-30 13:51:57.650,0 days 01:44:26.539000,0 days 00:00:08.428000,11197,169,4,100,False,0,car,513.4066666666668,0.1195360026842606,-3601.035930933337,-1516.6856752624994,7400.372605580135,car,0 days 01:44:26.539000
2024-06-30 13:51:57.850,0 days 01:44:26.739000,0 days 00:00:08.628000,11700,177,4,100,False,0,car,523.24,0.1218254886532687,-3638.6161490675727,-1462.1773118960218,7401.549778563396,car,0 days 01:44:26.739000
2024-06-30 13:51:58.090,0 days 01:44:26.979000,0 days 00:00:08.868000,12129,189,4,100,False,0,car,535.84,0.12475913508135368,-3694.305018566418,-1381.9303736251823,7401.997110959304,car,0 days 01:44:26.979000
2024-06-30 13:51:58.250,0 days 01:44:27.139000,0 days 00:00:09.028000,11289,193,4,100,False,0,car,544.4177777777778,0.1267562912034715,-3750.948213616334,-1299.1314445823696,7402.018508759141,car,0 days 01:44:27.139000
2024-06-30 13:51:58.490,0 days 01:44:27.379000,0 days 00:00:09.268000,11017,204,5,100,False,0,car,558.0177777777778,0.12992276671315053,-3827.805227477315,-1184.112499837828,7402.987854832333,car,0 days 01:44:27.379000
2024-06-30 13:51:58.770,0 days 01:44:27.659000,0 days 00:00:09.548000,11157,210,5,100,False,0,car,574.3511111111111,0.13372564171251994,-3937.2031516989564,-1018.3340968600971,7401.678125662396,car,0 days 01:44:27.659000
2024-06-30 13:51:59.050,0 days 01:44:27.939000,0 days 00:00:09.828000,11927,219,5,100,False,0,car,591.3844444444444,0.1376914970690052,-4005.8889871794763,-914.5385670034473,7400.880593595448,car,0 days 01:44:27.939000
2024-06-30 13:51:59.290,0 days 01:44:28.179000,0 days 00:00:10.068000,11507,228,5,100,False,0,car,606.5844444444444,0.1412304991092347,-4108.620100369508,-758.8277657282098,7399.353504133848,car,0 days 01:44:28.179000
2024-06-30 13:51:59.490,0 days 01:44:28.379000,0 days 00:00:10.268000,10657,234,5,100,False,0,car,619.5844444444446,0.14425727716995732,-4170.33281952549,-665.6988369742812,7398.145353409253,car,0 days 01:44:28.379000
2024-06-30 13:51:59.810,0 days 01:44:28.699000,0 days 00:00:10.588000,11119,241,6,100,False,0,car,641.0066666666667,0.14924499349566087,-4294.37539941007,-477.7512756725357,7396.444179106104,car,0 days 01:44:28.699000
2024-06-30 13:51:59.970,0 days 01:44:28.859000,0 days 00:00:10.748000,11331,244,6,100,False,0,car,651.8511111111111,0.15176989553605852,-4373.4399132752205,-357.51877580908774,7395.92352769971,car,0 days 01:44:28.859000
2024-06-30 13:52:00.330,0 days 01:44:29.219000,0 days 00:00:11.108000,11589,252,6,100,False,0,car,677.0511111111111,0.15763718839222848,-4466.547937497991,-216.56424968430503,7395.765961831183,car,0 days 01:44:29.219000
2024-06-30 13:52:00.570,0 days 01:44:29.459000,0 days 00:00:11.348000,11832,256,6,100,False,0,car,694.1177777777779,0.16161080471810021,-4566.023195503569,-65.96088896487254,7396.052464172322,car,0 days 01:44:29.459000
2024-06-30 13:52:00.930,0 days 01:44:29.819000,0 days 00:00:11.708000,10894,263,6,100,False,0,car,720.4177777777778,0.16773420956402363,-4708.466436610563,150.34470848309974,7399.5485644792625,car,0 days 01:44:29.819000
