Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-27 14:08:22.996,0 days 00:22:52.546000,0 days 00:00:00.141000,10586,225,6,100,False,9,car,8.995000000000003,0.0012888925578176688,-509.0964554243641,1419.3705866929172,4139.933657258126,car,0 days 00:22:52.546000
2024-07-27 14:08:23.276,0 days 00:22:52.826000,0 days 00:00:00.421000,10480,235,6,29,False,9,car,27.272777777777783,0.003907913319487813,-592.4384886688606,1544.6423438018073,4142.068048126954,car,0 days 00:22:52.826000
2024-07-27 14:08:23.436,0 days 00:22:52.986000,0 days 00:00:00.581000,10441,233,6,7,False,9,car,37.62833333333334,0.005391759732786642,-677.5360853670845,1672.421402180494,4144.643558515825,car,0 days 00:22:52.986000
2024-07-27 14:08:23.636,0 days 00:22:53.186000,0 days 00:00:00.781000,10290,229,6,0,False,9,car,50.35055555555556,0.007214725551699903,-779.6316894172757,1826.4515135650538,4148.128525345323,car,0 days 00:22:53.186000
2024-07-27 14:08:23.955,0 days 00:22:53.505000,0 days 00:00:01.100000,10007,227,6,0,False,9,car,70.46527777777779,0.01009696188019261,-837.2461708824433,1914.9037636065982,4150.259690483407,car,0 days 00:22:53.505000
2024-07-27 14:08:24.195,0 days 00:22:53.745000,0 days 00:00:01.340000,9877,222,6,0,False,9,car,85.26527777777778,0.012217652247696945,-918.6077273338074,2037.143010885678,4153.203029799891,car,0 days 00:22:53.745000
2024-07-27 14:08:24.355,0 days 00:22:53.905000,0 days 00:00:01.500000,9774,219,6,0,False,9,car,94.9986111111111,0.013612340507407,-968.4610401725274,2112.57825099984,4155.077274425526,car,0 days 00:22:53.905000
2024-07-27 14:08:24.676,0 days 00:22:54.226000,0 days 00:00:01.821000,9554,214,6,0,False,9,car,114.08027777777777,0.016346550419294066,-1135.4585363188555,2363.2692845935094,4160.924356567479,car,0 days 00:22:54.226000
2024-07-27 14:08:24.876,0 days 00:22:54.426000,0 days 00:00:02.021000,9565,211,6,0,False,9,car,125.80249999999998,0.018026226348511087,-1176.462114329411,2425.4613001299035,4162.12666906909,car,0 days 00:22:54.426000
2024-07-27 14:08:25.276,0 days 00:22:54.826000,0 days 00:00:02.421000,9200,207,6,0,False,9,car,148.80249999999998,0.021321893811524578,-1270.5658020513156,2568.2195150442544,4165.388599615914,car,0 days 00:22:54.826000
