Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-20 14:10:11.276,0 days 00:24:50.557000,0 days 00:00:00.050000,10403,265,6,100,False,12,car,3.8319444444444475,0.0008245135190930326,-1467,-126,2388,car,0 days 00:24:50.557000
2024-07-20 14:10:11.516,0 days 00:24:50.797000,0 days 00:00:00.290000,10889,268,7,100,False,12,car,21.698611111111113,0.004668856364186459,-1671,38,2387,car,0 days 00:24:50.797000
2024-07-20 14:10:11.676,0 days 00:24:50.957000,0 days 00:00:00.450000,10945,272,7,100,False,12,car,33.78750000000001,0.0072700037618616134,-1748,100,2388,car,0 days 00:24:50.957000
2024-07-20 14:10:11.916,0 days 00:24:51.197000,0 days 00:00:00.690000,11065,274,7,100,False,12,car,52.054166666666674,0.011200413984083996,-1841,178,2387,car,0 days 00:24:51.197000
2024-07-20 14:10:12.156,0 days 00:24:51.437000,0 days 00:00:00.930000,11254,279,7,100,False,12,car,70.65416666666668,0.015202547020580513,-1992,302,2388,car,0 days 00:24:51.437000
2024-07-20 14:10:12.316,0 days 00:24:51.597000,0 days 00:00:01.090000,11291,280,7,100,False,12,car,83.09861111111113,0.017880198753481406,-2088,381,2387,car,0 days 00:24:51.597000
2024-07-20 14:10:12.516,0 days 00:24:51.797000,0 days 00:00:01.290000,11394,283,7,100,False,12,car,98.82083333333334,0.021263124826744587,-2216,486,2388,car,0 days 00:24:51.797000
2024-07-20 14:10:12.716,0 days 00:24:51.997000,0 days 00:00:01.490000,11489,284,7,100,False,12,car,114.59861111111111,0.024658004702386792,-2414,648,2388,car,0 days 00:24:51.997000
2024-07-20 14:10:13.036,0 days 00:24:52.317000,0 days 00:00:01.810000,11623,289,7,100,False,12,car,140.2875,0.03018544292244649,-2532,746,2387,car,0 days 00:24:52.317000
2024-07-20 14:10:13.196,0 days 00:24:52.477000,0 days 00:00:01.970000,11712,292,7,100,False,12,car,153.26527777777775,0.03297785115818599,-2658,849,2388,car,0 days 00:24:52.477000
2024-07-20 14:10:13.636,0 days 00:24:52.917000,0 days 00:00:02.410000,11821,295,7,100,False,12,car,189.32083333333333,0.04073586890217117,-2934,1075,2387,car,0 days 00:24:52.917000
2024-07-20 14:10:13.956,0 days 00:24:53.237000,0 days 00:00:02.730000,10606,299,8,100,False,12,car,215.89861111111108,0.04645456796029522,-3114,1223,2388,car,0 days 00:24:53.237000
2024-07-20 14:10:14.116,0 days 00:24:53.397000,0 days 00:00:02.890000,10633,300,8,100,False,12,car,229.23194444444442,0.04932348053126046,-3215,1306,2387,car,0 days 00:24:53.397000
2024-07-20 14:10:14.476,0 days 00:24:53.757000,0 days 00:00:03.250000,10780,303,8,100,False,12,car,259.53194444444443,0.05584308434877898,-3471,1518,2386,car,0 days 00:24:53.757000
2024-07-20 14:10:14.636,0 days 00:24:53.917000,0 days 00:00:03.410000,10816,304,8,100,False,12,car,273.04305555555555,0.0587502490873571,-3576,1604,2384,car,0 days 00:24:53.917000
2024-07-20 14:10:14.917,0 days 00:24:54.198000,0 days 00:00:03.691000,10896,306,8,100,False,12,car,296.92805555555555,0.06388954734416996,-3759,1754,2381,car,0 days 00:24:54.198000
2024-07-20 14:10:15.117,0 days 00:24:54.398000,0 days 00:00:03.891000,10959,307,8,100,False,12,car,313.9836111111111,0.06755936467452966,-3890,1861,2377,car,0 days 00:24:54.398000
2024-07-20 14:10:15.357,0 days 00:24:54.638000,0 days 00:00:04.131000,10999,309,8,100,False,12,car,334.5836111111111,0.07199183459667097,-4051,1990,2372,car,0 days 00:24:54.638000
2024-07-20 14:10:15.597,0 days 00:24:54.878000,0 days 00:00:04.371000,11044,310,8,100,False,12,car,355.2502777777778,0.0764386490816671,-4214,2118,2367,car,0 days 00:24:54.878000
2024-07-20 14:10:15.797,0 days 00:24:55.078000,0 days 00:00:04.571000,11067,311,8,100,False,12,car,372.5280555555555,0.08015628162154288,-4349,2225,2364,car,0 days 00:24:55.078000
2024-07-20 14:10:16.037,0 days 00:24:55.318000,0 days 00:00:04.811000,11096,312,8,100,False,12,car,393.3280555555555,0.08463178523224867,-4515,2356,2359,car,0 days 00:24:55.318000
