Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-24 07:00:17.288,0 days 01:53:04.238000,0 days 00:00:00.067000,11669,328,8,100,False,0,car,6.104444444444441,0.0009936609801098238,1857,-865,6064,car,0 days 01:53:04.238000
2024-11-24 07:00:17.607,0 days 01:53:04.557000,0 days 00:00:00.386000,11693,329,8,100,False,0,car,35.25749999999999,0.005739097525591538,2014,-682,6064,car,0 days 01:53:04.557000
2024-11-24 07:00:17.967,0 days 01:53:04.917000,0 days 00:00:00.746000,11613,329,8,100,False,0,car,68.1575,0.011094449112969022,2222,-436,6064,car,0 days 01:53:04.917000
2024-11-24 07:00:18.167,0 days 01:53:05.117000,0 days 00:00:00.946000,11640,328,8,100,False,0,car,86.37972222222221,0.014060601292401333,2345,-297,6063,car,0 days 01:53:05.117000
2024-11-24 07:00:18.367,0 days 01:53:05.317000,0 days 00:00:01.146000,11639,328,8,100,False,0,car,104.60194444444443,0.017026753471833644,2476,-150,6063,car,0 days 01:53:05.317000
2024-11-24 07:00:18.527,0 days 01:53:05.477000,0 days 00:00:01.306000,11687,329,8,100,False,0,car,119.22416666666666,0.019406909732890304,2568,-48,6064,car,0 days 01:53:05.477000
2024-11-24 07:00:18.807,0 days 01:53:05.757000,0 days 00:00:01.586000,11673,329,8,100,False,0,car,144.81305555555556,0.02357218318973946,2729,130,6063,car,0 days 01:53:05.757000
2024-11-24 07:00:18.967,0 days 01:53:05.917000,0 days 00:00:01.746000,11698,329,8,100,False,0,car,159.43527777777777,0.025952339450796117,2828,241,6063,car,0 days 01:53:05.917000
2024-11-24 07:00:19.247,0 days 01:53:06.197000,0 days 00:00:02.026000,10849,319,8,0,True,0,car,184.24638888888887,0.029991008851206084,2999,432,6063,car,0 days 01:53:06.197000
2024-11-24 07:00:19.647,0 days 01:53:06.597000,0 days 00:00:02.426000,9481,279,8,0,True,0,car,215.2463888888889,0.03503708481499642,3199,654,6064,car,0 days 01:53:06.597000
2024-11-24 07:00:19.847,0 days 01:53:06.797000,0 days 00:00:02.626000,8478,241,8,0,True,0,car,228.6352777777778,0.03721648321512809,3385,864,6062,car,0 days 01:53:06.797000
2024-11-24 07:00:20.167,0 days 01:53:07.117000,0 days 00:00:02.946000,8660,204,7,0,True,0,car,246.76861111111114,0.040168166359538786,3426,907,6064,car,0 days 01:53:07.117000
2024-11-24 07:00:20.447,0 days 01:53:07.397000,0 days 00:00:03.226000,9167,187,7,0,True,0,car,261.3130555555556,0.042535662214951524,3545,1037,6063,car,0 days 01:53:07.397000
2024-11-24 07:00:20.807,0 days 01:53:07.757000,0 days 00:00:03.586000,8915,149,6,0,True,0,car,276.21305555555557,0.04496103421045075,3672,1181,6062,car,0 days 01:53:07.757000
2024-11-24 07:00:21.087,0 days 01:53:08.037000,0 days 00:00:03.866000,9810,137,4,0,True,0,car,286.86861111111114,0.04669550978366757,3706,1231,6063,car,0 days 01:53:08.037000
2024-11-24 07:00:21.287,0 days 01:53:08.237000,0 days 00:00:04.066000,9337,133,3,0,True,0,car,294.2575,0.04789824831983981,3746,1300,6063,car,0 days 01:53:08.237000
2024-11-24 07:00:21.607,0 days 01:53:08.557000,0 days 00:00:04.386000,8955,121,3,0,True,0,car,305.0130555555556,0.04964900155745596,3782,1407,6063,car,0 days 01:53:08.557000
2024-11-24 07:00:21.927,0 days 01:53:08.877000,0 days 00:00:04.706000,8708,118,3,0,True,0,car,315.50194444444446,0.05135634769000724,3792,1511,6063,car,0 days 01:53:08.877000
2024-11-24 07:00:22.328,0 days 01:53:09.278000,0 days 00:00:05.107000,7935,108,3,0,True,0,car,327.53194444444443,0.053314550717245876,3769,1633,6063,car,0 days 01:53:09.278000
2024-11-24 07:00:22.528,0 days 01:53:09.478000,0 days 00:00:05.307000,7765,105,3,0,False,0,car,333.36527777777775,0.05426408114053975,3750,1684,6064,car,0 days 01:53:09.478000
2024-11-24 07:00:22.728,0 days 01:53:09.678000,0 days 00:00:05.507000,7739,105,3,0,False,0,car,339.19861111111106,0.05521361156383363,3710,1750,6063,car,0 days 01:53:09.678000
2024-11-24 07:00:23.128,0 days 01:53:10.078000,0 days 00:00:05.907000,7792,102,3,42,False,0,car,350.53194444444443,0.057058413529090315,3616,1858,6062,car,0 days 01:53:10.078000
2024-11-24 07:00:23.448,0 days 01:53:10.398000,0 days 00:00:06.227000,8364,106,3,54,False,0,car,359.95416666666665,0.05859213124138214,3559,1899,6062,car,0 days 01:53:10.398000
2024-11-24 07:00:23.768,0 days 01:53:10.718000,0 days 00:00:06.547000,8760,111,3,52,False,0,car,369.8208333333333,0.06019819412878208,3495,1933,6061,car,0 days 01:53:10.718000
2024-11-24 07:00:24.167,0 days 01:53:11.117000,0 days 00:00:06.946000,9522,119,3,67,False,0,car,383.01,0.062345082415849545,3369,1974,6059,car,0 days 01:53:11.117000
2024-11-24 07:00:24.487,0 days 01:53:11.437000,0 days 00:00:07.266000,9102,129,3,69,False,0,car,394.4766666666667,0.06421158793363867,3237,1993,6060,car,0 days 01:53:11.437000
2024-11-24 07:00:24.727,0 days 01:53:11.677000,0 days 00:00:07.506000,9024,136,4,76,False,0,car,403.54333333333335,0.06568742950584401,3183,1993,6060,car,0 days 01:53:11.677000
2024-11-24 07:00:25.127,0 days 01:53:12.077000,0 days 00:00:07.906000,9354,148,4,81,False,0,car,419.98777777777775,0.06836420098484389,2988,1964,6060,car,0 days 01:53:12.077000
2024-11-24 07:00:25.367,0 days 01:53:12.317000,0 days 00:00:08.146000,10596,156,4,100,False,0,car,430.3877777777778,0.07005707808237356,2888,1933,6060,car,0 days 01:53:12.317000
2024-11-24 07:00:25.767,0 days 01:53:12.717000,0 days 00:00:08.546000,11358,173,4,100,False,0,car,449.60999999999996,0.0731860069057991,2658,1802,6062,car,0 days 01:53:12.717000
2024-11-24 07:00:26.087,0 days 01:53:13.037000,0 days 00:00:08.866000,12190,188,4,100,False,0,car,466.32111111111107,0.07590618548986384,2583,1745,6063,car,0 days 01:53:13.037000
2024-11-24 07:00:26.407,0 days 01:53:13.357000,0 days 00:00:09.186000,10609,198,4,100,False,0,car,483.9211111111111,0.07877105442414481,2404,1591,6063,car,0 days 01:53:13.357000
2024-11-24 07:00:26.567,0 days 01:53:13.517000,0 days 00:00:09.346000,10917,201,5,100,False,0,car,492.8544444444444,0.08022519244381773,2327,1515,6064,car,0 days 01:53:13.517000
2024-11-24 07:00:26.847,0 days 01:53:13.797000,0 days 00:00:09.626000,11041,209,5,48,False,0,car,509.10999999999996,0.08287121722339667,2237,1418,6065,car,0 days 01:53:13.797000
2024-11-24 07:00:27.207,0 days 01:53:14.157000,0 days 00:00:09.986000,11057,206,5,48,False,0,car,529.71,0.08622441608965736,2112,1313,6065,car,0 days 01:53:14.157000
2024-11-24 07:00:27.407,0 days 01:53:14.357000,0 days 00:00:10.186000,10610,203,5,14,False,0,car,540.9877777777778,0.08806017490802552,1965,1219,6066,car,0 days 01:53:14.357000
2024-11-24 07:00:27.607,0 days 01:53:14.557000,0 days 00:00:10.386000,10470,199,5,19,False,0,car,552.0433333333333,0.08985976113883963,1907,1191,6066,car,0 days 01:53:14.557000
2024-11-24 07:00:28.007,0 days 01:53:14.957000,0 days 00:00:10.786000,10164,192,5,45,False,0,car,573.3766666666667,0.09333232954402869,1717,1160,6066,car,0 days 01:53:14.957000
2024-11-24 07:00:28.407,0 days 01:53:15.357000,0 days 00:00:11.186000,10348,192,5,64,False,0,car,594.71,0.09680489794921773,1511,1176,6064,car,0 days 01:53:15.357000
2024-11-24 07:00:28.567,0 days 01:53:15.517000,0 days 00:00:11.346000,10479,193,5,71,False,0,car,603.2877777777778,0.09820115982880416,1422,1198,6063,car,0 days 01:53:15.517000
2024-11-24 07:00:28.727,0 days 01:53:15.677000,0 days 00:00:11.506000,10549,195,5,74,False,0,car,611.9544444444444,0.09961189074341222,1337,1225,6061,car,0 days 01:53:15.677000
2024-11-24 07:00:29.008,0 days 01:53:15.958000,0 days 00:00:11.787000,10731,199,5,80,False,0,car,627.4875000000001,0.10214030939770605,1197,1287,6060,car,0 days 01:53:15.958000
