Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-27 20:43:32.064,0 days 01:35:58.913000,0 days 00:00:00.063000,11677,258,6,99,False,0,car,4.6672222222222235,0.0011014067747857177,-143,1205,22270,car,0 days 01:35:58.913000
2024-10-27 20:43:32.343,0 days 01:35:59.192000,0 days 00:00:00.342000,10514,262,6,99,False,0,car,24.97222222222222,0.005893135879849779,58,1175,22271,car,0 days 01:35:59.192000
2024-10-27 20:43:32.583,0 days 01:35:59.432000,0 days 00:00:00.582000,10765,267,7,100,False,0,car,42.77222222222222,0.010093715937477963,231,1147,22270,car,0 days 01:35:59.432000
2024-10-27 20:43:32.863,0 days 01:35:59.712000,0 days 00:00:00.862000,10970,272,7,100,False,0,car,63.92777777777778,0.015086165643922449,437,1112,22272,car,0 days 01:35:59.712000
2024-10-27 20:43:33.103,0 days 01:35:59.952000,0 days 00:00:01.102000,11099,275,7,100,False,0,car,82.26111111111112,0.01941260577818369,616,1082,22271,car,0 days 01:35:59.952000
2024-10-27 20:43:33.383,0 days 01:36:00.232000,0 days 00:00:01.382000,11202,279,7,100,False,0,car,103.96111111111111,0.02453353764619108,830,1046,22271,car,0 days 01:36:00.232000
2024-10-27 20:43:33.583,0 days 01:36:00.432000,0 days 00:00:01.582000,11321,282,7,100,False,0,car,119.6277777777778,0.028230677397287053,981,1022,22270,car,0 days 01:36:00.432000
2024-10-27 20:43:33.983,0 days 01:36:00.832000,0 days 00:00:01.982000,11502,287,7,100,False,0,car,151.51666666666668,0.035756061145971754,1327,966,22270,car,0 days 01:36:00.832000
2024-10-27 20:43:34.183,0 days 01:36:01.032000,0 days 00:00:02.182000,11611,290,7,100,False,0,car,167.6277777777778,0.039558084294261935,1461,945,22270,car,0 days 01:36:01.032000
2024-10-27 20:43:34.423,0 days 01:36:01.272000,0 days 00:00:02.422000,11677,291,7,100,False,0,car,187.0277777777778,0.04413624458178928,1644,917,22271,car,0 days 01:36:01.272000
2024-10-27 20:43:34.783,0 days 01:36:01.632000,0 days 00:00:02.782000,10630,295,8,100,False,0,car,216.5277777777778,0.051097880070555095,1935,873,22271,car,0 days 01:36:01.632000
2024-10-27 20:43:34.943,0 days 01:36:01.792000,0 days 00:00:02.942000,10630,296,8,100,False,0,car,229.68333333333337,0.05420242862750377,2066,853,22271,car,0 days 01:36:01.792000
2024-10-27 20:43:35.103,0 days 01:36:01.952000,0 days 00:00:03.102000,10585,298,8,100,False,0,car,242.92777777777778,0.05732795386389128,2196,834,22271,car,0 days 01:36:01.952000
2024-10-27 20:43:35.383,0 days 01:36:02.232000,0 days 00:00:03.382000,10694,299,8,100,False,0,car,266.18333333333334,0.06281597762207841,2427,798,22271,car,0 days 01:36:02.232000
2024-10-27 20:43:35.783,0 days 01:36:02.632000,0 days 00:00:03.782000,10810,303,8,100,False,0,car,299.85,0.07076089495953997,2829,737,22270,car,0 days 01:36:02.632000
2024-10-27 20:43:36.063,0 days 01:36:02.912000,0 days 00:00:04.062000,10926,306,8,100,False,0,car,323.65000000000003,0.07637740087929001,3043,705,22271,car,0 days 01:36:02.912000
2024-10-27 20:43:36.424,0 days 01:36:03.273000,0 days 00:00:04.423000,10975,307,8,100,False,0,car,354.4352777777778,0.08364234604231684,3360,658,22270,car,0 days 01:36:03.273000
2024-10-27 20:43:36.624,0 days 01:36:03.473000,0 days 00:00:04.623000,11012,309,8,100,False,0,car,371.6019444444445,0.08769346725894327,3483,640,22271,car,0 days 01:36:03.473000
2024-10-27 20:43:36.984,0 days 01:36:03.833000,0 days 00:00:04.983000,11089,311,8,100,False,0,car,402.70194444444445,0.09503268297760824,3859,587,22270,car,0 days 01:36:03.833000
2024-10-27 20:43:37.344,0 days 01:36:04.193000,0 days 00:00:05.343000,11157,312,8,100,False,0,car,433.9019444444445,0.10239549746064193,4114,554,22269,car,0 days 01:36:04.193000
2024-10-27 20:43:37.624,0 days 01:36:04.473000,0 days 00:00:05.623000,11217,315,8,100,False,0,car,458.4019444444445,0.10817719473097286,4349,527,22269,car,0 days 01:36:04.473000
2024-10-27 20:43:37.784,0 days 01:36:04.633000,0 days 00:00:05.783000,11213,316,8,100,False,0,car,472.446388888889,0.11149151008230995,4491,511,22270,car,0 days 01:36:04.633000
2024-10-27 20:43:37.984,0 days 01:36:04.833000,0 days 00:00:05.983000,11280,316,8,100,False,0,car,490.00194444444446,0.1156344042714813,4666,492,22269,car,0 days 01:36:04.833000
2024-10-27 20:43:38.144,0 days 01:36:04.993000,0 days 00:00:06.143000,11316,317,8,100,False,0,car,504.09083333333336,0.11895920796253782,4805,476,22269,car,0 days 01:36:04.993000
2024-10-27 20:43:38.384,0 days 01:36:05.233000,0 days 00:00:06.383000,11354,318,8,100,False,0,car,525.2908333333334,0.12396214600870173,5019,452,22269,car,0 days 01:36:05.233000
2024-10-27 20:43:38.624,0 days 01:36:05.473000,0 days 00:00:06.623000,11357,319,8,100,False,0,car,546.5575,0.12898081656444477,5257,424,22270,car,0 days 01:36:05.473000
2024-10-27 20:43:38.864,0 days 01:36:05.713000,0 days 00:00:06.863000,11373,319,8,100,False,0,car,567.8241666666667,0.1339994871201878,5579,386,22269,car,0 days 01:36:05.713000
2024-10-27 20:43:39.064,0 days 01:36:05.913000,0 days 00:00:07.063000,11383,320,8,100,False,0,car,585.6019444444444,0.13819482300795627,5663,377,22269,car,0 days 01:36:05.913000
2024-10-27 20:43:39.263,0 days 01:36:06.112000,0 days 00:00:07.262000,11418,321,8,100,False,0,car,603.346111111111,0.1423822270888119,5791,362,22269,car,0 days 01:36:06.112000
2024-10-27 20:43:39.663,0 days 01:36:06.512000,0 days 00:00:07.662000,11460,322,8,100,False,0,car,639.1238888888888,0.15082534056294597,6244,310,22270,car,0 days 01:36:06.512000
2024-10-27 20:43:39.983,0 days 01:36:06.832000,0 days 00:00:07.982000,11496,323,8,100,False,0,car,667.8349999999999,0.15760080802169205,6455,286,22269,car,0 days 01:36:06.832000
2024-10-27 20:43:40.303,0 days 01:36:07.152000,0 days 00:00:08.302000,11540,324,8,100,False,0,car,696.6349999999999,0.16439725215987697,6728,253,22269,car,0 days 01:36:07.152000
2024-10-27 20:43:40.463,0 days 01:36:07.312000,0 days 00:00:08.462000,11550,324,8,100,False,0,car,711.0349999999999,0.16779547422896943,6871,237,22268,car,0 days 01:36:07.312000
2024-10-27 20:43:40.703,0 days 01:36:07.552000,0 days 00:00:08.702000,11544,324,8,100,False,0,car,732.6349999999999,0.17289280733260814,7087,208,22268,car,0 days 01:36:07.552000
2024-10-27 20:43:40.863,0 days 01:36:07.712000,0 days 00:00:08.862000,11600,325,8,100,False,0,car,747.0794444444443,0.17630151774142003,7225,190,22269,car,0 days 01:36:07.712000
2024-10-27 20:43:41.143,0 days 01:36:07.992000,0 days 00:00:09.142000,11577,326,8,100,False,0,car,772.4349999999998,0.1822851155513498,7532,150,22268,car,0 days 01:36:07.992000
2024-10-27 20:43:41.343,0 days 01:36:08.192000,0 days 00:00:09.342000,11590,325,8,100,False,0,car,790.4905555555555,0.18654600356236467,7676,131,22267,car,0 days 01:36:08.192000
2024-10-27 20:43:41.503,0 days 01:36:08.352000,0 days 00:00:09.502000,11628,326,8,100,False,0,car,804.9794444444444,0.189965202310896,7791,116,22267,car,0 days 01:36:08.352000
2024-10-27 20:43:41.903,0 days 01:36:08.752000,0 days 00:00:09.902000,11618,327,8,100,False,0,car,841.3127777777777,0.1985394200315228,8309,47,22267,car,0 days 01:36:08.752000
2024-10-27 20:43:42.143,0 days 01:36:08.992000,0 days 00:00:10.142000,11608,326,8,100,False,0,car,863.046111111111,0.20366821815431976,8482,24,22268,car,0 days 01:36:08.992000
2024-10-27 20:43:42.583,0 days 01:36:09.432000,0 days 00:00:10.582000,11629,328,8,100,False,0,car,903.135,0.2131287005812377,8813,-17,22268,car,0 days 01:36:09.432000
2024-10-27 20:43:42.744,0 days 01:36:09.593000,0 days 00:00:10.743000,11689,328,8,100,False,0,car,917.8038888888889,0.21659037710563264,8933,-32,22268,car,0 days 01:36:09.593000
2024-10-27 20:43:42.944,0 days 01:36:09.793000,0 days 00:00:10.943000,11692,328,8,100,False,0,car,936.026111111111,0.22089059639059533,9096,-54,22267,car,0 days 01:36:09.793000
2024-10-27 20:43:43.384,0 days 01:36:10.233000,0 days 00:00:11.383000,11715,329,8,100,False,0,car,976.2372222222222,0.23037992175174166,9485,-106,22267,car,0 days 01:36:10.233000
2024-10-27 20:43:43.624,0 days 01:36:10.473000,0 days 00:00:11.623000,11673,328,8,100,False,0,car,998.1038888888888,0.23554018489369688,9722,-136,22268,car,0 days 01:36:10.473000
2024-10-27 20:43:43.904,0 days 01:36:10.753000,0 days 00:00:11.903000,11368,325,8,0,False,0,car,1023.3816666666667,0.24150542810911768,10038,-178,22267,car,0 days 01:36:10.753000
2024-10-27 20:43:44.184,0 days 01:36:11.033000,0 days 00:00:12.183000,11148,316,8,0,False,0,car,1047.9594444444444,0.2473054799739576,10194,-198,22265,car,0 days 01:36:11.033000
2024-10-27 20:43:44.384,0 days 01:36:11.233000,0 days 00:00:12.383000,10940,310,8,0,True,0,car,1065.1816666666666,0.2513697116152333,10381,-222,22265,car,0 days 01:36:11.233000
2024-10-27 20:43:44.664,0 days 01:36:11.513000,0 days 00:00:12.663000,9452,267,8,0,True,0,car,1085.9483333333333,0.25627038834913285,10614,-251,22266,car,0 days 01:36:11.513000
2024-10-27 20:43:45.064,0 days 01:36:11.913000,0 days 00:00:13.063000,8193,213,8,0,True,0,car,1109.615,0.26185542924972466,10876,-286,22268,car,0 days 01:36:11.913000
2024-10-27 20:43:45.304,0 days 01:36:12.153000,0 days 00:00:13.303000,8253,191,8,0,True,0,car,1122.3483333333334,0.2648603385793388,11034,-316,22267,car,0 days 01:36:12.153000
2024-10-27 20:43:45.704,0 days 01:36:12.553000,0 days 00:00:13.703000,8787,157,8,0,True,0,car,1139.7927777777777,0.2689770119192116,11224,-362,22268,car,0 days 01:36:12.553000
2024-10-27 20:43:46.023,0 days 01:36:12.872000,0 days 00:00:14.022000,8302,139,5,0,True,0,car,1152.1097222222222,0.2718836586160795,11303,-399,22266,car,0 days 01:36:12.872000
2024-10-27 20:43:46.183,0 days 01:36:13.032000,0 days 00:00:14.182000,9157,129,4,0,True,0,car,1157.8430555555556,0.2732366544398848,11356,-428,22265,car,0 days 01:36:13.032000
2024-10-27 20:43:46.463,0 days 01:36:13.312000,0 days 00:00:14.462000,8494,118,3,0,True,0,car,1167.0208333333333,0.27540249659194527,11434,-481,22266,car,0 days 01:36:13.312000
2024-10-27 20:43:46.663,0 days 01:36:13.512000,0 days 00:00:14.662000,8193,113,3,0,True,0,car,1173.298611111111,0.2768839745773135,11481,-525,22265,car,0 days 01:36:13.512000
2024-10-27 20:43:46.863,0 days 01:36:13.712000,0 days 00:00:14.862000,8193,108,3,0,True,0,car,1179.298611111111,0.27829990043943537,11518,-567,22266,car,0 days 01:36:13.712000
2024-10-27 20:43:47.023,0 days 01:36:13.872000,0 days 00:00:15.022000,7571,107,3,0,True,0,car,1184.0541666666666,0.2794221527894134,11550,-624,22265,car,0 days 01:36:13.872000
2024-10-27 20:43:47.343,0 days 01:36:14.192000,0 days 00:00:15.342000,7156,100,3,0,False,0,car,1192.9430555555555,0.2815198207332977,11585,-699,22266,car,0 days 01:36:14.192000
2024-10-27 20:43:47.543,0 days 01:36:14.392000,0 days 00:00:15.542000,7196,98,3,3,False,0,car,1198.3874999999998,0.2828046423489267,11597,-754,22265,car,0 days 01:36:14.392000
2024-10-27 20:43:47.743,0 days 01:36:14.592000,0 days 00:00:15.742000,7126,95,3,5,False,0,car,1203.6652777777776,0.284050132690608,11609,-825,22266,car,0 days 01:36:14.592000
2024-10-27 20:43:47.983,0 days 01:36:14.832000,0 days 00:00:15.982000,7358,96,3,43,False,0,car,1210.0652777777775,0.28556045361020466,11611,-867,22266,car,0 days 01:36:14.832000
2024-10-27 20:43:48.343,0 days 01:36:15.192000,0 days 00:00:16.342000,7679,99,3,48,False,0,car,1219.9652777777776,0.2878967312827057,11603,-958,22265,car,0 days 01:36:15.192000
2024-10-27 20:43:48.623,0 days 01:36:15.472000,0 days 00:00:16.622000,7991,104,3,54,False,0,car,1228.0541666666666,0.2898056091116404,11589,-1037,22266,car,0 days 01:36:15.472000
2024-10-27 20:43:48.863,0 days 01:36:15.712000,0 days 00:00:16.862000,7727,108,3,11,True,0,car,1235.2541666666666,0.2915047201461866,11576,-1106,22266,car,0 days 01:36:15.712000
2024-10-27 20:43:49.103,0 days 01:36:15.952000,0 days 00:00:17.102000,7630,104,3,12,True,0,car,1242.1875,0.29314090114241637,11567,-1176,22265,car,0 days 01:36:15.952000
2024-10-27 20:43:49.384,0 days 01:36:16.233000,0 days 00:00:17.383000,7593,102,3,23,False,0,car,1250.1491666666666,0.29501975609890413,11566,-1258,22268,car,0 days 01:36:16.233000
2024-10-27 20:43:49.544,0 days 01:36:16.393000,0 days 00:00:17.543000,7496,102,3,26,False,0,car,1254.6825,0.2960895667502851,11579,-1333,22268,car,0 days 01:36:16.393000
2024-10-27 20:43:49.824,0 days 01:36:16.673000,0 days 00:00:17.823000,7382,99,3,0,False,0,car,1262.3825,0.29790667160667483,11597,-1389,22268,car,0 days 01:36:16.673000
2024-10-27 20:43:50.144,0 days 01:36:16.993000,0 days 00:00:18.143000,7652,97,3,32,False,0,car,1271.0047222222222,0.2999414095122426,11636,-1446,22266,car,0 days 01:36:16.993000
2024-10-27 20:43:50.504,0 days 01:36:17.353000,0 days 00:00:18.503000,7467,98,3,34,False,0,car,1280.8047222222222,0.30225408842037493,11705,-1515,22265,car,0 days 01:36:17.353000
2024-10-27 20:43:50.704,0 days 01:36:17.553000,0 days 00:00:18.703000,7668,99,3,50,False,0,car,1286.3047222222222,0.30355202046065327,11751,-1547,22266,car,0 days 01:36:17.553000
2024-10-27 20:43:50.904,0 days 01:36:17.753000,0 days 00:00:18.903000,8163,105,3,62,False,0,car,1292.1380555555554,0.3049286150488273,11800,-1579,22266,car,0 days 01:36:17.753000
2024-10-27 20:43:51.104,0 days 01:36:17.953000,0 days 00:00:19.103000,8548,112,3,61,False,0,car,1298.3602777777778,0.3063969826095463,11853,-1615,22266,car,0 days 01:36:17.953000
2024-10-27 20:43:51.264,0 days 01:36:18.113000,0 days 00:00:19.263000,8533,115,3,52,False,0,car,1303.471388888889,0.30760314167727976,11893,-1646,22265,car,0 days 01:36:18.113000
2024-10-27 20:43:51.624,0 days 01:36:18.473000,0 days 00:00:19.623000,8768,117,3,37,False,0,car,1315.171388888889,0.3103641971084174,11967,-1733,22265,car,0 days 01:36:18.473000
2024-10-27 20:43:51.784,0 days 01:36:18.633000,0 days 00:00:19.783000,8408,116,3,34,False,0,car,1320.3269444444445,0.31158084451587026,11988,-1778,22266,car,0 days 01:36:18.633000
2024-10-27 20:43:51.984,0 days 01:36:18.833000,0 days 00:00:19.983000,9192,117,3,57,False,0,car,1326.8269444444445,0.3131147641998356,12005,-1839,22267,car,0 days 01:36:18.833000
2024-10-27 20:43:52.144,0 days 01:36:18.993000,0 days 00:00:20.143000,9207,117,3,56,False,0,car,1332.0269444444446,0.3143418999470079,12013,-1902,22268,car,0 days 01:36:18.993000
2024-10-27 20:43:52.344,0 days 01:36:19.193000,0 days 00:00:20.343000,9417,121,3,57,False,0,car,1338.7491666666667,0.3159282613295703,12014,-1971,22267,car,0 days 01:36:19.193000
2024-10-27 20:43:52.623,0 days 01:36:19.472000,0 days 00:00:20.622000,9698,126,3,61,False,0,car,1348.5141666666668,0.3182326806701737,12009,-2043,22268,car,0 days 01:36:19.472000
2024-10-27 20:43:52.823,0 days 01:36:19.672000,0 days 00:00:20.822000,9698,132,3,61,False,0,car,1355.8475,0.31996325672387815,11993,-2128,22267,car,0 days 01:36:19.672000
2024-10-27 20:43:53.103,0 days 01:36:19.952000,0 days 00:00:21.102000,9334,142,4,87,False,0,car,1366.8919444444446,0.32256960914415433,11955,-2284,22268,car,0 days 01:36:19.952000
