Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-25 14:28:39.577,0 days 00:41:34.894000,0 days 00:00:00.200000,10791,277,7,9,False,8,car,15.522222222222224,0.0047583109290516975,-7673,-6430,502,car,0 days 00:41:34.894000
2024-05-25 14:28:39.817,0 days 00:41:35.134000,0 days 00:00:00.440000,10630,272,7,0,True,8,car,33.65555555555556,0.010317053546240223,-7681,-6277,502,car,0 days 00:41:35.134000
2024-05-25 14:28:40.057,0 days 00:41:35.374000,0 days 00:00:00.680000,10146,258,7,0,True,8,car,50.85555555555556,0.015589684411073456,-7672,-6064,503,car,0 days 00:41:35.374000
2024-05-25 14:28:40.297,0 days 00:41:35.614000,0 days 00:00:00.920000,9443,240,7,0,True,8,car,66.85555555555555,0.020494457308592742,-7659,-5878,502,car,0 days 00:41:35.614000
2024-05-25 14:28:40.497,0 days 00:41:35.814000,0 days 00:00:01.120000,9163,234,7,0,True,8,car,79.85555555555555,0.02447958528782716,-7649,-5762,502,car,0 days 00:41:35.814000
2024-05-25 14:28:40.937,0 days 00:41:36.254000,0 days 00:00:01.560000,9187,204,6,0,True,8,car,104.78888888888889,0.03212285638646138,-7618,-5526,510,car,0 days 00:41:36.254000
2024-05-25 14:28:41.177,0 days 00:41:36.494000,0 days 00:00:01.800000,10284,190,6,0,True,8,car,117.45555555555556,0.03600580159699749,-7588,-5361,515,car,0 days 00:41:36.494000
2024-05-25 14:28:41.497,0 days 00:41:36.814000,0 days 00:00:02.120000,10058,170,4,0,True,8,car,132.56666666666666,0.040638087111321254,-7566,-5263,520,car,0 days 00:41:36.814000
2024-05-25 14:28:41.697,0 days 00:41:37.014000,0 days 00:00:02.320000,9518,158,4,0,True,8,car,141.34444444444443,0.043328900020376974,-7545,-5174,521,car,0 days 00:41:37.014000
2024-05-25 14:28:41.937,0 days 00:41:37.254000,0 days 00:00:02.560000,10104,141,3,0,True,8,car,150.74444444444444,0.04621045409766956,-7521,-5079,522,car,0 days 00:41:37.254000
2024-05-25 14:28:42.097,0 days 00:41:37.414000,0 days 00:00:02.720000,9812,135,3,0,True,8,car,156.74444444444444,0.04804974393423929,-7505,-5021,523,car,0 days 00:41:37.414000
2024-05-25 14:28:42.537,0 days 00:41:37.854000,0 days 00:00:03.160000,8696,118,3,0,True,8,car,171.16666666666666,0.05247085172658653,-7459,-4875,530,car,0 days 00:41:37.854000
2024-05-25 14:28:43.017,0 days 00:41:38.334000,0 days 00:00:03.640000,7886,110,3,0,False,8,car,185.83333333333331,0.056966893549312544,-7391,-4735,535,car,0 days 00:41:38.334000
2024-05-25 14:28:43.177,0 days 00:41:38.494000,0 days 00:00:03.800000,7845,107,3,0,False,8,car,190.58888888888887,0.058424701049408556,-7345,-4682,537,car,0 days 00:41:38.494000
2024-05-25 14:28:43.417,0 days 00:41:38.734000,0 days 00:00:04.040000,7600,105,3,5,False,8,car,197.58888888888887,0.06057053919207324,-7317,-4665,537,car,0 days 00:41:38.734000
