Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-12-08 13:36:03.157,0 days 01:29:15.940000,0 days 00:00:00.266000,10600,228,6,100,False,0,car,16.921666666666663,0.0032371333276155576,787,2106,-239,car,0 days 01:29:15.940000
2024-12-08 13:36:03.317,0 days 01:29:16.100000,0 days 00:00:00.426000,10758,233,6,100,False,0,car,27.277222222222214,0.005218162423342732,865,2115,-239,car,0 days 01:29:16.100000
2024-12-08 13:36:03.557,0 days 01:29:16.340000,0 days 00:00:00.666000,10980,237,6,100,False,0,car,43.07722222222222,0.008240719691716167,1006,2131,-238,car,0 days 01:29:16.340000
2024-12-08 13:36:03.757,0 days 01:29:16.540000,0 days 00:00:00.866000,11071,240,6,100,False,0,car,56.41055555555555,0.010791400930849869,1213,2154,-239,car,0 days 01:29:16.540000
2024-12-08 13:36:03.917,0 days 01:29:16.700000,0 days 00:00:01.026000,11153,244,6,100,False,0,car,67.255,0.01286595500534528,1343,2169,-238,car,0 days 01:29:16.700000
2024-12-08 13:36:04.277,0 days 01:29:17.060000,0 days 00:00:01.386000,11339,248,6,100,False,0,car,92.05499999999998,0.01761022211013396,1499,2187,-239,car,0 days 01:29:17.060000
2024-12-08 13:36:04.517,0 days 01:29:17.300000,0 days 00:00:01.626000,11632,254,6,100,False,0,car,108.98833333333332,0.02084958728383376,1670,2207,-240,car,0 days 01:29:17.300000
2024-12-08 13:36:04.677,0 days 01:29:17.460000,0 days 00:00:01.786000,11780,254,6,100,False,0,car,120.2772222222222,0.023009164066300297,1782,2219,-240,car,0 days 01:29:17.460000
2024-12-08 13:36:04.877,0 days 01:29:17.660000,0 days 00:00:01.986000,11411,259,6,100,False,0,car,134.6661111111111,0.025761774236865414,1927,2235,-239,car,0 days 01:29:17.660000
2024-12-08 13:36:05.037,0 days 01:29:17.820000,0 days 00:00:02.146000,10822,262,6,100,False,0,car,146.31055555555554,0.027989369185708848,2048,2249,-239,car,0 days 01:29:17.820000
2024-12-08 13:36:05.237,0 days 01:29:18.020000,0 days 00:00:02.346000,10526,264,7,100,False,0,car,160.97722222222222,0.030795118548755922,2194,2265,-239,car,0 days 01:29:18.020000
2024-12-08 13:36:05.556,0 days 01:29:18.339000,0 days 00:00:02.665000,10678,267,7,100,False,0,car,184.6363888888889,0.035321142990021225,2430,2293,-239,car,0 days 01:29:18.339000
2024-12-08 13:36:05.956,0 days 01:29:18.739000,0 days 00:00:03.065000,10869,270,7,100,False,0,car,214.6363888888889,0.041060175778072056,2723,2325,-240,car,0 days 01:29:18.739000
2024-12-08 13:36:06.396,0 days 01:29:19.179000,0 days 00:00:03.505000,11072,274,7,100,False,0,car,248.12527777777777,0.0474666368236962,3054,2363,-240,car,0 days 01:29:19.179000
2024-12-08 13:36:06.676,0 days 01:29:19.459000,0 days 00:00:03.785000,10895,273,7,94,False,0,car,269.35861111111114,0.05152859669701663,3261,2386,-239,car,0 days 01:29:19.459000
2024-12-08 13:36:06.876,0 days 01:29:19.659000,0 days 00:00:03.985000,10475,272,7,8,True,0,car,284.46972222222223,0.05441936876803482,3454,2408,-237,car,0 days 01:29:19.659000
2024-12-08 13:36:07.036,0 days 01:29:19.819000,0 days 00:00:04.145000,10207,258,7,4,True,0,car,295.93638888888887,0.056612954633689795,3584,2422,-236,car,0 days 01:29:19.819000
2024-12-08 13:36:07.356,0 days 01:29:20.139000,0 days 00:00:04.465000,10733,225,6,4,True,0,car,315.93638888888887,0.06043897649239035,3723,2431,-238,car,0 days 01:29:20.139000
2024-12-08 13:36:07.636,0 days 01:29:20.419000,0 days 00:00:04.745000,10030,199,6,3,True,0,car,331.4141666666667,0.06339989229748473,3887,2449,-236,car,0 days 01:29:20.419000
2024-12-08 13:36:07.796,0 days 01:29:20.579000,0 days 00:00:04.905000,10590,186,5,3,True,0,car,339.68083333333334,0.06498131466574762,3968,2463,-235,car,0 days 01:29:20.579000
2024-12-08 13:36:07.996,0 days 01:29:20.779000,0 days 00:00:05.105000,10678,182,5,3,True,0,car,349.7919444444445,0.06691558127209069,4073,2495,-234,car,0 days 01:29:20.779000
2024-12-08 13:36:08.236,0 days 01:29:21.019000,0 days 00:00:05.345000,10168,168,4,3,True,0,car,360.99194444444447,0.06905815351296299,4201,2555,-232,car,0 days 01:29:21.019000
2024-12-08 13:36:08.396,0 days 01:29:21.179000,0 days 00:00:05.505000,9884,162,4,3,True,0,car,368.19194444444446,0.07043552138209519,4248,2589,-232,car,0 days 01:29:21.179000
2024-12-08 13:36:08.676,0 days 01:29:21.459000,0 days 00:00:05.785000,9639,157,4,4,False,0,pos,380.40305555555557,0.0727715202836018,4308,2664,-232,car,0 days 01:29:21.459000
2024-12-08 13:36:09.076,0 days 01:29:21.859000,0 days 00:00:06.185000,9536,151,4,21,False,0,car,397.18083333333334,0.0759811275095117,4373,2818,-230,car,0 days 01:29:21.859000
2024-12-08 13:36:09.277,0 days 01:29:22.060000,0 days 00:00:06.386000,9536,150,4,21,False,0,car,405.55583333333334,0.07758327416284257,4388,2905,-231,car,0 days 01:29:22.060000
2024-12-08 13:36:09.437,0 days 01:29:22.220000,0 days 00:00:06.546000,9852,152,4,67,False,0,car,412.3113888888889,0.07887561932400364,4394,2996,-231,car,0 days 01:29:22.220000
2024-12-08 13:36:09.597,0 days 01:29:22.380000,0 days 00:00:06.706000,10141,156,4,72,False,0,car,419.24472222222226,0.08020197356835317,4396,3068,-230,car,0 days 01:29:22.380000
2024-12-08 13:36:09.797,0 days 01:29:22.580000,0 days 00:00:06.906000,10286,160,4,78,False,0,car,428.1336111111111,0.08190242772777563,4395,3134,-230,car,0 days 01:29:22.580000
2024-12-08 13:36:10.117,0 days 01:29:22.900000,0 days 00:00:07.226000,10926,169,4,100,False,0,car,443.15583333333336,0.08477619525719961,4386,3285,-230,car,0 days 01:29:22.900000
2024-12-08 13:36:10.357,0 days 01:29:23.140000,0 days 00:00:07.466000,11371,177,4,99,False,0,car,454.9558333333334,0.08703354815383293,4371,3424,-231,car,0 days 01:29:23.140000
2024-12-08 13:36:10.597,0 days 01:29:23.380000,0 days 00:00:07.706000,10111,186,4,100,False,0,car,467.3558333333334,0.08940568170622727,4358,3511,-229,car,0 days 01:29:23.380000
2024-12-08 13:36:10.797,0 days 01:29:23.580000,0 days 00:00:07.906000,10329,193,5,100,False,0,car,478.0780555555556,0.09145685453603061,4336,3631,-228,car,0 days 01:29:23.580000
2024-12-08 13:36:11.037,0 days 01:29:23.820000,0 days 00:00:08.146000,11004,202,5,100,False,0,car,491.54472222222233,0.09403304258755567,4305,3795,-227,car,0 days 01:29:23.820000
2024-12-08 13:36:11.357,0 days 01:29:24.140000,0 days 00:00:08.466000,11161,206,5,100,False,0,car,509.85583333333335,0.09753597815596594,4278,3923,-226,car,0 days 01:29:24.140000
2024-12-08 13:36:11.557,0 days 01:29:24.340000,0 days 00:00:08.666000,11593,215,5,100,False,0,car,521.8002777777779,0.0998209634326899,4252,4032,-224,car,0 days 01:29:24.340000
2024-12-08 13:36:11.837,0 days 01:29:24.620000,0 days 00:00:08.946000,11681,222,5,100,False,0,car,539.0669444444445,0.10312409563736803,4188,4272,-217,car,0 days 01:29:24.620000
2024-12-08 13:36:12.037,0 days 01:29:24.820000,0 days 00:00:09.146000,10743,227,5,100,False,0,car,551.6780555555557,0.10553661497604867,4153,4398,-213,car,0 days 01:29:24.820000
2024-12-08 13:36:12.316,0 days 01:29:25.099000,0 days 00:00:09.425000,10914,234,6,98,False,0,car,569.8130555555557,0.1090058602964254,4122,4506,-209,car,0 days 01:29:25.099000
2024-12-08 13:36:12.516,0 days 01:29:25.299000,0 days 00:00:09.625000,10885,236,6,78,False,0,car,582.9241666666668,0.11151403018157353,4089,4610,-205,car,0 days 01:29:25.299000
2024-12-08 13:36:12.716,0 days 01:29:25.499000,0 days 00:00:09.825000,10885,237,6,78,False,0,car,596.0908333333334,0.11403282790521806,4045,4731,-201,car,0 days 01:29:25.499000
2024-12-08 13:36:13.196,0 days 01:29:25.979000,0 days 00:00:10.305000,10898,237,6,76,False,0,car,627.6908333333334,0.12007794244196493,3862,5059,-186,car,0 days 01:29:25.979000
2024-12-08 13:36:13.636,0 days 01:29:26.419000,0 days 00:00:10.745000,11113,238,6,75,False,0,car,656.7797222222223,0.12564267867867496,3684,5200,-176,car,0 days 01:29:26.419000
2024-12-08 13:36:13.836,0 days 01:29:26.619000,0 days 00:00:10.945000,11237,240,6,100,False,0,car,670.1130555555557,0.12819335991780867,3559,5264,-169,car,0 days 01:29:26.619000
2024-12-08 13:36:13.996,0 days 01:29:26.779000,0 days 00:00:11.105000,11256,241,6,100,False,0,car,680.8241666666668,0.13024240717991273,3455,5302,-163,car,0 days 01:29:26.779000
2024-12-08 13:36:14.156,0 days 01:29:26.939000,0 days 00:00:11.265000,11346,244,6,99,False,0,car,691.6686111111112,0.13231696125440814,3364,5330,-159,car,0 days 01:29:26.939000
2024-12-08 13:36:14.396,0 days 01:29:27.179000,0 days 00:00:11.505000,11511,248,6,100,False,0,car,708.2019444444445,0.13547980599093393,3167,5393,-151,car,0 days 01:29:27.179000
2024-12-08 13:36:14.636,0 days 01:29:27.419000,0 days 00:00:11.745000,11458,251,6,100,False,0,car,724.9352777777777,0.1386809109460467,3048,5435,-147,car,0 days 01:29:27.419000
2024-12-08 13:36:14.876,0 days 01:29:27.659000,0 days 00:00:11.985000,11288,254,6,100,False,0,car,741.8686111111111,0.1419202761197465,2829,5513,-142,car,0 days 01:29:27.659000
2024-12-08 13:36:15.196,0 days 01:29:27.979000,0 days 00:00:12.305000,10293,256,7,79,False,0,car,764.6241666666667,0.14627343876786802,2610,5605,-136,car,0 days 01:29:27.979000
2024-12-08 13:36:15.436,0 days 01:29:28.219000,0 days 00:00:12.545000,10240,256,7,69,False,0,car,781.6908333333334,0.14953831075395918,2538,5674,-135,car,0 days 01:29:28.219000
2024-12-08 13:36:15.837,0 days 01:29:28.620000,0 days 00:00:12.946000,10318,253,7,77,False,0,car,809.8722222222223,0.15492944124883065,2334,5903,-130,car,0 days 01:29:28.620000
2024-12-08 13:36:16.037,0 days 01:29:28.820000,0 days 00:00:13.146000,10245,253,7,82,False,0,car,823.9277777777779,0.15761828438841746,2250,6039,-130,car,0 days 01:29:28.820000
2024-12-08 13:36:16.277,0 days 01:29:29.060000,0 days 00:00:13.386000,10349,252,7,100,False,0,car,840.7277777777778,0.16083214274972588,2157,6323,-130,car,0 days 01:29:29.060000
2024-12-08 13:36:16.437,0 days 01:29:29.220000,0 days 00:00:13.546000,10391,255,7,100,False,0,car,852.0611111111111,0.16300022180298954,2143,6375,-130,car,0 days 01:29:29.220000
2024-12-08 13:36:16.717,0 days 01:29:29.500000,0 days 00:00:13.826000,10373,258,7,100,False,0,car,872.1277777777779,0.16683899706788577,2148,6573,-132,car,0 days 01:29:29.500000
2024-12-08 13:36:17.157,0 days 01:29:29.940000,0 days 00:00:14.266000,10551,260,7,100,False,0,car,903.9055555555556,0.1729181206878211,2172,6892,-134,car,0 days 01:29:29.940000
2024-12-08 13:36:17.437,0 days 01:29:30.220000,0 days 00:00:14.546000,10590,261,7,100,False,0,car,924.2055555555555,0.17680153287440212,2200,7054,-138,car,0 days 01:29:30.220000
2024-12-08 13:36:17.597,0 days 01:29:30.380000,0 days 00:00:14.706000,10684,265,7,100,False,0,car,935.9833333333333,0.1790546346356369,2220,7175,-141,car,0 days 01:29:30.380000
2024-12-08 13:36:17.797,0 days 01:29:30.580000,0 days 00:00:14.906000,10779,267,7,100,False,0,car,950.8166666666667,0.18189226751417314,2244,7316,-147,car,0 days 01:29:30.580000
2024-12-08 13:36:18.077,0 days 01:29:30.860000,0 days 00:00:15.186000,10801,269,7,100,False,0,car,971.7388888888889,0.18589471149191378,2289,7575,-156,car,0 days 01:29:30.860000
2024-12-08 13:36:18.397,0 days 01:29:31.180000,0 days 00:00:15.506000,11024,273,7,100,False,0,car,996.0055555555556,0.19053695134713713,2337,7836,-167,car,0 days 01:29:31.180000
2024-12-08 13:36:18.557,0 days 01:29:31.340000,0 days 00:00:15.666000,11094,275,7,100,False,0,car,1008.2277777777779,0.19287507581634303,2351,7923,-170,car,0 days 01:29:31.340000
2024-12-08 13:36:19.396,0 days 01:29:32.179000,0 days 00:00:16.505000,11339,283,7,100,False,0,car,1074.1825,0.20549228626168026,2415,8530,-189,car,0 days 01:29:32.179000
2024-12-08 13:36:19.716,0 days 01:29:32.499000,0 days 00:00:16.825000,11409,284,7,100,False,0,car,1099.4269444444444,0.21032157607444008,2419,8783,-197,car,0 days 01:29:32.499000
2024-12-08 13:36:19.916,0 days 01:29:32.699000,0 days 00:00:17.025000,11454,287,7,100,False,0,car,1115.3713888888888,0.21337176572290412,2418,8943,-202,car,0 days 01:29:32.699000
2024-12-08 13:36:20.076,0 days 01:29:32.859000,0 days 00:00:17.185000,11479,287,7,100,False,0,car,1128.1269444444442,0.21581191744167533,2417,9061,-204,car,0 days 01:29:32.859000
2024-12-08 13:36:20.316,0 days 01:29:33.099000,0 days 00:00:17.425000,11494,287,7,100,False,0,car,1147.2602777777777,0.2194721450198322,2412,9236,-206,car,0 days 01:29:33.099000
2024-12-08 13:36:20.556,0 days 01:29:33.339000,0 days 00:00:17.665000,11502,288,7,100,False,0,car,1166.4602777777775,0.2231451260041847,2406,9413,-208,car,0 days 01:29:33.339000
2024-12-08 13:36:20.716,0 days 01:29:33.499000,0 days 00:00:17.825000,11527,288,7,100,False,0,car,1179.2602777777774,0.22559377999375305,2400,9556,-211,car,0 days 01:29:33.499000
2024-12-08 13:36:20.916,0 days 01:29:33.699000,0 days 00:00:18.025000,11511,288,7,100,False,0,car,1195.2602777777774,0.22865459748071348,2392,9706,-210,car,0 days 01:29:33.699000
2024-12-08 13:36:21.196,0 days 01:29:33.979000,0 days 00:00:18.305000,11541,289,7,100,False,0,car,1217.7380555555553,0.23295462093635308,2377,9932,-211,car,0 days 01:29:33.979000
2024-12-08 13:36:21.516,0 days 01:29:34.299000,0 days 00:00:18.625000,11533,289,7,100,False,0,car,1243.4269444444442,0.23786893345708401,2358,10187,-210,car,0 days 01:29:34.299000
2024-12-08 13:36:21.796,0 days 01:29:34.579000,0 days 00:00:18.905000,11420,287,7,100,False,0,pos,1265.7491666666665,0.2421391989649337,2341,10411,-212,car,0 days 01:29:34.579000
2024-12-08 13:36:22.036,0 days 01:29:34.819000,0 days 00:00:19.145000,11417,287,7,100,True,0,car,1284.8824999999997,0.24579942654309053,2320,10640,-211,car,0 days 01:29:34.819000
2024-12-08 13:36:22.236,0 days 01:29:35.019000,0 days 00:00:19.345000,10857,283,7,12,True,0,pos,1300.6047222222219,0.24880710483756902,2300,10864,-211,car,0 days 01:29:35.019000
2024-12-08 13:36:22.677,0 days 01:29:35.460000,0 days 00:00:19.786000,10082,252,7,2,True,0,car,1331.474722222222,0.2547125695764733,2275,11066,-208,car,0 days 01:29:35.460000
2024-12-08 13:36:22.917,0 days 01:29:35.700000,0 days 00:00:20.026000,10468,205,6,3,True,0,car,1345.1413888888885,0.25732701784658535,2253,11202,-207,car,0 days 01:29:35.700000
2024-12-08 13:36:23.117,0 days 01:29:35.900000,0 days 00:00:20.226000,11022,184,6,3,True,0,car,1355.3636111111107,0.2592825401299212,2224,11320,-205,car,0 days 01:29:35.900000
2024-12-08 13:36:23.317,0 days 01:29:36.100000,0 days 00:00:20.426000,10324,167,5,3,True,0,car,1364.6413888888885,0.2610573891588184,2188,11442,-203,car,0 days 01:29:36.100000
2024-12-08 13:36:23.557,0 days 01:29:36.340000,0 days 00:00:20.666000,10619,153,3,3,True,0,car,1374.8413888888886,0.2630086603067557,2163,11494,-202,car,0 days 01:29:36.340000
2024-12-08 13:36:23.797,0 days 01:29:36.580000,0 days 00:00:20.906000,9702,135,3,3,True,0,car,1383.8413888888886,0.2647303701431709,2121,11565,-201,car,0 days 01:29:36.580000
2024-12-08 13:36:23.957,0 days 01:29:36.740000,0 days 00:00:21.066000,9181,130,3,3,True,0,car,1389.6191666666664,0.26583566534679554,2092,11610,-202,car,0 days 01:29:36.740000
2024-12-08 13:36:24.197,0 days 01:29:36.980000,0 days 00:00:21.306000,8576,119,3,3,True,0,car,1397.5524999999998,0.2673533206840801,2016,11687,-201,car,0 days 01:29:36.980000
2024-12-08 13:36:24.557,0 days 01:29:37.340000,0 days 00:00:21.666000,7746,110,3,2,True,0,car,1408.5524999999998,0.2694576327063654,1935,11744,-203,car,0 days 01:29:37.340000
2024-12-08 13:36:24.757,0 days 01:29:37.540000,0 days 00:00:21.866000,7466,107,3,2,True,0,car,1414.4969444444441,0.27059481142547914,1893,11759,-203,car,0 days 01:29:37.540000
2024-12-08 13:36:24.917,0 days 01:29:37.700000,0 days 00:00:22.026000,7372,101,3,2,True,0,car,1418.985833333333,0.2714535407759875,1849,11772,-204,car,0 days 01:29:37.700000
2024-12-08 13:36:25.357,0 days 01:29:38.140000,0 days 00:00:22.466000,7129,95,3,10,False,0,car,1430.596944444444,0.2736747590217331,1716,11754,-205,car,0 days 01:29:38.140000
2024-12-08 13:36:25.556,0 days 01:29:38.339000,0 days 00:00:22.665000,6871,94,3,34,False,0,car,1435.7930555555552,0.27466878075630047,1674,11737,-204,car,0 days 01:29:38.339000
2024-12-08 13:36:25.756,0 days 01:29:38.539000,0 days 00:00:22.865000,7288,94,3,45,False,0,pos,1441.0152777777773,0.2756677975749612,1641,11715,-205,car,0 days 01:29:38.539000
2024-12-08 13:36:25.956,0 days 01:29:38.739000,0 days 00:00:23.065000,7478,97,3,47,False,0,car,1446.4041666666662,0.27669869790911106,1596,11683,-206,car,0 days 01:29:38.739000
2024-12-08 13:36:26.196,0 days 01:29:38.979000,0 days 00:00:23.305000,7896,101,3,52,False,0,car,1453.1374999999996,0.2779867919348736,1545,11638,-207,car,0 days 01:29:38.979000
2024-12-08 13:36:26.516,0 days 01:29:39.299000,0 days 00:00:23.625000,8425,107,3,61,False,0,car,1462.6486111111108,0.27980627788545565,1487,11567,-209,car,0 days 01:29:39.299000
2024-12-08 13:36:26.796,0 days 01:29:39.579000,0 days 00:00:23.905000,9117,116,3,71,False,0,car,1471.6708333333331,0.28153223885726947,1415,11451,-212,car,0 days 01:29:39.579000
2024-12-08 13:36:26.956,0 days 01:29:39.739000,0 days 00:00:24.065000,9532,120,3,72,False,0,car,1477.0041666666664,0.2825525113529229,1405,11428,-213,car,0 days 01:29:39.739000
2024-12-08 13:36:27.316,0 days 01:29:40.099000,0 days 00:00:24.425000,10344,135,3,82,False,0,car,1490.5041666666664,0.2851350761075458,1364,11326,-216,car,0 days 01:29:40.099000
2024-12-08 13:36:27.756,0 days 01:29:40.539000,0 days 00:00:24.865000,11842,154,3,99,False,0,car,1509.3263888888885,0.2887357877901228,1310,11169,-219,car,0 days 01:29:40.539000
2024-12-08 13:36:28.036,0 days 01:29:40.819000,0 days 00:00:25.145000,10891,168,3,99,False,0,car,1522.3930555555553,0.2912354554044739,1269,11038,-222,car,0 days 01:29:40.819000
2024-12-08 13:36:28.436,0 days 01:29:41.219000,0 days 00:00:25.545000,11616,181,4,99,False,0,car,1542.5041666666666,0.2950827329401673,1210,10848,-225,car,0 days 01:29:41.219000
2024-12-08 13:36:28.636,0 days 01:29:41.419000,0 days 00:00:25.745000,10533,193,4,99,False,0,car,1553.2263888888888,0.2971339057699706,1179,10748,-226,car,0 days 01:29:41.419000
2024-12-08 13:36:28.836,0 days 01:29:41.619000,0 days 00:00:25.945000,10716,199,4,100,False,0,pos,1564.2819444444442,0.29924884563075227,1146,10643,-228,car,0 days 01:29:41.619000
2024-12-08 13:36:29.117,0 days 01:29:41.900000,0 days 00:00:26.226000,11163,209,5,100,False,0,car,1580.5955555555552,0.3023696572660248,1097,10490,-229,car,0 days 01:29:41.900000
2024-12-08 13:36:29.437,0 days 01:29:42.220000,0 days 00:00:26.546000,11499,218,5,100,False,0,car,1599.973333333333,0.30607664733356577,1030,10276,-227,car,0 days 01:29:42.220000
2024-12-08 13:36:29.757,0 days 01:29:42.540000,0 days 00:00:26.866000,11870,226,5,100,False,0,car,1620.0622222222219,0.3099196737338606,959,10047,-223,car,0 days 01:29:42.540000
2024-12-08 13:36:30.037,0 days 01:29:42.820000,0 days 00:00:27.146000,10910,233,6,100,False,0,car,1638.1844444444441,0.31338647465138314,917,9917,-220,car,0 days 01:29:42.820000
2024-12-08 13:36:30.317,0 days 01:29:43.100000,0 days 00:00:27.426000,11053,238,6,100,False,0,car,1656.695555555555,0.3169276704383804,874,9785,-218,car,0 days 01:29:43.100000
2024-12-08 13:36:30.637,0 days 01:29:43.420000,0 days 00:00:27.746000,11388,246,6,100,False,0,car,1678.5622222222219,0.32111078767055967,801,9565,-216,car,0 days 01:29:43.420000
2024-12-08 13:36:30.797,0 days 01:29:43.580000,0 days 00:00:27.906000,11476,250,6,100,False,0,car,1689.673333333333,0.32323635536983775,764,9458,-215,car,0 days 01:29:43.580000
2024-12-08 13:36:31.117,0 days 01:29:43.900000,0 days 00:00:28.226000,11670,255,6,99,False,0,car,1712.3399999999997,0.32757251347636507,688,9241,-212,car,0 days 01:29:43.900000
2024-12-08 13:36:31.557,0 days 01:29:44.340000,0 days 00:00:28.666000,10722,261,7,100,False,0,car,1744.2399999999998,0.3336750183409925,560,8874,-213,car,0 days 01:29:44.340000
