Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-07 14:43:53.268,0 days 01:38:56.239000,0 days 00:00:00.207000,10580,229,5,100,False,1,car,13.677499999999997,0.0023346695367943366,-1677.4811918350565,1313.0730590633184,1963.9870006351625,car,0 days 01:38:56.239000
2024-07-07 14:43:53.428,0 days 01:38:56.399000,0 days 00:00:00.367000,10771,232,6,100,False,1,car,23.98861111111111,0.004094716109750851,-1614.5641275938078,1394.1911106473312,1964.5429187517038,car,0 days 01:38:56.399000
2024-07-07 14:43:53.668,0 days 01:38:56.639000,0 days 00:00:00.607000,10959,239,6,100,False,1,car,39.92194444444444,0.006814443249427188,-1514.710661432331,1518.9125689044345,1965.763217774261,car,0 days 01:38:56.639000
2024-07-07 14:43:53.868,0 days 01:38:56.839000,0 days 00:00:00.807000,11108,242,6,100,False,1,car,53.36638888888889,0.009109331561148504,-1431.3594932748597,1623.4970169851579,1966.0481603781882,car,0 days 01:38:56.839000
2024-07-07 14:43:54.028,0 days 01:38:56.999000,0 days 00:00:00.967000,11227,246,6,100,False,1,car,64.29972222222221,0.010975587841093773,-1365.0780354830829,1710.157583905895,1967.4574290360297,car,0 days 01:38:56.999000
2024-07-07 14:43:54.348,0 days 01:38:57.319000,0 days 00:00:01.287000,11522,252,6,100,False,1,car,86.6997222222222,0.014799137292688957,-1232.7380538068103,1889.939827323853,1969.1421968966597,car,0 days 01:38:57.319000
2024-07-07 14:43:54.708,0 days 01:38:57.679000,0 days 00:00:01.647000,11717,258,6,100,False,1,car,112.49972222222222,0.01920304692890127,-1083.499344249567,2094.947712845339,1972.3722654984476,car,0 days 01:38:57.679000
2024-07-07 14:43:54.988,0 days 01:38:57.959000,0 days 00:00:01.927000,11412,263,6,100,False,1,car,132.95527777777778,0.022694691046156595,-937.228129091247,2296.148872494455,1974.7896668889798,car,0 days 01:38:57.959000
2024-07-07 14:43:55.228,0 days 01:38:58.199000,0 days 00:00:02.167000,10532,266,6,100,False,1,car,150.6886111111111,0.025721667695336115,-807.9121861233797,2473.8205127176825,1978.3790870681596,car,0 days 01:38:58.199000
2024-07-07 14:43:55.548,0 days 01:38:58.519000,0 days 00:00:02.487000,10742,269,7,100,False,1,car,174.59972222222223,0.029803155006761138,-723.2632659692088,2590.640826888726,1980.228533974415,car,0 days 01:38:58.519000
2024-07-07 14:43:55.788,0 days 01:38:58.759000,0 days 00:00:02.727000,10849,273,7,100,False,1,car,192.79972222222221,0.032909788936182224,-611.255526793458,2748.36210774047,1982.4861321301403,car,0 days 01:38:58.759000
2024-07-07 14:43:56.228,0 days 01:38:59.199000,0 days 00:00:03.167000,10974,277,7,100,False,1,car,226.65527777777777,0.03868873495751681,-357.76091771324445,3123.1740822177135,1989.1657104199307,car,0 days 01:38:59.199000
2024-07-07 14:43:56.388,0 days 01:38:59.359000,0 days 00:00:03.327000,11060,278,7,100,False,1,car,239.01083333333332,0.040797756282007804,-291.42753524082923,3223.90492319004,1990.5216420636202,car,0 days 01:38:59.359000
2024-07-07 14:43:56.588,0 days 01:38:59.559000,0 days 00:00:03.527000,11139,280,7,100,False,1,car,254.5663888888889,0.04345299895672669,-239.24450894432533,3303.504788540862,1991.8997920399188,car,0 days 01:38:59.559000
2024-07-07 14:43:56.868,0 days 01:38:59.839000,0 days 00:00:03.807000,11238,283,7,100,False,1,car,276.5775,0.0472101673414539,-143.12936839986568,3441.8319905880926,1994.5028437322526,car,0 days 01:38:59.839000
2024-07-07 14:43:57.188,0 days 01:39:00.159000,0 days 00:00:04.127000,11319,285,7,100,False,1,car,301.9108333333333,0.05153441969742464,36.602529331813926,3691.9516266162195,1998.2854857366312,car,0 days 01:39:00.159000
2024-07-07 14:43:57.428,0 days 01:39:00.399000,0 days 00:00:04.367000,11370,287,7,100,False,1,car,321.0441666666666,0.05480036818732886,109.92972137501556,3785.781211515367,2000.5834007096992,car,0 days 01:39:00.399000
2024-07-07 14:43:57.588,0 days 01:39:00.559000,0 days 00:00:04.527000,10996,285,7,61,True,1,car,333.7108333333333,0.05696249436531423,191.06255903693773,3886.432258669408,2003.92169688075,car,0 days 01:39:00.559000
2024-07-07 14:43:57.829,0 days 01:39:00.800000,0 days 00:00:04.768000,10723,276,7,24,True,1,car,352.18749999999994,0.060116353682307104,315.56417818852907,4029.4536254144377,2006.9611444930283,car,0 days 01:39:00.800000
2024-07-07 14:43:57.989,0 days 01:39:00.960000,0 days 00:00:04.928000,11703,276,7,28,True,1,car,364.4541666666666,0.06221020219151399,388.17176668889005,4103.785742544939,2009.4737613347443,car,0 days 01:39:00.960000
2024-07-07 14:43:58.149,0 days 01:39:01.120000,0 days 00:00:05.088000,11758,276,6,37,False,1,car,376.72083333333325,0.06430405070072087,471.75123687876345,4182.94326955158,2010.7794104422753,car,0 days 01:39:01.120000
2024-07-07 14:43:58.469,0 days 01:39:01.440000,0 days 00:00:05.408000,11619,254,6,47,False,1,car,399.29861111111103,0.06815794578288427,666.142467895538,4328.006448698599,2012.6595515026145,car,0 days 01:39:01.440000
2024-07-07 14:43:58.629,0 days 01:39:01.600000,0 days 00:00:05.568000,11399,251,6,72,False,1,car,410.45416666666654,0.0700621341010398,753.0935753539435,4378.504063356761,2013.4547723951537,car,0 days 01:39:01.600000
2024-07-07 14:43:58.948,0 days 01:39:01.919000,0 days 00:00:05.887000,11440,250,6,80,False,1,car,432.6069444444443,0.07384348416012607,1001.2735721727599,4463.384777228156,2014.5109273724,car,0 days 01:39:01.919000
2024-07-07 14:43:59.308,0 days 01:39:02.279000,0 days 00:00:06.247000,11595,253,6,100,False,1,car,457.9069444444443,0.07816204671036527,1261.5085025266785,4517.378525829561,2016.1248288017682,car,0 days 01:39:02.279000
2024-07-07 14:43:59.508,0 days 01:39:02.479000,0 days 00:00:06.447000,11693,253,6,100,False,1,car,471.96249999999986,0.08056124812716482,1349.5208685931455,4518.642031329594,2017.5071173184028,car,0 days 01:39:02.479000
2024-07-07 14:43:59.788,0 days 01:39:02.759000,0 days 00:00:06.727000,11489,259,6,100,False,1,car,492.1069444444443,0.08399978739092577,1543.0536861165378,4519.066855685441,2019.9515025169212,car,0 days 01:39:02.759000
2024-07-07 14:44:00.028,0 days 01:39:02.999000,0 days 00:00:06.967000,10435,260,7,100,False,1,car,509.44027777777757,0.0869584863713268,1717.3625087280177,4509.884866132625,2022.0318257486408,car,0 days 01:39:02.999000
2024-07-07 14:44:00.348,0 days 01:39:03.319000,0 days 00:00:07.287000,10545,262,7,100,False,1,car,532.7291666666665,0.09093376397576307,2036.134239906363,4469.100444248717,2026.1863744371908,car,0 days 01:39:03.319000
2024-07-07 14:44:00.548,0 days 01:39:03.519000,0 days 00:00:07.487000,10623,266,7,100,False,1,car,547.5069444444443,0.09345624451674601,2157.3969905276517,4453.3247425588415,2027.3620904760246,car,0 days 01:39:03.519000
2024-07-07 14:44:00.988,0 days 01:39:03.959000,0 days 00:00:07.927000,10664,272,7,100,False,1,car,580.7513888888888,0.09913087743300236,2422.997590119018,4438.878346133058,2029.4020183434393,car,0 days 01:39:03.959000
2024-07-07 14:44:01.148,0 days 01:39:04.119000,0 days 00:00:08.087000,10769,272,7,77,False,1,car,592.8402777777776,0.10119438031164102,2586.2135962064754,4443.308497532139,2031.8632415148477,car,0 days 01:39:04.119000
