Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-08-24 13:17:22.164,0 days 00:32:22.152000,0 days 00:00:00.178000,11762,331,8,99,False,12,car,16.378888888888888,0.003859142730227636,610,4028,537,car,0 days 00:32:22.152000
2024-08-24 13:17:22.364,0 days 00:32:22.352000,0 days 00:00:00.378000,11810,331,8,99,False,12,car,34.76777777777778,0.008191875393226578,690,4225,537,car,0 days 00:32:22.352000
2024-08-24 13:17:22.644,0 days 00:32:22.632000,0 days 00:00:00.658000,11832,334,8,99,False,12,car,60.745555555555555,0.014312678393886107,780,4444,536,car,0 days 00:32:22.632000
2024-08-24 13:17:22.844,0 days 00:32:22.832000,0 days 00:00:00.858000,11855,333,8,99,False,12,car,79.24555555555555,0.01867159071043791,832,4571,536,car,0 days 00:32:22.832000
2024-08-24 13:17:23.244,0 days 00:32:23.232000,0 days 00:00:01.258000,11893,336,8,99,False,12,car,116.57888888888888,0.02746795430420011,971,4911,536,car,0 days 00:32:23.232000
2024-08-24 13:17:23.564,0 days 00:32:23.552000,0 days 00:00:01.578000,11894,336,8,99,False,12,car,146.44555555555556,0.03450504517920987,1084,5187,537,car,0 days 00:32:23.552000
2024-08-24 13:17:23.804,0 days 00:32:23.792000,0 days 00:00:01.818000,11865,336,8,99,False,10,car,168.84555555555556,0.03978286333546719,1165,5394,536,car,0 days 00:32:23.792000
2024-08-24 13:17:24.004,0 days 00:32:23.992000,0 days 00:00:02.018000,11653,335,8,64,False,10,pos,187.45666666666665,0.044167955305571854,1229,5578,537,car,0 days 00:32:23.992000
2024-08-24 13:17:24.364,0 days 00:32:24.352000,0 days 00:00:02.378000,11653,298,8,1,True,8,car,217.25666666666666,0.0511893383884499,1319,5896,540,car,0 days 00:32:24.352000
2024-08-24 13:17:24.604,0 days 00:32:24.592000,0 days 00:00:02.618000,11037,266,7,1,True,8,car,234.98999999999998,0.055367611095486935,1369,6077,543,car,0 days 00:32:24.592000
2024-08-24 13:17:24.964,0 days 00:32:24.952000,0 days 00:00:02.978000,10894,221,7,1,True,8,car,257.09,0.06057474418715152,1451,6320,547,car,0 days 00:32:24.952000
2024-08-24 13:17:25.164,0 days 00:32:25.152000,0 days 00:00:03.178000,10229,197,5,2,True,8,car,268.03444444444443,0.0631534400621086,1513,6456,547,car,0 days 00:32:25.152000
2024-08-24 13:17:25.324,0 days 00:32:25.312000,0 days 00:00:03.338000,10625,175,5,1,True,8,car,275.8122222222222,0.06498601581080905,1540,6507,548,car,0 days 00:32:25.312000
2024-08-24 13:17:25.524,0 days 00:32:25.512000,0 days 00:00:03.538000,10001,165,4,2,True,8,car,284.97888888888883,0.0671458372289203,1562,6532,547,car,0 days 00:32:25.512000
2024-08-24 13:17:25.764,0 days 00:32:25.752000,0 days 00:00:03.778000,9349,153,4,3,True,8,car,295.1788888888888,0.06954912942507319,1611,6584,548,car,0 days 00:32:25.752000
2024-08-24 13:17:26.044,0 days 00:32:26.032000,0 days 00:00:04.058000,9493,141,4,3,True,8,car,306.14555555555546,0.07213306123074083,1694,6648,549,car,0 days 00:32:26.032000
2024-08-24 13:17:26.244,0 days 00:32:26.232000,0 days 00:00:04.258000,10020,134,4,4,True,8,car,313.5899999999999,0.0738870980187827,1761,6679,548,car,0 days 00:32:26.232000
2024-08-24 13:17:26.404,0 days 00:32:26.392000,0 days 00:00:04.418000,9772,130,3,5,True,8,car,319.3677777777777,0.0752484400035316,1819,6693,548,car,0 days 00:32:26.392000
2024-08-24 13:17:26.564,0 days 00:32:26.552000,0 days 00:00:04.578000,9457,128,3,11,True,8,car,325.05666666666656,0.07658883826543822,1885,6700,548,car,0 days 00:32:26.552000
2024-08-24 13:17:26.844,0 days 00:32:26.832000,0 days 00:00:04.858000,8888,122,3,0,True,8,car,334.54555555555544,0.07882458067885278,1974,6695,549,car,0 days 00:32:26.832000
2024-08-24 13:17:27.003,0 days 00:32:26.991000,0 days 00:00:05.017000,8809,120,3,7,False,8,car,339.84555555555545,0.08007335015332438,2021,6682,548,car,0 days 00:32:26.991000
2024-08-24 13:17:27.283,0 days 00:32:27.271000,0 days 00:00:05.297000,8594,118,3,13,False,8,car,349.0233333333332,0.08223578953679091,2105,6645,547,car,0 days 00:32:27.271000
2024-08-24 13:17:27.443,0 days 00:32:27.431000,0 days 00:00:05.457000,8594,116,3,35,False,8,car,354.17888888888876,0.08345052546164379,2146,6615,546,car,0 days 00:32:27.431000
2024-08-24 13:17:27.843,0 days 00:32:27.831000,0 days 00:00:05.857000,9230,122,3,59,False,8,car,367.7344444444443,0.08664444319509315,2230,6509,545,car,0 days 00:32:27.831000
2024-08-24 13:17:28.323,0 days 00:32:28.311000,0 days 00:00:06.337000,10061,133,3,71,False,8,car,385.4677777777776,0.09082271590213019,2288,6352,544,car,0 days 00:32:28.311000
2024-08-24 13:17:28.603,0 days 00:32:28.591000,0 days 00:00:06.617000,10924,140,3,80,False,8,car,396.3566666666665,0.09338832195031084,2293,6224,543,car,0 days 00:32:28.591000
2024-08-24 13:17:28.964,0 days 00:32:28.952000,0 days 00:00:06.978000,11646,154,3,89,False,8,car,411.7994444444443,0.0970269010993556,2277,6089,542,car,0 days 00:32:28.952000
2024-08-24 13:17:29.124,0 days 00:32:29.112000,0 days 00:00:07.138000,11086,161,3,99,False,8,car,418.95499999999987,0.09871287078816003,2261,6027,541,car,0 days 00:32:29.112000
2024-08-24 13:17:29.324,0 days 00:32:29.312000,0 days 00:00:07.338000,10886,165,4,99,False,8,car,428.12166666666656,0.10087269220627129,2235,5936,541,car,0 days 00:32:29.312000
2024-08-24 13:17:29.604,0 days 00:32:29.592000,0 days 00:00:07.618000,11598,182,4,99,False,8,car,442.2772222222221,0.10420798006890612,2181,5781,539,car,0 days 00:32:29.592000
2024-08-24 13:17:29.764,0 days 00:32:29.752000,0 days 00:00:07.778000,11801,186,4,99,False,8,car,450.5438888888888,0.10615574629323918,2145,5684,536,car,0 days 00:32:29.752000
2024-08-24 13:17:30.004,0 days 00:32:29.992000,0 days 00:00:08.018000,10370,196,4,99,False,8,car,463.6105555555555,0.10923447355105596,2119,5612,534,car,0 days 00:32:29.992000
2024-08-24 13:17:30.204,0 days 00:32:30.192000,0 days 00:00:08.218000,10796,196,5,99,False,8,car,474.49944444444435,0.11180007959923659,2082,5527,533,car,0 days 00:32:30.192000
2024-08-24 13:17:30.444,0 days 00:32:30.432000,0 days 00:00:08.458000,11110,210,5,99,False,8,car,488.49944444444435,0.11509871594689741,2000,5339,531,car,0 days 00:32:30.432000
2024-08-24 13:17:30.804,0 days 00:32:30.792000,0 days 00:00:08.818000,11667,220,5,99,False,8,car,510.4994444444443,0.12028228735036442,1943,5216,531,car,0 days 00:32:30.792000
2024-08-24 13:17:31.044,0 days 00:32:31.032000,0 days 00:00:09.058000,11902,224,5,99,False,8,car,525.4327777777777,0.12380083278786931,1883,5076,532,car,0 days 00:32:31.032000
2024-08-24 13:17:31.324,0 days 00:32:31.312000,0 days 00:00:09.338000,11265,230,5,99,False,8,car,543.3216666666665,0.12801575700988033,1823,4912,535,car,0 days 00:32:31.312000
2024-08-24 13:17:31.524,0 days 00:32:31.512000,0 days 00:00:09.538000,10293,234,6,99,False,8,car,556.3216666666666,0.13107877647556543,1791,4788,535,car,0 days 00:32:31.512000
2024-08-24 13:17:31.724,0 days 00:32:31.712000,0 days 00:00:09.738000,10736,236,6,99,False,8,car,569.4327777777777,0.13416797559480334,1773,4659,535,car,0 days 00:32:31.712000
2024-08-24 13:17:32.044,0 days 00:32:32.032000,0 days 00:00:10.058000,11101,243,6,99,False,8,pos,591.0327777777777,0.13925730024548003,1773,4444,531,car,0 days 00:32:32.032000
2024-08-24 13:17:32.204,0 days 00:32:32.192000,0 days 00:00:10.218000,11345,245,6,99,False,8,car,601.9216666666666,0.14182290629366068,1781,4333,530,car,0 days 00:32:32.192000
2024-08-24 13:17:32.364,0 days 00:32:32.352000,0 days 00:00:10.378000,11068,244,6,99,True,8,car,612.7661111111111,0.14437804048042016,1792,4222,530,car,0 days 00:32:32.352000
2024-08-24 13:17:32.604,0 days 00:32:32.592000,0 days 00:00:10.618000,11289,233,6,16,True,8,car,628.2994444444444,0.1480379560471105,1801,4034,532,car,0 days 00:32:32.592000
2024-08-24 13:17:32.924,0 days 00:32:32.912000,0 days 00:00:10.938000,11271,216,6,21,False,8,car,647.4994444444444,0.15256180018104537,1770,3844,537,car,0 days 00:32:32.912000
2024-08-24 13:17:33.244,0 days 00:32:33.232000,0 days 00:00:11.258000,10952,208,5,29,True,8,car,665.9883333333332,0.15691809453224187,1685,3695,542,car,0 days 00:32:33.232000
2024-08-24 13:17:33.564,0 days 00:32:33.552000,0 days 00:00:11.578000,10500,197,5,51,False,8,car,683.4994444444444,0.1610440079321732,1468,3532,547,car,0 days 00:32:33.552000
2024-08-24 13:17:33.724,0 days 00:32:33.712000,0 days 00:00:11.738000,10325,196,5,61,False,8,car,692.2105555555555,0.16309649277071772,1424,3512,547,car,0 days 00:32:33.712000
2024-08-24 13:17:34.043,0 days 00:32:34.031000,0 days 00:00:12.057000,10391,193,5,62,False,8,car,709.3125,0.16712599959644062,1287,3462,548,car,0 days 00:32:34.031000
2024-08-24 13:17:34.363,0 days 00:32:34.351000,0 days 00:00:12.377000,10391,196,5,62,False,8,car,726.7347222222222,0.17123096927352965,1067,3381,546,car,0 days 00:32:34.351000
2024-08-24 13:17:34.523,0 days 00:32:34.511000,0 days 00:00:12.537000,10603,200,5,16,True,8,car,735.6236111111111,0.17332534155775875,1018,3362,545,car,0 days 00:32:34.511000
2024-08-24 13:17:34.803,0 days 00:32:34.791000,0 days 00:00:12.817000,11128,185,5,8,True,8,car,750.0124999999999,0.17671560669285458,915,3316,543,car,0 days 00:32:34.791000
2024-08-24 13:17:35.043,0 days 00:32:35.031000,0 days 00:00:13.057000,11249,182,4,7,True,8,car,762.1458333333333,0.17957442486082728,808,3254,539,car,0 days 00:32:35.031000
2024-08-24 13:17:35.364,0 days 00:32:35.352000,0 days 00:00:13.378000,10371,174,4,5,True,8,car,777.6608333333332,0.1832300207846814,698,3139,535,car,0 days 00:32:35.352000
2024-08-24 13:17:35.844,0 days 00:32:35.832000,0 days 00:00:13.858000,9066,154,4,7,True,8,car,798.1941666666665,0.1880680207612506,643,2908,529,car,0 days 00:32:35.832000
2024-08-24 13:17:36.084,0 days 00:32:36.072000,0 days 00:00:14.098000,8436,142,4,7,True,8,pos,807.6608333333332,0.1902985272439546,653,2857,529,car,0 days 00:32:36.072000
2024-08-24 13:17:36.284,0 days 00:32:36.272000,0 days 00:00:14.298000,8114,136,4,7,False,8,car,815.2163888888888,0.19207874368554934,674,2787,527,car,0 days 00:32:36.272000
2024-08-24 13:17:36.484,0 days 00:32:36.472000,0 days 00:00:14.498000,8298,130,4,44,False,8,car,822.438611111111,0.19378042116648544,723,2718,526,car,0 days 00:32:36.472000
2024-08-24 13:17:36.684,0 days 00:32:36.672000,0 days 00:00:14.698000,8391,133,4,63,False,8,car,829.8274999999999,0.1955213681277509,785,2662,527,car,0 days 00:32:36.672000
2024-08-24 13:17:37.084,0 days 00:32:37.072000,0 days 00:00:15.098000,8680,141,4,67,False,8,car,845.4941666666665,0.19921269927870466,900,2605,529,car,0 days 00:32:37.072000
2024-08-24 13:17:37.484,0 days 00:32:37.472000,0 days 00:00:15.498000,9629,152,4,82,False,8,car,862.3830555555553,0.20319200661873993,1119,2593,544,car,0 days 00:32:37.472000
2024-08-24 13:17:37.684,0 days 00:32:37.672000,0 days 00:00:15.698000,9865,158,4,91,False,8,car,871.1608333333331,0.20526019924941616,1155,2600,547,car,0 days 00:32:37.672000
2024-08-24 13:17:38.044,0 days 00:32:38.032000,0 days 00:00:16.058000,11295,171,4,99,False,8,car,888.2608333333332,0.2092892479312019,1319,2645,561,car,0 days 00:32:38.032000
2024-08-24 13:17:38.324,0 days 00:32:38.312000,0 days 00:00:16.338000,11243,184,4,99,False,8,car,902.5719444444443,0.21266118730881076,1506,2703,573,car,0 days 00:32:38.312000
2024-08-24 13:17:38.684,0 days 00:32:38.672000,0 days 00:00:16.698000,10819,198,4,99,False,8,car,922.3719444444442,0.21732640157193103,1628,2746,579,car,0 days 00:32:38.672000
2024-08-24 13:17:39.084,0 days 00:32:39.072000,0 days 00:00:17.098000,11125,211,5,99,False,8,car,945.8163888888886,0.22285030847158527,1878,2839,588,car,0 days 00:32:39.072000
2024-08-24 13:17:39.404,0 days 00:32:39.392000,0 days 00:00:17.418000,11673,220,5,99,False,8,car,965.3719444444441,0.22745792749688926,2066,2901,593,car,0 days 00:32:39.392000
2024-08-24 13:17:39.764,0 days 00:32:39.752000,0 days 00:00:17.778000,10454,226,5,99,False,8,car,987.971944444444,0.2327828690295417,2205,2944,594,car,0 days 00:32:39.752000
2024-08-24 13:17:39.964,0 days 00:32:39.952000,0 days 00:00:17.978000,10781,231,6,99,False,8,car,1000.8052777777775,0.2358066190148975,2313,2972,595,car,0 days 00:32:39.952000
2024-08-24 13:17:40.124,0 days 00:32:40.112000,0 days 00:00:18.138000,10895,235,6,100,False,8,car,1011.249722222222,0.2382675064488667,2412,2993,594,car,0 days 00:32:40.112000
2024-08-24 13:17:40.483,0 days 00:32:40.471000,0 days 00:00:18.497000,11165,243,6,100,False,8,car,1035.482222222222,0.24397709254134461,2701,3029,588,car,0 days 00:32:40.471000
