Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:18:39.839000,LEC,,1.0,1.0,0 days 00:16:55.070000,,,0 days 00:00:34.697000,0 days 00:00:24.373000,,0 days 00:18:15.512000,0 days 00:18:39.858000,269.0,210.0,323.0,,False,SOFT,1.0,True,0 days 00:16:55.070000,2024-08-24 13:01:55.082,,False
0 days 00:19:51.729000,LEC,0 days 00:01:11.890000,2.0,1.0,,,0 days 00:00:24.737000,0 days 00:00:25.493000,0 days 00:00:21.660000,0 days 00:19:04.576000,0 days 00:19:30.069000,0 days 00:19:51.729000,289.0,281.0,325.0,325.0,True,SOFT,2.0,True,0 days 00:18:39.839000,2024-08-24 13:03:39.851,,False
0 days 00:21:38.482000,LEC,0 days 00:01:46.753000,3.0,1.0,,0 days 00:21:35.852000,0 days 00:00:39.628000,0 days 00:00:32.317000,0 days 00:00:34.808000,0 days 00:20:31.357000,0 days 00:21:03.674000,0 days 00:21:38.482000,147.0,257.0,,280.0,False,SOFT,3.0,True,0 days 00:19:51.729000,2024-08-24 13:04:51.741,,False
0 days 00:23:48.139000,LEC,0 days 00:02:09.657000,4.0,2.0,0 days 00:22:06.394000,,0 days 00:01:09.921000,0 days 00:00:32.407000,0 days 00:00:27.329000,0 days 00:22:48.403000,0 days 00:23:20.810000,0 days 00:23:48.139000,264.0,246.0,325.0,,False,SOFT,4.0,False,0 days 00:21:38.482000,2024-08-24 13:06:38.494,,False
0 days 00:25:00.230000,LEC,0 days 00:01:12.091000,5.0,2.0,,,0 days 00:00:24.568000,0 days 00:00:25.794000,0 days 00:00:21.729000,0 days 00:24:12.707000,0 days 00:24:38.501000,0 days 00:25:00.230000,288.0,282.0,325.0,332.0,False,SOFT,5.0,False,0 days 00:23:48.139000,2024-08-24 13:08:48.151,,False
0 days 00:26:33.374000,LEC,0 days 00:01:33.144000,6.0,2.0,,0 days 00:26:31.775000,0 days 00:00:31.591000,0 days 00:00:31.714000,0 days 00:00:29.839000,0 days 00:25:31.821000,0 days 00:26:03.535000,0 days 00:26:33.374000,254.0,254.0,,130.0,False,SOFT,6.0,False,0 days 00:25:00.230000,2024-08-24 13:10:00.242,,False
0 days 00:32:21.974000,LEC,,7.0,3.0,0 days 00:30:30.669000,,,0 days 00:00:33.892000,0 days 00:00:28.607000,,0 days 00:31:53.413000,0 days 00:32:22.187000,272.0,102.0,326.0,,False,SOFT,1.0,True,0 days 00:26:33.374000,2024-08-24 13:11:33.386,,False
0 days 00:33:33.344000,LEC,0 days 00:01:11.370000,8.0,3.0,,,0 days 00:00:24.309000,0 days 00:00:25.641000,0 days 00:00:21.420000,0 days 00:32:46.283000,0 days 00:33:11.924000,0 days 00:33:33.344000,289.0,281.0,325.0,332.0,True,SOFT,2.0,True,0 days 00:32:21.974000,2024-08-24 13:17:21.986,,False
0 days 00:35:09.828000,LEC,0 days 00:01:36.484000,9.0,3.0,,0 days 00:35:08.233000,0 days 00:00:31.498000,0 days 00:00:32.997000,0 days 00:00:31.989000,0 days 00:34:04.842000,0 days 00:34:37.839000,0 days 00:35:09.828000,229.0,251.0,,267.0,False,SOFT,3.0,True,0 days 00:33:33.344000,2024-08-24 13:18:33.356,,False
0 days 00:41:46.502000,LEC,,10.0,4.0,0 days 00:40:08.623000,,,0 days 00:00:30.819000,0 days 00:00:27.947000,,0 days 00:41:18.665000,0 days 00:41:46.702000,270.0,249.0,319.0,,False,SOFT,4.0,False,0 days 00:35:09.828000,2024-08-24 13:20:09.840,,False
0 days 00:42:58.167000,LEC,0 days 00:01:11.665000,11.0,4.0,,,0 days 00:00:24.660000,0 days 00:00:25.561000,0 days 00:00:21.444000,0 days 00:42:11.162000,0 days 00:42:36.723000,0 days 00:42:58.167000,288.0,282.0,323.0,328.0,True,SOFT,5.0,False,0 days 00:41:46.502000,2024-08-24 13:26:46.514,,False
0 days 00:44:39.905000,LEC,0 days 00:01:41.738000,12.0,4.0,,0 days 00:44:37.041000,0 days 00:00:28.637000,0 days 00:00:33.334000,0 days 00:00:39.767000,0 days 00:43:26.804000,0 days 00:44:00.138000,0 days 00:44:39.905000,226.0,192.0,,267.0,False,SOFT,6.0,False,0 days 00:42:58.167000,2024-08-24 13:27:58.179,,False
0 days 00:47:05.772000,LEC,0 days 00:02:25.867000,13.0,5.0,0 days 00:45:31.651000,,0 days 00:01:26.189000,0 days 00:00:33.107000,0 days 00:00:26.571000,0 days 00:46:06.094000,0 days 00:46:39.201000,0 days 00:47:05.772000,272.0,250.0,322.0,,False,SOFT,1.0,True,0 days 00:44:39.905000,2024-08-24 13:29:39.917,,False
0 days 00:48:16.832000,LEC,0 days 00:01:11.060000,14.0,5.0,,,0 days 00:00:24.402000,0 days 00:00:25.332000,0 days 00:00:21.326000,0 days 00:47:30.174000,0 days 00:47:55.506000,0 days 00:48:16.832000,287.0,282.0,325.0,331.0,True,SOFT,2.0,True,0 days 00:47:05.772000,2024-08-24 13:32:05.784,,False
0 days 00:49:43.690000,LEC,0 days 00:01:26.858000,15.0,5.0,,0 days 00:49:42.159000,0 days 00:00:29.090000,0 days 00:00:29.307000,0 days 00:00:28.461000,0 days 00:48:45.922000,0 days 00:49:15.229000,0 days 00:49:43.690000,264.0,256.0,,295.0,False,SOFT,3.0,True,0 days 00:48:16.832000,2024-08-24 13:33:16.844,,False
0 days 00:54:30.894000,LEC,,16.0,6.0,0 days 00:52:40.974000,,,0 days 00:00:30.189000,0 days 00:00:25.856000,,0 days 00:54:05.183000,0 days 00:54:31.088000,277.0,250.0,327.0,,False,SOFT,1.0,True,0 days 00:49:43.690000,2024-08-24 13:34:43.702,,False
0 days 00:55:41.583000,LEC,0 days 00:01:10.689000,17.0,6.0,,,0 days 00:00:24.188000,0 days 00:00:25.261000,0 days 00:00:21.240000,0 days 00:54:55.082000,0 days 00:55:20.343000,0 days 00:55:41.583000,289.0,282.0,320.0,333.0,True,SOFT,2.0,True,0 days 00:54:30.894000,2024-08-24 13:39:30.906,,False
