Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-26 14:04:38.889,0 days 01:56:33.500000,0 days 00:00:00.146000,11957,261,6,100,False,0,car,10.600555555555555,0.0032239996282794844,-7675,-6467,502,car,0 days 01:56:33.500000
2024-05-26 14:04:39.169,0 days 01:56:33.780000,0 days 00:00:00.426000,11882,264,6,100,False,0,car,31.13388888888889,0.009468904311535591,-7679,-6296,503,car,0 days 01:56:33.780000
2024-05-26 14:04:39.369,0 days 01:56:33.980000,0 days 00:00:00.626000,11928,263,6,24,False,0,car,45.745000000000005,0.01391265412673136,-7677,-6148,503,car,0 days 01:56:33.980000
2024-05-26 14:04:39.769,0 days 01:56:34.380000,0 days 00:00:01.026000,11331,253,6,0,False,0,car,73.85611111111112,0.022462226014522458,-7650,-5776,502,car,0 days 01:56:34.380000
2024-05-26 14:04:39.969,0 days 01:56:34.580000,0 days 00:00:01.226000,11122,247,6,0,True,0,car,87.57833333333333,0.02663563363563787,-7638,-5642,504,car,0 days 01:56:34.580000
2024-05-26 14:04:40.209,0 days 01:56:34.820000,0 days 00:00:01.466000,10246,235,6,0,True,0,car,103.245,0.03140041480630406,-7625,-5572,509,car,0 days 01:56:34.820000
2024-05-26 14:04:40.529,0 days 01:56:35.140000,0 days 00:00:01.786000,10000,211,6,0,True,0,car,122.00055555555556,0.03710463510139946,-7592,-5382,515,car,0 days 01:56:35.140000
2024-05-26 14:04:40.689,0 days 01:56:35.300000,0 days 00:00:01.946000,9596,192,6,0,True,0,car,130.5338888888889,0.03969992016457083,-7574,-5296,518,car,0 days 01:56:35.300000
2024-05-26 14:04:41.009,0 days 01:56:35.620000,0 days 00:00:02.266000,9461,167,5,0,True,0,car,145.37833333333333,0.04421463480571269,-7538,-5146,519,car,0 days 01:56:35.620000
2024-05-26 14:04:41.209,0 days 01:56:35.820000,0 days 00:00:02.466000,9618,150,4,0,True,0,car,153.71166666666667,0.04674909287521598,-7517,-5065,522,car,0 days 01:56:35.820000
2024-05-26 14:04:41.489,0 days 01:56:36.100000,0 days 00:00:02.746000,9361,132,4,0,True,0,car,163.97833333333332,0.04987154521684403,-7488,-4966,524,car,0 days 01:56:36.100000
