Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-22 12:42:02.032,0 days 01:35:05.901000,0 days 00:00:00.148000,11458,257,6,100,False,12,car,10.666666666666668,0.00218858962838774,1031,-330,188,car,0 days 01:35:05.901000
2024-09-22 12:42:02.392,0 days 01:35:06.261000,0 days 00:00:00.508000,10714,267,7,100,False,12,car,37.36666666666667,0.007666903041945802,980,-12,187,car,0 days 01:35:06.261000
2024-09-22 12:42:02.552,0 days 01:35:06.421000,0 days 00:00:00.668000,10831,267,7,100,False,12,car,49.233333333333334,0.010101709003527163,957,132,188,car,0 days 01:35:06.421000
2024-09-22 12:42:02.832,0 days 01:35:06.701000,0 days 00:00:00.948000,11051,274,7,100,False,12,car,70.54444444444444,0.014474328698576833,941,231,187,car,0 days 01:35:06.701000
2024-09-22 12:42:03.032,0 days 01:35:06.901000,0 days 00:00:01.148000,11159,276,7,100,False,12,car,85.87777777777777,0.01762042628938421,917,393,188,car,0 days 01:35:06.901000
2024-09-22 12:42:03.272,0 days 01:35:07.141000,0 days 00:00:01.388000,11247,279,7,100,False,12,car,104.47777777777776,0.021436779453885328,881,636,188,car,0 days 01:35:07.141000
2024-09-22 12:42:03.512,0 days 01:35:07.381000,0 days 00:00:01.628000,11420,282,7,100,False,12,car,123.27777777777776,0.02529416867391872,860,776,187,car,0 days 01:35:07.381000
2024-09-22 12:42:03.872,0 days 01:35:07.741000,0 days 00:00:01.988000,11567,287,7,100,False,12,car,151.97777777777776,0.031182842642799483,823,1043,187,car,0 days 01:35:07.741000
2024-09-22 12:42:04.312,0 days 01:35:08.181000,0 days 00:00:02.428000,11768,292,7,100,False,12,car,187.66666666666663,0.03850549877444679,760,1520,187,car,0 days 01:35:08.181000
2024-09-22 12:42:04.592,0 days 01:35:08.461000,0 days 00:00:02.708000,11880,297,7,100,False,12,car,210.76666666666665,0.043245163188423995,739,1684,187,car,0 days 01:35:08.461000
2024-09-22 12:42:04.952,0 days 01:35:08.821000,0 days 00:00:03.068000,11917,297,7,100,False,12,car,240.46666666666664,0.04933901743496611,708,1934,187,car,0 days 01:35:08.821000
2024-09-22 12:42:05.272,0 days 01:35:09.141000,0 days 00:00:03.388000,11487,297,7,26,True,0,car,266.8666666666666,0.054755776765225764,675,2210,187,car,0 days 01:35:09.141000
2024-09-22 12:42:05.472,0 days 01:35:09.341000,0 days 00:00:03.588000,11457,290,7,3,True,0,car,282.97777777777776,0.05806145901643642,652,2421,187,car,0 days 01:35:09.341000
2024-09-22 12:42:05.712,0 days 01:35:09.581000,0 days 00:00:03.828000,10550,262,7,0,True,0,car,300.4444444444444,0.06164527453292133,635,2572,186,car,0 days 01:35:09.581000
2024-09-22 12:42:05.912,0 days 01:35:09.781000,0 days 00:00:04.028000,10894,241,7,0,True,0,car,313.83333333333326,0.06439241047272053,620,2699,187,car,0 days 01:35:09.781000
2024-09-22 12:42:06.072,0 days 01:35:09.941000,0 days 00:00:04.188000,10445,233,6,0,True,0,car,324.1888888888888,0.06651716623694695,599,2872,187,car,0 days 01:35:09.941000
2024-09-22 12:42:06.232,0 days 01:35:10.101000,0 days 00:00:04.348000,10895,220,6,1,True,0,car,333.9666666666666,0.06852337339630238,586,2968,186,car,0 days 01:35:10.101000
2024-09-22 12:42:06.552,0 days 01:35:10.421000,0 days 00:00:04.668000,11053,181,6,1,True,0,car,350.0555555555555,0.07182449608578723,566,3065,187,car,0 days 01:35:10.421000
2024-09-22 12:42:06.752,0 days 01:35:10.621000,0 days 00:00:04.868000,10173,166,5,2,True,0,car,359.2777777777777,0.07371671420199746,542,3187,187,car,0 days 01:35:10.621000
2024-09-22 12:42:06.992,0 days 01:35:10.861000,0 days 00:00:05.108000,9215,150,4,3,True,0,car,369.2777777777777,0.07576851697861096,518,3277,186,car,0 days 01:35:10.861000
2024-09-22 12:42:07.232,0 days 01:35:11.101000,0 days 00:00:05.348000,8797,144,4,2,True,0,car,378.87777777777774,0.07773824764415993,496,3332,187,car,0 days 01:35:11.101000
2024-09-22 12:42:07.432,0 days 01:35:11.301000,0 days 00:00:05.548000,8441,137,4,3,True,0,car,386.4888888888889,0.07929989753524912,463,3398,186,car,0 days 01:35:11.301000
2024-09-22 12:42:07.833,0 days 01:35:11.702000,0 days 00:00:05.949000,7897,130,4,4,True,0,car,400.96944444444443,0.08227102194482862,373,3513,186,car,0 days 01:35:11.702000
2024-09-22 12:42:08.273,0 days 01:35:12.142000,0 days 00:00:06.389000,7835,123,4,31,False,0,car,416.0027777777778,0.08535556545233759,248,3591,186,car,0 days 01:35:12.142000
2024-09-22 12:42:08.473,0 days 01:35:12.342000,0 days 00:00:06.589000,7804,122,4,43,False,0,car,422.78055555555557,0.08674623177870897,182,3612,187,car,0 days 01:35:12.342000
2024-09-22 12:42:08.792,0 days 01:35:12.661000,0 days 00:00:06.908000,8272,127,4,58,False,0,car,434.0341666666667,0.08905525083117961,72,3637,188,car,0 days 01:35:12.661000
2024-09-22 12:42:09.072,0 days 01:35:12.941000,0 days 00:00:07.188000,8502,130,4,63,False,0,car,444.1452777777778,0.09112985141642214,-26,3657,186,car,0 days 01:35:12.941000
2024-09-22 12:42:09.232,0 days 01:35:13.101000,0 days 00:00:07.348000,8743,136,4,62,False,0,car,450.1897222222222,0.09237005220584187,-83,3670,187,car,0 days 01:35:13.101000
2024-09-22 12:42:09.752,0 days 01:35:13.621000,0 days 00:00:07.868000,9058,144,4,19,False,0,car,470.9897222222222,0.09663780198119795,-262,3746,185,car,0 days 01:35:13.621000
2024-09-22 12:42:10.112,0 days 01:35:13.981000,0 days 00:00:08.228000,8531,137,4,1,True,0,car,484.6897222222222,0.09944877178515846,-389,3843,183,car,0 days 01:35:13.981000
2024-09-22 12:42:10.352,0 days 01:35:14.221000,0 days 00:00:08.468000,9543,134,4,1,True,0,car,493.62305555555554,0.10128171559893319,-490,3929,183,car,0 days 01:35:14.221000
2024-09-22 12:42:10.632,0 days 01:35:14.501000,0 days 00:00:08.748000,8749,121,3,0,True,0,car,503.03416666666664,0.10321268998981278,-528,3962,183,car,0 days 01:35:14.501000
2024-09-22 12:42:10.952,0 days 01:35:14.821000,0 days 00:00:09.068000,7693,109,3,1,True,0,car,512.7230555555556,0.10520065890226499,-608,4024,183,car,0 days 01:35:14.821000
2024-09-22 12:42:11.152,0 days 01:35:15.021000,0 days 00:00:09.268000,7229,105,3,1,True,0,car,518.5563888888889,0.10639754385528954,-656,4053,182,car,0 days 01:35:15.021000
2024-09-22 12:42:11.592,0 days 01:35:15.461000,0 days 00:00:09.708000,6255,91,3,1,True,0,car,529.6786111111112,0.10867960449905635,-795,4087,183,car,0 days 01:35:15.461000
2024-09-22 12:42:12.032,0 days 01:35:15.901000,0 days 00:00:10.148000,5892,81,3,1,False,0,car,539.5786111111112,0.11071088924790372,-873,4077,182,car,0 days 01:35:15.901000
2024-09-22 12:42:12.472,0 days 01:35:16.341000,0 days 00:00:10.588000,5616,78,3,3,False,0,car,549.1119444444445,0.11266694122827525,-957,4033,183,car,0 days 01:35:16.341000
2024-09-22 12:42:12.632,0 days 01:35:16.501000,0 days 00:00:10.748000,5656,77,3,20,False,0,car,552.5341666666667,0.11336911373404966,-981,4012,182,car,0 days 01:35:16.501000
2024-09-22 12:42:12.792,0 days 01:35:16.661000,0 days 00:00:10.908000,5895,77,3,27,False,0,car,555.9563888888889,0.11407128623982406,-1004,3988,183,car,0 days 01:35:16.661000
2024-09-22 12:42:13.032,0 days 01:35:16.901000,0 days 00:00:11.148000,6086,79,3,40,False,0,car,561.2230555555556,0.1151519023688405,-1036,3944,182,car,0 days 01:35:16.901000
2024-09-22 12:42:13.432,0 days 01:35:17.301000,0 days 00:00:11.548000,6714,84,3,49,False,0,car,570.5563888888889,0.11706691829367978,-1077,3863,183,car,0 days 01:35:17.301000
2024-09-22 12:42:13.872,0 days 01:35:17.741000,0 days 00:00:11.988000,7386,93,3,60,False,0,car,581.9230555555556,0.11939913411643047,-1110,3757,183,car,0 days 01:35:17.741000
2024-09-22 12:42:14.232,0 days 01:35:18.101000,0 days 00:00:12.348000,8631,106,3,71,False,0,car,592.5230555555556,0.12157404505964078,-1132,3650,184,car,0 days 01:35:18.101000
2024-09-22 12:42:14.553,0 days 01:35:18.422000,0 days 00:00:12.669000,9392,116,3,74,False,0,car,602.866388888889,0.12369629306491803,-1149,3525,183,car,0 days 01:35:18.422000
2024-09-22 12:42:14.873,0 days 01:35:18.742000,0 days 00:00:12.989000,10238,127,3,82,False,0,car,614.1552777777779,0.1260125504216284,-1153,3453,182,car,0 days 01:35:18.742000
2024-09-22 12:42:15.033,0 days 01:35:18.902000,0 days 00:00:13.149000,10914,136,3,91,False,0,car,620.1997222222222,0.1272527512110481,-1154,3387,181,car,0 days 01:35:18.902000
2024-09-22 12:42:15.233,0 days 01:35:19.102000,0 days 00:00:13.349000,11467,145,3,96,False,0,car,628.2552777777778,0.1289055923366534,-1148,3274,179,car,0 days 01:35:19.102000
2024-09-22 12:42:15.432,0 days 01:35:19.301000,0 days 00:00:13.548000,10347,159,3,99,False,0,car,637.0444444444445,0.13070895599373197,-1137,3173,178,car,0 days 01:35:19.301000
2024-09-22 12:42:15.672,0 days 01:35:19.541000,0 days 00:00:13.788000,10633,163,4,99,False,0,car,647.9111111111112,0.132938581677652,-1120,3081,177,car,0 days 01:35:19.541000
