Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-15 11:30:10.894,0 days 01:22:15.119000,0 days 00:00:00.277000,11406,323,8,100,False,0,car,24.85305555555555,0.004197718347178722,1321,-485,-245,car,0 days 01:22:15.119000
2024-09-15 11:30:11.174,0 days 01:22:15.399000,0 days 00:00:00.557000,11381,323,8,100,False,0,car,49.97527777777778,0.008440899347936999,1545,-392,-243,car,0 days 01:22:15.399000
2024-09-15 11:30:11.374,0 days 01:22:15.599000,0 days 00:00:00.757000,11455,324,8,100,False,0,car,67.97527777777778,0.011481126336538684,1809,-280,-243,car,0 days 01:22:15.599000
2024-09-15 11:30:11.654,0 days 01:22:15.879000,0 days 00:00:01.037000,11223,323,8,63,False,0,car,93.0975,0.015724307337296958,2008,-196,-242,car,0 days 01:22:15.879000
2024-09-15 11:30:11.934,0 days 01:22:16.159000,0 days 00:00:01.317000,10650,309,8,0,True,0,car,117.13083333333333,0.019783573372078096,2172,-127,-243,car,0 days 01:22:16.159000
2024-09-15 11:30:12.334,0 days 01:22:16.559000,0 days 00:00:01.717000,9195,266,8,0,True,0,car,146.6863888888889,0.024775551020029013,2474,-3,-243,car,0 days 01:22:16.559000
2024-09-15 11:30:12.494,0 days 01:22:16.719000,0 days 00:00:01.877000,9742,250,8,0,True,0,car,157.7975,0.02665223434632635,2577,39,-244,car,0 days 01:22:16.719000
2024-09-15 11:30:12.694,0 days 01:22:16.919000,0 days 00:00:02.077000,10472,236,8,0,True,0,car,170.90861111111113,0.028866720671357204,2699,93,-244,car,0 days 01:22:16.919000
2024-09-15 11:30:12.894,0 days 01:22:17.119000,0 days 00:00:02.277000,10711,227,8,0,True,0,car,183.51972222222224,0.03099675624670468,2808,142,-245,car,0 days 01:22:17.119000
2024-09-15 11:30:13.134,0 days 01:22:17.359000,0 days 00:00:02.517000,10504,203,5,0,True,0,car,197.05305555555557,0.03328255653813483,2977,213,-244,car,0 days 01:22:17.359000
2024-09-15 11:30:13.334,0 days 01:22:17.559000,0 days 00:00:02.717000,10891,188,4,0,True,0,car,207.49750000000003,0.03504663886485433,3074,251,-245,car,0 days 01:22:17.559000
2024-09-15 11:30:13.534,0 days 01:22:17.759000,0 days 00:00:02.917000,10212,174,4,0,True,0,car,217.1641666666667,0.03667935335873301,3127,269,-245,car,0 days 01:22:17.759000
2024-09-15 11:30:13.974,0 days 01:22:18.199000,0 days 00:00:03.357000,10103,143,3,0,True,0,car,234.64194444444448,0.03963137623099872,3333,342,-246,car,0 days 01:22:18.199000
2024-09-15 11:30:14.134,0 days 01:22:18.359000,0 days 00:00:03.517000,9319,138,3,0,True,0,car,240.7752777777778,0.04066730542711485,3369,357,-246,car,0 days 01:22:18.359000
2024-09-15 11:30:14.454,0 days 01:22:18.679000,0 days 00:00:03.837000,8257,120,3,0,True,0,car,251.4419444444445,0.0424689214203603,3465,402,-247,car,0 days 01:22:18.679000
2024-09-15 11:30:14.734,0 days 01:22:18.959000,0 days 00:00:04.117000,7620,113,3,0,True,0,car,260.23083333333335,0.043953377931461486,3537,449,-246,car,0 days 01:22:18.959000
2024-09-15 11:30:14.894,0 days 01:22:19.119000,0 days 00:00:04.277000,7480,107,3,0,True,0,car,264.9863888888889,0.044756598395116746,3574,479,-245,car,0 days 01:22:19.119000
2024-09-15 11:30:15.174,0 days 01:22:19.399000,0 days 00:00:04.557000,6818,100,3,0,True,0,car,272.76416666666665,0.04607027672352488,3606,514,-245,car,0 days 01:22:19.399000
2024-09-15 11:30:15.334,0 days 01:22:19.559000,0 days 00:00:04.717000,6631,99,3,0,True,0,car,277.16416666666663,0.04681344332073862,3648,568,-244,car,0 days 01:22:19.559000
2024-09-15 11:30:15.695,0 days 01:22:19.920000,0 days 00:00:05.078000,6796,93,3,11,False,0,car,286.49,0.04838859055358314,3698,645,-245,car,0 days 01:22:19.920000
