Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-19 13:32:38.361,0 days 01:24:58.375000,0 days 00:00:00.203000,11259,284,7,100,False,0,car,16.409444444444446,0.0033575434835528177,-1795.1877099200783,-1622.3063445695234,787.0097401166603,car,0 days 01:24:58.375000
2024-05-19 13:32:38.561,0 days 01:24:58.575000,0 days 00:00:00.403000,11305,285,7,100,False,0,car,32.24277777777778,0.0065972086249434575,-1943.8610077230735,-1630.0293218375336,787.9137108877937,car,0 days 01:24:58.575000
2024-05-19 13:32:38.721,0 days 01:24:58.735000,0 days 00:00:00.563000,11376,286,7,100,False,0,car,44.95388888888888,0.009198034534944081,-2066.079759147088,-1636.6856859651448,788.3987342985804,car,0 days 01:24:58.735000
2024-05-19 13:32:39.001,0 days 01:24:59.015000,0 days 00:00:00.843000,11497,289,7,100,False,0,car,67.43166666666666,0.013797222311107773,-2268.489849800972,-1648.1658528557346,788.9466974883836,car,0 days 01:24:59.015000
2024-05-19 13:32:39.201,0 days 01:24:59.215000,0 days 00:00:01.043000,11460,290,7,100,False,0,car,83.54277777777776,0.017093723683049122,-2374.5906995826595,-1654.3158886524302,789.4388395882054,car,0 days 01:24:59.215000
2024-05-19 13:32:39.481,0 days 01:24:59.495000,0 days 00:00:01.323000,11613,293,7,100,False,0,car,106.33166666666665,0.021756568037429615,-2569.00839483054,-1664.5689718728468,790.7609673504433,car,0 days 01:24:59.495000
2024-05-19 13:32:39.681,0 days 01:24:59.695000,0 days 00:00:01.523000,11639,293,7,100,False,0,car,122.60944444444442,0.02508717114770139,-2734.5381260000954,-1671.014142314251,790.9993633593986,car,0 days 01:24:59.695000
2024-05-19 13:32:40.041,0 days 01:25:00.055000,0 days 00:00:01.883000,11698,296,7,100,False,0,car,152.20944444444442,0.031143639875185362,-3028.6375559922344,-1680.0663250713774,792.2475625790552,car,0 days 01:25:00.055000
2024-05-19 13:32:40.201,0 days 01:25:00.215000,0 days 00:00:02.043000,10578,297,7,100,False,0,car,165.40944444444443,0.03384449755095525,-3160.8573188797077,-1685.0932204468531,793.0805031509216,car,0 days 01:25:00.215000
2024-05-19 13:32:40.361,0 days 01:25:00.375000,0 days 00:00:02.203000,10721,299,8,100,False,0,car,178.6983333333333,0.03656354282050135,-3293.439157669653,-1689.6944208919288,792.9050305336547,car,0 days 01:25:00.375000
2024-05-19 13:32:40.561,0 days 01:25:00.575000,0 days 00:00:02.403000,10728,299,8,100,False,0,car,195.3094444444444,0.039962349407433984,-3458.1725136254877,-1694.9699868224056,793.9760443514083,car,0 days 01:25:00.575000
2024-05-19 13:32:40.761,0 days 01:25:00.775000,0 days 00:00:02.603000,10747,301,8,100,False,0,car,212.03166666666664,0.043383890486586904,-3688.267076451382,-1690.6978658135013,794.7360055784286,car,0 days 01:25:00.775000
2024-05-19 13:32:41.081,0 days 01:25:01.095000,0 days 00:00:02.923000,10770,302,8,100,False,0,car,238.87611111111107,0.04887654380700781,-3914.9332088029278,-1673.7458522351849,795.6120133832783,car,0 days 01:25:01.095000
2024-05-19 13:32:41.361,0 days 01:25:01.375000,0 days 00:00:03.203000,10866,304,8,100,False,0,car,262.5205555555555,0.05371444375148449,-4122.02682991528,-1639.810038108908,796.8598336792112,car,0 days 01:25:01.375000
2024-05-19 13:32:41.681,0 days 01:25:01.695000,0 days 00:00:03.523000,10875,305,8,100,False,0,car,289.63166666666666,0.05926165985323408,-4389.920004778012,-1583.699168327878,798.9769850140455,car,0 days 01:25:01.695000
2024-05-19 13:32:41.961,0 days 01:25:01.975000,0 days 00:00:03.803000,10899,305,8,100,False,0,car,313.3538888888889,0.06411547394226497,-4655.342964156389,-1520.438834665813,800.4086026527964,car,0 days 01:25:01.975000
2024-05-19 13:32:42.281,0 days 01:25:02.295000,0 days 00:00:04.123000,10982,307,8,100,False,0,car,340.6427777777778,0.06969906523156702,-4930.374143585704,-1452.7591367306698,802.233756532019,car,0 days 01:25:02.295000
2024-05-19 13:32:42.722,0 days 01:25:02.736000,0 days 00:00:04.564000,10988,307,8,100,False,0,car,378.25027777777774,0.07739395197713639,-5290.618029200177,-1365.6580258441088,805.1831888347069,car,0 days 01:25:02.736000
2024-05-19 13:32:42.922,0 days 01:25:02.936000,0 days 00:00:04.764000,10966,308,8,100,False,0,car,395.3613888888889,0.0808950637790603,-5503.212175848474,-1318.2185990585037,807.3251240137927,car,0 days 01:25:02.936000
2024-05-19 13:32:43.082,0 days 01:25:03.096000,0 days 00:00:04.924000,10966,308,8,100,False,0,car,409.0502777777778,0.08369595322059944,-5588.150153231589,-1301.0264187126375,808.2715776656086,car,0 days 01:25:03.096000
2024-05-19 13:32:43.242,0 days 01:25:03.256000,0 days 00:00:05.084000,10961,309,8,100,False,0,car,422.7836111111111,0.08650593645902668,-5679.843463032639,-1285.9806492332411,809.1029803242977,car,0 days 01:25:03.256000
2024-05-19 13:32:43.402,0 days 01:25:03.416000,0 days 00:00:05.244000,10977,309,8,100,False,0,car,436.51694444444445,0.08931591969745394,-5814.264029571563,-1266.226880255588,809.9920911511338,car,0 days 01:25:03.416000
