Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-01 13:24:20.265,0 days 01:16:36.346000,0 days 00:00:00.322000,11144,314,8,100,False,0,car,28.21666666666666,0.004891627905162514,-1350,-412,1872,car,0 days 01:16:36.346000
2024-09-01 13:24:20.505,0 days 01:16:36.586000,0 days 00:00:00.562000,11233,315,8,100,False,0,car,49.21666666666667,0.008532177911367341,-1323,-106,1874,car,0 days 01:16:36.586000
2024-09-01 13:24:20.745,0 days 01:16:36.826000,0 days 00:00:00.802000,11245,317,8,100,False,0,car,70.35,0.012195842520786164,-1299,155,1875,car,0 days 01:16:36.826000
2024-09-01 13:24:20.945,0 days 01:16:37.026000,0 days 00:00:01.002000,11284,318,8,100,False,0,car,88.01666666666665,0.015258527446641015,-1287,299,1876,car,0 days 01:16:37.026000
2024-09-01 13:24:21.105,0 days 01:16:37.186000,0 days 00:00:01.162000,11284,319,8,100,False,0,car,102.19444444444443,0.017716380255062898,-1276,429,1877,car,0 days 01:16:37.186000
2024-09-01 13:24:21.465,0 days 01:16:37.546000,0 days 00:00:01.522000,11401,321,8,100,False,0,car,134.29444444444442,0.02328122097883313,-1249,744,1878,car,0 days 01:16:37.546000
2024-09-01 13:24:21.625,0 days 01:16:37.706000,0 days 00:00:01.682000,11418,322,8,100,False,0,car,148.60555555555553,0.02576218839046901,-1242,835,1878,car,0 days 01:16:37.706000
2024-09-01 13:24:22.105,0 days 01:16:38.186000,0 days 00:00:02.162000,11521,324,8,100,False,0,car,191.80555555555551,0.03325131983180465,-1203,1274,1881,car,0 days 01:16:38.186000
2024-09-01 13:24:22.304,0 days 01:16:38.385000,0 days 00:00:02.361000,11552,325,8,100,False,0,car,209.77083333333331,0.03636577183777419,-1192,1411,1881,car,0 days 01:16:38.385000
2024-09-01 13:24:22.624,0 days 01:16:38.705000,0 days 00:00:02.681000,11512,327,8,100,False,0,car,238.83749999999998,0.04140475533842595,-1166,1699,1883,car,0 days 01:16:38.705000
2024-09-01 13:24:22.784,0 days 01:16:38.865000,0 days 00:00:02.841000,11644,327,8,100,False,0,car,253.37083333333334,0.04392424708875183,-1149,1902,1884,car,0 days 01:16:38.865000
