Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-22 12:45:57.393,0 days 01:39:01.262000,0 days 00:00:00.080000,11398,255,6,100,False,12,car,5.833333333333334,0.0011962262138961845,1038.9232780033947,-374.8905248152512,187.9999999997103,car,0 days 01:39:01.262000
2024-09-22 12:45:57.592,0 days 01:39:01.461000,0 days 00:00:00.279000,11544,258,6,100,False,12,car,20.095000000000002,0.004120828417413228,1019.8018783912433,-259.30143154152285,188.00000000042098,car,0 days 01:39:01.461000
2024-09-22 12:45:57.912,0 days 01:39:01.781000,0 days 00:00:00.599000,10562,263,6,100,False,12,car,43.47277777777778,0.008914847377484793,960.3321248644174,111.73929575839936,188.00000000895926,car,0 days 01:39:01.781000
2024-09-22 12:45:58.073,0 days 01:39:01.942000,0 days 00:00:00.760000,10607,264,7,100,False,12,car,55.27944444444445,0.01133600923441067,943.6977054430994,218.43328240098742,188.00000005484185,car,0 days 01:39:01.942000
2024-09-22 12:45:58.433,0 days 01:39:02.302000,0 days 00:00:01.120000,10857,271,7,100,False,12,car,82.37944444444446,0.01689333444525409,909.9458299365226,442.3585247006089,187.99999972856875,car,0 days 01:39:02.302000
2024-09-22 12:45:58.633,0 days 01:39:02.502000,0 days 00:00:01.320000,10909,274,7,100,False,12,car,97.60166666666667,0.020014915231992704,886.3871699342658,600.8844779625438,187.99999986207848,car,0 days 01:39:02.502000
2024-09-22 12:45:58.953,0 days 01:39:02.822000,0 days 00:00:01.640000,11044,276,7,100,False,12,car,122.13499999999999,0.025045900908721795,852.3191465449572,837.8996843491219,188.00000275928093,car,0 days 01:39:02.822000
2024-09-22 12:45:59.153,0 days 01:39:03.022000,0 days 00:00:01.840000,11116,280,7,100,False,12,car,137.69055555555556,0.028235837479111625,833.8563556008764,969.8326876697922,188.00000031682,car,0 days 01:39:03.022000
2024-09-22 12:45:59.393,0 days 01:39:03.262000,0 days 00:00:02.080000,11177,284,7,100,False,12,car,156.6238888888889,0.032118445990500386,814.79684949144,1108.427352608494,187.99998942849527,car,0 days 01:39:03.262000
2024-09-22 12:45:59.593,0 days 01:39:03.462000,0 days 00:00:02.280000,11328,286,7,100,False,12,car,172.51277777777776,0.035376738344541414,795.6204480274122,1249.2172045495336,188.00001465864108,car,0 days 01:39:03.462000
2024-09-22 12:45:59.953,0 days 01:39:03.822000,0 days 00:00:02.640000,11457,289,7,100,False,12,car,201.4127777777778,0.04130318478710137,757.0332973372406,1549.739767850718,188.00031461446855,car,0 days 01:39:03.822000
2024-09-22 12:46:00.153,0 days 01:39:04.022000,0 days 00:00:02.840000,11428,290,7,100,False,12,car,217.52388888888888,0.044607047663576545,724.6453511148496,1802.2908685744742,188.0008009978648,car,0 days 01:39:04.022000
2024-09-22 12:46:00.433,0 days 01:39:04.302000,0 days 00:00:03.120000,11528,291,7,100,False,12,car,240.15722222222223,0.049248405373493745,705.9572133893514,1955.529849853591,187.98696070085995,car,0 days 01:39:04.302000
2024-09-22 12:46:00.753,0 days 01:39:04.622000,0 days 00:00:03.440000,11173,287,7,0,False,0,car,265.66833333333335,0.05447990134893306,664.7542493621303,2306.7082236117694,187.98970811194033,car,0 days 01:39:04.622000
2024-09-22 12:46:01.073,0 days 01:39:04.942000,0 days 00:00:03.760000,10548,272,7,0,True,0,car,289.8461111111111,0.059437974189767526,645.9130198970423,2478.825414209846,187.14457628502538,car,0 days 01:39:04.942000
2024-09-22 12:46:01.393,0 days 01:39:05.262000,0 days 00:00:04.080000,9782,229,7,0,True,0,car,310.20166666666665,0.06361223404473478,623.2048284101536,2684.8005008578975,187.00145380668116,car,0 days 01:39:05.262000
2024-09-22 12:46:01.553,0 days 01:39:05.422000,0 days 00:00:04.240000,10015,229,7,0,True,0,car,320.37944444444446,0.06569936397221841,610.8388260444,2786.2540233933087,187.00032162935412,car,0 days 01:39:05.422000
2024-09-22 12:46:01.953,0 days 01:39:05.822000,0 days 00:00:04.640000,10372,193,5,0,True,0,car,341.82388888888886,0.07009691938711295,576.1531243995285,3022.850811949594,186.9996266263294,car,0 days 01:39:05.822000
2024-09-22 12:46:02.193,0 days 01:39:06.062000,0 days 00:00:04.880000,10152,165,4,0,True,0,car,352.82388888888886,0.0723526602476029,555.8985075096788,3129.859191656927,187.00038824500527,car,0 days 01:39:06.062000
2024-09-22 12:46:02.593,0 days 01:39:06.462000,0 days 00:00:05.280000,10130,153,3,0,True,0,car,369.82388888888886,0.07583880521381463,511.26042484945,3295.144252027906,186.94114276937674,car,0 days 01:39:06.462000
2024-09-22 12:46:02.753,0 days 01:39:06.622000,0 days 00:00:05.440000,9915,141,3,0,True,0,car,376.0905555555555,0.07712389394645738,491.5025932480572,3345.4914652067564,186.30777530304695,car,0 days 01:39:06.622000
2024-09-22 12:46:02.993,0 days 01:39:06.862000,0 days 00:00:05.680000,9397,133,3,0,True,0,car,384.95722222222213,0.07894215779157958,451.2912289479306,3420.319935949228,185.99426144733795,car,0 days 01:39:06.862000
2024-09-22 12:46:03.193,0 days 01:39:07.062000,0 days 00:00:05.880000,9061,129,3,0,True,0,car,392.1238888888888,0.08041180714008062,411.4317974637709,3476.1280931915862,185.94869041553662,car,0 days 01:39:07.062000
2024-09-22 12:46:03.393,0 days 01:39:07.262000,0 days 00:00:06.080000,8898,127,3,0,False,0,car,399.17944444444436,0.08185867122736457,337.28777966156304,3541.7367818277376,186.80029870267364,car,0 days 01:39:07.262000
2024-09-22 12:46:03.593,0 days 01:39:07.462000,0 days 00:00:06.280000,8778,123,3,2,False,0,car,406.01277777777767,0.08325996479221437,269.27687875147296,3585.1962123983726,187.19168335557418,car,0 days 01:39:07.462000
2024-09-22 12:46:03.793,0 days 01:39:07.662000,0 days 00:00:06.480000,8549,119,3,18,False,0,car,412.6238888888888,0.08461568783463005,215.21158662538676,3602.78741376702,186.97300239353615,car,0 days 01:39:07.662000
2024-09-22 12:46:04.033,0 days 01:39:07.902000,0 days 00:00:06.720000,8834,117,3,56,False,0,car,420.42388888888877,0.08621521317206837,134.95529592135847,3623.3839821566808,187.44878818728841,car,0 days 01:39:07.902000
2024-09-22 12:46:04.312,0 days 01:39:08.181000,0 days 00:00:06.999000,9285,122,3,69,False,0,car,429.87888888888875,0.08815412497533495,40.86957588543929,3644.5682709243656,188.04737821411123,car,0 days 01:39:08.181000
2024-09-22 12:46:04.553,0 days 01:39:08.422000,0 days 00:00:07.240000,9449,127,3,76,False,0,car,438.3808333333332,0.08989759620051213,-22.94477807071947,3657.439333174289,187.69549160343817,car,0 days 01:39:08.422000
2024-09-22 12:46:04.753,0 days 01:39:08.622000,0 days 00:00:07.440000,9976,133,3,82,False,0,car,445.76972222222213,0.0914128160714473,-76.68604369414537,3668.9414422762843,186.83355274401515,car,0 days 01:39:08.622000
2024-09-22 12:46:05.033,0 days 01:39:08.902000,0 days 00:00:07.720000,10352,144,3,79,False,0,car,456.9697222222221,0.09370957040212798,-213.1267989791332,3720.5248108086134,186.03131840481888,car,0 days 01:39:08.902000
