Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-03-23 05:36:53.260,0 days 00:51:51.872000,0 days 00:00:00.090000,11392,291,7,100,False,12,car,7.399999999999997,0.0014107433934553257,-1262,-1268,83,car,0 days 00:51:51.872000
2024-03-23 05:36:53.660,0 days 00:51:52.272000,0 days 00:00:00.490000,10513,295,8,100,False,12,car,40.17777777777778,0.007659531697799489,-1498,-1044,81,car,0 days 00:51:52.272000
2024-03-23 05:36:53.820,0 days 00:51:52.432000,0 days 00:00:00.650000,10583,296,8,100,False,12,car,53.333333333333336,0.01016751995283118,-1594,-953,82,car,0 days 00:51:52.432000
2024-03-23 05:36:54.140,0 days 00:51:52.752000,0 days 00:00:00.970000,10686,299,8,100,False,12,car,79.91111111111111,0.015234334062658719,-1805,-751,80,car,0 days 00:51:52.752000
2024-03-23 05:36:54.460,0 days 00:51:53.072000,0 days 00:00:01.290000,10797,302,8,100,False,12,car,106.75555555555556,0.020351985772250412,-2050,-520,78,car,0 days 00:51:53.072000
2024-03-23 05:36:54.780,0 days 00:51:53.392000,0 days 00:00:01.610000,10890,304,8,100,False,12,car,133.77777777777777,0.02550352921501821,-2165,-409,77,car,0 days 00:51:53.392000
2024-03-23 05:36:54.980,0 days 00:51:53.592000,0 days 00:00:01.810000,10953,305,8,100,False,12,car,150.7222222222222,0.02873383503336561,-2296,-285,77,car,0 days 00:51:53.592000
2024-03-23 05:36:55.140,0 days 00:51:53.752000,0 days 00:00:01.970000,10987,307,8,100,False,12,car,164.36666666666665,0.03133502555463159,-2394,-191,76,car,0 days 00:51:53.752000
2024-03-23 05:36:55.340,0 days 00:51:53.952000,0 days 00:00:02.170000,10704,301,8,0,True,8,car,181.08888888888887,0.03452296670650887,-2520,-72,75,car,0 days 00:51:53.952000
2024-03-23 05:36:55.580,0 days 00:51:54.192000,0 days 00:00:02.410000,9990,286,8,0,True,8,car,200.15555555555557,0.03815785508964602,-2672,70,75,car,0 days 00:51:54.192000
2024-03-23 05:36:55.860,0 days 00:51:54.472000,0 days 00:00:02.690000,9235,261,8,0,True,8,car,220.45555555555555,0.04202786737169238,-2826,216,76,car,0 days 00:51:54.472000
2024-03-23 05:36:56.140,0 days 00:51:54.752000,0 days 00:00:02.970000,9549,235,8,0,True,8,car,238.73333333333335,0.045512361188860574,-2979,362,75,car,0 days 00:51:54.752000
2024-03-23 05:36:56.380,0 days 00:51:54.992000,0 days 00:00:03.210000,9409,219,7,0,True,8,car,253.33333333333334,0.048295719775948105,-3076,453,76,car,0 days 00:51:54.992000
2024-03-23 05:36:56.540,0 days 00:51:55.152000,0 days 00:00:03.370000,9143,204,6,0,True,8,car,262.40000000000003,0.05002419816792941,-3136,509,76,car,0 days 00:51:55.152000
2024-03-23 05:36:56.900,0 days 00:51:55.512000,0 days 00:00:03.730000,9651,185,6,0,True,8,car,280.90000000000003,0.05355105665156773,-3303,666,78,car,0 days 00:51:55.512000
2024-03-23 05:36:57.140,0 days 00:51:55.752000,0 days 00:00:03.970000,9366,166,5,0,True,8,car,291.9666666666667,0.0556608170417802,-3366,733,79,car,0 days 00:51:55.752000
2024-03-23 05:36:57.620,0 days 00:51:56.232000,0 days 00:00:04.450000,8847,148,4,1,True,8,car,311.70000000000005,0.05942279942432774,-3518,902,81,car,0 days 00:51:56.232000
2024-03-23 05:36:58.020,0 days 00:51:56.632000,0 days 00:00:04.850000,8118,138,4,1,False,8,car,327.03333333333336,0.0623459614107667,-3584,1003,81,car,0 days 00:51:56.632000
2024-03-23 05:36:58.340,0 days 00:51:56.952000,0 days 00:00:05.170000,8056,133,4,7,False,8,car,338.8555555555556,0.06459976166697762,-3637,1102,79,car,0 days 00:51:56.952000
2024-03-23 05:36:58.620,0 days 00:51:57.232000,0 days 00:00:05.450000,8098,132,4,14,False,8,car,349.12222222222226,0.06655700925789762,-3666,1245,80,car,0 days 00:51:57.232000
2024-03-23 05:36:58.860,0 days 00:51:57.472000,0 days 00:00:05.690000,8088,131,4,24,False,8,car,357.8555555555556,0.06822194065017373,-3671,1315,81,car,0 days 00:51:57.472000
2024-03-23 05:36:59.060,0 days 00:51:57.672000,0 days 00:00:05.890000,8097,132,4,37,False,8,car,365.1888888888889,0.069619974643688,-3665,1359,82,car,0 days 00:51:57.672000
2024-03-23 05:36:59.340,0 days 00:51:57.952000,0 days 00:00:06.170000,8388,134,4,51,False,8,car,375.61111111111114,0.0716068775011371,-3647,1481,83,car,0 days 00:51:57.952000
2024-03-23 05:36:59.660,0 days 00:51:58.272000,0 days 00:00:06.490000,8843,140,4,65,False,8,car,388.0555555555556,0.07397929882346438,-3612,1628,82,car,0 days 00:51:58.272000
2024-03-23 05:36:59.901,0 days 00:51:58.513000,0 days 00:00:06.731000,9120,145,4,73,False,8,car,397.76250000000005,0.07582984041071274,-3589,1718,81,car,0 days 00:51:58.513000
2024-03-23 05:37:00.340,0 days 00:51:58.952000,0 days 00:00:07.170000,9827,159,4,62,False,8,car,417.1516666666667,0.07952621051606466,-3559,1862,81,car,0 days 00:51:58.952000
2024-03-23 05:37:00.500,0 days 00:51:59.112000,0 days 00:00:07.330000,9917,160,4,60,False,8,car,424.26277777777784,0.08088187984310882,-3552,1932,82,car,0 days 00:51:59.112000
2024-03-23 05:37:00.660,0 days 00:51:59.272000,0 days 00:00:07.490000,10009,164,4,60,False,8,car,431.55166666666673,0.08227144090332908,-3550,2001,82,car,0 days 00:51:59.272000
2024-03-23 05:37:00.860,0 days 00:51:59.472000,0 days 00:00:07.690000,10388,168,4,61,False,8,car,440.88500000000005,0.08405075689507453,-3558,2122,83,car,0 days 00:51:59.472000
2024-03-23 05:37:01.020,0 days 00:51:59.632000,0 days 00:00:07.850000,10533,168,4,63,False,8,car,448.3516666666667,0.0854742096884709,-3568,2213,83,car,0 days 00:51:59.632000
2024-03-23 05:37:01.220,0 days 00:51:59.832000,0 days 00:00:08.050000,10805,173,4,70,False,8,car,457.96277777777783,0.08730648151330403,-3580,2288,83,car,0 days 00:51:59.832000
2024-03-23 05:37:01.460,0 days 00:52:00.072000,0 days 00:00:08.290000,11041,179,4,76,False,8,car,469.8961111111111,0.08958146410274999,-3604,2380,84,car,0 days 00:52:00.072000
2024-03-23 05:37:01.700,0 days 00:52:00.312000,0 days 00:00:08.530000,10901,184,4,73,False,8,car,482.16277777777776,0.09191999369190115,-3647,2504,84,car,0 days 00:52:00.312000
2024-03-23 05:37:01.900,0 days 00:52:00.512000,0 days 00:00:08.730000,10126,188,4,71,False,8,car,492.6072222222223,0.09391113301599728,-3692,2595,85,car,0 days 00:52:00.512000
2024-03-23 05:37:02.100,0 days 00:52:00.712000,0 days 00:00:08.930000,10121,191,5,73,False,8,car,503.21833333333336,0.09593404583994598,-3741,2678,85,car,0 days 00:52:00.712000
2024-03-23 05:37:02.300,0 days 00:52:00.912000,0 days 00:00:09.130000,10210,195,5,74,False,8,car,514.0516666666667,0.09799932333036482,-3843,2815,87,car,0 days 00:52:00.912000
2024-03-23 05:37:02.620,0 days 00:52:01.232000,0 days 00:00:09.450000,10603,200,5,83,False,8,car,531.8294444444444,0.1013884966479752,-3939,2932,87,car,0 days 00:52:01.232000
2024-03-23 05:37:02.860,0 days 00:52:01.472000,0 days 00:00:09.690000,10851,206,5,87,False,8,car,545.5627777777778,0.10400663303582923,-4013,3006,88,car,0 days 00:52:01.472000
2024-03-23 05:37:03.100,0 days 00:52:01.712000,0 days 00:00:09.930000,10872,211,5,100,False,8,car,559.6294444444445,0.10668831642338847,-4152,3133,88,car,0 days 00:52:01.712000
2024-03-23 05:37:03.300,0 days 00:52:01.912000,0 days 00:00:10.130000,9887,217,5,100,False,8,car,571.6850000000002,0.10898659957939304,-4278,3240,87,car,0 days 00:52:01.912000
2024-03-23 05:37:03.580,0 days 00:52:02.192000,0 days 00:00:10.410000,10250,225,5,100,False,8,car,589.1850000000002,0.11232281706391577,-4422,3366,88,car,0 days 00:52:02.192000
2024-03-23 05:37:03.740,0 days 00:52:02.352000,0 days 00:00:10.570000,10367,230,6,96,False,8,car,599.4072222222225,0.11427159172154175,-4484,3421,87,car,0 days 00:52:02.352000
2024-03-23 05:37:03.980,0 days 00:52:02.592000,0 days 00:00:10.810000,10648,235,6,100,False,8,car,615.0738888888891,0.1172583007076859,-4554,3484,87,car,0 days 00:52:02.592000
2024-03-23 05:37:04.260,0 days 00:52:02.872000,0 days 00:00:11.090000,10865,241,6,100,False,8,car,633.8183333333335,0.12083176032444136,-4677,3600,89,car,0 days 00:52:02.872000
2024-03-23 05:37:04.700,0 days 00:52:03.312000,0 days 00:00:11.530000,10847,249,6,100,False,8,car,664.2516666666668,0.12663360139752564,-4892,3807,88,car,0 days 00:52:03.312000
2024-03-23 05:37:04.940,0 days 00:52:03.552000,0 days 00:00:11.770000,10016,254,7,100,False,8,car,681.1850000000002,0.12986178898254955,-5078,3993,90,car,0 days 00:52:03.552000
2024-03-23 05:37:05.260,0 days 00:52:03.872000,0 days 00:00:12.090000,10184,258,7,100,False,8,car,704.1183333333336,0.13423382256226696,-5216,4135,90,car,0 days 00:52:03.872000
2024-03-23 05:37:05.460,0 days 00:52:04.072000,0 days 00:00:12.290000,10235,260,7,100,False,8,car,718.5627777777779,0.1369875258828254,-5304,4229,89,car,0 days 00:52:04.072000
2024-03-23 05:37:05.700,0 days 00:52:04.312000,0 days 00:00:12.530000,10417,263,7,100,False,8,car,736.0961111111112,0.14033009806731864,-5422,4357,89,car,0 days 00:52:04.312000
2024-03-23 05:37:06.020,0 days 00:52:04.632000,0 days 00:00:12.850000,10525,266,7,100,False,8,car,759.7405555555557,0.14483769857974046,-5553,4505,88,car,0 days 00:52:04.632000
2024-03-23 05:37:06.220,0 days 00:52:04.832000,0 days 00:00:13.050000,10543,267,7,88,False,8,car,774.5738888888891,0.14766554006662166,-5645,4608,87,car,0 days 00:52:04.832000
2024-03-23 05:37:06.581,0 days 00:52:05.193000,0 days 00:00:13.411000,10600,269,7,71,False,8,car,801.5486111111112,0.15280802806193144,-5820,4815,86,car,0 days 00:52:05.193000
2024-03-23 05:37:06.980,0 days 00:52:05.592000,0 days 00:00:13.810000,10508,269,7,62,False,8,car,831.362777777778,0.15849183058306335,-6007,5047,85,car,0 days 00:52:05.592000
2024-03-23 05:37:07.220,0 days 00:52:05.832000,0 days 00:00:14.050000,10445,268,7,52,False,8,car,849.2294444444447,0.1618979497672618,-6117,5189,84,car,0 days 00:52:05.832000
2024-03-23 05:37:07.500,0 days 00:52:06.112000,0 days 00:00:14.330000,10333,264,7,52,False,8,car,869.762777777778,0.1658124449491018,-6236,5347,85,car,0 days 00:52:06.112000
2024-03-23 05:37:07.660,0 days 00:52:06.272000,0 days 00:00:14.490000,10287,262,7,51,False,8,car,881.4072222222225,0.16803235347213663,-6331,5476,84,car,0 days 00:52:06.272000
2024-03-23 05:37:07.980,0 days 00:52:06.592000,0 days 00:00:14.810000,10034,260,7,46,False,8,car,904.5183333333335,0.17243827878503012,-6470,5671,83,car,0 days 00:52:06.592000
2024-03-23 05:37:08.140,0 days 00:52:06.752000,0 days 00:00:14.970000,9710,257,7,0,True,8,car,915.9405555555558,0.1746158226415948,-6511,5730,83,car,0 days 00:52:06.752000
2024-03-23 05:37:08.340,0 days 00:52:06.952000,0 days 00:00:15.170000,9420,240,7,0,True,8,car,929.273888888889,0.17715770262980257,-6588,5841,83,car,0 days 00:52:06.952000
2024-03-23 05:37:08.820,0 days 00:52:07.432000,0 days 00:00:15.650000,8962,213,7,0,True,8,car,957.673888888889,0.18257190700468517,-6789,6143,82,car,0 days 00:52:07.432000
2024-03-23 05:37:08.980,0 days 00:52:07.592000,0 days 00:00:15.810000,9102,201,6,0,True,8,car,966.6072222222224,0.1842749665967844,-6832,6208,83,car,0 days 00:52:07.592000
2024-03-23 05:37:09.220,0 days 00:52:07.832000,0 days 00:00:16.050000,9942,188,5,0,True,8,car,979.1405555555557,0.18666433378569974,-6872,6268,83,car,0 days 00:52:07.832000
2024-03-23 05:37:09.580,0 days 00:52:08.192000,0 days 00:00:16.410000,9789,163,5,0,True,8,car,995.4405555555556,0.18977178207128376,-6968,6414,85,car,0 days 00:52:08.192000
2024-03-23 05:37:09.780,0 days 00:52:08.392000,0 days 00:00:16.610000,8985,153,4,0,True,8,car,1003.9405555555556,0.19139223056376622,-7031,6514,86,car,0 days 00:52:08.392000
2024-03-23 05:37:10.060,0 days 00:52:08.672000,0 days 00:00:16.890000,9588,139,4,0,True,8,car,1014.7516666666668,0.19345327158753806,-7083,6599,87,car,0 days 00:52:08.672000
2024-03-23 05:37:10.220,0 days 00:52:08.832000,0 days 00:00:17.050000,9231,134,3,0,True,8,car,1020.7072222222223,0.19458864464893752,-7103,6633,87,car,0 days 00:52:08.832000
2024-03-23 05:37:10.500,0 days 00:52:09.112000,0 days 00:00:17.330000,8366,121,3,0,True,8,car,1030.1183333333333,0.1963827882739475,-7148,6716,88,car,0 days 00:52:09.112000
2024-03-23 05:37:10.740,0 days 00:52:09.352000,0 days 00:00:17.570000,7711,109,3,0,True,8,car,1037.385,0.19776811286752077,-7179,6799,87,car,0 days 00:52:09.352000
2024-03-23 05:37:11.100,0 days 00:52:09.712000,0 days 00:00:17.930000,6991,100,3,0,True,8,car,1047.385,0.1996745228586766,-7203,6891,87,car,0 days 00:52:09.712000
2024-03-23 05:37:11.300,0 days 00:52:09.912000,0 days 00:00:18.130000,6654,95,3,0,False,8,car,1052.6627777777778,0.2006806836873422,-7207,6951,86,car,0 days 00:52:09.912000
2024-03-23 05:37:11.700,0 days 00:52:10.312000,0 days 00:00:18.530000,6403,90,3,0,False,8,car,1062.6627777777778,0.20258709367849806,-7198,7081,85,car,0 days 00:52:10.312000
2024-03-23 05:37:12.100,0 days 00:52:10.712000,0 days 00:00:18.930000,6180,87,3,5,False,8,car,1072.3294444444446,0.2044299566699487,-7176,7145,86,car,0 days 00:52:10.712000
2024-03-23 05:37:12.580,0 days 00:52:11.192000,0 days 00:00:19.410000,6513,87,3,21,False,8,car,1083.9294444444445,0.20664139225968947,-7118,7227,87,car,0 days 00:52:11.192000
2024-03-23 05:37:12.860,0 days 00:52:11.472000,0 days 00:00:19.690000,6568,90,3,34,False,8,car,1090.9294444444445,0.20797587925349856,-7064,7267,89,car,0 days 00:52:11.472000
2024-03-23 05:37:13.101,0 days 00:52:11.713000,0 days 00:00:19.931000,7059,93,3,44,False,8,car,1097.1552777777779,0.20916277834049235,-7009,7293,88,car,0 days 00:52:11.713000
2024-03-23 05:37:13.341,0 days 00:52:11.953000,0 days 00:00:20.171000,7352,99,3,49,False,8,car,1103.7552777777778,0.2104210089346552,-6946,7310,89,car,0 days 00:52:11.953000
2024-03-23 05:37:13.660,0 days 00:52:12.272000,0 days 00:00:20.490000,7748,106,3,50,False,8,car,1113.1480555555556,0.21221165747468143,-6853,7326,88,car,0 days 00:52:12.272000
2024-03-23 05:37:13.980,0 days 00:52:12.592000,0 days 00:00:20.810000,8493,113,3,52,False,8,car,1123.1925,0.21412654039913132,-6725,7344,86,car,0 days 00:52:12.592000
2024-03-23 05:37:14.220,0 days 00:52:12.832000,0 days 00:00:21.050000,8802,117,3,55,False,8,car,1130.9925,0.21561354019223286,-6673,7351,87,car,0 days 00:52:12.832000
2024-03-23 05:37:14.460,0 days 00:52:13.072000,0 days 00:00:21.290000,9195,125,3,58,False,8,car,1139.3258333333333,0.2172022151848627,-6574,7361,85,car,0 days 00:52:13.072000
2024-03-23 05:37:14.700,0 days 00:52:13.312000,0 days 00:00:21.530000,9480,127,3,56,False,8,car,1147.7925,0.21881630897737467,-6491,7369,86,car,0 days 00:52:13.312000
2024-03-23 05:37:14.900,0 days 00:52:13.512000,0 days 00:00:21.730000,9480,134,3,56,False,8,car,1155.2369444444444,0.22023552530412402,-6417,7378,85,car,0 days 00:52:13.512000
2024-03-23 05:37:15.140,0 days 00:52:13.752000,0 days 00:00:21.970000,9872,134,3,3,False,8,car,1164.1702777777775,0.2219385848962232,-6329,7393,86,car,0 days 00:52:13.752000
2024-03-23 05:37:15.300,0 days 00:52:13.912000,0 days 00:00:22.130000,9428,133,3,0,False,8,car,1170.0813888888886,0.22306548502432863,-6271,7408,85,car,0 days 00:52:13.912000
