Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-29 10:30:54.652,0 days 01:13:19.926000,0 days 00:00:00.175000,11364,287,7,100,False,12,car,14.311111111111105,0.003335777325468012,918,-1257,7214,car,0 days 01:13:19.926000
2024-06-29 10:30:54.892,0 days 01:13:20.166000,0 days 00:00:00.415000,11252,290,7,100,False,12,car,33.64444444444444,0.007842184581923248,797,-1289,7214,car,0 days 01:13:20.166000
2024-06-29 10:30:55.052,0 days 01:13:20.326000,0 days 00:00:00.575000,10381,293,7,100,False,12,car,46.66666666666666,0.010877534756960912,638,-1332,7213,car,0 days 01:13:20.326000
2024-06-29 10:30:55.292,0 days 01:13:20.566000,0 days 00:00:00.815000,10636,295,7,100,False,12,car,66.33333333333331,0.01546163869025158,424,-1390,7214,car,0 days 01:13:20.566000
2024-06-29 10:30:55.452,0 days 01:13:20.726000,0 days 00:00:00.975000,10717,298,8,100,False,12,car,79.57777777777775,0.0185487866498462,350,-1410,7214,car,0 days 01:13:20.726000
2024-06-29 10:30:55.732,0 days 01:13:21.006000,0 days 00:00:01.255000,10828,302,8,100,False,12,car,103.06666666666663,0.024023812477516525,54,-1490,7213,car,0 days 01:13:21.006000
2024-06-29 10:30:56.012,0 days 01:13:21.286000,0 days 00:00:01.535000,10893,304,8,100,False,12,car,126.71111111111108,0.02953509675437672,-188,-1556,7214,car,0 days 01:13:21.286000
2024-06-29 10:30:56.252,0 days 01:13:21.526000,0 days 00:00:01.775000,10857,304,8,100,False,12,car,146.97777777777776,0.03425905470597118,-362,-1603,7216,car,0 days 01:13:21.526000
2024-06-29 10:30:56.452,0 days 01:13:21.726000,0 days 00:00:01.975000,10839,304,8,100,False,12,car,163.86666666666667,0.038195686332299895,-564,-1658,7219,car,0 days 01:13:21.726000
2024-06-29 10:30:56.772,0 days 01:13:22.046000,0 days 00:00:02.295000,10857,304,8,100,False,12,car,190.88888888888889,0.04449429693442583,-798,-1720,7223,car,0 days 01:13:22.046000
2024-06-29 10:30:57.052,0 days 01:13:22.326000,0 days 00:00:02.575000,10861,304,8,100,False,12,car,214.53333333333336,0.05000558121128604,-946,-1760,7227,car,0 days 01:13:22.326000
2024-06-29 10:30:57.292,0 days 01:13:22.566000,0 days 00:00:02.815000,10861,304,8,100,False,12,car,234.8,0.05472953916288049,-1159,-1818,7234,car,0 days 01:13:22.566000
2024-06-29 10:30:57.492,0 days 01:13:22.766000,0 days 00:00:03.015000,10850,304,8,100,False,12,car,251.68888888888893,0.0586661707892092,-1422,-1891,7244,car,0 days 01:13:22.766000
2024-06-29 10:30:57.852,0 days 01:13:23.126000,0 days 00:00:03.375000,10830,303,8,100,False,12,car,281.98888888888894,0.06572879871355025,-1590,-1938,7253,car,0 days 01:13:23.126000
2024-06-29 10:30:58.012,0 days 01:13:23.286000,0 days 00:00:03.535000,10816,303,8,59,False,12,car,295.45555555555563,0.06886774445770184,-1726,-1976,7262,car,0 days 01:13:23.286000
2024-06-29 10:30:58.332,0 days 01:13:23.606000,0 days 00:00:03.855000,10289,287,8,0,True,0,car,320.96666666666675,0.07481413012484048,-2013,-2056,7280,car,0 days 01:13:23.606000
