Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:15:42.066000,OCO,,1.0,1.0,0 days 00:14:06.174000,,,0 days 00:00:27.276000,0 days 00:00:34.299000,,0 days 00:15:07.844000,0 days 00:15:42.153000,210.0,257.0,273.0,286.0,False,SOFT,1.0,True,0 days 00:14:06.174000,2024-06-08 20:00:15.087,,False
0 days 00:17:14.159000,OCO,0 days 00:01:32.093000,2.0,1.0,,,0 days 00:00:23.532000,0 days 00:00:25.865000,0 days 00:00:42.696000,0 days 00:16:05.598000,0 days 00:16:31.463000,0 days 00:17:14.159000,243.0,261.0,290.0,69.0,True,SOFT,2.0,True,0 days 00:15:42.066000,2024-06-08 20:01:50.979,,False
0 days 00:18:29.390000,OCO,0 days 00:01:15.231000,3.0,1.0,,,0 days 00:00:21.336000,0 days 00:00:23.727000,0 days 00:00:30.168000,0 days 00:17:35.495000,0 days 00:17:59.222000,0 days 00:18:29.390000,258.0,282.0,292.0,319.0,True,SOFT,3.0,True,0 days 00:17:14.159000,2024-06-08 20:03:23.072,,False
0 days 00:20:04.967000,OCO,0 days 00:01:35.577000,4.0,1.0,,,0 days 00:00:30.701000,0 days 00:00:29.559000,0 days 00:00:35.317000,0 days 00:19:00.091000,0 days 00:19:29.650000,0 days 00:20:04.967000,178.0,245.0,291.0,241.0,False,SOFT,4.0,True,0 days 00:18:29.390000,2024-06-08 20:04:38.303,,False
0 days 00:21:19.579000,OCO,0 days 00:01:14.612000,5.0,1.0,,,0 days 00:00:21.030000,0 days 00:00:23.674000,0 days 00:00:29.908000,0 days 00:20:25.997000,0 days 00:20:49.671000,0 days 00:21:19.579000,257.0,284.0,293.0,321.0,True,SOFT,5.0,True,0 days 00:20:04.967000,2024-06-08 20:06:13.880,,False
0 days 00:25:47.124000,OCO,,6.0,1.0,,0 days 00:22:46.189000,0 days 00:00:26.486000,0 days 00:00:28.972000,,0 days 00:21:46.085000,0 days 00:22:15.139000,,203.0,234.0,,226.0,False,SOFT,6.0,True,0 days 00:21:19.579000,2024-06-08 20:07:28.492,,False
0 days 00:27:25.229000,OCO,0 days 00:01:38.105000,7.0,2.0,0 days 00:25:49.614000,,0 days 00:00:32.863000,0 days 00:00:25.863000,0 days 00:00:39.379000,0 days 00:26:19.987000,0 days 00:26:45.850000,0 days 00:27:25.229000,245.0,263.0,292.0,89.0,False,SOFT,1.0,True,0 days 00:25:47.124000,2024-06-08 20:11:56.037,,False
0 days 00:28:38.664000,OCO,0 days 00:01:13.435000,8.0,2.0,,,0 days 00:00:20.755000,0 days 00:00:23.231000,0 days 00:00:29.449000,0 days 00:27:45.984000,0 days 00:28:09.215000,0 days 00:28:38.664000,260.0,282.0,294.0,322.0,True,SOFT,2.0,True,0 days 00:27:25.229000,2024-06-08 20:13:34.142,,False
0 days 00:30:28.484000,OCO,0 days 00:01:49.820000,9.0,2.0,,,0 days 00:00:26.569000,0 days 00:00:31.248000,0 days 00:00:52.003000,0 days 00:29:05.233000,0 days 00:29:36.481000,0 days 00:30:28.484000,190.0,208.0,291.0,52.0,False,SOFT,3.0,True,0 days 00:28:38.664000,2024-06-08 20:14:47.577,,False
0 days 00:31:41.920000,OCO,0 days 00:01:13.436000,10.0,2.0,,,0 days 00:00:20.674000,0 days 00:00:23.326000,0 days 00:00:29.436000,0 days 00:30:49.158000,0 days 00:31:12.484000,0 days 00:31:41.920000,260.0,283.0,294.0,326.0,False,SOFT,4.0,True,0 days 00:30:28.484000,2024-06-08 20:16:37.397,,False
0 days 00:33:12.269000,OCO,,11.0,2.0,,0 days 00:33:12.269000,0 days 00:00:27.009000,0 days 00:00:30.148000,,0 days 00:32:09.054000,0 days 00:32:39.119000,,188.0,200.0,,205.0,False,SOFT,5.0,True,0 days 00:31:41.920000,2024-06-08 20:17:50.833,,False
