Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-21 14:23:16.003,0 days 02:15:22.390000,0 days 00:00:00.054000,11320,254,6,100,False,0,car,3.9316666666666666,0.0009048769376315135,-1482,-114,2387,car,0 days 02:15:22.390000
2024-07-21 14:23:16.203,0 days 02:15:22.590000,0 days 00:00:00.254000,11536,257,6,100,False,0,car,18.209444444444443,0.0041909214900025605,-1597,-20,2387,car,0 days 02:15:22.590000
2024-07-21 14:23:16.563,0 days 02:15:22.950000,0 days 00:00:00.614000,10416,262,7,100,False,0,car,44.40944444444444,0.010220877174431297,-1876,207,2388,car,0 days 02:15:22.950000
2024-07-21 14:23:16.763,0 days 02:15:23.150000,0 days 00:00:00.814000,10547,265,7,100,False,0,car,59.13166666666666,0.013609211051389769,-1970,284,2388,car,0 days 02:15:23.150000
2024-07-21 14:23:16.963,0 days 02:15:23.350000,0 days 00:00:01.014000,10607,268,7,100,False,0,car,74.02055555555555,0.017035903425068527,-2052,352,2387,car,0 days 02:15:23.350000
2024-07-21 14:23:17.243,0 days 02:15:23.630000,0 days 00:00:01.294000,10765,272,7,100,False,0,car,95.17611111111111,0.021904875275429985,-2186,462,2387,car,0 days 02:15:23.630000
2024-07-21 14:23:17.563,0 days 02:15:23.950000,0 days 00:00:01.614000,10896,275,7,100,False,0,car,119.62055555555555,0.027530788127738393,-2373,615,2387,car,0 days 02:15:23.950000
2024-07-21 14:23:17.723,0 days 02:15:24.110000,0 days 00:00:01.774000,10987,278,7,100,False,0,car,131.9761111111111,0.03037443135126882,-2468,693,2388,car,0 days 02:15:24.110000
2024-07-21 14:23:17.962,0 days 02:15:24.349000,0 days 00:00:02.013000,11063,280,7,100,False,0,car,150.56499999999997,0.03465268235213789,-2602,803,2387,car,0 days 02:15:24.349000
2024-07-21 14:23:18.122,0 days 02:15:24.509000,0 days 00:00:02.173000,11120,282,7,100,False,0,car,163.0983333333333,0.037537241305503295,-2706,889,2387,car,0 days 02:15:24.509000
2024-07-21 14:23:18.522,0 days 02:15:24.909000,0 days 00:00:02.573000,11223,285,7,100,False,0,car,194.76499999999996,0.04482535568235736,-3005,1135,2387,car,0 days 02:15:24.909000
2024-07-21 14:23:18.722,0 days 02:15:25.109000,0 days 00:00:02.773000,11305,286,7,100,False,0,car,210.65388888888887,0.04848219903635783,-3070,1188,2388,car,0 days 02:15:25.109000
2024-07-21 14:23:18.882,0 days 02:15:25.269000,0 days 00:00:02.933000,11323,288,7,100,False,0,car,223.45388888888886,0.051428131584475685,-3174,1273,2388,car,0 days 02:15:25.269000
2024-07-21 14:23:19.162,0 days 02:15:25.549000,0 days 00:00:03.213000,10938,288,7,100,False,0,car,245.8538888888889,0.05658351354368194,-3353,1420,2386,car,0 days 02:15:25.549000
2024-07-21 14:23:19.442,0 days 02:15:25.829000,0 days 00:00:03.493000,10474,291,8,100,False,0,car,268.4872222222222,0.06179259739829659,-3625,1644,2384,car,0 days 02:15:25.829000
2024-07-21 14:23:19.802,0 days 02:15:26.189000,0 days 00:00:03.853000,10509,293,8,100,False,0,car,297.7872222222222,0.06853602112172262,-3760,1755,2381,car,0 days 02:15:26.189000
2024-07-21 14:23:20.002,0 days 02:15:26.389000,0 days 00:00:04.053000,10540,294,8,100,False,0,car,314.12055555555554,0.07229515380031051,-3891,1862,2377,car,0 days 02:15:26.389000
2024-07-21 14:23:20.282,0 days 02:15:26.669000,0 days 00:00:04.333000,10589,296,8,100,False,0,car,337.1427777777778,0.07759374081393916,-4068,2005,2372,car,0 days 02:15:26.669000
2024-07-21 14:23:20.683,0 days 02:15:27.070000,0 days 00:00:04.734000,10661,297,8,100,False,0,car,370.22527777777776,0.08520771062043205,-4326,2207,2364,car,0 days 02:15:27.070000
2024-07-21 14:23:21.083,0 days 02:15:27.470000,0 days 00:00:05.134000,10674,298,8,100,False,0,car,403.3363888888889,0.09282826530219526,-4664,2473,2355,car,0 days 02:15:27.470000
2024-07-21 14:23:21.283,0 days 02:15:27.670000,0 days 00:00:05.334000,10676,299,8,100,False,0,car,419.94749999999993,0.09665132880865027,-4760,2549,2352,car,0 days 02:15:27.670000
2024-07-21 14:23:21.443,0 days 02:15:27.830000,0 days 00:00:05.494000,10752,299,8,100,False,0,car,433.2363888888888,0.09970977961381429,-4826,2599,2351,car,0 days 02:15:27.830000
