Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-20 20:00:49.852,0 days 01:54:12.254000,0 days 00:00:00.191000,11734,218,5,100,False,0,car,11.59333333333333,0.0021188651034401234,-1171,-515,1302,car,0 days 01:54:12.254000
2024-10-20 20:00:50.012,0 days 01:54:12.414000,0 days 00:00:00.351000,11659,227,5,100,False,0,car,21.682222222222215,0.00396276918042271,-1084,-581,1302,car,0 days 01:54:12.414000
2024-10-20 20:00:50.332,0 days 01:54:12.734000,0 days 00:00:00.671000,10529,233,5,100,False,0,car,42.39333333333333,0.007748052439779038,-960,-675,1301,car,0 days 01:54:12.734000
2024-10-20 20:00:50.572,0 days 01:54:12.974000,0 days 00:00:00.911000,10772,240,6,100,False,0,car,58.39333333333333,0.010672305601513539,-858,-754,1302,car,0 days 01:54:12.974000
2024-10-20 20:00:50.972,0 days 01:54:13.374000,0 days 00:00:01.311000,11137,248,6,100,False,0,car,85.94888888888887,0.01570851938005629,-637,-924,1302,car,0 days 01:54:13.374000
2024-10-20 20:00:51.252,0 days 01:54:13.654000,0 days 00:00:01.591000,11321,253,6,100,False,0,car,105.62666666666665,0.01930494462271726,-421,-1088,1301,car,0 days 01:54:13.654000
2024-10-20 20:00:51.612,0 days 01:54:14.014000,0 days 00:00:01.951000,11576,256,6,100,False,0,car,131.22666666666666,0.023983749681492465,-295,-1185,1302,car,0 days 01:54:14.014000
2024-10-20 20:00:51.772,0 days 01:54:14.174000,0 days 00:00:02.111000,11576,260,6,100,False,0,car,142.78222222222223,0.02609571029830072,-179,-1275,1303,car,0 days 01:54:14.174000
2024-10-20 20:00:51.972,0 days 01:54:14.374000,0 days 00:00:02.311000,11657,262,6,100,False,0,car,157.33777777777777,0.028755968382934184,0,-1413,1303,car,0 days 01:54:14.374000
2024-10-20 20:00:52.412,0 days 01:54:14.814000,0 days 00:00:02.751000,10604,267,7,100,False,0,car,189.9711111111111,0.03472022639405518,182,-1552,1302,car,0 days 01:54:14.814000
2024-10-20 20:00:52.612,0 days 01:54:15.014000,0 days 00:00:02.951000,10656,270,7,100,False,0,car,204.9711111111111,0.03746171373318127,293,-1636,1303,car,0 days 01:54:15.014000
2024-10-20 20:00:52.972,0 days 01:54:15.374000,0 days 00:00:03.311000,10771,274,7,100,False,0,car,232.37111111111108,0.0424694972726516,572,-1851,1302,car,0 days 01:54:15.374000
2024-10-20 20:00:53.252,0 days 01:54:15.654000,0 days 00:00:03.591000,10890,277,7,100,False,0,car,253.91555555555553,0.0464070853841816,709,-1956,1301,car,0 days 01:54:15.654000
2024-10-20 20:00:53.612,0 days 01:54:16.014000,0 days 00:00:03.951000,11001,279,7,100,False,0,car,281.81555555555553,0.051506251834956135,906,-2105,1302,car,0 days 01:54:16.014000
2024-10-20 20:00:53.852,0 days 01:54:16.254000,0 days 00:00:04.191000,11068,281,7,100,False,0,car,300.5488888888888,0.05493006491182027,1055,-2219,1303,car,0 days 01:54:16.254000
2024-10-20 20:00:54.252,0 days 01:54:16.654000,0 days 00:00:04.591000,11136,284,7,100,False,0,car,332.1044444444444,0.06069734198079666,1304,-2410,1310,car,0 days 01:54:16.654000
2024-10-20 20:00:54.532,0 days 01:54:16.934000,0 days 00:00:04.871000,11234,286,7,100,False,0,car,354.3488888888889,0.06476286616815255,1485,-2549,1317,car,0 days 01:54:16.934000
2024-10-20 20:00:54.812,0 days 01:54:17.214000,0 days 00:00:05.151000,11218,286,7,100,False,0,car,376.5933333333333,0.06882839035550842,1656,-2679,1327,car,0 days 01:54:17.214000
2024-10-20 20:00:55.092,0 days 01:54:17.494000,0 days 00:00:05.431000,11176,285,7,100,False,0,car,398.76,0.0728796994233281,1872,-2845,1342,car,0 days 01:54:17.494000
2024-10-20 20:00:55.372,0 days 01:54:17.774000,0 days 00:00:05.711000,11175,285,7,100,False,0,car,420.9266666666667,0.07693100849114777,2010,-2951,1354,car,0 days 01:54:17.774000
2024-10-20 20:00:55.612,0 days 01:54:18.014000,0 days 00:00:05.951000,11167,284,7,100,False,0,car,439.85999999999996,0.08039137473253359,2180,-3082,1372,car,0 days 01:54:18.014000
2024-10-20 20:00:55.852,0 days 01:54:18.254000,0 days 00:00:06.191000,11121,284,7,100,False,0,car,458.7933333333333,0.08385174097391943,2407,-3262,1399,car,0 days 01:54:18.254000
2024-10-20 20:00:56.092,0 days 01:54:18.494000,0 days 00:00:06.431000,11124,283,7,100,False,0,car,477.65999999999997,0.08729992282713135,2485,-3321,1409,car,0 days 01:54:18.494000
2024-10-20 20:00:56.292,0 days 01:54:18.694000,0 days 00:00:06.631000,11095,283,7,100,False,0,car,493.3822222222222,0.09017340770480796,2579,-3393,1422,car,0 days 01:54:18.694000
2024-10-20 20:00:56.492,0 days 01:54:18.894000,0 days 00:00:06.831000,11084,282,7,100,False,0,car,509.0488888888889,0.093036738925673,2706,-3488,1439,car,0 days 01:54:18.894000
2024-10-20 20:00:56.892,0 days 01:54:19.294000,0 days 00:00:07.231000,9465,246,7,0,True,0,car,536.3822222222221,0.09803233807696943,2963,-3698,1478,car,0 days 01:54:19.294000
2024-10-20 20:00:57.092,0 days 01:54:19.494000,0 days 00:00:07.431000,9497,221,7,1,True,0,car,548.66,0.1002762962323282,3050,-3771,1494,car,0 days 01:54:19.494000
2024-10-20 20:00:57.452,0 days 01:54:19.854000,0 days 00:00:07.791000,10639,177,7,0,True,0,car,566.36,0.103511251292497,3182,-3880,1517,car,0 days 01:54:19.854000
