Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-03-01 16:56:51.289,0 days 01:10:15.616000,0 days 00:00:00.373000,10819,292,7,99,False,12,car,30.27694444444445,0.005680401595642671,-364.0558064045664,1628.845173140337,-158.0620556090344,car,0 days 01:10:15.616000
2024-03-01 16:56:51.569,0 days 01:10:15.896000,0 days 00:00:00.653000,10468,293,8,99,False,12,car,53.065833333333345,0.009955933462634651,-351.5407567465059,1908.228761196716,-159.07772342779083,car,0 days 01:10:15.896000
2024-03-01 16:56:51.849,0 days 01:10:16.176000,0 days 00:00:00.933000,10501,294,8,99,False,12,car,75.93250000000002,0.014246057588558346,-341.1019953738732,2150.3919115978874,-158.9581051954172,car,0 days 01:10:16.176000
2024-03-01 16:56:52.050,0 days 01:10:16.377000,0 days 00:00:01.134000,10529,294,8,99,False,12,car,92.34750000000001,0.017325753836096424,-338.00532477781815,2234.4254316572574,-159.09965253487036,car,0 days 01:10:16.377000
2024-03-01 16:56:52.290,0 days 01:10:16.617000,0 days 00:00:01.374000,10491,293,8,99,False,12,car,111.88083333333336,0.020990495436375264,-329.6879118903067,2451.739947644056,-159.18167421697,car,0 days 01:10:16.617000
2024-03-01 16:56:52.570,0 days 01:10:16.897000,0 days 00:00:01.654000,10209,293,8,0,False,8,car,134.66972222222222,0.025266027303367238,-318.13371109632857,2692.5450169356372,-158.10529699270134,car,0 days 01:10:16.897000
2024-03-01 16:56:52.930,0 days 01:10:17.257000,0 days 00:00:02.014000,10055,281,8,0,False,8,car,162.7697222222222,0.030538001994553348,-303.9847551851209,2991.470910753138,-159.1044823983031,car,0 days 01:10:17.257000
2024-03-01 16:56:53.089,0 days 01:10:17.416000,0 days 00:00:02.173000,9943,278,8,0,False,8,car,175.04805555555558,0.03284159852776617,-300.16626738479937,3078.0751047202302,-158.96196843591747,car,0 days 01:10:17.416000
2024-03-01 16:56:53.249,0 days 01:10:17.576000,0 days 00:00:02.333000,9654,269,8,0,False,8,car,187.00361111111116,0.03508463718641238,-295.5953811766926,3188.556131675859,-159.0081465389834,car,0 days 01:10:17.576000
2024-03-01 16:56:53.489,0 days 01:10:17.816000,0 days 00:00:02.573000,9391,264,8,0,False,8,car,204.60361111111115,0.038386656921817204,-287.25590117381955,3380.1253420221196,-159.01970288585272,car,0 days 01:10:17.816000
2024-03-01 16:56:53.649,0 days 01:10:17.976000,0 days 00:00:02.733000,9177,259,8,0,False,8,car,216.11472222222227,0.04054631124371076,-281.33743437558985,3517.059692932663,-158.24673763191825,car,0 days 01:10:17.976000
2024-03-01 16:56:53.849,0 days 01:10:18.176000,0 days 00:00:02.933000,8942,253,8,0,False,8,car,230.1702777777778,0.04318334089351322,-274.62117968540963,3682.9289542946735,-157.95964859914523,car,0 days 01:10:18.176000
2024-03-01 16:56:54.089,0 days 01:10:18.416000,0 days 00:00:03.173000,8830,248,8,0,False,8,car,246.70361111111117,0.0462852382207117,-268.06958379267644,3862.2139544070424,-158.85701604015816,car,0 days 01:10:18.416000
2024-03-01 16:56:54.369,0 days 01:10:18.696000,0 days 00:00:03.453000,8549,241,8,0,False,8,car,265.4480555555556,0.04980197262325459,-262.7378756653481,4023.6736257235007,-159.4301219289573,car,0 days 01:10:18.696000
2024-03-01 16:56:54.769,0 days 01:10:19.096000,0 days 00:00:03.853000,8192,231,8,0,False,8,car,291.11472222222227,0.05461741807071996,-254.69064530077887,4246.4713331807825,-157.9580808673629,car,0 days 01:10:19.096000
2024-03-01 16:56:54.969,0 days 01:10:19.296000,0 days 00:00:04.053000,8126,227,8,0,False,8,car,303.72583333333336,0.056983448626076315,-250.18417974626465,4373.19769477567,-157.9969190460539,car,0 days 01:10:19.296000
2024-03-01 16:56:55.209,0 days 01:10:19.536000,0 days 00:00:04.293000,7894,223,8,0,False,8,car,318.59250000000003,0.05977265469045236,-243.557013106339,4542.336968903265,-158.02946720739203,car,0 days 01:10:19.536000
2024-03-01 16:56:55.529,0 days 01:10:19.856000,0 days 00:00:04.613000,7679,217,8,0,False,8,car,337.8813888888889,0.06339153490551724,-236.91318525369917,4738.074663142824,-157.69594171138817,car,0 days 01:10:19.856000
2024-03-01 16:56:55.929,0 days 01:10:20.256000,0 days 00:00:05.013000,7387,208,8,0,False,8,car,360.9925,0.06772752041665489,-229.65720283609824,4947.760010415989,-157.43351881203634,car,0 days 01:10:20.256000
2024-03-01 16:56:56.209,0 days 01:10:20.536000,0 days 00:00:05.293000,7182,203,8,0,False,8,car,376.7813888888889,0.07068974897979267,-223.69384008576603,5159.659450302026,-154.57885716753344,car,0 days 01:10:20.536000
2024-03-01 16:56:56.489,0 days 01:10:20.816000,0 days 00:00:05.573000,6993,197,8,0,False,8,car,392.10361111111115,0.07356442398934018,-216.90787471506468,5341.615341024338,-153.70210955416522,car,0 days 01:10:20.816000
2024-03-01 16:56:56.809,0 days 01:10:21.136000,0 days 00:00:05.893000,7513,192,8,0,False,8,car,409.17027777777776,0.07676638252064183,-212.96084942030657,5454.802648882587,-152.64921333126063,car,0 days 01:10:21.136000
2024-03-01 16:56:57.009,0 days 01:10:21.336000,0 days 00:00:06.093000,8073,189,8,0,False,8,car,419.67027777777776,0.07873633747642311,-209.82409183837848,5564.384791387607,-151.69685822361396,car,0 days 01:10:21.336000
2024-03-01 16:56:57.169,0 days 01:10:21.496000,0 days 00:00:06.253000,8811,185,6,0,False,8,car,427.8925,0.08027894770634708,-207.12242200504474,5646.582191719133,-151.03834843144864,car,0 days 01:10:21.496000
2024-03-01 16:56:57.609,0 days 01:10:21.936000,0 days 00:00:06.693000,8381,179,6,0,False,8,car,449.7702777777777,0.08438354168299612,-197.77048318064607,5928.415355729796,-148.93793128362603,car,0 days 01:10:21.936000
2024-03-01 16:56:58.049,0 days 01:10:22.376000,0 days 00:00:07.133000,8111,172,6,0,False,8,car,470.79249999999996,0.08832762081139633,-193.0001016078936,6079.986649437635,-147.00528852660295,car,0 days 01:10:22.376000
2024-03-01 16:56:58.489,0 days 01:10:22.816000,0 days 00:00:07.573000,7646,166,6,0,False,8,car,491.08138888888885,0.09213411578415467,-186.23109072076676,6290.699138256074,-144.69281136192672,car,0 days 01:10:22.816000
2024-03-01 16:56:58.770,0 days 01:10:23.097000,0 days 00:00:07.854000,7594,161,6,0,False,8,car,503.6483333333333,0.09449186002104625,-182.80348516032714,6415.742518423191,-143.35542389597464,car,0 days 01:10:23.097000
2024-03-01 16:56:59.010,0 days 01:10:23.337000,0 days 00:00:08.094000,8079,158,6,0,False,8,car,514.1816666666666,0.09646806880208397,-180.6795953119221,6514.93337684284,-143.05184085745228,car,0 days 01:10:23.337000
2024-03-01 16:56:59.290,0 days 01:10:23.617000,0 days 00:00:08.374000,8264,155,5,0,False,8,car,526.2372222222223,0.09872986893649954,-178.08506901193948,6636.045395368185,-142.02843739447417,car,0 days 01:10:23.617000
2024-03-01 16:56:59.650,0 days 01:10:23.977000,0 days 00:00:08.734000,8060,150,5,0,False,8,car,541.2372222222223,0.10154409030190138,-171.9287351300007,6834.358072910625,-139.9386224522862,car,0 days 01:10:23.977000
