Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-30 18:05:45.150,0 days 00:20:28.504000,0 days 00:00:00.038000,6776,80,2,46,False,8,car,0.8444444444444459,0.0001556740476307282,-845,-1126,151,car,0 days 00:20:28.504000
2024-11-30 18:05:45.391,0 days 00:20:28.745000,0 days 00:00:00.279000,6752,80,2,47,False,8,car,6.200000000000002,0.001142975244446661,-871,-1079,152,car,0 days 00:20:28.745000
2024-11-30 18:05:45.670,0 days 00:20:29.024000,0 days 00:00:00.558000,6855,80,2,46,False,8,car,12.400000000000002,0.0022859504888933214,-904,-1020,152,car,0 days 00:20:29.024000
2024-11-30 18:05:45.870,0 days 00:20:29.224000,0 days 00:00:00.758000,6897,80,2,46,False,8,car,16.844444444444445,0.003105287581686626,-936,-963,152,car,0 days 00:20:29.224000
2024-11-30 18:05:46.270,0 days 00:20:29.624000,0 days 00:00:01.158000,6697,80,2,47,False,8,car,25.73333333333333,0.004743961767273236,-963,-914,151,car,0 days 00:20:29.624000
2024-11-30 18:05:46.470,0 days 00:20:29.824000,0 days 00:00:01.358000,6712,80,2,47,False,8,car,30.177777777777777,0.005563298860066541,-985,-875,152,car,0 days 00:20:29.824000
2024-11-30 18:05:46.710,0 days 00:20:30.064000,0 days 00:00:01.598000,6874,80,2,46,False,8,car,35.51111111111111,0.0065465033714185075,-1021,-808,152,car,0 days 00:20:30.064000
2024-11-30 18:05:47.110,0 days 00:20:30.464000,0 days 00:00:01.998000,6847,80,2,46,False,8,car,44.4,0.008185177557005117,-1055,-747,152,car,0 days 00:20:30.464000
2024-11-30 18:05:47.470,0 days 00:20:30.824000,0 days 00:00:02.358000,6733,80,2,46,False,8,car,52.4,0.009659984324033066,-1094,-677,152,car,0 days 00:20:30.824000
2024-11-30 18:05:47.870,0 days 00:20:31.224000,0 days 00:00:02.758000,6898,80,2,46,False,8,car,61.288888888888884,0.011298658509619676,-1138,-598,151,car,0 days 00:20:31.224000
2024-11-30 18:05:48.070,0 days 00:20:31.424000,0 days 00:00:02.958000,6831,80,2,47,False,8,car,65.73333333333333,0.012117995602412982,-1159,-561,152,car,0 days 00:20:31.424000
2024-11-30 18:05:48.230,0 days 00:20:31.584000,0 days 00:00:03.118000,6746,80,2,47,False,8,car,69.28888888888888,0.012773465276647623,-1177,-529,152,car,0 days 00:20:31.584000
2024-11-30 18:05:48.470,0 days 00:20:31.824000,0 days 00:00:03.358000,6696,80,2,47,False,8,car,74.62222222222222,0.01375666978799959,-1203,-483,152,car,0 days 00:20:31.824000
2024-11-30 18:05:48.750,0 days 00:20:32.104000,0 days 00:00:03.638000,6850,80,2,46,False,8,car,80.84444444444443,0.014903741717910216,-1238,-417,152,car,0 days 00:20:32.104000
2024-11-30 18:05:49.030,0 days 00:20:32.384000,0 days 00:00:03.918000,6899,80,2,46,False,8,car,87.06666666666666,0.016050813647820843,-1270,-363,152,car,0 days 00:20:32.384000
2024-11-30 18:05:49.350,0 days 00:20:32.704000,0 days 00:00:04.238000,6742,80,2,46,False,8,car,94.17777777777778,0.01736175299629013,-1265,-369,152,car,0 days 00:20:32.704000
2024-11-30 18:05:49.590,0 days 00:20:32.944000,0 days 00:00:04.478000,6693,80,2,41,False,8,car,99.51111111111109,0.018344957507642097,-1302,-305,152,car,0 days 00:20:32.944000
2024-11-30 18:05:49.830,0 days 00:20:33.184000,0 days 00:00:04.718000,7225,79,2,0,False,8,car,104.77777777777776,0.019315871962602163,-1322,-268,152,car,0 days 00:20:33.184000
2024-11-30 18:05:50.070,0 days 00:20:33.424000,0 days 00:00:04.958000,8601,77,1,0,False,8,car,109.9111111111111,0.02026220630477843,-1343,-230,152,car,0 days 00:20:33.424000
2024-11-30 18:05:50.310,0 days 00:20:33.664000,0 days 00:00:05.198000,8556,76,1,0,False,8,car,114.97777777777777,0.0211962505905628,-1369,-184,152,car,0 days 00:20:33.664000
2024-11-30 18:05:50.590,0 days 00:20:33.944000,0 days 00:00:05.478000,8080,73,1,0,True,8,car,120.65555555555554,0.022242953726606243,-1399,-129,152,car,0 days 00:20:33.944000
2024-11-30 18:05:50.870,0 days 00:20:34.224000,0 days 00:00:05.758000,7863,70,1,0,True,8,car,126.09999999999998,0.023246641665278043,-1439,-58,152,car,0 days 00:20:34.224000
2024-11-30 18:05:51.190,0 days 00:20:34.544000,0 days 00:00:06.078000,7552,67,1,0,True,8,car,132.05555555555554,0.02434455336962107,-1481,16,152,car,0 days 00:20:34.544000
2024-11-30 18:05:51.470,0 days 00:20:34.824000,0 days 00:00:06.358000,7319,64,1,0,True,8,car,137.0333333333333,0.02526221091354957,-1506,61,152,car,0 days 00:20:34.824000
2024-11-30 18:05:51.790,0 days 00:20:35.144000,0 days 00:00:06.678000,6451,60,1,0,True,8,car,142.36666666666665,0.02624541542490154,-1532,109,152,car,0 days 00:20:35.144000
2024-11-30 18:05:51.991,0 days 00:20:35.345000,0 days 00:00:06.879000,6036,57,1,0,True,8,car,145.54916666666665,0.026832111991909845,-1553,146,152,car,0 days 00:20:35.345000
2024-11-30 18:05:52.230,0 days 00:20:35.584000,0 days 00:00:07.118000,4536,55,1,0,True,8,car,149.20055555555555,0.027505248622207847,-1570,176,152,car,0 days 00:20:35.584000
2024-11-30 18:05:52.390,0 days 00:20:35.744000,0 days 00:00:07.278000,4356,51,1,0,True,8,car,151.4672222222222,0.02792311053953243,-1578,190,152,car,0 days 00:20:35.744000
2024-11-30 18:05:52.670,0 days 00:20:36.024000,0 days 00:00:07.558000,4269,48,1,0,True,8,car,155.20055555555555,0.02861135369747881,-1597,225,151,car,0 days 00:20:36.024000
2024-11-30 18:05:53.030,0 days 00:20:36.384000,0 days 00:00:07.918000,4268,40,1,0,True,8,car,159.20055555555555,0.029348757080992785,-1618,262,152,car,0 days 00:20:36.384000
2024-11-30 18:05:53.350,0 days 00:20:36.704000,0 days 00:00:08.238000,4137,32,1,0,True,8,car,162.045,0.029873132820380496,-1632,288,152,car,0 days 00:20:36.704000
2024-11-30 18:05:53.550,0 days 00:20:36.904000,0 days 00:00:08.438000,3998,30,1,0,True,8,car,163.71166666666667,0.03018038423017799,-1641,304,152,car,0 days 00:20:36.904000
2024-11-30 18:05:53.830,0 days 00:20:37.184000,0 days 00:00:08.718000,3847,23,1,0,True,8,car,165.50055555555556,0.030510167410027295,-1650,321,151,car,0 days 00:20:37.184000
2024-11-30 18:05:54.110,0 days 00:20:37.464000,0 days 00:00:08.998000,4076,17,1,0,True,8,car,166.8227777777778,0.030753920195133306,-1658,335,152,car,0 days 00:20:37.464000
2024-11-30 18:05:54.350,0 days 00:20:37.704000,0 days 00:00:09.238000,3599,10,1,0,True,8,car,167.48944444444444,0.0308768207590523,-1663,342,152,car,0 days 00:20:37.704000
2024-11-30 18:05:54.750,0 days 00:20:38.104000,0 days 00:00:09.638000,4275,3,1,0,True,8,car,167.8227777777778,0.030938271041011798,-1665,348,152,car,0 days 00:20:38.104000
2024-11-30 18:05:55.110,0 days 00:20:38.464000,0 days 00:00:09.998000,4372,13,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,349,151,car,0 days 00:20:38.464000
2024-11-30 18:05:55.350,0 days 00:20:38.704000,0 days 00:00:10.238000,4505,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,351,152,car,0 days 00:20:38.704000
2024-11-30 18:05:55.590,0 days 00:20:38.944000,0 days 00:00:10.478000,4331,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,352,151,car,0 days 00:20:38.944000
2024-11-30 18:05:55.870,0 days 00:20:39.224000,0 days 00:00:10.758000,4075,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,352,152,car,0 days 00:20:39.224000
2024-11-30 18:05:56.190,0 days 00:20:39.544000,0 days 00:00:11.078000,3890,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,351,152,car,0 days 00:20:39.544000
2024-11-30 18:05:56.390,0 days 00:20:39.744000,0 days 00:00:11.278000,3807,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,351,152,car,0 days 00:20:39.744000
2024-11-30 18:05:56.630,0 days 00:20:39.984000,0 days 00:00:11.518000,3930,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,352,152,car,0 days 00:20:39.984000
2024-11-30 18:05:57.070,0 days 00:20:40.424000,0 days 00:00:11.958000,3891,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,352,152,car,0 days 00:20:40.424000
2024-11-30 18:05:57.390,0 days 00:20:40.744000,0 days 00:00:12.278000,3916,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,352,152,car,0 days 00:20:40.744000
2024-11-30 18:05:57.590,0 days 00:20:40.944000,0 days 00:00:12.478000,3904,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,352,151,car,0 days 00:20:40.944000
2024-11-30 18:05:57.750,0 days 00:20:41.104000,0 days 00:00:12.638000,3872,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,351,152,car,0 days 00:20:41.104000
2024-11-30 18:05:58.110,0 days 00:20:41.464000,0 days 00:00:12.998000,4011,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,352,152,car,0 days 00:20:41.464000
2024-11-30 18:05:58.310,0 days 00:20:41.664000,0 days 00:00:13.198000,3994,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,351,152,car,0 days 00:20:41.664000
2024-11-30 18:05:58.551,0 days 00:20:41.905000,0 days 00:00:13.439000,4099,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,352,151,car,0 days 00:20:41.905000
2024-11-30 18:05:58.791,0 days 00:20:42.145000,0 days 00:00:13.679000,4079,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,351,151,car,0 days 00:20:42.145000
2024-11-30 18:05:59.110,0 days 00:20:42.464000,0 days 00:00:13.998000,3995,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1667,352,151,car,0 days 00:20:42.464000
2024-11-30 18:05:59.310,0 days 00:20:42.664000,0 days 00:00:14.198000,4034,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,351,151,car,0 days 00:20:42.664000
2024-11-30 18:05:59.670,0 days 00:20:43.024000,0 days 00:00:14.558000,4146,0,1,0,True,8,car,169.1227777777778,0.03117792714065384,-1668,351,152,car,0 days 00:20:43.024000
2024-11-30 18:05:59.950,0 days 00:20:43.304000,0 days 00:00:14.838000,3218,0,1,0,False,8,car,169.1227777777778,0.03117792714065384,-1667,352,152,car,0 days 00:20:43.304000
2024-11-30 18:06:00.310,0 days 00:20:43.664000,0 days 00:00:15.198000,3806,4,1,0,False,8,car,169.5227777777778,0.03125166747900524,-1669,354,152,car,0 days 00:20:43.664000
2024-11-30 18:06:00.710,0 days 00:20:44.064000,0 days 00:00:15.598000,3689,9,1,0,False,8,car,170.5227777777778,0.031436018324883734,-1673,361,152,car,0 days 00:20:44.064000
2024-11-30 18:06:00.870,0 days 00:20:44.224000,0 days 00:00:15.758000,3698,12,1,0,False,8,car,171.05611111111114,0.03153433877601893,-1675,365,152,car,0 days 00:20:44.224000
2024-11-30 18:06:01.030,0 days 00:20:44.384000,0 days 00:00:15.918000,3789,14,1,0,False,8,car,171.67833333333337,0.03164904596901,-1678,370,152,car,0 days 00:20:44.384000
2024-11-30 18:06:01.310,0 days 00:20:44.664000,0 days 00:00:16.198000,3796,18,1,0,False,8,car,173.07833333333338,0.03190713715323989,-1684,382,151,car,0 days 00:20:44.664000
2024-11-30 18:06:01.550,0 days 00:20:44.904000,0 days 00:00:16.438000,3543,23,1,0,False,8,car,174.6116666666667,0.03218980845025358,-1690,393,151,car,0 days 00:20:44.904000
2024-11-30 18:06:01.790,0 days 00:20:45.144000,0 days 00:00:16.678000,2835,26,1,0,False,8,car,176.34500000000006,0.03250934991644297,-1699,408,152,car,0 days 00:20:45.144000
2024-11-30 18:06:01.950,0 days 00:20:45.304000,0 days 00:00:16.838000,3296,29,1,0,False,8,car,177.63388888888895,0.032746957673353026,-1704,418,152,car,0 days 00:20:45.304000
2024-11-30 18:06:02.110,0 days 00:20:45.464000,0 days 00:00:16.998000,3428,31,1,0,False,8,car,179.0116666666667,0.03300095217211895,-1712,431,151,car,0 days 00:20:45.464000
