Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-29 17:33:53.553,0 days 00:15:51.919000,0 days 00:00:00.086000,8009,92,2,38,False,8,car,2.454444444444443,0.0004935138617018437,-2840.6446275677927,2466.030376857712,5.108298020413963e-06,car,0 days 00:15:51.919000
2024-11-29 17:33:53.713,0 days 00:15:52.079000,0 days 00:00:00.246000,8448,97,2,38,False,8,car,6.765555555555554,0.0013603467197385818,-2859.9494082114848,2501.627427910689,2.394031769735178e-05,car,0 days 00:15:52.079000
2024-11-29 17:33:53.913,0 days 00:15:52.279000,0 days 00:00:00.446000,8818,102,2,43,False,8,car,12.432222222222222,0.0024997404248899647,-2902.145639038114,2577.791366750702,-0.00022646538503478272,car,0 days 00:15:52.279000
2024-11-29 17:33:54.113,0 days 00:15:52.479000,0 days 00:00:00.646000,9293,107,2,45,False,8,car,18.376666666666665,0.0036949867626468067,-2925.2730418692304,2620.165399669021,0.0022461184334822554,car,0 days 00:15:52.479000
2024-11-29 17:33:54.272,0 days 00:15:52.638000,0 days 00:00:00.805000,9566,110,2,51,False,8,car,23.235,0.004671849306916301,-2937.2585812914317,2642.6375158134388,0.0002992473648687219,car,0 days 00:15:52.638000
2024-11-29 17:33:54.552,0 days 00:15:52.918000,0 days 00:00:01.085000,10530,120,2,57,False,8,car,32.56833333333333,0.006548497762459754,-2991.2258646194655,2739.5731713446567,-0.010987319873286593,car,0 days 00:15:52.918000
2024-11-29 17:33:54.912,0 days 00:15:53.278000,0 days 00:00:01.445000,11050,130,2,65,False,8,car,45.56833333333333,0.009162400968395278,-3075.4802111169543,2876.6927677852327,0.09359623905878535,car,0 days 00:15:53.278000
2024-11-29 17:33:55.072,0 days 00:15:53.438000,0 days 00:00:01.605000,9930,130,2,71,False,8,car,51.3461111111111,0.010324135726588845,-3093.51847759493,2906.096052966316,-0.245327992385346,car,0 days 00:15:53.438000
2024-11-29 17:33:55.272,0 days 00:15:53.638000,0 days 00:00:01.805000,10319,145,3,72,False,8,car,59.40166666666666,0.011943862072147182,-3116.753152865378,2940.468652762876,-0.22878619556734903,car,0 days 00:15:53.638000
2024-11-29 17:33:55.512,0 days 00:15:53.878000,0 days 00:00:02.045000,11359,156,3,76,False,8,car,69.80166666666666,0.014034984636895604,-3242.1908235666815,3115.4435686458683,2.957545668318465,car,0 days 00:15:53.878000
2024-11-29 17:33:55.712,0 days 00:15:54.078000,0 days 00:00:02.245000,11671,161,3,80,False,8,car,78.74611111111112,0.015833439406791414,-3298.59933431907,3215.4847348829358,-10.221230434430904,car,0 days 00:15:54.078000
2024-11-29 17:33:55.992,0 days 00:15:54.358000,0 days 00:00:02.525000,10733,176,3,89,False,8,car,92.435,0.01858585714158848,-3506.5798800575676,3351.226108050787,97.98727484968192,car,0 days 00:15:54.358000
2024-11-29 17:33:56.233,0 days 00:15:54.599000,0 days 00:00:02.766000,11394,179,4,99,False,8,car,104.41805555555557,0.02099528385955542,-3601.5894718043173,3446.3789448156467,136.15078422652996,car,0 days 00:15:54.599000
2024-11-29 17:33:56.593,0 days 00:15:54.959000,0 days 00:00:03.126000,11709,193,4,99,False,8,car,123.71805555555557,0.024875924772982772,-3717.447451355041,3670.2028897224436,126.72020426970442,car,0 days 00:15:54.959000
2024-11-29 17:33:56.833,0 days 00:15:55.199000,0 days 00:00:03.366000,10682,195,4,99,False,8,car,136.71805555555557,0.0274898279789183,-3794.004259913124,3798.4387781446044,127.0996413126891,car,0 days 00:15:55.199000
2024-11-29 17:33:57.033,0 days 00:15:55.399000,0 days 00:00:03.566000,10862,201,5,99,False,8,car,147.88472222222222,0.029735103809657784,-3844.908394121305,3885.1494012739804,126.00791245454046,car,0 days 00:15:55.399000
2024-11-29 17:33:57.473,0 days 00:15:55.839000,0 days 00:00:04.006000,11316,208,5,99,False,8,car,173.30694444444447,0.03484673674570948,-3967.6029626118557,4092.0885652783,127.01210719788465,car,0 days 00:15:55.839000
2024-11-29 17:33:57.793,0 days 00:15:56.159000,0 days 00:00:04.326000,11608,217,5,99,False,8,car,192.59583333333333,0.038725143553832615,-4029.994255584774,4198.606911190588,126.8999841361475,car,0 days 00:15:56.159000
2024-11-29 17:33:58.033,0 days 00:15:56.399000,0 days 00:00:04.566000,11876,219,5,99,False,8,car,207.19583333333335,0.0416607579235756,-4103.87566054899,4328.732435131197,128.17454648246914,car,0 days 00:15:56.399000
2024-11-29 17:33:58.233,0 days 00:15:56.599000,0 days 00:00:04.766000,12059,222,5,99,False,8,car,219.5291666666667,0.04414061481125802,-4157.4067599587015,4426.575460503104,128.01552134596562,car,0 days 00:15:56.599000
