Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-03 17:33:05.726,0 days 02:55:02.980000,0 days 00:00:00.049000,10715,303,8,99,False,1,car,4.082222222222223,0.0009590951404627994,-3668,-5292,7768,car,0 days 02:55:02.980000
2024-11-03 17:33:05.926,0 days 02:55:03.180000,0 days 00:00:00.249000,10749,303,8,99,False,1,car,20.915555555555557,0.004913992086029323,-3635,-5423,7772,car,0 days 02:55:03.180000
2024-11-03 17:33:06.246,0 days 02:55:03.500000,0 days 00:00:00.569000,10746,304,8,99,False,1,car,47.937777777777775,0.011262711143202778,-3573,-5668,7780,car,0 days 02:55:03.500000
2024-11-03 17:33:06.526,0 days 02:55:03.780000,0 days 00:00:00.849000,10750,304,8,99,False,1,car,71.58222222222221,0.01681784031822955,-3514,-5897,7788,car,0 days 02:55:03.780000
2024-11-03 17:33:06.966,0 days 02:55:04.220000,0 days 00:00:01.289000,10776,304,8,99,False,1,car,108.73777777777777,0.025547329021843052,-3417,-6256,7798,car,0 days 02:55:04.220000
2024-11-03 17:33:07.206,0 days 02:55:04.460000,0 days 00:00:01.529000,10778,305,8,100,False,1,car,129.0711111111111,0.030324531272923408,-3356,-6485,7803,car,0 days 02:55:04.460000
2024-11-03 17:33:07.526,0 days 02:55:04.780000,0 days 00:00:01.849000,10375,302,8,0,True,1,car,155.91555555555556,0.03663148244156283,-3283,-6757,7807,car,0 days 02:55:04.780000
2024-11-03 17:33:07.926,0 days 02:55:05.180000,0 days 00:00:02.249000,9111,269,8,0,True,1,car,185.80444444444444,0.04365370870134761,-3205,-7048,7810,car,0 days 02:55:05.180000
2024-11-03 17:33:08.207,0 days 02:55:05.461000,0 days 00:00:02.530000,9200,240,8,0,True,1,car,204.53777777777776,0.048054999955621645,-3166,-7187,7811,car,0 days 02:55:05.461000
2024-11-03 17:33:08.367,0 days 02:55:05.621000,0 days 00:00:02.690000,9437,240,8,0,True,1,car,215.20444444444445,0.0505610732676638,-3137,-7292,7812,car,0 days 02:55:05.621000
2024-11-03 17:33:08.607,0 days 02:55:05.861000,0 days 00:00:02.930000,9880,216,7,0,True,1,car,229.60444444444445,0.05394427223892071,-3086,-7473,7814,car,0 days 02:55:05.861000
2024-11-03 17:33:08.807,0 days 02:55:06.061000,0 days 00:00:03.130000,10006,202,7,0,True,1,car,240.82666666666665,0.05658087020263172,-3056,-7571,7815,car,0 days 02:55:06.061000
2024-11-03 17:33:09.087,0 days 02:55:06.341000,0 days 00:00:03.410000,9746,196,6,0,True,1,car,256.0711111111111,0.0601624666444253,-3025,-7675,7816,car,0 days 02:55:06.341000
2024-11-03 17:33:09.287,0 days 02:55:06.541000,0 days 00:00:03.610000,9052,181,5,0,True,1,car,266.12666666666667,0.0625249628396317,-2982,-7803,7817,car,0 days 02:55:06.541000
2024-11-03 17:33:09.647,0 days 02:55:06.901000,0 days 00:00:03.970000,10038,162,5,0,True,1,car,282.32666666666665,0.06633106168229573,-2903,-8012,7818,car,0 days 02:55:06.901000
2024-11-03 17:33:09.847,0 days 02:55:07.101000,0 days 00:00:04.170000,10682,155,5,0,True,1,car,290.93777777777774,0.06835419378316308,-2881,-8060,7819,car,0 days 02:55:07.101000
2024-11-03 17:33:10.247,0 days 02:55:07.501000,0 days 00:00:04.570000,9595,140,3,0,True,1,car,306.4933333333333,0.07200888402989122,-2832,-8160,7818,car,0 days 02:55:07.501000
2024-11-03 17:33:10.807,0 days 02:55:08.061000,0 days 00:00:05.130000,8691,123,3,0,True,1,car,325.6266666666666,0.07650415303336683,-2702,-8351,7814,car,0 days 02:55:08.061000
