Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-15 11:37:33.496,0 days 01:29:37.721000,0 days 00:00:00.076000,12153,341,8,100,False,12,car,7.1988888888888924,0.0012129738401382294,1169,-547,-245,car,0 days 01:29:37.721000
2024-09-15 11:37:33.815,0 days 01:29:38.040000,0 days 00:00:00.395000,12103,341,8,100,False,12,car,37.41527777777778,0.006304271932297373,1549,-389,-243,car,0 days 01:29:38.040000
2024-09-15 11:37:34.015,0 days 01:29:38.240000,0 days 00:00:00.595000,12131,339,8,100,False,12,car,56.24861111111111,0.009477586732473784,1639,-352,-244,car,0 days 01:29:38.240000
2024-09-15 11:37:34.255,0 days 01:29:38.480000,0 days 00:00:00.835000,12114,340,8,100,False,12,car,78.91527777777777,0.013296797465429467,1895,-244,-242,car,0 days 01:29:38.480000
2024-09-15 11:37:34.615,0 days 01:29:38.840000,0 days 00:00:01.195000,11689,335,8,0,False,0,car,112.41527777777779,0.018941366269283087,2155,-135,-242,car,0 days 01:29:38.840000
2024-09-15 11:37:34.775,0 days 01:29:39,0 days 00:00:01.355000,11505,330,8,0,False,0,car,127.08194444444445,0.021412620272960294,2294,-77,-243,car,0 days 01:29:39
2024-09-15 11:37:35.015,0 days 01:29:39.240000,0 days 00:00:01.595000,11294,323,8,0,True,0,car,148.61527777777778,0.02504087046926819,2616,55,-243,car,0 days 01:29:39.240000
2024-09-15 11:37:35.415,0 days 01:29:39.640000,0 days 00:00:01.995000,9197,272,8,0,True,0,car,178.8375,0.030133151446542435,2856,162,-245,car,0 days 01:29:39.640000
2024-09-15 11:37:35.615,0 days 01:29:39.840000,0 days 00:00:02.195000,8924,272,8,0,True,0,car,193.9486111111111,0.03267929193517955,2937,198,-244,car,0 days 01:29:39.840000
2024-09-15 11:37:35.895,0 days 01:29:40.120000,0 days 00:00:02.475000,9457,203,7,0,True,0,car,209.73749999999998,0.035339634313380545,3072,250,-245,car,0 days 01:29:40.120000
