Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:45:56.758000,COL,,1.0,,0 days 00:44:26.425000,,,0 days 00:00:30.301000,0 days 00:00:26.812000,,0 days 00:45:30.052000,0 days 00:45:56.832000,233.0,282.0,272.0,158.0,False,nan,,True,0 days 00:44:13.204000,2024-11-30 14:03:27.543,19.0,False
0 days 00:47:24.580000,COL,0 days 00:01:27.822000,2.0,,,,0 days 00:00:32.838000,0 days 00:00:29.474000,0 days 00:00:25.510000,0 days 00:46:29.612000,0 days 00:46:59.086000,0 days 00:47:24.596000,238.0,284.0,275.0,296.0,True,nan,,True,0 days 00:45:56.758000,2024-11-30 14:05:11.097,19.0,False
0 days 00:48:51.181000,COL,0 days 00:01:26.601000,3.0,,,,0 days 00:00:32.215000,0 days 00:00:29.109000,0 days 00:00:25.277000,0 days 00:47:56.811000,0 days 00:48:25.920000,0 days 00:48:51.197000,242.0,284.0,274.0,298.0,True,nan,,True,0 days 00:47:24.580000,2024-11-30 14:06:38.919,19.0,False
0 days 00:50:17.871000,COL,0 days 00:01:26.690000,4.0,,,,0 days 00:00:32.083000,0 days 00:00:29.407000,0 days 00:00:25.200000,0 days 00:49:23.280000,0 days 00:49:52.687000,0 days 00:50:17.887000,239.0,283.0,275.0,299.0,False,nan,,True,0 days 00:48:51.181000,2024-11-30 14:08:05.520,19.0,False
0 days 00:51:44.224000,COL,0 days 00:01:26.353000,5.0,1.0,,,0 days 00:00:32.004000,0 days 00:00:29.342000,0 days 00:00:25.007000,0 days 00:50:49.891000,0 days 00:51:19.233000,0 days 00:51:44.240000,240.0,284.0,277.0,301.0,True,MEDIUM,1.0,True,0 days 00:50:17.871000,2024-11-30 14:09:32.210,19.0,False
0 days 00:53:11.066000,COL,0 days 00:01:26.842000,6.0,1.0,,,0 days 00:00:32.199000,0 days 00:00:29.425000,0 days 00:00:25.218000,0 days 00:52:16.439000,0 days 00:52:45.864000,0 days 00:53:11.082000,239.0,285.0,279.0,304.0,False,MEDIUM,2.0,True,0 days 00:51:44.224000,2024-11-30 14:10:58.563,19.0,False
0 days 00:54:39.818000,COL,0 days 00:01:28.752000,7.0,1.0,,,0 days 00:00:32.354000,0 days 00:00:30.487000,0 days 00:00:25.911000,0 days 00:53:43.436000,0 days 00:54:13.923000,0 days 00:54:39.834000,241.0,288.0,282.0,328.0,False,MEDIUM,3.0,True,0 days 00:53:11.066000,2024-11-30 14:12:25.405,19.0,False
0 days 00:56:06.210000,COL,0 days 00:01:26.392000,8.0,1.0,,,0 days 00:00:31.925000,0 days 00:00:29.343000,0 days 00:00:25.124000,0 days 00:55:11.759000,0 days 00:55:41.102000,0 days 00:56:06.226000,240.0,284.0,276.0,320.0,False,MEDIUM,4.0,True,0 days 00:54:39.818000,2024-11-30 14:13:54.157,18.0,False
0 days 00:57:32.383000,COL,0 days 00:01:26.173000,9.0,1.0,,,0 days 00:00:32.056000,0 days 00:00:29.188000,0 days 00:00:24.929000,0 days 00:56:38.282000,0 days 00:57:07.470000,0 days 00:57:32.399000,239.0,285.0,277.0,299.0,True,MEDIUM,5.0,True,0 days 00:56:06.210000,2024-11-30 14:15:20.549,18.0,False
0 days 00:58:58.040000,COL,0 days 00:01:25.657000,10.0,1.0,,,0 days 00:00:31.857000,0 days 00:00:29.160000,0 days 00:00:24.640000,0 days 00:58:04.256000,0 days 00:58:33.416000,0 days 00:58:58.056000,244.0,285.0,278.0,302.0,True,MEDIUM,6.0,True,0 days 00:57:32.383000,2024-11-30 14:16:46.722,18.0,False
