Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-02 14:30:07.603,0 days 01:11:25.734000,0 days 00:00:00.072000,10393,290,8,100,False,1,car,5.846388888888885,0.0013857270313292031,-3654,-5345,7769,car,0 days 01:11:25.734000
2024-11-02 14:30:07.804,0 days 01:11:25.935000,0 days 00:00:00.273000,10445,292,8,100,False,1,car,22.14972222222222,0.00524998753984698,-3614,-5503,7774,car,0 days 01:11:25.935000
2024-11-02 14:30:08.284,0 days 01:11:26.415000,0 days 00:00:00.753000,10506,292,8,100,False,1,car,61.083055555555546,0.01447807233630734,-3518,-5879,7788,car,0 days 01:11:26.415000
2024-11-02 14:30:08.604,0 days 01:11:26.735000,0 days 00:00:01.073000,10552,294,8,100,False,1,car,87.21638888888887,0.02067226624078073,-3438,-6178,7796,car,0 days 01:11:26.735000
2024-11-02 14:30:08.804,0 days 01:11:26.935000,0 days 00:00:01.273000,10583,295,8,100,False,1,car,103.60527777777776,0.024556805360295295,-3399,-6323,7799,car,0 days 01:11:26.935000
2024-11-02 14:30:09.284,0 days 01:11:27.415000,0 days 00:00:01.753000,10152,290,8,0,True,1,car,142.27194444444442,0.03372168409650593,-3307,-6668,7806,car,0 days 01:11:27.415000
2024-11-02 14:30:09.724,0 days 01:11:27.855000,0 days 00:00:02.193000,8214,233,8,0,True,1,car,170.7497222222222,0.040471564614008186,-3202,-7057,7811,car,0 days 01:11:27.855000
2024-11-02 14:30:10.124,0 days 01:11:28.255000,0 days 00:00:02.593000,7906,197,8,0,True,1,car,192.6386111111111,0.0456597287261734,-3147,-7256,7813,car,0 days 01:11:28.255000
2024-11-02 14:30:10.284,0 days 01:11:28.415000,0 days 00:00:02.753000,7915,197,8,0,True,1,car,201.39416666666665,0.04773499437103949,-3130,-7315,7813,car,0 days 01:11:28.415000
2024-11-02 14:30:10.524,0 days 01:11:28.655000,0 days 00:00:02.993000,7814,168,7,0,True,1,car,212.59416666666664,0.050389648901528084,-3104,-7409,7813,car,0 days 01:11:28.655000
2024-11-02 14:30:10.724,0 days 01:11:28.855000,0 days 00:00:03.193000,8128,155,6,0,True,1,car,221.20527777777775,0.052430677930425565,-3079,-7493,7814,car,0 days 01:11:28.855000
2024-11-02 14:30:10.884,0 days 01:11:29.015000,0 days 00:00:03.353000,8390,150,5,0,True,1,car,227.87194444444444,0.05401082943666878,-3057,-7566,7815,car,0 days 01:11:29.015000
2024-11-02 14:30:11.084,0 days 01:11:29.215000,0 days 00:00:03.553000,8505,138,4,0,True,1,car,235.5386111111111,0.05582800366884848,-3025,-7673,7816,car,0 days 01:11:29.215000
2024-11-02 14:30:11.364,0 days 01:11:29.495000,0 days 00:00:03.833000,8216,120,4,0,True,1,car,244.87194444444444,0.05804021577758897,-2995,-7767,7817,car,0 days 01:11:29.495000
2024-11-02 14:30:11.684,0 days 01:11:29.815000,0 days 00:00:04.153000,7920,107,3,0,True,1,car,254.38305555555553,0.060294565259829284,-2966,-7850,7818,car,0 days 01:11:29.815000
2024-11-02 14:30:11.884,0 days 01:11:30.015000,0 days 00:00:04.353000,8233,98,3,0,True,1,car,259.8275,0.06158502232326125,-2948,-7899,7819,car,0 days 01:11:30.015000
2024-11-02 14:30:12.124,0 days 01:11:30.255000,0 days 00:00:04.593000,7398,90,2,0,True,1,car,265.8275,0.06300715867888014,-2929,-7947,7819,car,0 days 01:11:30.255000
2024-11-02 14:30:12.404,0 days 01:11:30.535000,0 days 00:00:04.873000,6790,80,2,0,True,1,car,272.0497222222222,0.0644819667513738,-2911,-7992,7819,car,0 days 01:11:30.535000
