Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-08 20:07:20.048,0 days 00:21:11.135000,0 days 00:00:00.111000,10400,295,8,100,False,12,car,9.131944444444443,0.00210571287107785,3373,772,128,car,0 days 00:21:11.135000
2024-06-08 20:07:20.287,0 days 00:21:11.374000,0 days 00:00:00.350000,10531,297,8,100,False,12,car,28.84944444444444,0.006652323265837364,3387,599,127,car,0 days 00:21:11.374000
2024-06-08 20:07:20.607,0 days 00:21:11.694000,0 days 00:00:00.670000,10388,298,8,100,False,12,car,55.33833333333333,0.012760331764270333,3395,332,128,car,0 days 00:21:11.694000
2024-06-08 20:07:20.847,0 days 00:21:11.934000,0 days 00:00:00.910000,10208,292,8,0,True,8,car,74.80499999999999,0.017249103110434157,3390,137,128,car,0 days 00:21:11.934000
2024-06-08 20:07:21.167,0 days 00:21:12.254000,0 days 00:00:01.230000,9367,266,8,0,True,8,car,98.44944444444442,0.022701218078834053,3366,-164,129,car,0 days 00:21:12.254000
2024-06-08 20:07:21.327,0 days 00:21:12.414000,0 days 00:00:01.390000,8868,252,8,0,True,8,car,109.64944444444441,0.025283798853339264,3350,-319,130,car,0 days 00:21:12.414000
2024-06-08 20:07:21.687,0 days 00:21:12.774000,0 days 00:00:01.750000,8639,231,8,0,True,8,car,132.7494444444444,0.030610371700756266,3334,-454,130,car,0 days 00:21:12.774000
2024-06-08 20:07:21.887,0 days 00:21:12.974000,0 days 00:00:01.950000,8385,218,8,0,True,8,car,144.86055555555552,0.0334030433716002,3320,-578,130,car,0 days 00:21:12.974000
2024-06-08 20:07:22.127,0 days 00:21:13.214000,0 days 00:00:02.190000,8308,203,7,0,True,8,car,158.39388888888885,0.03652366180746067,3303,-724,131,car,0 days 00:21:13.214000
2024-06-08 20:07:22.287,0 days 00:21:13.374000,0 days 00:00:02.350000,8393,182,7,0,True,8,car,166.48277777777776,0.03838885903349221,3293,-823,132,car,0 days 00:21:13.374000
