Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:58:17.514000,ZHO,0 days 00:01:50.678000,1.0,1.0,,,,0 days 00:00:35.644000,0 days 00:00:37.911000,,0 days 00:57:40.160000,0 days 00:58:18,172.0,205.0,307.0,253.0,False,MEDIUM,2.0,False,0 days 00:56:26.961000,2024-11-24 06:03:40.011,12.0,False
0 days 00:59:57.880000,ZHO,0 days 00:01:40.366000,2.0,1.0,,,0 days 00:00:29.015000,0 days 00:00:34.266000,0 days 00:00:37.085000,0 days 00:58:46.952000,0 days 00:59:21.218000,0 days 00:59:58.303000,174.0,205.0,317.0,267.0,True,MEDIUM,3.0,False,0 days 00:58:17.514000,2024-11-24 06:05:30.564,12.0,False
0 days 01:01:37.279000,ZHO,0 days 00:01:39.399000,3.0,1.0,,,0 days 00:00:28.789000,0 days 00:00:33.531000,0 days 00:00:37.079000,0 days 01:00:27.092000,0 days 01:01:00.623000,0 days 01:01:37.702000,178.0,206.0,320.0,272.0,True,MEDIUM,4.0,False,0 days 00:59:57.880000,2024-11-24 06:07:10.930,12.0,False
0 days 01:03:16.586000,ZHO,0 days 00:01:39.307000,4.0,1.0,,,0 days 00:00:28.689000,0 days 00:00:33.641000,0 days 00:00:36.977000,0 days 01:02:06.391000,0 days 01:02:40.032000,0 days 01:03:17.009000,,203.0,320.0,276.0,True,MEDIUM,5.0,False,0 days 01:01:37.279000,2024-11-24 06:08:50.329,12.0,False
0 days 01:04:55.984000,ZHO,0 days 00:01:39.398000,5.0,1.0,,,0 days 00:00:28.765000,0 days 00:00:33.622000,0 days 00:00:37.011000,0 days 01:03:45.774000,0 days 01:04:19.396000,0 days 01:04:56.407000,179.0,204.0,318.0,273.0,False,MEDIUM,6.0,False,0 days 01:03:16.586000,2024-11-24 06:10:29.636,12.0,False
0 days 01:06:35.753000,ZHO,0 days 00:01:39.769000,6.0,1.0,,,0 days 00:00:28.977000,0 days 00:00:33.857000,0 days 00:00:36.935000,0 days 01:05:25.384000,0 days 01:05:59.241000,0 days 01:06:36.176000,178.0,205.0,319.0,281.0,False,MEDIUM,7.0,False,0 days 01:04:55.984000,2024-11-24 06:12:09.034,12.0,False
0 days 01:08:15.664000,ZHO,0 days 00:01:39.911000,7.0,1.0,,,0 days 00:00:28.625000,0 days 00:00:34.078000,0 days 00:00:37.208000,0 days 01:07:04.801000,0 days 01:07:38.879000,0 days 01:08:16.087000,179.0,204.0,319.0,269.0,False,MEDIUM,8.0,False,0 days 01:06:35.753000,2024-11-24 06:13:48.803,12.0,False
0 days 01:09:55.832000,ZHO,0 days 00:01:40.168000,8.0,1.0,,,0 days 00:00:28.793000,0 days 00:00:34.269000,0 days 00:00:37.106000,0 days 01:08:44.880000,0 days 01:09:19.149000,0 days 01:09:56.255000,,203.0,319.0,282.0,False,MEDIUM,9.0,False,0 days 01:08:15.664000,2024-11-24 06:15:28.714,12.0,False
0 days 01:11:36.651000,ZHO,0 days 00:01:40.819000,9.0,1.0,,,0 days 00:00:29.200000,0 days 00:00:34.389000,0 days 00:00:37.230000,0 days 01:10:25.455000,0 days 01:10:59.844000,0 days 01:11:37.074000,177.0,201.0,317.0,286.0,False,MEDIUM,10.0,False,0 days 01:09:55.832000,2024-11-24 06:17:08.882,12.0,False
0 days 01:13:17.932000,ZHO,0 days 00:01:41.281000,10.0,1.0,,,0 days 00:00:29.491000,0 days 00:00:34.479000,0 days 00:00:37.311000,0 days 01:12:06.565000,0 days 01:12:41.044000,0 days 01:13:18.355000,166.0,202.0,320.0,282.0,False,MEDIUM,11.0,False,0 days 01:11:36.651000,2024-11-24 06:18:49.701,7.0,False
