Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-30 18:01:52.669,0 days 00:16:36.023000,0 days 00:00:00.013000,11354,282,7,100,False,12,car,1.0183333333333326,0.00018806673958143082,-1095,-996,142,car,0 days 00:16:36.023000
2024-11-30 18:01:53.029,0 days 00:16:36.383000,0 days 00:00:00.373000,11518,288,7,100,False,12,car,29.818333333333328,0.005506877312359051,-1209,-791,140,car,0 days 00:16:36.383000
2024-11-30 18:01:53.309,0 days 00:16:36.663000,0 days 00:00:00.653000,11547,291,7,100,False,12,car,52.45166666666666,0.009686822195363686,-1319,-590,140,car,0 days 00:16:36.663000
2024-11-30 18:01:53.749,0 days 00:16:37.103000,0 days 00:00:01.093000,10263,294,8,100,False,12,car,88.38499999999999,0.016323023349824654,-1489,-282,139,car,0 days 00:16:37.103000
2024-11-30 18:01:53.949,0 days 00:16:37.303000,0 days 00:00:01.293000,10390,297,8,100,False,12,car,104.88499999999999,0.019370258573811833,-1579,-119,138,car,0 days 00:16:37.303000
2024-11-30 18:01:54.269,0 days 00:16:37.623000,0 days 00:00:01.613000,10528,298,8,100,False,12,car,131.37388888888887,0.024262251014206062,-1725,142,137,car,0 days 00:16:37.623000
2024-11-30 18:01:54.549,0 days 00:16:37.903000,0 days 00:00:01.893000,10729,302,8,100,False,12,car,154.86277777777775,0.028600200686602625,-1811,298,137,car,0 days 00:16:37.903000
2024-11-30 18:01:54.709,0 days 00:16:38.063000,0 days 00:00:02.053000,10737,302,8,100,False,12,car,168.28499999999997,0.031079029070829232,-1879,422,136,car,0 days 00:16:38.063000
2024-11-30 18:01:54.989,0 days 00:16:38.343000,0 days 00:00:02.333000,10818,304,8,100,False,12,car,191.92944444444444,0.0354457068867516,-1994,629,135,car,0 days 00:16:38.343000
2024-11-30 18:01:55.350,0 days 00:16:38.704000,0 days 00:00:02.694000,10870,305,8,100,False,12,car,222.51416666666665,0.04109412160623154,-2134,882,136,car,0 days 00:16:38.704000
2024-11-30 18:01:55.750,0 days 00:16:39.104000,0 days 00:00:03.094000,10974,308,8,100,False,12,car,256.7363888888889,0.047414313181908654,-2317,1214,134,car,0 days 00:16:39.104000
2024-11-30 18:01:55.950,0 days 00:16:39.304000,0 days 00:00:03.294000,10974,309,8,100,False,12,car,273.90305555555557,0.05058466902100643,-2384,1331,133,car,0 days 00:16:39.304000
2024-11-30 18:01:56.310,0 days 00:16:39.664000,0 days 00:00:03.654000,11000,311,8,100,False,12,car,305.00305555555553,0.05632824571591559,-2539,1604,133,car,0 days 00:16:39.664000
2024-11-30 18:01:56.510,0 days 00:16:39.864000,0 days 00:00:03.854000,11039,311,8,100,False,12,car,322.2808333333333,0.059519121657531794,-2624,1752,133,car,0 days 00:16:39.864000
2024-11-30 18:01:56.670,0 days 00:16:40.024000,0 days 00:00:04.014000,11049,311,8,100,False,12,car,336.10305555555556,0.06207182241082476,-2696,1878,132,car,0 days 00:16:40.024000
2024-11-30 18:01:56.910,0 days 00:16:40.264000,0 days 00:00:04.254000,11075,312,8,100,False,12,car,356.9030555555555,0.06591318560227526,-2803,2069,131,car,0 days 00:16:40.264000
2024-11-30 18:01:57.229,0 days 00:16:40.583000,0 days 00:00:04.573000,11101,314,8,100,False,12,car,384.7269444444445,0.07105172707442847,-2933,2297,130,car,0 days 00:16:40.583000
2024-11-30 18:01:57.389,0 days 00:16:40.743000,0 days 00:00:04.733000,11126,314,8,100,False,12,car,398.68249999999995,0.07362905195074354,-3001,2417,129,car,0 days 00:16:40.743000
2024-11-30 18:01:57.709,0 days 00:16:41.063000,0 days 00:00:05.053000,11170,314,8,100,False,12,car,426.5936111111111,0.0787837017033737,-3171,2716,129,car,0 days 00:16:41.063000
2024-11-30 18:01:57.909,0 days 00:16:41.263000,0 days 00:00:05.253000,11196,315,8,100,False,12,car,444.0936111111111,0.08201561785002677,-3298,2939,128,car,0 days 00:16:41.263000
2024-11-30 18:01:58.109,0 days 00:16:41.463000,0 days 00:00:05.453000,11199,316,8,100,False,12,car,461.6491666666667,0.08525779404793907,-3339,3011,128,car,0 days 00:16:41.463000
2024-11-30 18:01:58.429,0 days 00:16:41.783000,0 days 00:00:05.773000,11222,316,8,100,False,12,car,489.73805555555555,0.09044527596459871,-3463,3231,127,car,0 days 00:16:41.783000
2024-11-30 18:01:58.669,0 days 00:16:42.023000,0 days 00:00:06.013000,11214,317,8,100,False,12,car,510.8713888888889,0.09434819946360451,-3557,3396,126,car,0 days 00:16:42.023000
2024-11-30 18:01:58.829,0 days 00:16:42.183000,0 days 00:00:06.173000,11252,316,8,100,False,12,car,524.9158333333334,0.09694194042193435,-3628,3522,126,car,0 days 00:16:42.183000
2024-11-30 18:01:59.229,0 days 00:16:42.583000,0 days 00:00:06.573000,11261,318,8,100,False,12,car,560.2491666666667,0.10346733302279579,-3809,3824,126,car,0 days 00:16:42.583000
2024-11-30 18:01:59.429,0 days 00:16:42.783000,0 days 00:00:06.773000,11255,317,8,100,False,12,car,577.8602777777778,0.10671976927196729,-3899,3976,126,car,0 days 00:16:42.783000
2024-11-30 18:01:59.909,0 days 00:16:43.263000,0 days 00:00:07.253000,11195,317,8,100,False,12,car,620.1269444444445,0.11452561626997888,-4112,4345,127,car,0 days 00:16:43.263000
2024-11-30 18:02:00.189,0 days 00:16:43.543000,0 days 00:00:07.533000,10716,315,8,0,True,8,car,644.6269444444445,0.11905029887529318,-4225,4561,128,car,0 days 00:16:43.543000
2024-11-30 18:02:00.389,0 days 00:16:43.743000,0 days 00:00:07.733000,10025,292,8,0,True,8,car,660.8491666666666,0.12204623384298427,-4295,4708,128,car,0 days 00:16:43.743000
2024-11-30 18:02:00.589,0 days 00:16:43.943000,0 days 00:00:07.933000,9465,260,8,0,True,8,car,675.2936111111111,0.12471384717038046,-4350,4824,127,car,0 days 00:16:43.943000
2024-11-30 18:02:00.949,0 days 00:16:44.303000,0 days 00:00:08.293000,9919,219,7,0,True,8,car,697.1936111111111,0.12875835937676344,-4455,5132,125,car,0 days 00:16:44.303000
2024-11-30 18:02:01.189,0 days 00:16:44.543000,0 days 00:00:08.533000,9772,213,6,0,True,8,car,711.3936111111111,0.13138082847861907,-4465,5193,125,car,0 days 00:16:44.543000
2024-11-30 18:02:01.549,0 days 00:16:44.903000,0 days 00:00:08.893000,9617,194,5,0,True,8,car,730.7936111111112,0.13496363837833736,-4470,5374,127,car,0 days 00:16:44.903000
2024-11-30 18:02:01.710,0 days 00:16:45.064000,0 days 00:00:09.054000,9276,179,5,0,True,8,car,738.798888888889,0.1364420604645341,-4457,5453,126,car,0 days 00:16:45.064000
2024-11-30 18:02:01.990,0 days 00:16:45.344000,0 days 00:00:09.334000,8842,174,5,0,True,8,car,752.3322222222223,0.13894140895127913,-4417,5575,127,car,0 days 00:16:45.344000
2024-11-30 18:02:02.310,0 days 00:16:45.664000,0 days 00:00:09.654000,8495,163,5,0,False,8,car,766.8211111111112,0.1416172303196827,-4333,5698,126,car,0 days 00:16:45.664000
2024-11-30 18:02:02.590,0 days 00:16:45.944000,0 days 00:00:09.934000,8317,159,5,21,False,8,car,779.1877777777779,0.1439011177299842,-4243,5785,126,car,0 days 00:16:45.944000
2024-11-30 18:02:02.830,0 days 00:16:46.184000,0 days 00:00:10.174000,8228,158,5,44,False,8,car,789.7211111111112,0.14584642344873155,-4155,5842,127,car,0 days 00:16:46.184000
2024-11-30 18:02:03.110,0 days 00:16:46.464000,0 days 00:00:10.454000,8517,159,5,57,False,8,car,802.0877777777779,0.14813031085903308,-4044,5892,128,car,0 days 00:16:46.464000
2024-11-30 18:02:03.310,0 days 00:16:46.664000,0 days 00:00:10.654000,8648,161,5,72,False,8,car,811.0322222222223,0.14978217911176686,-3958,5914,128,car,0 days 00:16:46.664000
2024-11-30 18:02:03.510,0 days 00:16:46.864000,0 days 00:00:10.854000,9150,164,5,99,False,8,car,820.1433333333334,0.1514648275182783,-3867,5923,129,car,0 days 00:16:46.864000
2024-11-30 18:02:03.750,0 days 00:16:47.104000,0 days 00:00:11.094000,9612,173,5,80,False,8,car,831.6766666666667,0.15359481415969156,-3750,5916,128,car,0 days 00:16:47.104000
2024-11-30 18:02:04.029,0 days 00:16:47.383000,0 days 00:00:11.373000,9773,182,5,100,False,8,car,845.7816666666668,0.15619973857389394,-3579,5872,128,car,0 days 00:16:47.383000
