Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-12-08 14:17:32.484,0 days 02:10:45.267000,0 days 00:00:00.063000,12185,227,5,100,False,0,car,4.2674999999999965,0.0008167924836164331,631.5283700096287,2087.9135794406598,-238.9679118833129,car,0 days 02:10:45.267000
2024-12-08 14:17:32.804,0 days 02:10:45.587000,0 days 00:00:00.383000,12310,235,5,100,False,0,car,25.156388888888884,0.004814891472613101,843.5422734107651,2113.1338959931304,-239.0306834385284,car,0 days 02:10:45.587000
2024-12-08 14:17:33.004,0 days 02:10:45.787000,0 days 00:00:00.583000,12545,237,5,100,False,0,car,38.32305555555555,0.007334969824720043,962.3959619677172,2126.90834441601,-238.0045945970036,car,0 days 02:10:45.787000
2024-12-08 14:17:33.244,0 days 02:10:46.027000,0 days 00:00:00.823000,11987,237,5,100,False,0,car,54.123055555555545,0.010359063847248374,1106.6865806415824,2142.5976629512325,-239.7208117433463,car,0 days 02:10:46.027000
2024-12-08 14:17:33.404,0 days 02:10:46.187000,0 days 00:00:00.983000,11043,239,5,100,False,0,car,64.74527777777777,0.012392139716121148,1248.5857032892882,2158.706998141518,-239.69877605719958,car,0 days 02:10:46.187000
2024-12-08 14:17:33.604,0 days 02:10:46.387000,0 days 00:00:01.183000,11100,241,6,100,False,0,car,78.13416666666666,0.01495475103619614,1442.448548573582,2181.2027881319973,-238.88366554822574,car,0 days 02:10:46.387000
2024-12-08 14:17:33.964,0 days 02:10:46.747000,0 days 00:00:01.543000,11453,248,6,99,False,0,car,102.93416666666664,0.01970143026143048,1679.210698347159,2208.123514625339,-240.28262316166578,car,0 days 02:10:46.747000
2024-12-08 14:17:34.284,0 days 02:10:47.067000,0 days 00:00:01.863000,11659,256,6,99,False,0,car,125.6897222222222,0.02405680618135877,1823.560157106529,2223.798336175846,-240.1896730511922,car,0 days 02:10:47.067000
2024-12-08 14:17:34.444,0 days 02:10:47.227000,0 days 00:00:02.023000,11791,258,6,99,False,0,car,137.15638888888887,0.02625150732851013,1930.6968553971744,2236.051846672927,-239.05334873996026,car,0 days 02:10:47.227000
2024-12-08 14:17:34.684,0 days 02:10:47.467000,0 days 00:00:02.263000,11706,261,6,99,False,0,car,154.55638888888885,0.029581838720408413,2117.911685455116,2257.2046394844497,-239.00868900368758,car,0 days 02:10:47.467000
2024-12-08 14:17:34.844,0 days 02:10:47.627000,0 days 00:00:02.423000,10586,263,6,99,False,0,car,166.24527777777774,0.03181907283552783,2309.9958356674947,2278.8623933825966,-238.79266155138754,car,0 days 02:10:47.627000
2024-12-08 14:17:35.124,0 days 02:10:47.907000,0 days 00:00:02.703000,10570,266,7,99,False,0,car,186.9341666666666,0.035778892153353246,2492.596039668407,2299.7176405056607,-239.57231410602844,car,0 days 02:10:47.907000
2024-12-08 14:17:35.404,0 days 02:10:48.187000,0 days 00:00:02.983000,10773,267,7,99,False,0,car,207.7008333333333,0.03975359800996749,2636.4341741044154,2316.3705165657016,-239.29557497231025,car,0 days 02:10:48.187000
2024-12-08 14:17:35.845,0 days 02:10:48.628000,0 days 00:00:03.424000,10869,271,7,99,False,0,car,240.89833333333328,0.04610754492850447,2971.2312744151404,2353.817403019369,-240.0760603311187,car,0 days 02:10:48.628000
2024-12-08 14:17:36.165,0 days 02:10:48.948000,0 days 00:00:03.744000,10800,271,7,99,False,0,car,264.9872222222222,0.05071811865624106,3210.8590629074256,2380.660033221569,-239.97491514223208,car,0 days 02:10:48.948000
2024-12-08 14:17:36.365,0 days 02:10:49.148000,0 days 00:00:03.944000,10698,271,7,99,True,0,car,280.04277777777776,0.05359972723607642,3367.5613789449053,2398.8451078753965,-238.62140817933755,car,0 days 02:10:49.148000
2024-12-08 14:17:36.605,0 days 02:10:49.388000,0 days 00:00:04.184000,9542,261,7,0,True,0,car,297.4427777777778,0.05693005862797472,3591.640471329296,2422.5130075475945,-236.9732786093387,car,0 days 02:10:49.388000
2024-12-08 14:17:36.805,0 days 02:10:49.588000,0 days 00:00:04.384000,9256,219,7,0,True,0,car,309.6094444444445,0.05925873862422544,3683.168773356994,2428.3202596627184,-237.00612145901385,car,0 days 02:10:49.588000
2024-12-08 14:17:37.045,0 days 02:10:49.828000,0 days 00:00:04.624000,9126,198,7,0,True,0,car,322.80944444444447,0.06178519692152759,3829.3899945384996,2443.7533164084807,-236.62391296326328,car,0 days 02:10:49.828000
2024-12-08 14:17:37.205,0 days 02:10:49.988000,0 days 00:00:04.784000,9126,183,7,0,True,0,car,330.9427777777778,0.06334190354915821,3941.846393303352,2458.6718892890713,-235.969497247706,car,0 days 02:10:49.988000
2024-12-08 14:17:37.405,0 days 02:10:50.188000,0 days 00:00:04.984000,9461,173,5,0,True,0,car,340.55388888888893,0.06518145441377636,4006.1945526073264,2469.1602966134615,-235.46948634026077,car,0 days 02:10:50.188000
2024-12-08 14:17:37.645,0 days 02:10:50.428000,0 days 00:00:05.224000,10418,167,5,0,True,0,car,351.68722222222226,0.06731235610897565,4095.309708329116,2506.349910844024,-234.38889449665805,car,0 days 02:10:50.428000
2024-12-08 14:17:37.805,0 days 02:10:50.588000,0 days 00:00:05.384000,9916,160,4,0,True,0,car,358.7983333333334,0.06867341108395324,4183.623914863023,2550.63473593855,-233.3197892202299,car,0 days 02:10:50.588000
2024-12-08 14:17:38.085,0 days 02:10:50.868000,0 days 00:00:05.664000,9509,154,4,0,False,0,car,370.77611111111116,0.07096593805743112,4261.407021485808,2604.3881912996976,-233.11082047443307,car,0 days 02:10:50.868000
2024-12-08 14:17:38.324,0 days 02:10:51.107000,0 days 00:00:05.903000,9427,151,4,0,False,0,car,380.8008333333334,0.07288465340867979,4311.2779090371,2670.320719460554,-232.321114872799,car,0 days 02:10:51.107000
2024-12-08 14:17:38.564,0 days 02:10:51.347000,0 days 00:00:06.143000,8997,147,4,3,False,0,car,390.6008333333334,0.07476035729607079,4355.10084270735,2758.987063726896,-230.95874003349292,car,0 days 02:10:51.347000
2024-12-08 14:17:38.924,0 days 02:10:51.707000,0 days 00:00:06.503000,9094,143,4,41,False,0,car,404.9008333333334,0.07749735378481479,4386.9045970913185,2906.649408977647,-230.13294394668728,car,0 days 02:10:51.707000
2024-12-08 14:17:39.124,0 days 02:10:51.907000,0 days 00:00:06.703000,9300,146,4,54,False,0,car,413.01194444444457,0.0790498071156486,4395.195488760349,3008.5057614290336,-231.01193268806588,car,0 days 02:10:51.907000
2024-12-08 14:17:39.284,0 days 02:10:52.067000,0 days 00:00:06.863000,9300,147,4,54,False,0,car,419.5452777777779,0.08030027637390927,4396.642671454989,3065.706559893436,-230.69700907474459,car,0 days 02:10:52.067000
2024-12-08 14:17:39.524,0 days 02:10:52.307000,0 days 00:00:07.103000,9864,152,4,72,False,0,car,429.67861111111125,0.08223977971325233,4394.530764439493,3148.902218331966,-229.96873089813892,car,0 days 02:10:52.307000
2024-12-08 14:17:39.844,0 days 02:10:52.627000,0 days 00:00:07.423000,10325,161,4,83,False,0,car,443.9897222222224,0.08497890285039474,4386.704427028155,3280.338443238636,-230.02744918090448,car,0 days 02:10:52.627000
2024-12-08 14:17:40.004,0 days 02:10:52.787000,0 days 00:00:07.583000,10605,168,4,82,False,0,car,451.4563888888891,0.08640801057412122,4379.922606314315,3352.6246025255664,-230.97421092939862,car,0 days 02:10:52.787000
2024-12-08 14:17:40.324,0 days 02:10:53.107000,0 days 00:00:07.903000,11305,177,4,100,False,0,car,467.1897222222224,0.08941934470625912,4356.802792631278,3516.0801161991876,-228.89675024544695,car,0 days 02:10:53.107000
2024-12-08 14:17:40.684,0 days 02:10:53.467000,0 days 00:00:08.263000,10230,194,4,100,False,0,car,486.5897222222224,0.09313247280986986,4325.095672622146,3699.479081534321,-228.4657380635336,car,0 days 02:10:53.467000
2024-12-08 14:17:41.004,0 days 02:10:53.787000,0 days 00:00:08.583000,10844,202,5,100,False,0,car,504.545277777778,0.09656913662168828,4292.644643265218,3856.6418279057625,-226.81735313701182,car,0 days 02:10:53.787000
2024-12-08 14:17:41.204,0 days 02:10:53.987000,0 days 00:00:08.783000,11240,209,5,100,False,0,car,516.1563888888891,0.09879148419801888,4267.116216737985,3969.6471523084288,-225.69428937089057,car,0 days 02:10:53.987000
2024-12-08 14:17:41.364,0 days 02:10:54.147000,0 days 00:00:08.943000,11347,212,5,100,False,0,car,525.5786111111113,0.10059488203986418,4243.206468916793,4068.697566980462,-223.06536404767786,car,0 days 02:10:54.147000
2024-12-08 14:17:41.524,0 days 02:10:54.307000,0 days 00:00:09.103000,11647,215,5,100,False,0,car,535.1341666666668,0.10242379966249031,4218.655935457536,4163.89260014407,-221.07999986790196,car,0 days 02:10:54.307000
2024-12-08 14:17:41.724,0 days 02:10:54.507000,0 days 00:00:09.303000,11827,223,5,100,False,0,car,547.5230555555557,0.10479501262670908,4186.091492317271,4282.578335821827,-217.9324515469859,car,0 days 02:10:54.507000
2024-12-08 14:17:42.004,0 days 02:10:54.787000,0 days 00:00:09.583000,12096,230,5,99,False,0,car,565.4119444444445,0.10821891654813706,4142.2004943952625,4441.103905384366,-212.66722786061982,car,0 days 02:10:54.787000
2024-12-08 14:17:42.204,0 days 02:10:54.987000,0 days 00:00:09.783000,11116,233,6,99,False,0,car,578.3563888888889,0.11069646193227593,4076.9589675914476,4643.944455740046,-204.0784161172523,car,0 days 02:10:54.987000
2024-12-08 14:17:42.365,0 days 02:10:55.148000,0 days 00:00:09.944000,10854,235,6,99,False,0,car,588.8661111111112,0.1127080054861149,4041.063110089061,4756.524853533262,-199.63735228897988,car,0 days 02:10:55.148000
2024-12-08 14:17:42.565,0 days 02:10:55.348000,0 days 00:00:10.144000,10927,237,6,99,False,0,car,602.0327777777778,0.11522808383822183,4023.7852122795534,4798.722496511506,-198.88053707095898,car,0 days 02:10:55.348000
2024-12-08 14:17:42.845,0 days 02:10:55.628000,0 days 00:00:10.424000,11196,242,6,99,False,0,car,620.855,0.11883062622511564,3893.0068254132916,5021.222829624196,-187.4013692022283,car,0 days 02:10:55.628000
2024-12-08 14:17:43.045,0 days 02:10:55.828000,0 days 00:00:10.624000,11323,244,6,99,False,0,car,634.4105555555557,0.12142513727116669,3842.4583119885315,5082.839960779456,-184.6124825493856,car,0 days 02:10:55.828000
2024-12-08 14:17:43.205,0 days 02:10:55.988000,0 days 00:00:10.784000,11400,246,6,99,False,0,car,645.3438888888891,0.12351775929519475,3796.100109386887,5122.062744302293,-182.72330668592372,car,0 days 02:10:55.988000
2024-12-08 14:17:43.445,0 days 02:10:56.228000,0 days 00:00:11.024000,11469,249,6,99,False,0,car,661.943888888889,0.12669497200240804,3646.217583098786,5224.250697629831,-174.68760710947936,car,0 days 02:10:56.228000
2024-12-08 14:17:43.645,0 days 02:10:56.428000,0 days 00:00:11.224000,11689,251,6,99,False,0,car,675.8883333333335,0.1293639157424032,3414.2271043124897,5316.845722361213,-161.57183524819519,car,0 days 02:10:56.428000
2024-12-08 14:17:43.805,0 days 02:10:56.588000,0 days 00:00:11.384000,11776,253,6,99,False,0,car,687.132777777778,0.13151608392158648,3311.8193958623942,5351.47343647902,-156.33945145612486,car,0 days 02:10:56.588000
2024-12-08 14:17:44.125,0 days 02:10:56.908000,0 days 00:00:11.704000,11950,258,6,99,False,0,car,710.0661111111114,0.13590548621588922,3187.8975271641375,5386.572412065177,-152.68901586851825,car,0 days 02:10:56.908000
2024-12-08 14:17:44.325,0 days 02:10:57.108000,0 days 00:00:11.904000,10830,260,6,100,False,0,car,724.5105555555557,0.13867012913381244,3045.179177288704,5436.241060186193,-147.70053018237772,car,0 days 02:10:57.108000
2024-12-08 14:17:44.525,0 days 02:10:57.308000,0 days 00:00:12.104000,10824,262,7,100,False,0,car,739.0661111111112,0.14145603853571967,2910.3911301052267,5483.980753753151,-142.84690691632002,car,0 days 02:10:57.308000
2024-12-08 14:17:44.685,0 days 02:10:57.468000,0 days 00:00:12.264000,10718,264,7,99,False,0,car,750.7994444444446,0.1437017792444327,2813.1924133288944,5518.008550325347,-140.8891927423717,car,0 days 02:10:57.468000
2024-12-08 14:17:44.885,0 days 02:10:57.668000,0 days 00:00:12.464000,10785,266,7,99,False,0,car,765.5772222222224,0.146530221614308,2667.7948086074493,5579.29111451308,-137.83304742596584,car,0 days 02:10:57.668000
2024-12-08 14:17:45.124,0 days 02:10:57.907000,0 days 00:00:12.703000,10723,266,7,100,False,0,car,783.2366666666668,0.149910210246309,2476.1207352610704,5731.495332421845,-133.1525649159737,car,0 days 02:10:57.907000
2024-12-08 14:17:45.564,0 days 02:10:58.347000,0 days 00:00:13.143000,10800,268,7,100,False,0,car,815.9922222222225,0.15617956972479954,2327.002637604708,5917.118939716248,-131.61200738955077,car,0 days 02:10:58.347000
2024-12-08 14:17:45.764,0 days 02:10:58.547000,0 days 00:00:13.343000,10936,267,7,99,False,0,car,830.8255555555558,0.15901864533666685,2251.1907369724418,6047.689477963682,-130.98998354645406,car,0 days 02:10:58.547000
2024-12-08 14:17:46.004,0 days 02:10:58.787000,0 days 00:00:13.583000,10899,267,7,96,False,0,car,848.6255555555558,0.16242553607090762,2180.3843043866154,6235.403414690498,-131.01919373867437,car,0 days 02:10:58.787000
2024-12-08 14:17:46.164,0 days 02:10:58.947000,0 days 00:00:13.743000,10881,268,7,100,False,0,car,860.536666666667,0.1647053031539951,2152.7231401023646,6372.673512186495,-131.02622214704272,car,0 days 02:10:58.947000
2024-12-08 14:17:46.364,0 days 02:10:59.147000,0 days 00:00:13.943000,10885,270,7,100,False,0,car,875.536666666667,0.16757627849183845,2138.2926642285292,6508.112569796027,-130.90327206709588,car,0 days 02:10:59.147000
2024-12-08 14:17:46.684,0 days 02:10:59.467000,0 days 00:00:14.263000,10984,271,7,100,False,0,car,899.6255555555559,0.17218685221957505,2153.936886941819,6734.352290525084,-133.49905327879384,car,0 days 02:10:59.467000
2024-12-08 14:17:46.964,0 days 02:10:59.747000,0 days 00:00:14.543000,11007,272,7,100,False,0,car,920.7811111111114,0.17623599077013336,2181.061925166634,6933.588965141965,-136.31077785848547,car,0 days 02:10:59.747000
