Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-21 08:03:19.208,0 days 01:55:00.535000,0 days 00:00:00.155000,10714,264,7,100,False,1,car,11.366666666666665,0.0021157548506084223,41,-1500,140,car,0 days 01:55:00.535000
2024-04-21 08:03:19.368,0 days 01:55:00.695000,0 days 00:00:00.315000,10691,267,7,100,False,1,car,23.233333333333334,0.004324578096404899,-28,-1517,140,car,0 days 01:55:00.695000
2024-04-21 08:03:19.648,0 days 01:55:00.975000,0 days 00:00:00.595000,10951,271,7,100,False,1,car,44.3111111111111,0.008247928000221297,-208,-1563,139,car,0 days 01:55:00.975000
2024-04-21 08:03:19.809,0 days 01:55:01.136000,0 days 00:00:00.756000,11028,275,7,100,False,1,car,56.60972222222222,0.010537151998527455,-345,-1596,139,car,0 days 01:55:01.136000
2024-04-21 08:03:19.969,0 days 01:55:01.296000,0 days 00:00:00.916000,11097,277,7,100,False,1,car,68.92083333333333,0.012828702706713314,-453,-1622,139,car,0 days 01:55:01.296000
2024-04-21 08:03:20.169,0 days 01:55:01.496000,0 days 00:00:01.116000,11216,280,7,100,False,1,car,84.47638888888889,0.015724163890341654,-625,-1664,140,car,0 days 01:55:01.496000
2024-04-21 08:03:20.409,0 days 01:55:01.736000,0 days 00:00:01.356000,11283,281,7,100,False,1,car,103.20972222222223,0.019211126430054067,-807,-1707,139,car,0 days 01:55:01.736000
2024-04-21 08:03:20.569,0 days 01:55:01.896000,0 days 00:00:01.516000,11358,284,7,100,False,1,car,115.83194444444445,0.021560586361912493,-884,-1725,139,car,0 days 01:55:01.896000
2024-04-21 08:03:20.809,0 days 01:55:02.136000,0 days 00:00:01.756000,11433,286,7,100,False,1,car,134.8986111111111,0.025109594498416942,-1061,-1771,138,car,0 days 01:55:02.136000
2024-04-21 08:03:21.129,0 days 01:55:02.456000,0 days 00:00:02.076000,11527,289,7,100,False,1,car,160.5875,0.029891241824523174,-1340,-1839,139,car,0 days 01:55:02.456000
2024-04-21 08:03:21.289,0 days 01:55:02.616000,0 days 00:00:02.236000,11580,289,7,100,False,1,car,173.43194444444447,0.03228206548757629,-1526,-1886,139,car,0 days 01:55:02.616000
2024-04-21 08:03:21.529,0 days 01:55:02.856000,0 days 00:00:02.476000,11691,291,7,100,False,1,car,192.83194444444445,0.03589311922087277,-1628,-1911,139,car,0 days 01:55:02.856000
2024-04-21 08:03:21.769,0 days 01:55:03.096000,0 days 00:00:02.716000,11735,294,7,100,False,1,car,212.43194444444447,0.039541400312244485,-1770,-1946,138,car,0 days 01:55:03.096000
2024-04-21 08:03:21.929,0 days 01:55:03.256000,0 days 00:00:02.876000,11035,295,7,100,False,1,car,225.54305555555555,0.04198186045273122,-1907,-1979,138,car,0 days 01:55:03.256000
2024-04-21 08:03:22.129,0 days 01:55:03.456000,0 days 00:00:03.076000,10344,297,8,100,False,1,car,242.04305555555555,0.045053117493937,-2064,-2019,139,car,0 days 01:55:03.456000
