Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:57:00.116000,MAG,0 days 00:02:09.920000,1.0,1.0,,,,0 days 00:00:49.468000,0 days 00:00:41.810000,,0 days 00:56:18.420000,0 days 00:57:00.276000,182.0,159.0,129.0,255.0,False,MEDIUM,1.0,True,0 days 00:54:49.896000,2024-12-01 16:03:33.084,13.0,False
0 days 00:59:23.459000,MAG,0 days 00:02:23.343000,2.0,1.0,,,0 days 00:00:52.175000,0 days 00:00:45.605000,0 days 00:00:45.563000,0 days 00:57:52.295000,0 days 00:58:37.900000,0 days 00:59:23.463000,198.0,221.0,200.0,258.0,True,MEDIUM,2.0,True,0 days 00:57:00.116000,2024-12-01 16:05:43.304,11.0,False
0 days 01:01:42.156000,MAG,0 days 00:02:18.697000,3.0,1.0,,,0 days 00:00:47.731000,0 days 00:00:42.078000,0 days 00:00:48.888000,0 days 01:00:11.194000,0 days 01:00:53.272000,0 days 01:01:42.160000,93.0,235.0,213.0,263.0,True,MEDIUM,3.0,True,0 days 00:59:23.459000,2024-12-01 16:08:06.647,11.0,False
0 days 01:03:57.079000,MAG,0 days 00:02:14.923000,4.0,1.0,,,0 days 00:00:42.035000,0 days 00:00:40.226000,0 days 00:00:52.662000,0 days 01:02:24.195000,0 days 01:03:04.421000,0 days 01:03:57.083000,123.0,229.0,280.0,,True,MEDIUM,4.0,True,0 days 01:01:42.156000,2024-12-01 16:10:25.344,11.0,False
0 days 01:05:27.969000,MAG,0 days 00:01:30.890000,5.0,1.0,,,0 days 00:00:34.322000,0 days 00:00:30.270000,0 days 00:00:26.298000,0 days 01:04:31.405000,0 days 01:05:01.675000,0 days 01:05:27.973000,220.0,287.0,274.0,317.0,True,MEDIUM,5.0,True,0 days 01:03:57.079000,2024-12-01 16:12:40.267,10.0,False
0 days 01:06:56.502000,MAG,0 days 00:01:28.533000,6.0,1.0,,,0 days 00:00:33.022000,0 days 00:00:29.650000,0 days 00:00:25.861000,0 days 01:06:00.995000,0 days 01:06:30.645000,0 days 01:06:56.506000,226.0,284.0,276.0,304.0,True,MEDIUM,6.0,True,0 days 01:05:27.969000,2024-12-01 16:14:11.157,10.0,False
0 days 01:08:24.577000,MAG,0 days 00:01:28.075000,7.0,1.0,,,0 days 00:00:32.646000,0 days 00:00:29.479000,0 days 00:00:25.950000,0 days 01:07:29.152000,0 days 01:07:58.631000,0 days 01:08:24.581000,228.0,285.0,277.0,302.0,True,MEDIUM,7.0,True,0 days 01:06:56.502000,2024-12-01 16:15:39.690,10.0,False
0 days 01:09:52.284000,MAG,0 days 00:01:27.707000,8.0,1.0,,,0 days 00:00:32.541000,0 days 00:00:29.516000,0 days 00:00:25.650000,0 days 01:08:57.122000,0 days 01:09:26.638000,0 days 01:09:52.288000,229.0,286.0,279.0,324.0,True,MEDIUM,8.0,True,0 days 01:08:24.577000,2024-12-01 16:17:07.765,10.0,False
0 days 01:11:19.679000,MAG,0 days 00:01:27.395000,9.0,1.0,,,0 days 00:00:32.338000,0 days 00:00:29.526000,0 days 00:00:25.531000,0 days 01:10:24.626000,0 days 01:10:54.152000,0 days 01:11:19.683000,230.0,287.0,281.0,325.0,True,MEDIUM,9.0,True,0 days 01:09:52.284000,2024-12-01 16:18:35.472,10.0,False
0 days 01:14:15.779000,MAG,0 days 00:01:28.499000,11.0,1.0,,,0 days 00:00:32.941000,0 days 00:00:29.409000,0 days 00:00:26.149000,0 days 01:13:20.225000,0 days 01:13:49.634000,0 days 01:14:15.783000,226.0,283.0,275.0,298.0,False,MEDIUM,11.0,True,0 days 01:12:47.280000,2024-12-01 16:21:30.468,9.0,False
0 days 01:15:43.292000,MAG,0 days 00:01:27.513000,12.0,1.0,,,0 days 00:00:32.488000,0 days 00:00:29.238000,0 days 00:00:25.787000,0 days 01:14:48.271000,0 days 01:15:17.509000,0 days 01:15:43.296000,231.0,284.0,275.0,304.0,False,MEDIUM,12.0,True,0 days 01:14:15.779000,2024-12-01 16:22:58.967,9.0,False
0 days 01:17:10.613000,MAG,0 days 00:01:27.321000,13.0,1.0,,,0 days 00:00:32.394000,0 days 00:00:29.371000,0 days 00:00:25.556000,0 days 01:16:15.690000,0 days 01:16:45.061000,0 days 01:17:10.617000,230.0,283.0,275.0,301.0,True,MEDIUM,13.0,True,0 days 01:15:43.292000,2024-12-01 16:24:26.480,9.0,False
0 days 01:18:37.602000,MAG,0 days 00:01:26.989000,14.0,1.0,,,0 days 00:00:32.371000,0 days 00:00:29.257000,0 days 00:00:25.361000,0 days 01:17:42.988000,0 days 01:18:12.245000,0 days 01:18:37.606000,231.0,283.0,275.0,304.0,True,MEDIUM,14.0,True,0 days 01:17:10.613000,2024-12-01 16:25:53.801,9.0,False
0 days 01:20:04.513000,MAG,0 days 00:01:26.911000,15.0,1.0,,,0 days 00:00:32.317000,0 days 00:00:29.294000,0 days 00:00:25.300000,0 days 01:19:09.923000,0 days 01:19:39.217000,0 days 01:20:04.517000,227.0,283.0,275.0,303.0,True,MEDIUM,15.0,True,0 days 01:18:37.602000,2024-12-01 16:27:20.790,9.0,False
0 days 01:21:31.310000,MAG,0 days 00:01:26.797000,16.0,1.0,,,0 days 00:00:32.344000,0 days 00:00:29.145000,0 days 00:00:25.308000,0 days 01:20:36.861000,0 days 01:21:06.006000,0 days 01:21:31.314000,230.0,283.0,275.0,302.0,True,MEDIUM,16.0,True,0 days 01:20:04.513000,2024-12-01 16:28:47.701,9.0,False
0 days 01:22:57.960000,MAG,0 days 00:01:26.650000,17.0,1.0,,,0 days 00:00:32.144000,0 days 00:00:29.116000,0 days 00:00:25.390000,0 days 01:22:03.458000,0 days 01:22:32.574000,0 days 01:22:57.964000,232.0,284.0,275.0,303.0,True,MEDIUM,17.0,True,0 days 01:21:31.310000,2024-12-01 16:30:14.498,9.0,False
