Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-22 12:30:40.990,0 days 01:23:44.859000,0 days 00:00:00.182000,11815,256,6,100,False,0,car,13.006666666666662,0.0026508246717591873,1031,-327,187,car,0 days 01:23:44.859000
2024-09-22 12:30:41.190,0 days 01:23:45.059000,0 days 00:00:00.382000,11938,260,6,100,False,0,car,27.451111111111103,0.005594675750938193,1007,-184,188,car,0 days 01:23:45.059000
2024-09-22 12:30:41.470,0 days 01:23:45.339000,0 days 00:00:00.662000,10538,263,6,99,False,0,car,47.906666666666666,0.009763621779221694,978,0,187,car,0 days 01:23:45.339000
2024-09-22 12:30:41.790,0 days 01:23:45.659000,0 days 00:00:00.982000,10891,265,7,100,False,0,car,71.46222222222222,0.014564363539113613,941,237,187,car,0 days 01:23:45.659000
2024-09-22 12:30:41.950,0 days 01:23:45.819000,0 days 00:00:01.142000,10875,269,7,100,False,0,car,83.41777777777777,0.017000966432341773,924,346,187,car,0 days 01:23:45.819000
2024-09-22 12:30:42.269,0 days 01:23:46.138000,0 days 00:00:01.461000,11008,274,7,100,False,0,car,107.69722222222222,0.021949240421317164,877,662,187,car,0 days 01:23:46.138000
2024-09-22 12:30:42.429,0 days 01:23:46.298000,0 days 00:00:01.621000,11083,275,7,100,False,0,car,119.91944444444444,0.02444019133446863,863,754,187,car,0 days 01:23:46.298000
2024-09-22 12:30:42.709,0 days 01:23:46.578000,0 days 00:00:01.901000,11215,279,7,100,False,0,car,141.61944444444444,0.02886276145572755,838,936,188,car,0 days 01:23:46.578000
2024-09-22 12:30:42.989,0 days 01:23:46.858000,0 days 00:00:02.181000,11323,282,7,99,False,0,car,163.55277777777778,0.03333288609441937,796,1240,187,car,0 days 01:23:46.858000
2024-09-22 12:30:43.269,0 days 01:23:47.138000,0 days 00:00:02.461000,11386,284,7,99,False,0,car,185.64166666666665,0.03783471374473311,781,1361,188,car,0 days 01:23:47.138000
2024-09-22 12:30:43.549,0 days 01:23:47.418000,0 days 00:00:02.741000,11464,286,7,99,False,0,car,207.88611111111112,0.04236824440666878,752,1579,187,car,0 days 01:23:47.418000
2024-09-22 12:30:43.870,0 days 01:23:47.739000,0 days 00:00:03.062000,11501,287,7,100,False,0,car,233.47694444444443,0.04758378610612116,722,1821,188,car,0 days 01:23:47.739000
2024-09-22 12:30:44.310,0 days 01:23:48.179000,0 days 00:00:03.502000,11582,289,7,100,False,0,car,268.7991666666666,0.0547826342451289,665,2293,188,car,0 days 01:23:48.179000
2024-09-22 12:30:44.510,0 days 01:23:48.379000,0 days 00:00:03.702000,11553,288,7,100,False,0,car,284.7991666666666,0.05804351544052718,659,2357,188,car,0 days 01:23:48.379000
2024-09-22 12:30:44.750,0 days 01:23:48.619000,0 days 00:00:03.942000,11344,288,7,0,True,0,car,303.9991666666666,0.06195657287500512,634,2579,186,car,0 days 01:23:48.619000
2024-09-22 12:30:44.990,0 days 01:23:48.859000,0 days 00:00:04.182000,9860,288,7,0,True,0,car,323.19916666666666,0.06586963030948306,605,2831,187,car,0 days 01:23:48.859000
2024-09-22 12:30:45.190,0 days 01:23:49.059000,0 days 00:00:04.382000,10104,241,7,0,True,0,car,336.5880555555555,0.06859835380979899,597,2893,186,car,0 days 01:23:49.059000
2024-09-22 12:30:45.430,0 days 01:23:49.299000,0 days 00:00:04.622000,9964,204,6,0,True,0,car,350.18805555555554,0.07137010282588753,581,2986,187,car,0 days 01:23:49.299000
2024-09-22 12:30:45.670,0 days 01:23:49.539000,0 days 00:00:04.862000,9976,175,6,0,True,0,car,361.8547222222222,0.07374782869753212,557,3119,186,car,0 days 01:23:49.539000
2024-09-22 12:30:45.870,0 days 01:23:49.739000,0 days 00:00:05.062000,9853,162,5,0,True,0,car,370.8547222222222,0.07558207436994366,525,3245,186,car,0 days 01:23:49.739000
2024-09-22 12:30:46.150,0 days 01:23:50.019000,0 days 00:00:05.342000,8942,151,4,0,True,0,car,382.59916666666663,0.07797565174739919,493,3344,186,car,0 days 01:23:50.019000
2024-09-22 12:30:46.350,0 days 01:23:50.219000,0 days 00:00:05.542000,8833,144,4,0,True,0,car,390.59916666666663,0.07960609234509834,478,3373,185,car,0 days 01:23:50.219000
2024-09-22 12:30:46.550,0 days 01:23:50.419000,0 days 00:00:05.742000,8440,142,4,0,True,0,car,398.48805555555555,0.0812138879344961,443,3434,185,car,0 days 01:23:50.419000
2024-09-22 12:30:46.710,0 days 01:23:50.579000,0 days 00:00:05.902000,8181,134,4,0,True,0,car,404.4436111111111,0.08242766037944992,386,3499,185,car,0 days 01:23:50.579000
2024-09-22 12:30:46.870,0 days 01:23:50.739000,0 days 00:00:06.062000,8083,131,4,0,False,0,car,410.2658333333334,0.08361425881444208,333,3550,186,car,0 days 01:23:50.739000
2024-09-22 12:30:47.070,0 days 01:23:50.939000,0 days 00:00:06.262000,8055,129,4,5,False,0,car,417.4325,0.08507486184988088,297,3571,186,car,0 days 01:23:50.939000
2024-09-22 12:30:47.390,0 days 01:23:51.259000,0 days 00:00:06.582000,8180,126,4,28,False,0,car,428.6325,0.08735747868665968,201,3607,187,car,0 days 01:23:51.259000
2024-09-22 12:30:47.550,0 days 01:23:51.419000,0 days 00:00:06.742000,8255,126,4,46,False,0,car,434.2325,0.08849878710504908,145,3622,187,car,0 days 01:23:51.419000
2024-09-22 12:30:47.790,0 days 01:23:51.659000,0 days 00:00:06.982000,8576,129,4,56,False,0,car,442.83250000000004,0.09025151074757566,24,3647,187,car,0 days 01:23:51.659000
2024-09-22 12:30:48.270,0 days 01:23:52.139000,0 days 00:00:07.462000,9320,142,4,70,False,0,car,461.7658333333334,0.0941102201621303,-113,3679,186,car,0 days 01:23:52.139000
2024-09-22 12:30:48.630,0 days 01:23:52.499000,0 days 00:00:07.822000,9630,151,4,55,False,0,car,476.8658333333334,0.09718767679028743,-247,3737,185,car,0 days 01:23:52.499000
2024-09-22 12:30:48.869,0 days 01:23:52.738000,0 days 00:00:08.061000,9426,151,4,20,True,0,car,486.89055555555564,0.09923076605175843,-328,3793,184,car,0 days 01:23:52.738000
2024-09-22 12:30:49.029,0 days 01:23:52.898000,0 days 00:00:08.221000,9352,151,4,16,True,0,car,493.60166666666674,0.1005985245531616,-379,3835,184,car,0 days 01:23:52.898000
2024-09-22 12:30:49.229,0 days 01:23:53.098000,0 days 00:00:08.421000,8773,148,4,0,True,0,car,501.8238888888889,0.10227425516746348,-443,3889,184,car,0 days 01:23:53.098000
2024-09-22 12:30:49.709,0 days 01:23:53.578000,0 days 00:00:08.901000,8393,122,4,0,True,0,car,518.0905555555556,0.10558948438278508,-581,4004,184,car,0 days 01:23:53.578000
2024-09-22 12:30:49.909,0 days 01:23:53.778000,0 days 00:00:09.101000,8013,112,3,0,True,0,car,524.3127777777779,0.1068576048476622,-632,4041,182,car,0 days 01:23:53.778000
2024-09-22 12:30:50.190,0 days 01:23:54.059000,0 days 00:00:09.382000,7252,102,3,0,True,0,car,532.2744444444445,0.10848023291749735,-725,4078,182,car,0 days 01:23:54.059000
2024-09-22 12:30:50.390,0 days 01:23:54.259000,0 days 00:00:09.582000,6699,97,3,0,True,0,car,537.6633333333334,0.10957851582011413,-783,4092,183,car,0 days 01:23:54.259000
2024-09-22 12:30:50.630,0 days 01:23:54.499000,0 days 00:00:09.822000,6479,92,3,0,True,0,car,543.7966666666667,0.11082852027835015,-814,4087,183,car,0 days 01:23:54.499000
2024-09-22 12:30:50.830,0 days 01:23:54.699000,0 days 00:00:10.022000,6213,88,3,0,True,0,car,548.6855555555557,0.11182490064361074,-864,4079,182,car,0 days 01:23:54.699000
2024-09-22 12:30:50.990,0 days 01:23:54.859000,0 days 00:00:10.182000,6022,85,3,0,False,0,car,552.4633333333335,0.11259483092585756,-899,4067,181,car,0 days 01:23:54.859000
2024-09-22 12:30:51.190,0 days 01:23:55.059000,0 days 00:00:10.382000,5894,83,3,0,False,0,car,557.0744444444446,0.1135345987703647,-940,4045,182,car,0 days 01:23:55.059000
2024-09-22 12:30:51.470,0 days 01:23:55.339000,0 days 00:00:10.662000,5851,79,3,9,False,0,car,563.2188888888891,0.11478686772943086,-990,4005,183,car,0 days 01:23:55.339000
2024-09-22 12:30:51.630,0 days 01:23:55.499000,0 days 00:00:10.822000,6160,79,3,20,False,0,car,566.7300000000001,0.11550244999175437,-1012,3980,182,car,0 days 01:23:55.499000
2024-09-22 12:30:51.830,0 days 01:23:55.699000,0 days 00:00:11.022000,6392,81,3,27,False,0,car,571.2300000000001,0.11641957282796013,-1042,3933,182,car,0 days 01:23:55.699000
2024-09-22 12:30:52.150,0 days 01:23:56.019000,0 days 00:00:11.342000,6857,85,3,41,False,0,car,578.7855555555557,0.11795943339245377,-1080,3858,183,car,0 days 01:23:56.019000
2024-09-22 12:30:52.350,0 days 01:23:56.219000,0 days 00:00:11.542000,7066,88,3,43,False,0,car,583.6744444444446,0.11895581375771436,-1088,3831,184,car,0 days 01:23:56.219000
2024-09-22 12:30:52.510,0 days 01:23:56.379000,0 days 00:00:11.702000,7437,94,3,45,False,0,car,587.8522222222224,0.11980726606984614,-1101,3791,184,car,0 days 01:23:56.379000
2024-09-22 12:30:52.870,0 days 01:23:56.739000,0 days 00:00:12.062000,7860,103,3,51,False,0,car,598.1522222222223,0.12190645833938377,-1129,3669,183,car,0 days 01:23:56.739000
2024-09-22 12:30:53.070,0 days 01:23:56.939000,0 days 00:00:12.262000,8590,109,3,64,False,0,car,604.2077777777779,0.12314061129180881,-1140,3607,184,car,0 days 01:23:56.939000
2024-09-22 12:30:53.310,0 days 01:23:57.179000,0 days 00:00:12.502000,9187,116,3,70,False,0,car,611.9411111111112,0.12471670386958465,-1144,3564,183,car,0 days 01:23:57.179000
2024-09-22 12:30:53.790,0 days 01:23:57.659000,0 days 00:00:12.982000,10764,136,3,87,False,0,car,630.0744444444446,0.12841236922436938,-1153,3388,181,car,0 days 01:23:57.659000
2024-09-22 12:30:53.990,0 days 01:23:57.859000,0 days 00:00:13.182000,11373,146,3,88,False,0,car,638.1855555555558,0.1300654548303699,-1147,3264,180,car,0 days 01:23:57.859000
2024-09-22 12:30:54.190,0 days 01:23:58.059000,0 days 00:00:13.382000,12007,155,3,99,False,0,car,646.7966666666669,0.1318204429737266,-1142,3212,179,car,0 days 01:23:58.059000
2024-09-22 12:30:54.390,0 days 01:23:58.259000,0 days 00:00:13.582000,11361,163,3,100,False,0,car,655.8522222222225,0.13366601115028887,-1132,3145,178,car,0 days 01:23:58.259000
2024-09-22 12:30:54.630,0 days 01:23:58.499000,0 days 00:00:13.822000,10975,172,4,100,False,0,car,667.3188888888891,0.13600297600699096,-1110,3032,177,car,0 days 01:23:58.499000
2024-09-22 12:30:54.950,0 days 01:23:58.819000,0 days 00:00:14.142000,11910,183,4,99,False,0,car,683.5855555555557,0.13931820522231253,-1059,2860,176,car,0 days 01:23:58.819000
2024-09-22 12:30:55.230,0 days 01:23:59.099000,0 days 00:00:14.422000,10694,193,4,99,False,0,car,698.5966666666669,0.14237754584382858,-1017,2739,176,car,0 days 01:23:59.099000
2024-09-22 12:30:55.589,0 days 01:23:59.458000,0 days 00:00:14.781000,11143,207,5,99,False,0,car,719.239166666667,0.14658459209857916,-947,2561,177,car,0 days 01:23:59.458000
2024-09-22 12:30:55.989,0 days 01:23:59.858000,0 days 00:00:15.181000,11672,217,5,99,False,0,car,743.3502777777779,0.15149855889997793,-858,2350,180,car,0 days 01:23:59.858000
2024-09-22 12:30:56.149,0 days 01:24:00.018000,0 days 00:00:15.341000,11796,219,5,99,False,0,car,753.0836111111113,0.15348226162717854,-818,2256,182,car,0 days 01:24:00.018000
2024-09-22 12:30:56.429,0 days 01:24:00.298000,0 days 00:00:15.621000,10945,227,5,99,False,0,car,770.739166666667,0.15708055344626737,-751,2092,184,car,0 days 01:24:00.298000
2024-09-22 12:30:56.669,0 days 01:24:00.538000,0 days 00:00:15.861000,10771,233,6,99,False,0,car,786.2725000000003,0.16024632560679988,-694,1948,187,car,0 days 01:24:00.538000
2024-09-22 12:30:56.910,0 days 01:24:00.779000,0 days 00:00:16.102000,10913,237,6,99,False,0,car,802.1383333333335,0.16347986295467423,-639,1804,188,car,0 days 01:24:00.779000
