Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:58:56.373000,MAG,0 days 00:01:45.073000,1.0,1.0,,,,0 days 00:00:40.962000,0 days 00:00:34.194000,,0 days 00:58:22.404000,0 days 00:58:56.525000,204.0,175.0,199.0,312.0,False,MEDIUM,1.0,True,0 days 00:57:10.953000,2024-10-20 19:03:48.551,7.0,False
0 days 01:00:38.411000,MAG,0 days 00:01:42.038000,2.0,1.0,,,0 days 00:00:27.762000,0 days 00:00:39.998000,0 days 00:00:34.278000,0 days 00:59:24.135000,0 days 01:00:04.133000,0 days 01:00:38.411000,203.0,182.0,204.0,324.0,True,MEDIUM,2.0,True,0 days 00:58:56.373000,2024-10-20 19:05:33.971,7.0,False
0 days 01:02:46.970000,MAG,0 days 00:02:08.559000,3.0,1.0,,,0 days 00:00:27.663000,0 days 00:00:51.998000,0 days 00:00:48.898000,0 days 01:01:06.074000,0 days 01:01:58.072000,0 days 01:02:46.970000,202.0,117.0,129.0,211.0,False,MEDIUM,3.0,True,0 days 01:00:38.411000,2024-10-20 19:07:16.009,7.0,False
0 days 01:05:17.438000,MAG,,4.0,1.0,,,0 days 00:00:38.013000,0 days 00:00:57.842000,0 days 00:00:54.637000,0 days 01:03:24.959000,0 days 01:04:22.910000,0 days 01:05:17.526000,160.0,105.0,101.0,258.0,False,MEDIUM,4.0,True,0 days 01:02:46.970000,2024-10-20 19:09:24.568,7.0,False
0 days 01:07:57.029000,MAG,,5.0,1.0,,,0 days 00:00:35.541000,0 days 00:01:02.808000,0 days 00:01:01.258000,0 days 01:05:53.167000,0 days 01:06:55.929000,0 days 01:07:57.124000,150.0,140.0,206.0,161.0,False,MEDIUM,5.0,True,0 days 01:05:17.438000,2024-10-20 19:11:55.036,7.0,False
0 days 01:09:39.340000,MAG,0 days 00:01:42.311000,6.0,1.0,,,0 days 00:00:27.932000,0 days 00:00:40.556000,0 days 00:00:33.823000,0 days 01:08:24.961000,0 days 01:09:05.517000,0 days 01:09:39.340000,202.0,179.0,202.0,312.0,False,MEDIUM,6.0,True,0 days 01:07:57.029000,2024-10-20 19:14:34.627,7.0,False
0 days 01:11:21.080000,MAG,0 days 00:01:41.740000,7.0,1.0,,,0 days 00:00:27.581000,0 days 00:00:40.211000,0 days 00:00:33.948000,0 days 01:10:06.921000,0 days 01:10:47.132000,0 days 01:11:21.080000,,181.0,203.0,323.0,True,MEDIUM,7.0,True,0 days 01:09:39.340000,2024-10-20 19:16:16.938,7.0,False
0 days 01:13:01.916000,MAG,0 days 00:01:40.836000,8.0,1.0,,,0 days 00:00:27.075000,0 days 00:00:40.118000,0 days 00:00:33.643000,0 days 01:11:48.155000,0 days 01:12:28.273000,0 days 01:13:01.916000,206.0,180.0,203.0,322.0,True,MEDIUM,8.0,True,0 days 01:11:21.080000,2024-10-20 19:17:58.678,7.0,False
0 days 01:14:42.550000,MAG,0 days 00:01:40.634000,9.0,1.0,,,0 days 00:00:27.042000,0 days 00:00:40.206000,0 days 00:00:33.386000,0 days 01:13:28.958000,0 days 01:14:09.164000,0 days 01:14:42.550000,197.0,182.0,204.0,333.0,True,MEDIUM,9.0,True,0 days 01:13:01.916000,2024-10-20 19:19:39.514,7.0,False
0 days 01:16:23.837000,MAG,0 days 00:01:41.287000,10.0,1.0,,,0 days 00:00:27.147000,0 days 00:00:40.207000,0 days 00:00:33.933000,0 days 01:15:09.697000,0 days 01:15:49.904000,0 days 01:16:23.837000,203.0,179.0,199.0,321.0,False,MEDIUM,10.0,True,0 days 01:14:42.550000,2024-10-20 19:21:20.148,7.0,False
