Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:47:48.534000,MAG,,1.0,1.0,,,,0 days 00:00:40.742000,0 days 00:00:33.028000,,0 days 00:47:15.643000,0 days 00:47:48.633000,204.0,180.0,207.0,316.0,False,MEDIUM,6.0,False,0 days 00:46:05.307000,2024-10-19 18:03:51.406,7.0,False
0 days 00:49:28.368000,MAG,0 days 00:01:39.834000,2.0,1.0,,,0 days 00:00:27.064000,0 days 00:00:39.577000,0 days 00:00:33.193000,0 days 00:48:15.669000,0 days 00:48:55.246000,0 days 00:49:28.439000,211.0,182.0,200.0,328.0,True,MEDIUM,7.0,False,0 days 00:47:48.534000,2024-10-19 18:05:34.633,7.0,False
0 days 00:51:07.929000,MAG,0 days 00:01:39.561000,3.0,1.0,,,0 days 00:00:27.035000,0 days 00:00:39.793000,0 days 00:00:32.733000,0 days 00:49:55.474000,0 days 00:50:35.267000,0 days 00:51:08,208.0,183.0,204.0,309.0,True,MEDIUM,8.0,False,0 days 00:49:28.368000,2024-10-19 18:07:14.467,7.0,False
0 days 00:52:46.837000,MAG,0 days 00:01:38.908000,4.0,1.0,,,0 days 00:00:26.797000,0 days 00:00:39.624000,0 days 00:00:32.487000,0 days 00:51:34.797000,0 days 00:52:14.421000,0 days 00:52:46.908000,217.0,182.0,204.0,311.0,True,MEDIUM,9.0,False,0 days 00:51:07.929000,2024-10-19 18:08:54.028,7.0,False
0 days 00:54:28.310000,MAG,0 days 00:01:41.473000,5.0,1.0,,,0 days 00:00:26.973000,0 days 00:00:41.343000,0 days 00:00:33.157000,0 days 00:53:13.881000,0 days 00:53:55.224000,0 days 00:54:28.381000,220.0,179.0,204.0,284.0,False,MEDIUM,10.0,False,0 days 00:52:46.837000,2024-10-19 18:10:32.936,8.0,False
0 days 00:56:06.912000,MAG,0 days 00:01:38.602000,6.0,1.0,,,0 days 00:00:26.835000,0 days 00:00:39.069000,0 days 00:00:32.698000,0 days 00:54:55.216000,0 days 00:55:34.285000,0 days 00:56:06.983000,,183.0,202.0,313.0,True,MEDIUM,11.0,False,0 days 00:54:28.310000,2024-10-19 18:12:14.409,7.0,False
0 days 00:57:46.205000,MAG,0 days 00:01:39.293000,7.0,1.0,,,0 days 00:00:26.718000,0 days 00:00:39.743000,0 days 00:00:32.832000,0 days 00:56:33.701000,0 days 00:57:13.444000,0 days 00:57:46.276000,,182.0,202.0,303.0,False,MEDIUM,12.0,False,0 days 00:56:06.912000,2024-10-19 18:13:53.011,7.0,False
0 days 00:59:25.283000,MAG,0 days 00:01:39.078000,8.0,1.0,,,0 days 00:00:26.715000,0 days 00:00:39.545000,0 days 00:00:32.818000,0 days 00:58:12.991000,0 days 00:58:52.536000,0 days 00:59:25.354000,217.0,184.0,202.0,301.0,False,MEDIUM,13.0,False,0 days 00:57:46.205000,2024-10-19 18:15:32.304,7.0,False
0 days 01:01:04.397000,MAG,0 days 00:01:39.114000,9.0,1.0,,,0 days 00:00:26.708000,0 days 00:00:39.755000,0 days 00:00:32.651000,0 days 00:59:52.062000,0 days 01:00:31.817000,0 days 01:01:04.468000,223.0,182.0,202.0,302.0,False,MEDIUM,14.0,False,0 days 00:59:25.283000,2024-10-19 18:17:11.382,7.0,False
0 days 01:02:43.847000,MAG,0 days 00:01:39.450000,10.0,1.0,,,0 days 00:00:26.603000,0 days 00:00:39.951000,0 days 00:00:32.896000,0 days 01:01:31.071000,0 days 01:02:11.022000,0 days 01:02:43.918000,216.0,182.0,203.0,300.0,False,MEDIUM,15.0,False,0 days 01:01:04.397000,2024-10-19 18:18:50.496,7.0,False
0 days 01:04:22.749000,MAG,0 days 00:01:38.902000,11.0,1.0,,,0 days 00:00:26.572000,0 days 00:00:39.702000,0 days 00:00:32.628000,0 days 01:03:10.490000,0 days 01:03:50.192000,0 days 01:04:22.820000,219.0,183.0,203.0,302.0,False,MEDIUM,16.0,False,0 days 01:02:43.847000,2024-10-19 18:20:29.946,7.0,False
