Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-03-01 16:37:53.445,0 days 00:51:17.772000,0 days 00:00:00.260000,10451,291,8,99,False,12,car,21.066666666666663,0.003912350957690278,-366,1562,-159,car,0 days 00:51:17.772000
2024-03-01 16:37:53.645,0 days 00:51:17.972000,0 days 00:00:00.460000,10565,293,8,99,False,12,car,37.34444444444444,0.006935343654428811,-359,1718,-158,car,0 days 00:51:17.972000
2024-03-01 16:37:53.885,0 days 00:51:18.212000,0 days 00:00:00.700000,10611,296,8,99,False,12,car,57.07777777777777,0.010600077462898184,-352,1860,-158,car,0 days 00:51:18.212000
2024-03-01 16:37:54.126,0 days 00:51:18.453000,0 days 00:00:00.941000,10645,298,8,99,False,12,car,77.0272222222222,0.01430494588430378,-344,2061,-158,car,0 days 00:51:18.453000
2024-03-01 16:37:54.446,0 days 00:51:18.773000,0 days 00:00:01.261000,10760,301,8,99,False,12,car,103.78277777777777,0.019273796678669915,-333,2337,-159,car,0 days 00:51:18.773000
2024-03-01 16:37:54.606,0 days 00:51:18.933000,0 days 00:00:01.421000,10797,302,8,99,False,12,car,117.205,0.021766475980827014,-328,2460,-159,car,0 days 00:51:18.933000
2024-03-01 16:37:54.886,0 days 00:51:19.213000,0 days 00:00:01.701000,10857,304,8,99,False,12,car,140.84944444444443,0.026157553427011038,-318,2692,-159,car,0 days 00:51:19.213000
2024-03-01 16:37:55.206,0 days 00:51:19.533000,0 days 00:00:02.021000,10939,306,8,99,False,12,car,168.04944444444442,0.03120894327111747,-305,2974,-158,car,0 days 00:51:19.533000
2024-03-01 16:37:55.406,0 days 00:51:19.733000,0 days 00:00:02.221000,10995,307,8,99,False,12,car,185.105,0.03437637930490153,-299,3099,-159,car,0 days 00:51:19.733000
2024-03-01 16:37:55.606,0 days 00:51:19.933000,0 days 00:00:02.421000,11025,308,8,99,False,12,car,202.21611111111108,0.03755413271990313,-296,3165,-158,car,0 days 00:51:19.933000
2024-03-01 16:37:55.806,0 days 00:51:20.133000,0 days 00:00:02.621000,11069,310,8,99,False,12,car,219.4383333333333,0.0407525208973398,-287,3373,-159,car,0 days 00:51:20.133000
2024-03-01 16:37:56.086,0 days 00:51:20.413000,0 days 00:00:02.901000,11128,311,8,99,False,12,car,243.62722222222217,0.045244708679455695,-276,3653,-158,car,0 days 00:51:20.413000
2024-03-01 16:37:56.246,0 days 00:51:20.573000,0 days 00:00:03.061000,11118,312,8,99,False,12,car,257.4938888888889,0.0478199270313531,-273,3731,-158,car,0 days 00:51:20.573000
2024-03-01 16:37:56.526,0 days 00:51:20.853000,0 days 00:00:03.341000,11179,313,8,99,False,12,car,281.83833333333337,0.052341003480878105,-260,4081,-157,car,0 days 00:51:20.853000
2024-03-01 16:37:56.766,0 days 00:51:21.093000,0 days 00:00:03.581000,11237,314,8,99,False,12,car,302.7716666666667,0.056228592723646297,-255,4219,-157,car,0 days 00:51:21.093000
2024-03-01 16:37:57.005,0 days 00:51:21.332000,0 days 00:00:03.820000,11182,314,8,99,False,12,car,323.6177777777778,0.060099983677902945,-249,4396,-158,car,0 days 00:51:21.332000
2024-03-01 16:37:57.325,0 days 00:51:21.652000,0 days 00:00:04.140000,11264,315,8,99,False,12,car,351.6177777777778,0.06529994381154193,-235,4786,-158,car,0 days 00:51:21.652000
2024-03-01 16:37:57.725,0 days 00:51:22.052000,0 days 00:00:04.540000,11310,316,8,99,False,12,car,386.72888888888895,0.07182052874102574,-221,5207,-154,car,0 days 00:51:22.052000
