Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-21 07:55:29.927,0 days 01:47:11.254000,0 days 00:00:00.121000,10169,217,6,0,False,1,car,7.205833333333338,0.0013325729980673306,171,-1466,140,car,0 days 01:47:11.254000
2024-04-21 07:55:30.287,0 days 01:47:11.614000,0 days 00:00:00.481000,9838,212,6,0,False,1,car,28.405833333333337,0.00525308381925767,-47,-1521,139,car,0 days 01:47:11.614000
2024-04-21 07:55:30.487,0 days 01:47:11.814000,0 days 00:00:00.681000,9590,208,6,0,False,1,car,39.9613888888889,0.007390049885315299,-204,-1561,138,car,0 days 01:47:11.814000
2024-04-21 07:55:30.647,0 days 01:47:11.974000,0 days 00:00:00.841000,9574,204,6,0,False,1,car,49.02805555555556,0.009066746337145128,-261,-1575,138,car,0 days 01:47:11.974000
2024-04-21 07:55:30.807,0 days 01:47:12.134000,0 days 00:00:01.001000,9574,203,6,0,False,1,car,58.05027777777778,0.010735223688720891,-295,-1584,138,car,0 days 01:47:12.134000
2024-04-21 07:55:31.007,0 days 01:47:12.334000,0 days 00:00:01.201000,9262,199,6,0,False,1,car,69.10583333333335,0.01277972487692026,-439,-1618,138,car,0 days 01:47:12.334000
2024-04-21 07:55:31.247,0 days 01:47:12.574000,0 days 00:00:01.441000,9042,195,6,0,False,1,car,82.10583333333335,0.01518381170123509,-575,-1651,139,car,0 days 01:47:12.574000
2024-04-21 07:55:31.447,0 days 01:47:12.774000,0 days 00:00:01.641000,9018,192,6,0,False,1,car,92.77250000000001,0.01715639576221136,-624,-1663,139,car,0 days 01:47:12.774000
2024-04-21 07:55:31.607,0 days 01:47:12.934000,0 days 00:00:01.801000,9578,191,6,0,False,1,car,101.26138888888889,0.018726243910738308,-697,-1681,140,car,0 days 01:47:12.934000
2024-04-21 07:55:31.887,0 days 01:47:13.214000,0 days 00:00:02.081000,9977,187,5,7,False,1,car,115.80583333333334,0.021415944468881995,-835,-1714,140,car,0 days 01:47:13.214000
2024-04-21 07:55:32.127,0 days 01:47:13.454000,0 days 00:00:02.321000,9971,184,5,28,False,1,car,128.07250000000002,0.02368441613900471,-950,-1743,140,car,0 days 01:47:13.454000
2024-04-21 07:55:32.327,0 days 01:47:13.654000,0 days 00:00:02.521000,9915,183,5,38,False,1,car,138.23916666666668,0.025564535322122717,-1044,-1765,139,car,0 days 01:47:13.654000
2024-04-21 07:55:32.647,0 days 01:47:13.974000,0 days 00:00:02.841000,9949,184,5,45,False,1,car,154.59472222222223,0.028589164215619668,-1257,-1818,138,car,0 days 01:47:13.974000
2024-04-21 07:55:33.008,0 days 01:47:14.335000,0 days 00:00:03.202000,10085,186,5,53,False,1,car,173.24638888888887,0.03203841237599239,-1368,-1846,138,car,0 days 01:47:14.335000
2024-04-21 07:55:33.208,0 days 01:47:14.535000,0 days 00:00:03.402000,10231,188,5,58,False,1,car,183.69083333333333,0.03396990093569832,-1468,-1871,139,car,0 days 01:47:14.535000
2024-04-21 07:55:33.488,0 days 01:47:14.815000,0 days 00:00:03.682000,10491,192,5,65,False,1,car,198.62416666666664,0.0367315186210651,-1677,-1923,138,car,0 days 01:47:14.815000
2024-04-21 07:55:33.928,0 days 01:47:15.255000,0 days 00:00:04.122000,10921,202,5,82,False,1,car,223.31305555555554,0.041297228812199764,-1881,-1973,138,car,0 days 01:47:15.255000
2024-04-21 07:55:34.168,0 days 01:47:15.495000,0 days 00:00:04.362000,11361,204,5,99,False,1,car,236.91305555555556,0.043812273489944514,-1967,-1995,138,car,0 days 01:47:15.495000
