Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-01 18:42:15.642,0 days 00:27:15.633000,0 days 00:00:00.223000,11587,324,8,95,False,12,car,20.07,0.004774432955138226,-3617,-5495,7774,car,0 days 00:27:15.633000
2024-11-01 18:42:15.842,0 days 00:27:15.833000,0 days 00:00:00.423000,11253,319,8,0,False,8,car,37.79222222222222,0.008990355317672396,-3573,-5666,7780,car,0 days 00:27:15.833000
2024-11-01 18:42:16.242,0 days 00:27:16.233000,0 days 00:00:00.823000,10668,307,8,0,False,8,car,71.90333333333334,0.017105014661233462,-3486,-6003,7791,car,0 days 00:27:16.233000
2024-11-01 18:42:16.682,0 days 00:27:16.673000,0 days 00:00:01.263000,10309,294,8,0,False,8,car,107.83666666666667,0.025653160692854466,-3385,-6378,7801,car,0 days 00:27:16.673000
2024-11-01 18:42:17.041,0 days 00:27:17.032000,0 days 00:00:01.622000,9990,285,8,0,False,8,car,136.25750000000002,0.032414165340545434,-3305,-6677,7806,car,0 days 00:27:17.032000
2024-11-01 18:42:17.281,0 days 00:27:17.272000,0 days 00:00:01.862000,9860,285,8,0,False,8,car,155.25750000000002,0.03693405702702408,-3270,-6807,7808,car,0 days 00:27:17.272000
2024-11-01 18:42:17.681,0 days 00:27:17.672000,0 days 00:00:02.262000,10513,274,8,0,True,8,car,185.70194444444445,0.044176456571440134,-3192,-7095,7811,car,0 days 00:27:17.672000
2024-11-01 18:42:17.841,0 days 00:27:17.832000,0 days 00:00:02.422000,11073,260,7,1,True,8,car,197.25750000000002,0.04692539654450317,-3159,-7213,7812,car,0 days 00:27:17.832000
2024-11-01 18:42:18.041,0 days 00:27:18.032000,0 days 00:00:02.622000,12064,260,7,1,True,8,car,211.70194444444445,0.05036157151083196,-3104,-7409,7813,car,0 days 00:27:18.032000
2024-11-01 18:42:18.281,0 days 00:27:18.272000,0 days 00:00:02.862000,10689,235,7,0,True,8,car,227.36861111111114,0.05408849974354242,-3060,-7556,7814,car,0 days 00:27:18.272000
2024-11-01 18:42:18.481,0 days 00:27:18.472000,0 days 00:00:03.062000,10631,215,6,0,True,8,car,239.31305555555556,0.05692995211954507,-3044,-7609,7815,car,0 days 00:27:18.472000
2024-11-01 18:42:18.681,0 days 00:27:18.672000,0 days 00:00:03.262000,11642,201,6,0,True,8,car,250.47972222222225,0.059586379689668484,-3012,-7719,7816,car,0 days 00:27:18.672000
