Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-09 19:17:10.226,0 days 01:18:04.229000,0 days 00:00:00.080000,10731,270,7,99,False,0,car,6.022222222222226,0.0013867150396537826,3368,812,130,car,0 days 01:18:04.229000
2024-06-09 19:17:10.586,0 days 01:18:04.589000,0 days 00:00:00.440000,10840,272,7,99,False,0,car,33.22222222222223,0.007649959351595586,3388,586,127,car,0 days 01:18:04.589000
2024-06-09 19:17:10.906,0 days 01:18:04.909000,0 days 00:00:00.760000,10855,273,7,99,False,0,car,57.488888888888894,0.013237755747543666,3394,200,128,car,0 days 01:18:04.909000
2024-06-09 19:17:11.106,0 days 01:18:05.109000,0 days 00:00:00.960000,10934,274,7,99,False,0,car,72.71111111111111,0.01674292106917776,3389,81,128,car,0 days 01:18:05.109000
2024-06-09 19:17:11.306,0 days 01:18:05.309000,0 days 00:00:01.160000,10943,275,7,89,False,0,car,87.98888888888888,0.020260878964978406,3378,-37,129,car,0 days 01:18:05.309000
2024-06-09 19:17:11.466,0 days 01:18:05.469000,0 days 00:00:01.320000,10818,275,7,30,False,0,car,100.21111111111111,0.023075245281618924,3365,-174,129,car,0 days 01:18:05.469000
2024-06-09 19:17:11.706,0 days 01:18:05.709000,0 days 00:00:01.560000,10591,269,7,0,True,0,car,118.14444444444445,0.027204688222580556,3344,-371,130,car,0 days 01:18:05.709000
2024-06-09 19:17:12.147,0 days 01:18:06.150000,0 days 00:00:02.001000,10004,225,7,0,True,0,car,145.70694444444445,0.03355140408095909,3315,-611,131,car,0 days 01:18:06.150000
2024-06-09 19:17:12.547,0 days 01:18:06.550000,0 days 00:00:02.401000,10748,189,7,0,True,0,car,166.70694444444445,0.03838699711591415,3292,-827,132,car,0 days 01:18:06.550000
2024-06-09 19:17:12.907,0 days 01:18:06.910000,0 days 00:00:02.761000,10995,168,4,0,True,0,car,183.50694444444446,0.04225547154387821,3283,-948,132,car,0 days 01:18:06.910000
2024-06-09 19:17:13.347,0 days 01:18:07.350000,0 days 00:00:03.201000,10284,147,3,0,True,0,car,201.47361111111113,0.04639259002933977,3281,-1175,134,car,0 days 01:18:07.350000
2024-06-09 19:17:13.627,0 days 01:18:07.630000,0 days 00:00:03.481000,9747,141,3,0,True,0,car,212.4402777777778,0.04891784416981631,3311,-1298,133,car,0 days 01:18:07.630000
2024-06-09 19:17:13.827,0 days 01:18:07.830000,0 days 00:00:03.681000,9361,139,3,0,True,0,car,220.16250000000002,0.05069601197896645,3334,-1379,132,car,0 days 01:18:07.830000
2024-06-09 19:17:14.187,0 days 01:18:08.190000,0 days 00:00:04.041000,8737,127,3,0,True,0,car,232.86250000000004,0.053620394433439286,3368,-1438,133,car,0 days 01:18:08.190000
2024-06-09 19:17:14.427,0 days 01:18:08.430000,0 days 00:00:04.281000,8774,126,3,0,False,0,car,241.26250000000002,0.055554631647421304,3439,-1525,134,car,0 days 01:18:08.430000
2024-06-09 19:17:14.747,0 days 01:18:08.750000,0 days 00:00:04.601000,8495,118,3,1,False,0,car,251.75138888888893,0.057969869650065536,3522,-1600,134,car,0 days 01:18:08.750000
2024-06-09 19:17:14.987,0 days 01:18:08.990000,0 days 00:00:04.841000,7940,116,3,1,False,0,car,259.4847222222223,0.05975059597404899,3571,-1632,135,car,0 days 01:18:08.990000
2024-06-09 19:17:15.147,0 days 01:18:09.150000,0 days 00:00:05.001000,8500,113,3,1,True,0,car,264.5069444444445,0.06090704467870492,3618,-1663,135,car,0 days 01:18:09.150000
