Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-22 12:10:33.506,0 days 01:03:37.375000,0 days 00:00:00.357000,11569,252,6,99,False,0,car,24.995555555555555,0.005111644243103264,1009,-193,188,car,0 days 01:03:37.375000
2024-09-22 12:10:33.986,0 days 01:03:37.855000,0 days 00:00:00.837000,10635,259,6,99,False,0,car,59.528888888888886,0.012173784315811722,944,214,188,car,0 days 01:03:37.855000
2024-09-22 12:10:34.306,0 days 01:03:38.175000,0 days 00:00:01.157000,10556,263,7,99,False,0,car,82.90666666666667,0.016954589564517834,925,342,188,car,0 days 01:03:38.175000
2024-09-22 12:10:34.626,0 days 01:03:38.495000,0 days 00:00:01.477000,10699,266,7,99,False,0,car,106.55111111111111,0.0217899287133993,890,578,187,car,0 days 01:03:38.495000
2024-09-22 12:10:34.866,0 days 01:03:38.735000,0 days 00:00:01.717000,10783,270,7,99,False,0,car,124.55111111111111,0.025470966975235754,864,753,188,car,0 days 01:03:38.735000
2024-09-22 12:10:35.226,0 days 01:03:39.095000,0 days 00:00:02.077000,10993,274,7,99,False,0,car,151.95111111111112,0.03107432521825347,825,1032,188,car,0 days 01:03:39.095000
2024-09-22 12:10:35.506,0 days 01:03:39.375000,0 days 00:00:02.357000,11087,275,7,99,False,0,car,173.34000000000003,0.035448398461485064,798,1234,188,car,0 days 01:03:39.375000
2024-09-22 12:10:35.666,0 days 01:03:39.535000,0 days 00:00:02.517000,11014,277,7,99,False,0,car,185.6511111111111,0.037966046852913944,782,1355,187,car,0 days 01:03:39.535000
2024-09-22 12:10:35.906,0 days 01:03:39.775000,0 days 00:00:02.757000,11119,278,7,99,False,0,car,204.18444444444447,0.04175615291510111,757,1540,188,car,0 days 01:03:39.775000
2024-09-22 12:10:36.226,0 days 01:03:40.095000,0 days 00:00:03.077000,11082,278,7,99,False,0,car,228.89555555555557,0.046809627664683995,726,1795,188,car,0 days 01:03:40.095000
2024-09-22 12:10:36.386,0 days 01:03:40.255000,0 days 00:00:03.237000,11117,278,7,99,False,0,car,241.25111111111113,0.04933636503947544,710,1917,188,car,0 days 01:03:40.255000
2024-09-22 12:10:36.546,0 days 01:03:40.415000,0 days 00:00:03.397000,11095,279,7,98,False,0,car,253.6511111111111,0.051872191397629434,695,2046,188,car,0 days 01:03:40.415000
2024-09-22 12:10:36.746,0 days 01:03:40.615000,0 days 00:00:03.597000,10778,277,7,1,False,0,car,269.04,0.055019251886915546,679,2180,188,car,0 days 01:03:40.615000
2024-09-22 12:10:37.026,0 days 01:03:40.895000,0 days 00:00:03.877000,10559,269,7,0,False,0,car,289.96222222222224,0.05929789080484026,642,2511,187,car,0 days 01:03:40.895000
2024-09-22 12:10:37.226,0 days 01:03:41.095000,0 days 00:00:04.077000,10333,262,7,0,True,0,car,304.5177777777778,0.06227453285607838,627,2643,186,car,0 days 01:03:41.095000
2024-09-22 12:10:37.666,0 days 01:03:41.535000,0 days 00:00:04.517000,10063,227,7,0,True,0,car,332.26222222222225,0.06794833072015594,601,2855,187,car,0 days 01:03:41.535000
2024-09-22 12:10:37.826,0 days 01:03:41.695000,0 days 00:00:04.677000,10441,208,6,0,True,0,car,341.50666666666666,0.06983883925956823,588,2948,187,car,0 days 01:03:41.695000
2024-09-22 12:10:38.025,0 days 01:03:41.894000,0 days 00:00:04.876000,10635,190,6,0,True,0,car,352.00944444444445,0.071986679640433,569,3056,186,car,0 days 01:03:41.894000
2024-09-22 12:10:38.225,0 days 01:03:42.094000,0 days 00:00:05.076000,10324,174,5,0,True,0,car,361.6761111111111,0.0739635335217896,550,3152,186,car,0 days 01:03:42.094000
2024-09-22 12:10:38.505,0 days 01:03:42.374000,0 days 00:00:05.356000,9145,161,4,0,True,0,car,374.1983333333333,0.07652435458419064,516,3280,187,car,0 days 01:03:42.374000
2024-09-22 12:10:38.665,0 days 01:03:42.534000,0 days 00:00:05.516000,9425,149,4,0,True,0,car,380.82055555555553,0.07787861310521195,497,3331,186,car,0 days 01:03:42.534000
2024-09-22 12:10:38.865,0 days 01:03:42.734000,0 days 00:00:05.716000,9686,141,3,0,True,0,car,388.65388888888884,0.079480546422863,466,3395,185,car,0 days 01:03:42.734000
2024-09-22 12:10:39.145,0 days 01:03:43.014000,0 days 00:00:05.996000,9164,135,3,0,True,0,car,399.15388888888884,0.0816278187422676,407,3479,185,car,0 days 01:03:43.014000
2024-09-22 12:10:39.505,0 days 01:03:43.374000,0 days 00:00:06.356000,8916,128,3,0,False,0,car,411.9538888888888,0.08424544595068462,314,3559,186,car,0 days 01:03:43.374000
