Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-02 14:07:03.519,0 days 00:48:21.650000,0 days 00:00:00.191000,12106,339,8,100,False,12,car,17.985833333333336,0.00423645807529797,-3607,-5532,7775,car,0 days 00:48:21.650000
2024-11-02 14:07:03.679,0 days 00:48:21.810000,0 days 00:00:00.351000,12157,341,8,100,False,12,car,33.14138888888888,0.007806260737705994,-3570,-5679,7782,car,0 days 00:48:21.810000
2024-11-02 14:07:03.999,0 days 00:48:22.130000,0 days 00:00:00.671000,12193,341,8,100,False,12,car,63.4525,0.014945866062522047,-3485,-6007,7792,car,0 days 00:48:22.130000
2024-11-02 14:07:04.319,0 days 00:48:22.450000,0 days 00:00:00.991000,12271,343,8,100,False,12,car,93.94138888888888,0.022127345905372207,-3377,-6405,7802,car,0 days 00:48:22.450000
2024-11-02 14:07:04.599,0 days 00:48:22.730000,0 days 00:00:01.271000,12251,344,8,70,False,12,car,120.69694444444443,0.028429460869506023,-3321,-6618,7805,car,0 days 00:48:22.730000
2024-11-02 14:07:04.759,0 days 00:48:22.890000,0 days 00:00:01.431000,11841,343,8,3,False,0,car,135.9413888888889,0.03202020079093111,-3284,-6756,7807,car,0 days 00:48:22.890000
2024-11-02 14:07:04.999,0 days 00:48:23.130000,0 days 00:00:01.671000,11790,334,8,0,False,0,car,158.20805555555557,0.03726498417470361,-3225,-6977,7810,car,0 days 00:48:23.130000
2024-11-02 14:07:05.159,0 days 00:48:23.290000,0 days 00:00:01.831000,11590,330,8,0,True,0,car,172.87472222222223,0.040719631912517824,-3186,-7117,7811,car,0 days 00:48:23.290000
2024-11-02 14:07:05.359,0 days 00:48:23.490000,0 days 00:00:02.031000,11326,330,8,0,True,0,car,191.20805555555557,0.0450379415847856,-3144,-7269,7812,car,0 days 00:48:23.490000
2024-11-02 14:07:05.759,0 days 00:48:23.890000,0 days 00:00:02.431000,10772,309,8,0,True,0,car,225.5413888888889,0.053124957880123426,-3096,-7439,7814,car,0 days 00:48:23.890000
2024-11-02 14:07:05.959,0 days 00:48:24.090000,0 days 00:00:02.631000,10449,295,8,0,True,0,car,241.93027777777775,0.056985265011393095,-3023,-7679,7817,car,0 days 00:48:24.090000
2024-11-02 14:07:06.119,0 days 00:48:24.250000,0 days 00:00:02.791000,9609,260,8,0,True,0,car,253.48583333333332,0.05970710868361036,-2983,-7807,7818,car,0 days 00:48:24.250000
2024-11-02 14:07:06.400,0 days 00:48:24.531000,0 days 00:00:03.072000,9117,260,8,0,True,0,car,273.78027777777777,0.06448734663294192,-2951,-7892,7818,car,0 days 00:48:24.531000
2024-11-02 14:07:06.600,0 days 00:48:24.731000,0 days 00:00:03.272000,9117,219,7,0,True,0,car,285.9469444444444,0.06735313396090144,-2896,-8030,7819,car,0 days 00:48:24.731000
2024-11-02 14:07:06.880,0 days 00:48:25.011000,0 days 00:00:03.552000,9817,162,6,0,True,0,car,298.5469444444444,0.07032099042656911,-2803,-8215,7817,car,0 days 00:48:25.011000
2024-11-02 14:07:07.080,0 days 00:48:25.211000,0 days 00:00:03.752000,10732,150,6,0,True,0,car,306.88027777777774,0.0722838584594181,-2767,-8274,7817,car,0 days 00:48:25.211000
2024-11-02 14:07:07.280,0 days 00:48:25.411000,0 days 00:00:03.952000,10398,143,5,0,True,0,car,314.8247222222222,0.07415512598406747,-2738,-8311,7816,car,0 days 00:48:25.411000
2024-11-02 14:07:07.520,0 days 00:48:25.651000,0 days 00:00:04.192000,9619,135,3,0,True,0,car,323.8247222222222,0.07627502345954437,-2696,-8362,7814,car,0 days 00:48:25.651000
2024-11-02 14:07:07.879,0 days 00:48:26.010000,0 days 00:00:04.551000,9066,129,3,0,True,0,car,336.68888888888887,0.07930510284185337,-2605,-8447,7806,car,0 days 00:48:26.010000
