Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-24 06:30:55.242,0 days 01:23:42.192000,0 days 00:00:00.070000,11204,315,8,100,False,0,car,6.055555555555557,0.0009877276202442844,1822,-901,6064,car,0 days 01:23:42.192000
2024-11-24 06:30:55.442,0 days 01:23:42.392000,0 days 00:00:00.270000,11203,315,8,100,False,0,car,23.555555555555557,0.003842169825537399,1941,-768,6064,car,0 days 01:23:42.392000
2024-11-24 06:30:55.842,0 days 01:23:42.792000,0 days 00:00:00.670000,11244,316,8,100,False,0,car,58.666666666666664,0.009569177678696918,2167,-500,6064,car,0 days 01:23:42.792000
2024-11-24 06:30:56.162,0 days 01:23:43.112000,0 days 00:00:00.990000,11252,316,8,100,False,0,car,86.75555555555555,0.014150783961224532,2346,-296,6063,car,0 days 01:23:43.112000
2024-11-24 06:30:56.481,0 days 01:23:43.431000,0 days 00:00:01.309000,11262,317,8,100,False,0,car,114.84527777777777,0.018732526169571447,2617,4,6063,car,0 days 01:23:43.431000
2024-11-24 06:30:56.721,0 days 01:23:43.671000,0 days 00:00:01.549000,11136,317,8,0,False,0,car,135.9786111111111,0.02217960494701113,2706,104,6064,car,0 days 01:23:43.671000
2024-11-24 06:30:56.881,0 days 01:23:43.831000,0 days 00:00:01.709000,11046,314,8,0,False,0,car,149.93416666666667,0.024455909334216312,2760,164,6063,car,0 days 01:23:43.831000
2024-11-24 06:30:57.121,0 days 01:23:44.071000,0 days 00:00:01.949000,10729,310,8,0,False,0,car,170.60083333333333,0.02782686965284818,2934,358,6063,car,0 days 01:23:44.071000
2024-11-24 06:30:57.401,0 days 01:23:44.351000,0 days 00:00:02.229000,9719,302,8,0,True,0,car,194.0897222222222,0.0316581654128416,3127,575,6064,car,0 days 01:23:44.351000
2024-11-24 06:30:57.761,0 days 01:23:44.711000,0 days 00:00:02.589000,8404,245,8,0,True,0,car,218.5897222222222,0.03565438450025196,3232,692,6063,car,0 days 01:23:44.711000
2024-11-24 06:30:58.041,0 days 01:23:44.991000,0 days 00:00:02.869000,9102,214,8,0,True,0,car,235.23416666666668,0.038369276197730756,3385,861,6063,car,0 days 01:23:44.991000
2024-11-24 06:30:58.281,0 days 01:23:45.231000,0 days 00:00:03.109000,9373,205,6,0,True,0,car,248.90083333333334,0.040598459634245375,3477,962,6063,car,0 days 01:23:45.231000
2024-11-24 06:30:58.481,0 days 01:23:45.431000,0 days 00:00:03.309000,10493,178,5,0,True,0,car,258.7897222222222,0.04221144602326815,3525,1016,6062,car,0 days 01:23:45.431000
2024-11-24 06:30:58.801,0 days 01:23:45.751000,0 days 00:00:03.629000,10610,159,4,0,True,0,car,272.92305555555555,0.04451674791859059,3658,1166,6063,car,0 days 01:23:45.751000
2024-11-24 06:30:59.081,0 days 01:23:46.031000,0 days 00:00:03.909000,9586,143,4,0,True,0,pos,284.04527777777776,0.04633090452017688,3702,1225,6063,car,0 days 01:23:46.031000
2024-11-24 06:30:59.402,0 days 01:23:46.352000,0 days 00:00:04.230000,8914,130,3,0,True,0,car,295.63694444444445,0.048221632666635324,3769,1357,6064,car,0 days 01:23:46.352000
2024-11-24 06:30:59.722,0 days 01:23:46.672000,0 days 00:00:04.550000,8003,122,3,0,True,0,car,306.4813888888889,0.049990480661788385,3796,1496,6063,car,0 days 01:23:46.672000
