Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-26 21:15:51.352,0 days 00:28:19.588000,0 days 00:00:00.270000,10665,267,6,100,False,8,car,20.35555555555556,0.004789746908805981,93,1170,22271,car,0 days 00:28:19.588000
2024-10-26 21:15:51.592,0 days 00:28:19.828000,0 days 00:00:00.510000,10864,272,7,100,False,8,car,38.488888888888894,0.009056595683462836,200,1152,22271,car,0 days 00:28:19.828000
2024-10-26 21:15:51.792,0 days 00:28:20.028000,0 days 00:00:00.710000,10871,275,7,100,False,8,car,53.766666666666666,0.012651520355738065,340,1129,22271,car,0 days 00:28:20.028000
2024-10-26 21:15:52.153,0 days 00:28:20.389000,0 days 00:00:01.071000,11135,279,7,100,False,8,car,81.74416666666667,0.019234742502408773,612,1083,22273,car,0 days 00:28:20.389000
2024-10-26 21:15:52.313,0 days 00:28:20.549000,0 days 00:00:01.231000,11187,282,7,100,False,8,car,94.27750000000002,0.022183887979009838,742,1062,22272,car,0 days 00:28:20.549000
2024-10-26 21:15:52.673,0 days 00:28:20.909000,0 days 00:00:01.591000,11336,287,7,100,False,8,car,122.9775,0.028937117381545776,1051,1011,22270,car,0 days 00:28:20.909000
2024-10-26 21:15:52.913,0 days 00:28:21.149000,0 days 00:00:01.831000,11426,289,7,100,False,8,car,142.24416666666667,0.033470644204618684,1223,983,22271,car,0 days 00:28:21.149000
2024-10-26 21:15:53.153,0 days 00:28:21.389000,0 days 00:00:02.071000,11621,293,7,100,False,14,car,161.77750000000003,0.0380669188037895,1498,939,22271,car,0 days 00:28:21.389000
2024-10-26 21:15:53.313,0 days 00:28:21.549000,0 days 00:00:02.231000,11645,295,7,100,False,12,car,174.88861111111112,0.04115201779526932,1584,926,22270,car,0 days 00:28:21.549000
2024-10-26 21:15:53.753,0 days 00:28:21.989000,0 days 00:00:02.671000,10533,301,8,100,False,12,car,211.6775,0.04980859640610808,1884,882,22271,car,0 days 00:28:21.989000
2024-10-26 21:15:53.953,0 days 00:28:22.189000,0 days 00:00:02.871000,10866,301,8,100,False,12,car,228.39972222222224,0.05374340486558024,2056,854,22271,car,0 days 00:28:22.189000
2024-10-26 21:15:54.153,0 days 00:28:22.389000,0 days 00:00:03.071000,10934,307,8,100,False,12,car,245.4552777777778,0.057756648045174774,2222,830,22271,car,0 days 00:28:22.389000
2024-10-26 21:15:54.313,0 days 00:28:22.549000,0 days 00:00:03.231000,10987,308,8,100,False,12,car,259.14416666666665,0.06097770055153337,2359,809,22270,car,0 days 00:28:22.549000
2024-10-26 21:15:54.513,0 days 00:28:22.749000,0 days 00:00:03.431000,11015,311,8,100,False,12,car,276.4219444444444,0.0650432335445428,2514,786,22270,car,0 days 00:28:22.749000
2024-10-26 21:15:54.753,0 days 00:28:22.989000,0 days 00:00:03.671000,11107,314,8,100,False,12,car,297.35527777777776,0.06996893396822756,2886,729,22271,car,0 days 00:28:22.989000
2024-10-26 21:15:55.033,0 days 00:28:23.269000,0 days 00:00:03.951000,11194,316,8,100,False,12,car,321.93305555555554,0.07575218733191688,3154,688,22270,car,0 days 00:28:23.269000
2024-10-26 21:15:55.233,0 days 00:28:23.469000,0 days 00:00:04.151000,11202,318,8,100,False,12,car,339.59972222222217,0.07990922749840242,3254,674,22270,car,0 days 00:28:23.469000
2024-10-26 21:15:55.713,0 days 00:28:23.949000,0 days 00:00:04.631000,11351,321,8,100,False,12,car,382.3997222222222,0.08998024556211455,3613,622,22271,car,0 days 00:28:23.949000
2024-10-26 21:15:55.953,0 days 00:28:24.189000,0 days 00:00:04.871000,11388,323,8,100,False,12,car,403.93305555555554,0.09504712848201957,3833,591,22270,car,0 days 00:28:24.189000
2024-10-26 21:15:56.312,0 days 00:28:24.548000,0 days 00:00:05.230000,11454,326,8,100,False,12,car,436.4425,0.10269673601102065,4232,542,22269,car,0 days 00:28:24.548000
2024-10-26 21:15:56.472,0 days 00:28:24.708000,0 days 00:00:05.390000,11478,327,8,100,False,12,car,450.97583333333324,0.1061164898083559,4404,522,22269,car,0 days 00:28:24.708000
2024-10-26 21:15:56.672,0 days 00:28:24.908000,0 days 00:00:05.590000,11521,327,8,100,False,12,car,469.1424999999999,0.110391182055025,4536,506,22270,car,0 days 00:28:24.908000
2024-10-26 21:15:56.832,0 days 00:28:25.068000,0 days 00:00:05.750000,11526,328,8,100,False,12,car,483.7202777777777,0.11382139381504326,4619,497,22270,car,0 days 00:28:25.068000
2024-10-26 21:15:57.152,0 days 00:28:25.388000,0 days 00:00:06.070000,11692,331,8,100,False,12,car,513.1424999999999,0.12074456511117766,4908,465,22270,car,0 days 00:28:25.388000
2024-10-26 21:15:57.592,0 days 00:28:25.828000,0 days 00:00:06.510000,11792,333,8,100,False,12,car,553.8424999999999,0.13032144443811886,5310,419,22269,car,0 days 00:28:25.828000
2024-10-26 21:15:57.832,0 days 00:28:26.068000,0 days 00:00:06.750000,11734,334,8,100,False,12,car,576.1091666666665,0.13556088374229308,5531,393,22270,car,0 days 00:28:26.068000
2024-10-26 21:15:58.032,0 days 00:28:26.268000,0 days 00:00:06.950000,11806,335,8,100,False,12,car,594.7202777777776,0.13994015561579198,5715,371,22270,car,0 days 00:28:26.268000
2024-10-26 21:15:58.272,0 days 00:28:26.508000,0 days 00:00:07.190000,11791,335,8,100,False,12,car,617.053611111111,0.1451952818639907,5936,346,22269,car,0 days 00:28:26.508000
2024-10-26 21:15:58.432,0 days 00:28:26.668000,0 days 00:00:07.350000,11791,335,8,100,False,12,car,631.9424999999998,0.14869869936278982,6084,328,22268,car,0 days 00:28:26.668000
2024-10-26 21:15:58.833,0 days 00:28:27.069000,0 days 00:00:07.751000,11867,337,8,100,False,12,car,669.4805555555554,0.1575315600071036,6457,286,22268,car,0 days 00:28:27.069000
2024-10-26 21:15:59.153,0 days 00:28:27.389000,0 days 00:00:08.071000,11859,337,8,100,False,12,car,699.4361111111109,0.1645802268554338,6736,253,22269,car,0 days 00:28:27.389000
2024-10-26 21:15:59.353,0 days 00:28:27.589000,0 days 00:00:08.271000,11905,339,8,100,False,12,car,718.2694444444444,0.16901178854234766,7036,215,22268,car,0 days 00:28:27.589000
2024-10-26 21:15:59.673,0 days 00:28:27.909000,0 days 00:00:08.591000,12033,340,8,100,False,12,car,748.4916666666664,0.1761232031667757,7289,183,22269,car,0 days 00:28:27.909000
2024-10-26 21:15:59.953,0 days 00:28:28.189000,0 days 00:00:08.871000,12084,340,8,100,False,12,car,774.936111111111,0.18234569096315031,7501,155,22267,car,0 days 00:28:28.189000
2024-10-26 21:16:00.233,0 days 00:28:28.469000,0 days 00:00:09.151000,12076,340,8,100,False,12,car,801.3805555555554,0.1885681787595249,7837,110,22267,car,0 days 00:28:28.469000
2024-10-26 21:16:00.433,0 days 00:28:28.669000,0 days 00:00:09.351000,12088,342,8,100,False,12,car,820.3805555555555,0.19303895780649993,7982,90,22268,car,0 days 00:28:28.669000
2024-10-26 21:16:00.673,0 days 00:28:28.909000,0 days 00:00:09.591000,12138,342,8,100,False,12,car,843.1805555555553,0.1984038926628699,8170,66,22267,car,0 days 00:28:28.909000
2024-10-26 21:16:00.833,0 days 00:28:29.069000,0 days 00:00:09.751000,12063,342,8,100,False,12,car,858.3805555555554,0.20198051590044994,8327,46,22268,car,0 days 00:28:29.069000
2024-10-26 21:16:01.193,0 days 00:28:29.429000,0 days 00:00:10.111000,12012,343,8,100,False,12,car,892.6805555555554,0.21005144860104166,8662,2,22267,car,0 days 00:28:29.429000
2024-10-26 21:16:01.353,0 days 00:28:29.589000,0 days 00:00:10.271000,12109,342,8,100,False,12,car,907.8805555555555,0.2136280718386217,8819,-17,22268,car,0 days 00:28:29.589000
2024-10-26 21:16:01.713,0 days 00:28:29.949000,0 days 00:00:10.631000,12109,343,8,100,False,12,car,942.1805555555554,0.22169900453921343,9180,-64,22267,car,0 days 00:28:29.949000
2024-10-26 21:16:02.113,0 days 00:28:30.349000,0 days 00:00:11.031000,12060,343,8,100,False,12,car,980.2916666666665,0.2306667075398709,9623,-124,22268,car,0 days 00:28:30.349000
2024-10-26 21:16:02.313,0 days 00:28:30.549000,0 days 00:00:11.231000,12062,343,8,100,False,12,car,999.347222222222,0.2351505590401996,9741,-139,22267,car,0 days 00:28:30.549000
2024-10-26 21:16:02.473,0 days 00:28:30.709000,0 days 00:00:11.391000,12074,344,8,100,False,12,car,1014.6361111111108,0.23874809820314558,9896,-159,22268,car,0 days 00:28:30.709000
2024-10-26 21:16:02.673,0 days 00:28:30.909000,0 days 00:00:11.591000,12124,343,8,100,False,12,car,1033.6916666666664,0.24323194970347434,10083,-184,22267,car,0 days 00:28:30.909000
2024-10-26 21:16:02.912,0 days 00:28:31.148000,0 days 00:00:11.830000,12154,344,8,100,False,10,car,1056.5294444444442,0.24860577382812488,10353,-219,22265,car,0 days 00:28:31.148000
2024-10-26 21:16:03.232,0 days 00:28:31.468000,0 days 00:00:12.150000,10619,286,8,0,True,8,car,1081.9516666666664,0.2545877284827909,10682,-259,22265,car,0 days 00:28:31.468000
2024-10-26 21:16:03.552,0 days 00:28:31.788000,0 days 00:00:12.470000,9745,240,8,0,True,8,car,1103.2849999999996,0.25960755057062246,10795,-275,22266,car,0 days 00:28:31.788000
2024-10-26 21:16:03.912,0 days 00:28:32.148000,0 days 00:00:12.830000,9597,201,8,0,True,8,car,1123.3849999999995,0.2643371641940012,11026,-313,22267,car,0 days 00:28:32.148000
2024-10-26 21:16:04.072,0 days 00:28:32.308000,0 days 00:00:12.990000,9938,179,8,0,True,8,car,1131.340555555555,0.2662091395142551,11141,-341,22267,car,0 days 00:28:32.308000
2024-10-26 21:16:04.272,0 days 00:28:32.508000,0 days 00:00:13.190000,10399,160,7,0,True,8,car,1140.229444444444,0.2683007320508516,11220,-362,22267,car,0 days 00:28:32.508000
2024-10-26 21:16:04.432,0 days 00:28:32.668000,0 days 00:00:13.350000,10399,147,5,0,True,8,car,1146.7627777777773,0.26983805256525,11248,-374,22267,car,0 days 00:28:32.668000
2024-10-26 21:16:04.832,0 days 00:28:33.068000,0 days 00:00:13.750000,8742,124,3,0,True,8,car,1160.540555555555,0.2730800209969746,11378,-441,22266,car,0 days 00:28:33.068000
2024-10-26 21:16:04.992,0 days 00:28:33.228000,0 days 00:00:13.910000,8347,121,3,0,True,8,car,1165.9183333333328,0.27434543448161547,11423,-472,22265,car,0 days 00:28:33.228000
2024-10-26 21:16:05.152,0 days 00:28:33.388000,0 days 00:00:14.070000,8241,114,3,0,True,8,car,1170.9849999999994,0.27553764222747545,11462,-505,22266,car,0 days 00:28:33.388000
2024-10-26 21:16:05.393,0 days 00:28:33.629000,0 days 00:00:14.311000,7778,110,3,0,True,8,car,1178.3488888888883,0.27727039591951214,11511,-559,22265,car,0 days 00:28:33.629000
2024-10-26 21:16:06.113,0 days 00:28:34.349000,0 days 00:00:15.031000,7713,103,3,32,False,8,car,1198.9488888888882,0.28211766162307444,11597,-748,22265,car,0 days 00:28:34.349000
2024-10-26 21:16:06.273,0 days 00:28:34.509000,0 days 00:00:15.191000,7775,104,3,44,False,8,car,1203.5711111111104,0.2832052897421047,11606,-793,22266,car,0 days 00:28:34.509000
2024-10-26 21:16:06.593,0 days 00:28:34.829000,0 days 00:00:15.511000,7938,107,3,46,False,8,car,1213.0822222222216,0.28544329375626293,11610,-886,22265,car,0 days 00:28:34.829000
2024-10-26 21:16:06.753,0 days 00:28:34.989000,0 days 00:00:15.671000,8225,110,3,52,False,8,car,1217.9711111111105,0.286593669651391,11606,-935,22266,car,0 days 00:28:34.989000
2024-10-26 21:16:06.953,0 days 00:28:35.189000,0 days 00:00:15.871000,8528,115,3,57,False,8,car,1224.3599999999994,0.28809700178706976,11598,-997,22265,car,0 days 00:28:35.189000
2024-10-26 21:16:07.113,0 days 00:28:35.349000,0 days 00:00:16.031000,8754,118,3,58,True,8,car,1229.6044444444437,0.28933104138366167,11588,-1049,22266,car,0 days 00:28:35.349000
2024-10-26 21:16:07.473,0 days 00:28:35.709000,0 days 00:00:16.391000,8042,114,3,0,True,8,car,1241.0044444444438,0.2920135088118467,11568,-1166,22266,car,0 days 00:28:35.709000
2024-10-26 21:16:07.673,0 days 00:28:35.909000,0 days 00:00:16.591000,7466,108,3,0,True,8,car,1247.0044444444438,0.29342533377404934,11564,-1227,22268,car,0 days 00:28:35.909000
2024-10-26 21:16:07.873,0 days 00:28:36.109000,0 days 00:00:16.791000,7066,104,3,0,True,8,car,1252.7822222222217,0.29478486892283706,11567,-1284,22267,car,0 days 00:28:36.109000
2024-10-26 21:16:08.073,0 days 00:28:36.309000,0 days 00:00:16.991000,7019,99,3,9,False,8,car,1258.2822222222217,0.2960790418048561,11579,-1335,22268,car,0 days 00:28:36.309000
2024-10-26 21:16:08.433,0 days 00:28:36.669000,0 days 00:00:17.351000,7550,100,3,36,False,8,car,1268.2822222222217,0.29843208340852717,11643,-1453,22266,car,0 days 00:28:36.669000
2024-10-26 21:16:08.633,0 days 00:28:36.869000,0 days 00:00:17.551000,7368,101,3,35,False,8,car,1273.8933333333327,0.2997524011972537,11666,-1484,22265,car,0 days 00:28:36.869000
2024-10-26 21:16:08.913,0 days 00:28:37.149000,0 days 00:00:17.831000,7453,101,3,43,False,8,car,1281.7488888888884,0.30160084610147087,11726,-1528,22266,car,0 days 00:28:37.149000
2024-10-26 21:16:09.273,0 days 00:28:37.509000,0 days 00:00:18.191000,8153,109,3,53,False,8,car,1292.6488888888885,0.3041656614494724,11825,-1595,22265,car,0 days 00:28:37.509000
2024-10-26 21:16:09.433,0 days 00:28:37.669000,0 days 00:00:18.351000,8302,115,3,48,False,8,car,1297.7599999999995,0.3053683271580154,11852,-1614,22265,car,0 days 00:28:37.669000
2024-10-26 21:16:09.752,0 days 00:28:37.988000,0 days 00:00:18.670000,8720,116,3,28,False,8,car,1308.0388888888886,0.30778699247752217,11927,-1678,22265,car,0 days 00:28:37.988000
2024-10-26 21:16:10.152,0 days 00:28:38.388000,0 days 00:00:19.070000,9016,118,3,46,False,8,car,1321.1499999999996,0.31087209146900197,11992,-1786,22267,car,0 days 00:28:38.388000
2024-10-26 21:16:10.312,0 days 00:28:38.548000,0 days 00:00:19.230000,8925,116,3,31,False,8,car,1326.3055555555552,0.31208521514022797,12005,-1832,22268,car,0 days 00:28:38.548000
2024-10-26 21:16:10.592,0 days 00:28:38.828000,0 days 00:00:19.510000,8927,118,3,74,False,8,car,1335.4833333333331,0.31424478443426385,12014,-1953,22267,car,0 days 00:28:38.828000
2024-10-26 21:16:10.992,0 days 00:28:39.228000,0 days 00:00:19.910000,11076,135,3,100,False,8,car,1350.4833333333331,0.31777434683977046,12004,-2067,22267,car,0 days 00:28:39.228000
2024-10-26 21:16:11.272,0 days 00:28:39.508000,0 days 00:00:20.190000,12929,143,3,100,False,8,car,1361.6055555555554,0.32039145200118685,11982,-2178,22268,car,0 days 00:28:39.508000
2024-10-26 21:16:11.432,0 days 00:28:39.668000,0 days 00:00:20.350000,12229,155,3,100,False,8,car,1368.4944444444443,0.3220124362170491,11966,-2242,22267,car,0 days 00:28:39.668000
2024-10-26 21:16:11.672,0 days 00:28:39.908000,0 days 00:00:20.590000,10549,165,4,100,False,8,car,1379.4944444444443,0.32460078198108727,11938,-2344,22268,car,0 days 00:28:39.908000
2024-10-26 21:16:11.873,0 days 00:28:40.109000,0 days 00:00:20.791000,10689,173,4,100,False,8,car,1389.1536111111109,0.32687362408343323,11910,-2435,22267,car,0 days 00:28:40.109000
2024-10-26 21:16:12.153,0 days 00:28:40.389000,0 days 00:00:21.071000,11252,187,4,100,False,8,car,1403.6980555555554,0.33029599237143925,11865,-2565,22268,car,0 days 00:28:40.389000
2024-10-26 21:16:12.313,0 days 00:28:40.549000,0 days 00:00:21.231000,11638,190,4,100,False,8,car,1412.1424999999997,0.3322830052812059,11835,-2645,22267,car,0 days 00:28:40.549000
2024-10-26 21:16:12.553,0 days 00:28:40.789000,0 days 00:00:21.471000,11801,198,4,100,False,8,car,1425.3424999999995,0.33538902019805167,11772,-2800,22267,car,0 days 00:28:40.789000
2024-10-26 21:16:12.713,0 days 00:28:40.949000,0 days 00:00:21.631000,10681,198,5,100,False,8,car,1434.1424999999995,0.3374596968092822,11722,-2912,22268,car,0 days 00:28:40.949000
2024-10-26 21:16:13.033,0 days 00:28:41.269000,0 days 00:00:21.951000,11119,218,5,100,False,14,car,1453.5202777777772,0.3420193685390625,11624,-3110,22267,car,0 days 00:28:41.269000
2024-10-26 21:16:13.393,0 days 00:28:41.629000,0 days 00:00:22.311000,11577,224,5,100,False,12,car,1475.920277777777,0.3472901817312857,11549,-3246,22267,car,0 days 00:28:41.629000
2024-10-26 21:16:13.593,0 days 00:28:41.829000,0 days 00:00:22.511000,12089,231,5,100,False,12,car,1488.7536111111103,0.35030991845599685,11486,-3355,22267,car,0 days 00:28:41.829000
2024-10-26 21:16:13.753,0 days 00:28:41.989000,0 days 00:00:22.671000,11249,237,5,100,False,12,car,1499.2869444444436,0.35278845561186367,11435,-3438,22267,car,0 days 00:28:41.989000
2024-10-26 21:16:14.113,0 days 00:28:42.349000,0 days 00:00:23.031000,11182,248,6,100,False,12,car,1524.0869444444436,0.3586239987889679,11268,-3703,22269,car,0 days 00:28:42.349000
2024-10-26 21:16:14.313,0 days 00:28:42.549000,0 days 00:00:23.231000,11397,253,6,100,False,12,car,1538.1424999999992,0.36193132948746115,11183,-3833,22269,car,0 days 00:28:42.549000
2024-10-26 21:16:14.593,0 days 00:28:42.829000,0 days 00:00:23.511000,11677,260,6,100,False,12,car,1558.3647222222212,0.3666897025082181,11089,-3975,22269,car,0 days 00:28:42.829000
2024-10-26 21:16:14.913,0 days 00:28:43.149000,0 days 00:00:23.831000,11827,267,6,100,False,12,car,1582.0980555555545,0.3722742545809308,10987,-4130,22270,car,0 days 00:28:43.149000
2024-10-26 21:16:15.073,0 days 00:28:43.309000,0 days 00:00:23.991000,10847,269,6,100,False,12,car,1594.05361111111,0.375087446542653,10921,-4232,22269,car,0 days 00:28:43.309000
2024-10-26 21:16:15.313,0 days 00:28:43.549000,0 days 00:00:24.231000,10964,273,7,100,False,12,car,1612.25361111111,0.3793699822613344,10822,-4392,22270,car,0 days 00:28:43.549000
2024-10-26 21:16:15.753,0 days 00:28:43.989000,0 days 00:00:24.671000,11300,284,7,100,False,12,car,1646.964722222221,0.38753765111674365,10641,-4694,22270,car,0 days 00:28:43.989000
2024-10-26 21:16:15.953,0 days 00:28:44.189000,0 days 00:00:24.871000,11439,288,7,100,False,12,car,1662.964722222221,0.39130251768261737,10542,-4860,22271,car,0 days 00:28:44.189000
2024-10-26 21:16:16.272,0 days 00:28:44.508000,0 days 00:00:25.190000,11601,292,7,100,False,12,car,1688.8391666666657,0.3973908821075827,10368,-5159,22271,car,0 days 00:28:44.508000
2024-10-26 21:16:16.552,0 days 00:28:44.788000,0 days 00:00:25.470000,11795,296,7,100,False,12,car,1711.8613888888879,0.40280810677736767,10272,-5321,22270,car,0 days 00:28:44.788000
2024-10-26 21:16:16.712,0 days 00:28:44.948000,0 days 00:00:25.630000,11781,299,7,100,False,12,car,1725.1502777777769,0.40593503761957944,10209,-5427,22270,car,0 days 00:28:44.948000
2024-10-26 21:16:16.952,0 days 00:28:45.188000,0 days 00:00:25.870000,10941,302,7,100,False,12,car,1745.2836111111103,0.4106724947149705,10113,-5589,22270,car,0 days 00:28:45.188000
2024-10-26 21:16:17.112,0 days 00:28:45.348000,0 days 00:00:26.030000,10732,304,8,100,False,12,car,1758.7947222222215,0.41385171537059723,10059,-5679,22272,car,0 days 00:28:45.348000
2024-10-26 21:16:17.272,0 days 00:28:45.508000,0 days 00:00:26.190000,10819,304,8,100,False,12,car,1772.3058333333327,0.41703093602622393,10003,-5772,22272,car,0 days 00:28:45.508000
2024-10-26 21:16:17.592,0 days 00:28:45.828000,0 days 00:00:26.510000,10954,309,8,100,False,12,car,1799.7724999999994,0.4234939569643071,9858,-6007,22271,car,0 days 00:28:45.828000
