Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-26 15:00:30.220,0 days 02:52:24.831000,0 days 00:00:00.077000,10889,264,7,100,False,0,car,5.715833333333335,0.0017652860197445762,-7668,-6506,501,car,0 days 02:52:24.831000
2024-05-26 15:00:30.380,0 days 02:52:24.991000,0 days 00:00:00.237000,10949,266,7,100,False,0,car,17.538055555555555,0.005416477787267982,-7676,-6390,502,car,0 days 02:52:24.991000
2024-05-26 15:00:30.620,0 days 02:52:25.231000,0 days 00:00:00.477000,11074,268,7,100,False,0,car,35.40472222222222,0.010934444293074032,-7677,-6187,503,car,0 days 02:52:25.231000
2024-05-26 15:00:30.780,0 days 02:52:25.391000,0 days 00:00:00.637000,11156,270,7,100,False,0,car,47.40472222222222,0.014640541199958692,-7673,-6062,502,car,0 days 02:52:25.391000
2024-05-26 15:00:31.060,0 days 02:52:25.671000,0 days 00:00:00.917000,10951,272,7,100,False,0,car,68.56027777777777,0.021174252783947946,-7660,-5882,502,car,0 days 02:52:25.671000
2024-05-26 15:00:31.340,0 days 02:52:25.951000,0 days 00:00:01.197000,10752,261,7,0,True,0,car,88.86027777777777,0.027443733384761162,-7629,-5604,509,car,0 days 02:52:25.951000
2024-05-26 15:00:31.500,0 days 02:52:26.111000,0 days 00:00:01.357000,9928,243,7,0,True,0,car,99.66027777777776,0.030779220600957356,-7618,-5519,512,car,0 days 02:52:26.111000
2024-05-26 15:00:31.700,0 days 02:52:26.311000,0 days 00:00:01.557000,9355,222,7,0,True,0,car,111.9936111111111,0.03458826464414436,-7603,-5439,514,car,0 days 02:52:26.311000
2024-05-26 15:00:31.859,0 days 02:52:26.470000,0 days 00:00:01.716000,9443,201,7,0,True,0,car,120.87111111111109,0.037330004251716745,-7584,-5344,515,car,0 days 02:52:26.470000
2024-05-26 15:00:32.099,0 days 02:52:26.710000,0 days 00:00:01.956000,9510,179,7,0,True,0,car,132.8044444444444,0.04101551173134094,-7556,-5221,521,car,0 days 02:52:26.710000
2024-05-26 15:00:32.259,0 days 02:52:26.870000,0 days 00:00:02.116000,9321,161,6,0,True,0,car,139.95999999999998,0.04322544359063142,-7538,-5147,521,car,0 days 02:52:26.870000
2024-05-26 15:00:32.539,0 days 02:52:27.150000,0 days 00:00:02.396000,8976,145,4,0,True,0,car,151.23777777777775,0.04670848836886098,-7510,-5041,522,car,0 days 02:52:27.150000
2024-05-26 15:00:32.740,0 days 02:52:27.351000,0 days 00:00:02.597000,8757,131,4,0,True,0,car,158.55194444444442,0.04896740590717533,-7478,-4933,527,car,0 days 02:52:27.351000
2024-05-26 15:00:33.100,0 days 02:52:27.711000,0 days 00:00:02.957000,7891,111,3,0,True,0,car,169.6519444444444,0.05239554554604364,-7438,-4820,533,car,0 days 02:52:27.711000
2024-05-26 15:00:33.260,0 days 02:52:27.871000,0 days 00:00:03.117000,7536,106,3,0,True,0,car,174.36305555555552,0.05385053173911688,-7425,-4792,534,car,0 days 02:52:27.871000
2024-05-26 15:00:33.620,0 days 02:52:28.231000,0 days 00:00:03.477000,7120,101,3,0,True,0,car,184.4630555555555,0.05696982996907814,-7385,-4723,536,car,0 days 02:52:28.231000
2024-05-26 15:00:33.780,0 days 02:52:28.391000,0 days 00:00:03.637000,7278,97,3,0,False,0,car,188.77416666666662,0.05830127959858855,-7357,-4693,537,car,0 days 02:52:28.391000
