Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-08-25 14:25:34.201,0 days 02:19:57.563000,0 days 00:00:00.263000,10758,302,8,100,False,0,car,22.09444444444444,0.00521418439084016,647,4116,536,car,0 days 02:19:57.563000
2024-08-25 14:25:34.361,0 days 02:19:57.723000,0 days 00:00:00.423000,10747,302,8,100,False,0,car,35.51666666666666,0.008381765353442578,706,4260,536,car,0 days 02:19:57.723000
2024-08-25 14:25:34.561,0 days 02:19:57.923000,0 days 00:00:00.623000,10764,303,8,100,False,0,car,52.349999999999994,0.012354352405050747,769,4416,536,car,0 days 02:19:57.923000
2024-08-25 14:25:34.761,0 days 02:19:58.123000,0 days 00:00:00.823000,10786,303,8,100,False,0,car,69.18333333333332,0.016326939456658914,811,4517,537,car,0 days 02:19:58.123000
2024-08-25 14:25:34.961,0 days 02:19:58.323000,0 days 00:00:01.023000,10825,304,8,100,False,0,car,86.07222222222221,0.020312637356622226,847,4606,537,car,0 days 02:19:58.323000
2024-08-25 14:25:35.241,0 days 02:19:58.603000,0 days 00:00:01.303000,10852,305,8,100,False,0,car,109.79444444444442,0.025910969604268058,937,4826,537,car,0 days 02:19:58.603000
2024-08-25 14:25:35.601,0 days 02:19:58.963000,0 days 00:00:01.663000,10839,305,8,100,False,0,car,140.29444444444442,0.033108825351241274,1055,5117,535,car,0 days 02:19:58.963000
2024-08-25 14:25:35.800,0 days 02:19:59.162000,0 days 00:00:01.862000,10862,306,8,100,False,0,car,157.20944444444444,0.03710068534993151,1154,5365,536,car,0 days 02:19:59.162000
2024-08-25 14:25:36.280,0 days 02:19:59.642000,0 days 00:00:02.342000,10429,302,8,16,False,0,car,197.4761111111111,0.04660342823773876,1262,5694,537,car,0 days 02:19:59.642000
2024-08-25 14:25:36.640,0 days 02:20:00.002000,0 days 00:00:02.702000,10028,270,8,0,True,0,car,224.4761111111111,0.052975300538338,1335,5955,541,car,0 days 02:20:00.002000
2024-08-25 14:25:36.800,0 days 02:20:00.162000,0 days 00:00:02.862000,9871,256,8,0,True,0,car,235.8538888888889,0.055660402281471184,1358,6037,542,car,0 days 02:20:00.162000
2024-08-25 14:25:37.160,0 days 02:20:00.522000,0 days 00:00:03.222000,9545,211,8,0,True,0,car,256.95388888888886,0.06063990248675429,1424,6256,545,car,0 days 02:20:00.522000
2024-08-25 14:25:37.520,0 days 02:20:00.882000,0 days 00:00:03.582000,9529,185,5,0,True,0,car,275.45388888888886,0.06500581498901672,1500,6434,547,car,0 days 02:20:00.882000
2024-08-25 14:25:37.760,0 days 02:20:01.122000,0 days 00:00:03.822000,9510,185,4,0,True,0,car,287.7872222222222,0.06791642332385837,1548,6516,549,car,0 days 02:20:01.122000
2024-08-25 14:25:38.000,0 days 02:20:01.362000,0 days 00:00:04.062000,8321,152,4,0,True,0,car,297.92055555555555,0.07030784206383635,1616,6588,548,car,0 days 02:20:01.362000
2024-08-25 14:25:38.320,0 days 02:20:01.682000,0 days 00:00:04.382000,7989,133,4,0,True,0,car,309.74277777777775,0.07309783059381067,1706,6654,548,car,0 days 02:20:01.682000
2024-08-25 14:25:38.601,0 days 02:20:01.963000,0 days 00:00:04.663000,7251,126,4,0,True,0,car,319.5777777777778,0.07541884407812155,1796,6689,549,car,0 days 02:20:01.963000
2024-08-25 14:25:38.761,0 days 02:20:02.123000,0 days 00:00:04.823000,7104,123,4,0,False,0,car,325.0444444444445,0.07670895155626757,1850,6699,549,car,0 days 02:20:02.123000
2024-08-25 14:25:39.001,0 days 02:20:02.363000,0 days 00:00:05.063000,6978,120,4,0,False,0,car,333.0444444444445,0.07859691371940808,1930,6699,548,car,0 days 02:20:02.363000
2024-08-25 14:25:39.321,0 days 02:20:02.683000,0 days 00:00:05.383000,6858,116,4,1,False,0,car,343.3555555555556,0.08103028717412253,2038,6675,548,car,0 days 02:20:02.683000
2024-08-25 14:25:39.681,0 days 02:20:03.043000,0 days 00:00:05.743000,6740,111,4,10,False,0,car,354.45555555555563,0.08364983467548,2138,6622,547,car,0 days 02:20:03.043000
2024-08-25 14:25:39.881,0 days 02:20:03.243000,0 days 00:00:05.943000,6780,111,4,26,False,0,car,360.62222222222226,0.08510513884290082,2169,6587,546,car,0 days 02:20:03.243000
2024-08-25 14:25:40.081,0 days 02:20:03.443000,0 days 00:00:06.143000,6983,113,4,26,False,0,car,366.90000000000003,0.08658666470703191,2211,6535,545,car,0 days 02:20:03.443000
2024-08-25 14:25:40.241,0 days 02:20:03.603000,0 days 00:00:06.303000,7040,116,4,41,False,0,car,372.0555555555556,0.08780335143438912,2238,6495,544,car,0 days 02:20:03.603000
2024-08-25 14:25:40.441,0 days 02:20:03.803000,0 days 00:00:06.503000,7285,117,4,52,False,0,car,378.5555555555556,0.0893373206919408,2271,6405,543,car,0 days 02:20:03.803000
2024-08-25 14:25:40.761,0 days 02:20:04.123000,0 days 00:00:06.823000,7752,124,4,63,False,0,car,389.57777777777784,0.09193851300560107,2293,6315,544,car,0 days 02:20:04.123000
2024-08-25 14:25:41.161,0 days 02:20:04.523000,0 days 00:00:07.223000,8627,141,4,86,False,0,car,405.24444444444447,0.09563577224175124,2291,6179,542,car,0 days 02:20:04.523000
2024-08-25 14:25:41.361,0 days 02:20:04.723000,0 days 00:00:07.423000,8979,141,4,100,False,0,car,413.0777777777778,0.09748440185982632,2278,6103,541,car,0 days 02:20:04.723000
2024-08-25 14:25:41.761,0 days 02:20:05.123000,0 days 00:00:07.823000,9962,160,4,100,False,0,car,430.85555555555555,0.1016798733334719,2234,5936,541,car,0 days 02:20:05.123000
2024-08-25 14:25:42.081,0 days 02:20:05.443000,0 days 00:00:08.143000,10812,172,4,100,False,0,car,446.14444444444445,0.10528797880080712,2186,5794,539,car,0 days 02:20:05.443000
2024-08-25 14:25:42.440,0 days 02:20:05.802000,0 days 00:00:08.502000,11211,187,4,100,False,0,car,464.7925,0.10968883171393602,2122,5624,535,car,0 days 02:20:05.802000
2024-08-25 14:25:42.640,0 days 02:20:06.002000,0 days 00:00:08.702000,11698,197,4,100,False,0,car,475.7369444444444,0.11227166883989907,2087,5537,534,car,0 days 02:20:06.002000
2024-08-25 14:25:43.040,0 days 02:20:06.402000,0 days 00:00:09.102000,10877,206,4,100,False,0,car,498.62583333333333,0.11767333836221777,1999,5342,531,car,0 days 02:20:06.402000
2024-08-25 14:25:43.240,0 days 02:20:06.602000,0 days 00:00:09.302000,10842,211,5,100,False,0,car,510.3480555555555,0.12043972736515282,1953,5236,530,car,0 days 02:20:06.602000
2024-08-25 14:25:43.400,0 days 02:20:06.762000,0 days 00:00:09.462000,10990,214,5,100,False,0,car,519.8591666666666,0.12268430460355322,1913,5151,532,car,0 days 02:20:06.762000
2024-08-25 14:25:43.600,0 days 02:20:06.962000,0 days 00:00:09.662000,10990,218,5,100,False,0,car,531.9702777777778,0.1255424695449743,1870,5048,533,car,0 days 02:20:06.962000
2024-08-25 14:25:43.840,0 days 02:20:07.202000,0 days 00:00:09.902000,11462,226,5,100,False,0,car,547.0369444444444,0.12909813161888892,1808,4858,535,car,0 days 02:20:07.202000
2024-08-25 14:25:44.040,0 days 02:20:07.402000,0 days 00:00:10.102000,11579,229,5,100,False,0,car,559.7591666666667,0.13210051589221655,1781,4747,536,car,0 days 02:20:07.402000
2024-08-25 14:25:44.200,0 days 02:20:07.562000,0 days 00:00:10.262000,11779,229,5,100,False,0,car,569.9369444444445,0.13450242331087867,1774,4679,535,car,0 days 02:20:07.562000
2024-08-25 14:25:44.440,0 days 02:20:07.802000,0 days 00:00:10.502000,11209,236,5,100,False,0,car,585.6702777777779,0.138215415565055,1769,4523,532,car,0 days 02:20:07.802000
2024-08-25 14:25:44.840,0 days 02:20:08.202000,0 days 00:00:10.902000,10620,240,6,100,True,0,car,612.3369444444445,0.1445086227755234,1789,4255,530,car,0 days 02:20:08.202000
2024-08-25 14:25:45.000,0 days 02:20:08.362000,0 days 00:00:11.062000,10624,234,6,0,True,0,car,622.7369444444445,0.14696297358760607,1800,4127,531,car,0 days 02:20:08.362000
2024-08-25 14:25:45.160,0 days 02:20:08.522000,0 days 00:00:11.222000,9784,220,6,0,True,0,car,632.5147222222223,0.14927048289811115,1799,4021,532,car,0 days 02:20:08.522000
2024-08-25 14:25:45.481,0 days 02:20:08.843000,0 days 00:00:11.543000,10242,205,5,0,True,0,car,650.793888888889,0.15358427977816191,1741,3781,539,car,0 days 02:20:08.843000
2024-08-25 14:25:45.761,0 days 02:20:09.123000,0 days 00:00:11.823000,10105,199,5,8,False,0,car,666.2716666666669,0.15723696212990462,1682,3688,542,car,0 days 02:20:09.123000
2024-08-25 14:25:46.161,0 days 02:20:09.523000,0 days 00:00:12.223000,9680,190,5,35,False,0,car,687.382777777778,0.16221908450485875,1529,3572,546,car,0 days 02:20:09.523000
2024-08-25 14:25:46.361,0 days 02:20:09.723000,0 days 00:00:12.423000,9563,187,5,43,False,0,car,697.7716666666668,0.1646708131472704,1429,3521,547,car,0 days 02:20:09.723000
2024-08-25 14:25:46.681,0 days 02:20:10.043000,0 days 00:00:12.743000,9385,186,5,59,False,0,car,714.3050000000001,0.16857260161776078,1238,3443,548,car,0 days 02:20:10.043000
2024-08-25 14:25:46.841,0 days 02:20:10.203000,0 days 00:00:12.903000,9585,186,5,64,False,0,car,722.5716666666667,0.17052349585300597,1188,3425,547,car,0 days 02:20:10.203000
2024-08-25 14:25:47.041,0 days 02:20:10.403000,0 days 00:00:13.103000,9685,188,5,74,False,0,car,733.0161111111112,0.17298833534377275,1102,3394,546,car,0 days 02:20:10.403000
2024-08-25 14:25:47.321,0 days 02:20:10.683000,0 days 00:00:13.383000,9571,187,5,0,True,0,car,747.5605555555555,0.17642075544314903,962,3338,544,car,0 days 02:20:10.683000
2024-08-25 14:25:47.601,0 days 02:20:10.963000,0 days 00:00:13.663000,10107,174,5,0,True,0,car,761.093888888889,0.17961455810246177,794,3248,539,car,0 days 02:20:10.963000
2024-08-25 14:25:47.801,0 days 02:20:11.163000,0 days 00:00:13.863000,9732,165,4,0,True,0,car,770.2605555555556,0.18177784808106026,746,3210,536,car,0 days 02:20:11.163000
2024-08-25 14:25:47.961,0 days 02:20:11.323000,0 days 00:00:14.023000,9291,159,4,0,True,0,car,777.3272222222223,0.18344554799183438,707,3142,535,car,0 days 02:20:11.323000
2024-08-25 14:25:48.361,0 days 02:20:11.723000,0 days 00:00:14.423000,8601,147,4,0,True,0,car,793.6605555555557,0.18730013740824628,640,2974,532,car,0 days 02:20:11.723000
2024-08-25 14:25:48.561,0 days 02:20:11.923000,0 days 00:00:14.623000,8457,141,4,0,True,0,car,801.4938888888889,0.18914876702632136,645,2921,530,car,0 days 02:20:11.923000
2024-08-25 14:25:48.841,0 days 02:20:12.203000,0 days 00:00:14.903000,7771,133,4,0,False,0,car,811.8383333333334,0.19159000699004888,665,2812,528,car,0 days 02:20:12.203000
2024-08-25 14:25:49.160,0 days 02:20:12.522000,0 days 00:00:15.222000,7717,129,4,5,False,0,car,823.2691666666667,0.1942876295933612,722,2717,527,car,0 days 02:20:12.522000
2024-08-25 14:25:49.440,0 days 02:20:12.802000,0 days 00:00:15.502000,7724,127,4,50,False,0,car,833.1469444444446,0.19661873843090558,799,2653,526,car,0 days 02:20:12.802000
2024-08-25 14:25:49.800,0 days 02:20:13.162000,0 days 00:00:15.862000,8131,132,4,51,False,0,car,846.3469444444445,0.1997338760000874,919,2600,529,car,0 days 02:20:13.162000
2024-08-25 14:25:49.960,0 days 02:20:13.322000,0 days 00:00:16.022000,8415,136,4,57,False,0,car,852.3913888888889,0.2011603363011269,977,2589,533,car,0 days 02:20:13.322000
2024-08-25 14:25:50.200,0 days 02:20:13.562000,0 days 00:00:16.262000,8639,140,4,64,False,0,car,861.7247222222222,0.20336295882479083,1070,2587,540,car,0 days 02:20:13.562000
2024-08-25 14:25:50.360,0 days 02:20:13.722000,0 days 00:00:16.422000,8779,145,4,72,False,0,car,868.1691666666667,0.20488381723398735,1134,2597,545,car,0 days 02:20:13.722000
2024-08-25 14:25:50.880,0 days 02:20:14.242000,0 days 00:00:16.942000,10042,159,4,86,False,0,car,891.1358333333334,0.21030384194400326,1349,2654,563,car,0 days 02:20:14.242000
2024-08-25 14:25:51.040,0 days 02:20:14.402000,0 days 00:00:17.102000,10173,165,4,100,False,0,car,898.4691666666668,0.21203447392688207,1420,2676,568,car,0 days 02:20:14.402000
2024-08-25 14:25:51.480,0 days 02:20:14.842000,0 days 00:00:17.542000,11182,184,4,100,False,0,car,920.9580555555557,0.21734174534104375,1642,2750,580,car,0 days 02:20:14.842000
2024-08-25 14:25:51.680,0 days 02:20:15.042000,0 days 00:00:17.742000,11633,191,4,100,False,0,car,931.5691666666668,0.21984591737687598,1770,2800,585,car,0 days 02:20:15.042000
2024-08-25 14:25:52.081,0 days 02:20:15.443000,0 days 00:00:18.143000,10821,204,4,100,False,0,car,954.2925000000001,0.22520851657109633,1938,2859,590,car,0 days 02:20:15.443000
2024-08-25 14:25:52.401,0 days 02:20:15.763000,0 days 00:00:18.463000,11084,213,5,100,False,0,car,973.2258333333335,0.22967669369052893,2193,2941,594,car,0 days 02:20:15.763000
2024-08-25 14:25:52.641,0 days 02:20:16.003000,0 days 00:00:18.703000,11288,222,5,100,False,0,car,988.0258333333335,0.23316942369233887,2308,2970,595,car,0 days 02:20:16.003000
2024-08-25 14:25:52.881,0 days 02:20:16.243000,0 days 00:00:18.943000,11630,226,5,100,False,0,car,1003.0925000000003,0.23672508576625353,2412,2993,594,car,0 days 02:20:16.243000
2024-08-25 14:25:53.121,0 days 02:20:16.483000,0 days 00:00:19.183000,11630,226,6,100,False,0,car,1018.1591666666669,0.24028074784016815,2535,3012,592,car,0 days 02:20:16.483000
2024-08-25 14:25:53.321,0 days 02:20:16.683000,0 days 00:00:19.383000,10650,233,6,100,False,0,car,1031.1036111111114,0.24333557550691637,2666,3026,589,car,0 days 02:20:16.683000
2024-08-25 14:25:53.721,0 days 02:20:17.083000,0 days 00:00:19.783000,10991,243,6,100,False,0,car,1058.1036111111116,0.24970744780751566,2989,3033,577,car,0 days 02:20:17.083000
2024-08-25 14:25:54.041,0 days 02:20:17.403000,0 days 00:00:20.103000,11182,251,6,100,False,0,car,1080.4147222222227,0.2549727645069409,3210,3022,567,car,0 days 02:20:17.403000
2024-08-25 14:25:54.201,0 days 02:20:17.563000,0 days 00:00:20.263000,11322,253,6,100,False,0,car,1091.6591666666673,0.2576264002140217,3266,3013,563,car,0 days 02:20:17.563000
2024-08-25 14:25:54.561,0 days 02:20:17.923000,0 days 00:00:20.623000,11518,259,6,100,False,0,car,1117.5591666666671,0.2637386777171891,3540,2968,546,car,0 days 02:20:17.923000
2024-08-25 14:25:54.881,0 days 02:20:18.243000,0 days 00:00:20.943000,11344,263,6,100,False,0,car,1140.9369444444449,0.26925572270503306,3802,2918,534,car,0 days 02:20:18.243000
2024-08-25 14:25:55.041,0 days 02:20:18.403000,0 days 00:00:21.103000,10601,264,7,100,False,0,car,1152.6702777777782,0.27202473387763915,3906,2898,531,car,0 days 02:20:18.403000
2024-08-25 14:25:55.361,0 days 02:20:18.723000,0 days 00:00:21.423000,10649,269,7,100,False,0,car,1176.581388888889,0.2776676430096924,4126,2867,526,car,0 days 02:20:18.723000
2024-08-25 14:25:55.561,0 days 02:20:18.923000,0 days 00:00:21.623000,10812,271,7,100,False,0,car,1191.6369444444447,0.28122068291393604,4258,2855,524,car,0 days 02:20:18.923000
2024-08-25 14:25:55.721,0 days 02:20:19.083000,0 days 00:00:21.783000,10812,271,7,100,False,0,car,1203.6813888888892,0.28406311483733093,4340,2850,523,car,0 days 02:20:19.083000
2024-08-25 14:25:55.880,0 days 02:20:19.242000,0 days 00:00:21.942000,10888,272,7,100,False,0,car,1215.6947222222225,0.2868982046856469,4409,2850,523,car,0 days 02:20:19.242000
2024-08-25 14:25:56.080,0 days 02:20:19.442000,0 days 00:00:22.142000,10930,274,7,100,False,0,car,1230.9169444444447,0.29049057713495596,4546,2863,524,car,0 days 02:20:19.442000
2024-08-25 14:25:56.440,0 days 02:20:19.802000,0 days 00:00:22.502000,10978,275,7,100,False,0,car,1258.4169444444447,0.2969804470707515,4832,2924,524,car,0 days 02:20:19.802000
2024-08-25 14:25:56.640,0 days 02:20:20.002000,0 days 00:00:22.702000,11011,276,7,100,False,0,car,1273.7502777777781,0.30059904121677083,5060,3011,525,car,0 days 02:20:20.002000
2024-08-25 14:25:56.800,0 days 02:20:20.162000,0 days 00:00:22.862000,11038,278,7,100,False,0,car,1286.1058333333335,0.3035148938909545,5106,3033,525,car,0 days 02:20:20.162000
2024-08-25 14:25:57.120,0 days 02:20:20.482000,0 days 00:00:23.182000,11081,279,7,100,False,0,car,1310.9058333333335,0.30936757659669006,5286,3134,528,car,0 days 02:20:20.482000
2024-08-25 14:25:57.400,0 days 02:20:20.762000,0 days 00:00:23.462000,11150,281,7,100,False,0,car,1332.761388888889,0.31452538433960314,5484,3253,535,car,0 days 02:20:20.762000
2024-08-25 14:25:57.720,0 days 02:20:21.082000,0 days 00:00:23.782000,11233,283,7,100,False,0,car,1357.9169444444447,0.3204619764748116,5730,3395,549,car,0 days 02:20:21.082000
2024-08-25 14:25:58.000,0 days 02:20:21.362000,0 days 00:00:24.062000,11274,284,7,100,False,0,car,1380.0058333333336,0.3256748497808163,5939,3497,561,car,0 days 02:20:21.362000
2024-08-25 14:25:58.200,0 days 02:20:21.562000,0 days 00:00:24.262000,11310,284,7,100,False,0,car,1395.7836111111114,0.3293983307136768,6037,3529,565,car,0 days 02:20:21.562000
2024-08-25 14:25:58.361,0 days 02:20:21.723000,0 days 00:00:24.423000,11264,285,7,100,False,0,car,1408.5294444444446,0.3324062870975553,6185,3568,573,car,0 days 02:20:21.723000
2024-08-25 14:25:58.521,0 days 02:20:21.883000,0 days 00:00:24.583000,11297,285,7,100,False,0,car,1421.1961111111113,0.3353955605225278,6365,3596,581,car,0 days 02:20:21.883000
2024-08-25 14:25:58.881,0 days 02:20:22.243000,0 days 00:00:24.943000,11286,286,7,100,False,0,car,1449.7961111111115,0.3421450252557552,6591,3618,590,car,0 days 02:20:22.243000
2024-08-25 14:25:59.121,0 days 02:20:22.483000,0 days 00:00:25.183000,11330,286,7,100,False,0,car,1468.862777777778,0.34664466841124003,6736,3623,594,car,0 days 02:20:22.483000
