Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-06 06:28:47.422,0 days 00:40:54.851000,0 days 00:00:00.113000,11141,280,7,100,False,12,car,9.020833333333332,0.0015739304579122277,1751,-903,740,car,0 days 00:40:54.851000
2024-04-06 06:28:47.702,0 days 00:40:55.131000,0 days 00:00:00.393000,11359,283,7,100,False,10,car,31.031944444444445,0.005414369241129008,1895,-1071,734,car,0 days 00:40:55.131000
2024-04-06 06:28:47.862,0 days 00:40:55.291000,0 days 00:00:00.553000,11201,284,7,100,False,10,car,43.65416666666667,0.007616660234432523,1976,-1166,730,car,0 days 00:40:55.291000
2024-04-06 06:28:48.102,0 days 00:40:55.531000,0 days 00:00:00.793000,11178,284,7,100,False,8,car,62.587500000000006,0.010920096724387795,2151,-1372,722,car,0 days 00:40:55.531000
2024-04-06 06:28:48.422,0 days 00:40:55.851000,0 days 00:00:01.113000,11249,284,7,100,False,8,car,87.83194444444445,0.015324678710994823,2285,-1529,717,car,0 days 00:40:55.851000
2024-04-06 06:28:48.662,0 days 00:40:56.091000,0 days 00:00:01.353000,11254,284,7,100,False,8,car,106.76527777777778,0.018628115200950097,2382,-1641,713,car,0 days 00:40:56.091000
2024-04-06 06:28:48.902,0 days 00:40:56.331000,0 days 00:00:01.593000,11232,284,7,100,False,8,car,125.69861111111112,0.021931551690905368,2518,-1801,707,car,0 days 00:40:56.331000
2024-04-06 06:28:49.182,0 days 00:40:56.611000,0 days 00:00:01.873000,11232,284,7,100,False,8,car,147.78750000000002,0.025785560929186522,2665,-1972,700,car,0 days 00:40:56.611000
2024-04-06 06:28:49.383,0 days 00:40:56.812000,0 days 00:00:02.074000,11252,284,7,100,False,8,car,163.64416666666668,0.02855218898952406,2786,-2114,696,car,0 days 00:40:56.812000
2024-04-06 06:28:49.823,0 days 00:40:57.252000,0 days 00:00:02.514000,11264,284,7,100,False,8,car,198.3552777777778,0.03460848922110873,2986,-2348,686,car,0 days 00:40:57.252000
2024-04-06 06:28:49.983,0 days 00:40:57.412000,0 days 00:00:02.674000,11173,284,7,100,False,8,car,210.97750000000002,0.03681078021441224,3093,-2472,682,car,0 days 00:40:57.412000
2024-04-06 06:28:50.223,0 days 00:40:57.652000,0 days 00:00:02.914000,11212,284,7,100,False,8,car,229.91083333333336,0.04011421670436752,3197,-2595,678,car,0 days 00:40:57.652000
2024-04-06 06:28:50.623,0 days 00:40:58.052000,0 days 00:00:03.314000,11068,281,7,10,False,8,car,261.1330555555556,0.04556178509449329,3421,-2855,668,car,0 days 00:40:58.052000
2024-04-06 06:28:51.063,0 days 00:40:58.492000,0 days 00:00:03.754000,10406,269,7,0,True,8,car,294.0108333333334,0.05129821031384637,3598,-3062,661,car,0 days 00:40:58.492000
2024-04-06 06:28:51.223,0 days 00:40:58.652000,0 days 00:00:03.914000,10219,262,7,0,True,8,car,305.6552777777778,0.05332990130062637,3678,-3156,657,car,0 days 00:40:58.652000
2024-04-06 06:28:51.543,0 days 00:40:58.972000,0 days 00:00:04.234000,9768,251,7,0,True,8,car,327.9663888888889,0.05722268326766286,3872,-3383,649,car,0 days 00:40:58.972000
2024-04-06 06:28:51.902,0 days 00:40:59.331000,0 days 00:00:04.593000,9177,240,7,0,True,8,car,351.89972222222224,0.06139850615461336,4006,-3543,643,car,0 days 00:40:59.331000
2024-04-06 06:28:52.142,0 days 00:40:59.571000,0 days 00:00:04.833000,9799,231,7,0,True,8,car,367.2997222222223,0.06408545625735868,4108,-3663,639,car,0 days 00:40:59.571000
2024-04-06 06:28:52.382,0 days 00:40:59.811000,0 days 00:00:05.073000,9900,225,6,0,False,8,car,382.2997222222223,0.06670261544834437,4205,-3778,635,car,0 days 00:40:59.811000
2024-04-06 06:28:52.662,0 days 00:41:00.091000,0 days 00:00:05.353000,10133,218,6,0,False,8,car,399.2552777777778,0.06966097465237707,4317,-3908,630,car,0 days 00:41:00.091000
2024-04-06 06:28:52.902,0 days 00:41:00.331000,0 days 00:00:05.593000,10625,213,5,0,False,8,car,413.4552777777778,0.07213855201984352,4408,-4016,626,car,0 days 00:41:00.331000
2024-04-06 06:28:53.142,0 days 00:41:00.571000,0 days 00:00:05.833000,10395,209,5,0,False,8,car,427.3886111111111,0.07456960211280357,4498,-4122,622,car,0 days 00:41:00.571000
2024-04-06 06:28:53.422,0 days 00:41:00.851000,0 days 00:00:06.113000,10086,201,5,0,False,8,car,443.02194444444444,0.07729726358074199,4601,-4243,618,car,0 days 00:41:00.851000
2024-04-06 06:28:53.702,0 days 00:41:01.131000,0 days 00:00:06.393000,9775,198,5,0,False,8,car,458.4219444444444,0.07998421368348729,4702,-4361,614,car,0 days 00:41:01.131000
2024-04-06 06:28:53.862,0 days 00:41:01.291000,0 days 00:00:06.553000,9759,196,5,0,False,8,car,467.13305555555553,0.08150410465069677,4756,-4423,611,car,0 days 00:41:01.291000
2024-04-06 06:28:54.142,0 days 00:41:01.571000,0 days 00:00:06.833000,9478,189,5,0,False,8,car,481.8330555555555,0.08406892065786274,4891,-4583,605,car,0 days 00:41:01.571000
2024-04-06 06:28:54.302,0 days 00:41:01.731000,0 days 00:00:06.993000,9437,188,5,0,False,8,car,490.1886111111111,0.08552677525906366,4919,-4617,604,car,0 days 00:41:01.731000
2024-04-06 06:28:54.502,0 days 00:41:01.931000,0 days 00:00:07.193000,9101,186,5,0,False,8,car,500.5219444444444,0.08732970714618712,4978,-4685,602,car,0 days 00:41:01.931000
2024-04-06 06:28:54.742,0 days 00:41:02.171000,0 days 00:00:07.433000,9088,180,5,0,False,8,car,512.5219444444444,0.08942343449897569,5099,-4826,597,car,0 days 00:41:02.171000
2024-04-06 06:28:55.142,0 days 00:41:02.571000,0 days 00:00:07.833000,8859,176,5,39,False,8,car,532.0775,0.09283543462944592,5170,-4910,594,car,0 days 00:41:02.571000
2024-04-06 06:28:55.382,0 days 00:41:02.811000,0 days 00:00:08.073000,8993,176,5,46,False,8,car,543.8108333333333,0.09488263470772806,5267,-5024,590,car,0 days 00:41:02.811000
2024-04-06 06:28:55.582,0 days 00:41:03.011000,0 days 00:00:08.273000,9129,178,5,48,False,8,car,553.6997222222221,0.09660802113734084,5358,-5132,586,car,0 days 00:41:03.011000
2024-04-06 06:28:55.783,0 days 00:41:03.212000,0 days 00:00:08.474000,9082,179,5,49,False,8,car,563.6938888888889,0.09835177614720148,5395,-5177,585,car,0 days 00:41:03.212000
2024-04-06 06:28:55.943,0 days 00:41:03.372000,0 days 00:00:08.634000,9097,180,5,50,False,8,car,571.6938888888889,0.09974759438239385,5432,-5220,583,car,0 days 00:41:03.372000
2024-04-06 06:28:56.143,0 days 00:41:03.572000,0 days 00:00:08.834000,9366,182,5,51,False,8,car,581.805,0.10151175354076197,5499,-5298,580,car,0 days 00:41:03.572000
2024-04-06 06:28:56.503,0 days 00:41:03.932000,0 days 00:00:09.194000,9382,184,5,51,False,8,car,600.205,0.10472213548170443,5630,-5456,575,car,0 days 00:41:03.932000
2024-04-06 06:28:56.783,0 days 00:41:04.212000,0 days 00:00:09.474000,9852,182,5,0,False,8,car,614.3605555555556,0.10719195830341982,5709,-5552,572,car,0 days 00:41:04.212000
2024-04-06 06:28:57.103,0 days 00:41:04.532000,0 days 00:00:09.794000,8864,178,5,0,False,8,car,630.1827777777778,0.10995257659080028,5809,-5678,567,car,0 days 00:41:04.532000
2024-04-06 06:28:57.423,0 days 00:41:04.852000,0 days 00:00:10.114000,10249,172,5,18,False,8,car,645.4716666666667,0.11262014032916792,5898,-5801,563,car,0 days 00:41:04.852000
2024-04-06 06:28:57.783,0 days 00:41:05.212000,0 days 00:00:10.474000,10114,169,4,20,False,8,car,662.3716666666667,0.1155688063510118,5975,-5949,558,car,0 days 00:41:05.212000
2024-04-06 06:28:57.983,0 days 00:41:05.412000,0 days 00:00:10.674000,10048,168,4,21,False,8,car,671.7049999999999,0.11719726095873621,6006,-6035,555,car,0 days 00:41:05.412000
2024-04-06 06:28:58.183,0 days 00:41:05.612000,0 days 00:00:10.874000,9926,167,4,25,False,8,car,680.9827777777778,0.11881602238427182,6027,-6126,553,car,0 days 00:41:05.612000
2024-04-06 06:28:58.423,0 days 00:41:05.852000,0 days 00:00:11.114000,9880,165,4,30,False,8,car,691.9827777777778,0.12073527245766132,6044,-6236,549,car,0 days 00:41:05.852000
2024-04-06 06:28:58.702,0 days 00:41:06.131000,0 days 00:00:11.393000,9961,165,4,38,False,8,car,704.7702777777778,0.12296640066797662,6048,-6362,546,car,0 days 00:41:06.131000
2024-04-06 06:28:58.902,0 days 00:41:06.331000,0 days 00:00:11.593000,9996,166,4,40,False,8,car,713.9925,0.12457546891132337,6039,-6455,544,car,0 days 00:41:06.331000
2024-04-06 06:28:59.302,0 days 00:41:06.731000,0 days 00:00:11.993000,9510,163,4,0,False,8,car,732.103611111111,0.12773544630488387,6000,-6641,541,car,0 days 00:41:06.731000
2024-04-06 06:28:59.702,0 days 00:41:07.131000,0 days 00:00:12.393000,8955,156,4,0,True,8,car,749.4369444444444,0.13075971914780068,5955,-6813,541,car,0 days 00:41:07.131000
2024-04-06 06:29:00.062,0 days 00:41:07.491000,0 days 00:00:12.753000,8575,149,4,0,False,8,car,764.3369444444444,0.13335943061084646,5898,-6965,542,car,0 days 00:41:07.491000
2024-04-06 06:29:00.302,0 days 00:41:07.731000,0 days 00:00:12.993000,9695,145,4,0,False,8,car,774.003611111111,0.1350460443117039,5856,-7042,542,car,0 days 00:41:07.731000
2024-04-06 06:29:00.742,0 days 00:41:08.171000,0 days 00:00:13.433000,9801,137,3,5,False,8,car,790.7480555555554,0.13796756942341903,5778,-7138,543,car,0 days 00:41:08.171000
