Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-23 06:14:02.259,0 days 00:27:31.893000,0 days 00:00:00.192000,11518,324,8,100,False,8,car,17.28,0.002804328316304865,2181,-483,6064,car,0 days 00:27:31.893000
2024-11-23 06:14:02.659,0 days 00:27:32.293000,0 days 00:00:00.592000,11564,325,8,100,False,8,car,53.39111111111111,0.00866471092175163,2388,-248,6063,car,0 days 00:27:32.293000
2024-11-23 06:14:02.899,0 days 00:27:32.533000,0 days 00:00:00.832000,11519,325,8,100,False,8,car,75.05777777777777,0.01218094048501969,2530,-91,6064,car,0 days 00:27:32.533000
2024-11-23 06:14:03.059,0 days 00:27:32.693000,0 days 00:00:00.992000,11519,326,8,100,False,8,car,89.54666666666667,0.014532306305789717,2629,20,6063,car,0 days 00:27:32.693000
2024-11-23 06:14:03.299,0 days 00:27:32.933000,0 days 00:00:01.232000,11479,327,8,100,False,8,car,111.34666666666666,0.018070174204831733,2796,204,6063,car,0 days 00:27:32.933000
2024-11-23 06:14:03.739,0 days 00:27:33.373000,0 days 00:00:01.672000,11309,327,8,100,False,8,car,151.31333333333333,0.02455626535307543,3038,475,6063,car,0 days 00:27:33.373000
2024-11-23 06:14:03.899,0 days 00:27:33.533000,0 days 00:00:01.832000,10733,319,8,0,True,8,car,165.49111111111114,0.026857141723706228,3134,582,6064,car,0 days 00:27:33.533000
2024-11-23 06:14:04.219,0 days 00:27:33.853000,0 days 00:00:02.152000,9869,267,8,0,True,8,car,189.2244444444445,0.030708765491470627,3299,767,6063,car,0 days 00:27:33.853000
2024-11-23 06:14:04.539,0 days 00:27:34.173000,0 days 00:00:02.472000,10273,228,8,0,True,8,car,209.49111111111114,0.033997792529112135,3494,982,6064,car,0 days 00:27:34.173000
2024-11-23 06:14:04.779,0 days 00:27:34.413000,0 days 00:00:02.712000,9440,195,8,0,True,8,car,222.49111111111114,0.036107530267072974,3547,1039,6063,car,0 days 00:27:34.413000
