Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-27 21:42:47.715,0 days 02:35:14.564000,0 days 00:00:00.191000,11598,262,6,100,False,0,car,13.910555555555554,0.0032809588487253136,-44,1191,22271,car,0 days 02:35:14.564000
2024-10-27 21:42:48.115,0 days 02:35:14.964000,0 days 00:00:00.591000,10691,269,7,100,False,0,car,43.79944444444443,0.01033058487458185,348,1127,22271,car,0 days 02:35:14.964000
2024-10-27 21:42:48.316,0 days 02:35:15.165000,0 days 00:00:00.792000,10886,269,7,100,False,0,car,58.8186111111111,0.013873021952574761,526,1097,22271,car,0 days 02:35:15.165000
2024-10-27 21:42:48.476,0 days 02:35:15.325000,0 days 00:00:00.952000,10998,275,7,100,False,0,car,71.04083333333332,0.016755768654597884,626,1080,22272,car,0 days 02:35:15.325000
2024-10-27 21:42:48.916,0 days 02:35:15.765000,0 days 00:00:01.392000,11226,283,7,100,False,0,car,105.62972222222221,0.024913941821323313,849,1043,22272,car,0 days 02:35:15.765000
2024-10-27 21:42:49.116,0 days 02:35:15.965000,0 days 00:00:01.592000,11328,286,7,100,False,0,car,121.51861111111111,0.02866151253395337,1008,1017,22270,car,0 days 02:35:15.965000
2024-10-27 21:42:49.396,0 days 02:35:16.245000,0 days 00:00:01.872000,11488,288,7,100,False,0,car,143.91861111111112,0.03394480103511575,1229,982,22271,car,0 days 02:35:16.245000
2024-10-27 21:42:49.716,0 days 02:35:16.565000,0 days 00:00:02.192000,11571,292,7,100,False,0,car,169.87416666666667,0.040066706758684845,1497,940,22271,car,0 days 02:35:16.565000
2024-10-27 21:42:50.116,0 days 02:35:16.965000,0 days 00:00:02.592000,10693,298,8,100,False,0,car,202.98527777777775,0.04787632964234747,1855,884,22270,car,0 days 02:35:16.965000
2024-10-27 21:42:50.276,0 days 02:35:17.125000,0 days 00:00:02.752000,10711,299,8,100,False,0,car,216.27416666666662,0.051010661511092605,1937,872,22270,car,0 days 02:35:17.125000
2024-10-27 21:42:50.676,0 days 02:35:17.525000,0 days 00:00:03.152000,10852,303,8,100,False,0,car,249.94083333333333,0.0589513183357563,2414,800,22271,car,0 days 02:35:17.525000
2024-10-27 21:42:50.876,0 days 02:35:17.725000,0 days 00:00:03.352000,10900,305,8,100,False,0,car,266.88527777777773,0.06294785353628835,2557,778,22271,car,0 days 02:35:17.725000
2024-10-27 21:42:51.156,0 days 02:35:18.005000,0 days 00:00:03.632000,10982,307,8,100,False,0,car,290.7630555555555,0.06857969232051352,2713,754,22270,car,0 days 02:35:18.005000
2024-10-27 21:42:51.356,0 days 02:35:18.205000,0 days 00:00:03.832000,11035,307,8,100,False,0,car,307.81861111111107,0.07260243430924578,2850,734,22271,car,0 days 02:35:18.205000
2024-10-27 21:42:51.596,0 days 02:35:18.445000,0 days 00:00:04.072000,11060,312,8,100,False,0,car,328.6186111111111,0.07750834506032513,3070,702,22271,car,0 days 02:35:18.445000
2024-10-27 21:42:51.996,0 days 02:35:18.845000,0 days 00:00:04.472000,11180,315,8,100,False,0,car,363.61861111111114,0.08576348334339134,3494,638,22271,car,0 days 02:35:18.845000
2024-10-27 21:42:52.395,0 days 02:35:19.244000,0 days 00:00:04.871000,11203,317,8,100,False,0,car,398.7527777777778,0.0940502663232093,3868,586,22270,car,0 days 02:35:19.244000
2024-10-27 21:42:52.555,0 days 02:35:19.404000,0 days 00:00:05.031000,11305,317,8,100,False,0,car,412.84166666666664,0.09737328706699594,4012,567,22270,car,0 days 02:35:19.404000
2024-10-27 21:42:52.835,0 days 02:35:19.684000,0 days 00:00:05.311000,11293,320,8,100,False,0,car,437.73055555555555,0.10324360762384303,4198,544,22269,car,0 days 02:35:19.684000
2024-10-27 21:42:53.115,0 days 02:35:19.964000,0 days 00:00:05.591000,11373,322,8,100,False,0,car,462.77500000000003,0.10915061768417042,4393,523,22270,car,0 days 02:35:19.964000
2024-10-27 21:42:53.475,0 days 02:35:20.324000,0 days 00:00:05.951000,11425,322,8,100,False,0,car,494.97499999999997,0.1167453449045913,4722,486,22270,car,0 days 02:35:20.324000
2024-10-27 21:42:53.675,0 days 02:35:20.524000,0 days 00:00:06.151000,11479,323,8,100,False,0,car,512.9194444444445,0.12097774119892526,4894,466,22269,car,0 days 02:35:20.524000
2024-10-27 21:42:54.035,0 days 02:35:20.884000,0 days 00:00:06.511000,11504,324,8,100,False,0,car,545.3194444444445,0.12861964063810655,5233,427,22269,car,0 days 02:35:20.884000
2024-10-27 21:42:54.195,0 days 02:35:21.044000,0 days 00:00:06.671000,11525,325,8,100,False,0,car,559.7638888888889,0.13202652310413387,5392,409,22269,car,0 days 02:35:21.044000
2024-10-27 21:42:54.355,0 days 02:35:21.204000,0 days 00:00:06.831000,11511,325,8,100,False,0,car,574.2083333333334,0.1354334055701612,5530,392,22268,car,0 days 02:35:21.204000
2024-10-27 21:42:54.675,0 days 02:35:21.524000,0 days 00:00:07.151000,11485,326,8,100,False,0,car,603.1861111111111,0.142268135932776,5807,360,22270,car,0 days 02:35:21.524000
2024-10-27 21:42:54.916,0 days 02:35:21.765000,0 days 00:00:07.392000,11580,327,8,100,False,0,car,625.0769444444445,0.14743133182701093,6010,336,22269,car,0 days 02:35:21.765000
2024-10-27 21:42:55.236,0 days 02:35:22.085000,0 days 00:00:07.712000,11571,327,8,100,False,0,car,654.1436111111111,0.1542870276201859,6434,288,22268,car,0 days 02:35:22.085000
2024-10-27 21:42:55.476,0 days 02:35:22.325000,0 days 00:00:07.952000,11542,328,8,100,False,0,car,676.0102777777778,0.15944452353798727,6695,258,22269,car,0 days 02:35:22.325000
2024-10-27 21:42:55.676,0 days 02:35:22.525000,0 days 00:00:08.152000,11582,328,8,100,False,0,car,694.2325,0.16374243680282174,6816,243,22268,car,0 days 02:35:22.525000
2024-10-27 21:42:55.956,0 days 02:35:22.805000,0 days 00:00:08.432000,11612,329,8,100,False,0,car,719.8213888888889,0.16977786012533017,6988,222,22268,car,0 days 02:35:22.805000
2024-10-27 21:42:56.156,0 days 02:35:23.005000,0 days 00:00:08.632000,11593,329,8,100,False,0,car,738.0991666666666,0.1740888767842647,7143,201,22269,car,0 days 02:35:23.005000
2024-10-27 21:42:56.556,0 days 02:35:23.405000,0 days 00:00:09.032000,11670,330,8,100,False,0,car,774.7658333333334,0.1827371168903341,7509,153,22267,car,0 days 02:35:23.405000
2024-10-27 21:42:56.756,0 days 02:35:23.605000,0 days 00:00:09.232000,11672,331,8,100,False,0,car,793.1547222222222,0.18707434033746886,7691,129,22268,car,0 days 02:35:23.605000
2024-10-27 21:42:57.156,0 days 02:35:24.005000,0 days 00:00:09.632000,11711,332,8,100,False,0,car,830.0436111111111,0.19577499401993864,8056,81,22268,car,0 days 02:35:24.005000
2024-10-27 21:42:57.476,0 days 02:35:24.325000,0 days 00:00:09.952000,11766,332,8,100,False,0,car,859.5547222222223,0.2027355169659145,8363,40,22267,car,0 days 02:35:24.325000
2024-10-27 21:42:57.716,0 days 02:35:24.565000,0 days 00:00:10.192000,11673,333,8,100,False,0,car,881.7547222222223,0.2079716332483165,8565,14,22268,car,0 days 02:35:24.565000
2024-10-27 21:42:57.916,0 days 02:35:24.765000,0 days 00:00:10.392000,11730,333,8,100,False,0,car,900.2547222222222,0.21233506348365147,8751,-9,22268,car,0 days 02:35:24.765000
2024-10-27 21:42:58.116,0 days 02:35:24.965000,0 days 00:00:10.592000,11558,333,8,100,False,0,car,918.7547222222223,0.21669849371898647,9027,-45,22267,car,0 days 02:35:24.965000
2024-10-27 21:42:58.436,0 days 02:35:25.285000,0 days 00:00:10.912000,11661,332,8,100,False,0,car,948.2658333333335,0.22365901666496232,9286,-79,22268,car,0 days 02:35:25.285000
2024-10-27 21:42:58.596,0 days 02:35:25.445000,0 days 00:00:11.072000,11713,331,8,100,False,0,car,962.9769444444445,0.22712879542267012,9385,-92,22267,car,0 days 02:35:25.445000
2024-10-27 21:42:58.756,0 days 02:35:25.605000,0 days 00:00:11.232000,11668,331,8,100,False,0,car,977.6880555555556,0.23059857418037796,9568,-116,22267,car,0 days 02:35:25.605000
2024-10-27 21:42:59.075,0 days 02:35:25.924000,0 days 00:00:11.551000,11511,329,8,76,False,0,car,1006.8411111111112,0.2374746457513786,9869,-156,22268,car,0 days 02:35:25.924000
2024-10-27 21:42:59.315,0 days 02:35:26.164000,0 days 00:00:11.791000,11327,325,8,15,False,0,car,1028.5077777777778,0.2425849694504196,10031,-178,22267,car,0 days 02:35:26.164000
2024-10-27 21:42:59.595,0 days 02:35:26.444000,0 days 00:00:12.071000,10858,311,8,0,True,0,car,1052.6966666666667,0.24829018724160534,10291,-211,22265,car,0 days 02:35:26.444000
2024-10-27 21:42:59.915,0 days 02:35:26.764000,0 days 00:00:12.391000,9511,275,8,0,True,0,car,1077.1411111111113,0.2540556806456516,10547,-243,22265,car,0 days 02:35:26.764000
2024-10-27 21:43:00.275,0 days 02:35:27.124000,0 days 00:00:12.751000,9324,238,7,0,True,0,car,1100.9411111111112,0.2596691746781366,10844,-282,22266,car,0 days 02:35:27.124000
2024-10-27 21:43:00.475,0 days 02:35:27.324000,0 days 00:00:12.951000,9920,214,7,0,True,0,car,1112.8300000000002,0.2624733010155591,10930,-295,22267,car,0 days 02:35:27.324000
2024-10-27 21:43:00.675,0 days 02:35:27.524000,0 days 00:00:13.151000,10060,194,7,0,True,0,car,1123.607777777778,0.26501535947097954,11047,-317,22268,car,0 days 02:35:27.524000
2024-10-27 21:43:00.835,0 days 02:35:27.684000,0 days 00:00:13.311000,11117,175,7,0,True,0,car,1131.3855555555558,0.26684983464499423,11133,-336,22267,car,0 days 02:35:27.684000
2024-10-27 21:43:01.155,0 days 02:35:28.004000,0 days 00:00:13.631000,11127,161,4,0,True,0,car,1145.696666666667,0.27022526896518134,11242,-372,22268,car,0 days 02:35:28.004000
