Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-03-09 18:01:34.830,0 days 01:57:19.610000,0 days 00:00:00.044000,10585,298,8,100,False,0,pos,3.674444444444445,0.000601172632029494,-1344,360,118,car,0 days 01:57:19.610000
2024-03-09 18:01:35.150,0 days 01:57:19.930000,0 days 00:00:00.364000,10682,301,8,100,False,0,car,30.43,0.004978625604291427,-1417,561,118,car,0 days 01:57:19.930000
2024-03-09 18:01:35.390,0 days 01:57:20.170000,0 days 00:00:00.604000,10760,302,8,100,False,0,car,50.56333333333333,0.008272622608335705,-1481,735,117,car,0 days 01:57:20.170000
2024-03-09 18:01:35.710,0 days 01:57:20.490000,0 days 00:00:00.924000,10779,304,8,100,False,0,car,77.58555555555556,0.012693704679988954,-1577,995,117,car,0 days 01:57:20.490000
2024-03-09 18:01:36.110,0 days 01:57:20.890000,0 days 00:00:01.324000,10886,306,8,100,False,0,car,111.58555555555556,0.018256414852381612,-1696,1322,116,car,0 days 01:57:20.890000
2024-03-09 18:01:36.390,0 days 01:57:21.170000,0 days 00:00:01.604000,10891,308,8,100,False,0,car,135.54111111111112,0.02217576228103474,-1773,1531,117,car,0 days 01:57:21.170000
2024-03-09 18:01:36.630,0 days 01:57:21.410000,0 days 00:00:01.844000,10936,309,8,100,False,0,car,156.14111111111112,0.025546110209013817,-1840,1714,117,car,0 days 01:57:21.410000
2024-03-09 18:01:36.870,0 days 01:57:21.650000,0 days 00:00:02.084000,10937,309,8,100,False,0,car,176.7411111111111,0.028916458136992895,-1957,2032,116,car,0 days 01:57:21.650000
2024-03-09 18:01:37.190,0 days 01:57:21.970000,0 days 00:00:02.404000,10975,308,8,100,False,0,car,204.11888888888888,0.033395712341167894,-2018,2198,117,car,0 days 01:57:21.970000
2024-03-09 18:01:37.430,0 days 01:57:22.210000,0 days 00:00:02.644000,10892,308,8,100,False,0,car,224.65222222222224,0.03675515299429915,-2074,2350,116,car,0 days 01:57:22.210000
2024-03-09 18:01:37.630,0 days 01:57:22.410000,0 days 00:00:02.844000,10817,307,8,100,False,0,car,241.70777777777778,0.039545597476202,-2166,2607,117,car,0 days 01:57:22.410000
2024-03-09 18:01:37.950,0 days 01:57:22.730000,0 days 00:00:03.164000,10887,306,8,100,False,0,car,268.9077777777778,0.04399576561411613,-2231,2821,117,car,0 days 01:57:22.730000
2024-03-09 18:01:38.150,0 days 01:57:22.930000,0 days 00:00:03.364000,10738,305,8,100,False,0,car,285.8522222222222,0.04676803130460593,-2267,2960,117,car,0 days 01:57:22.930000
2024-03-09 18:01:38.310,0 days 01:57:23.090000,0 days 00:00:03.524000,10771,304,8,100,False,0,car,299.36333333333334,0.048978572340432555,-2305,3103,117,car,0 days 01:57:23.090000
2024-03-09 18:01:38.590,0 days 01:57:23.370000,0 days 00:00:03.804000,10675,302,8,100,False,0,car,322.8522222222222,0.05282156884515088,-2366,3329,117,car,0 days 01:57:23.370000
