Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-03 15:57:22.587,0 days 01:19:19.841000,0 days 00:00:00.149000,11009,313,8,100,False,1,car,12.980000000000004,0.003046508941198622,-3611.9186492759377,-5518.7000636955,7777.121694843869,car,0 days 01:19:19.841000
2024-11-03 15:57:22.787,0 days 01:19:20.041000,0 days 00:00:00.349000,11000,314,8,100,False,1,car,30.424444444444447,0.007140858399923013,-3575.179216776304,-5662.480780638176,7782.430102425309,car,0 days 01:19:20.041000
2024-11-03 15:57:23.187,0 days 01:19:20.441000,0 days 00:00:00.749000,11033,315,8,100,False,1,car,65.42444444444445,0.015355635976344564,-3503.723493747976,-5938.620798204393,7790.205976253974,car,0 days 01:19:20.441000
2024-11-03 15:57:23.347,0 days 01:19:20.601000,0 days 00:00:00.909000,11049,314,8,100,False,1,car,79.38000000000001,0.01863111554332408,-3467.879710696588,-6073.250827265453,7793.355862956559,car,0 days 01:19:20.601000
2024-11-03 15:57:23.547,0 days 01:19:20.801000,0 days 00:00:01.109000,11022,315,8,100,False,1,car,96.88000000000001,0.022738504331534855,-3422.1911439022288,-6243.801768300403,7797.93506946778,car,0 days 01:19:20.801000
2024-11-03 15:57:23.826,0 days 01:19:21.080000,0 days 00:00:01.388000,11024,315,8,100,False,1,car,121.2925,0.028468311691088884,-3359.789658755294,-6474.4165314163965,7803.421986705478,car,0 days 01:19:21.080000
2024-11-03 15:57:23.986,0 days 01:19:21.240000,0 days 00:00:01.548000,11072,316,8,100,False,1,car,135.33694444444447,0.03176465418524662,-3322.723588641674,-6614.545948601143,7806.140124945379,car,0 days 01:19:21.240000
2024-11-03 15:57:24.186,0 days 01:19:21.440000,0 days 00:00:01.748000,10422,311,8,0,True,1,car,152.61472222222224,0.035819885655511856,-3267.14365134716,-6821.571017445792,7808.856655909852,car,0 days 01:19:21.440000
2024-11-03 15:57:24.426,0 days 01:19:21.680000,0 days 00:00:01.988000,9938,302,8,0,True,1,car,172.74805555555557,0.0405453386613772,-3215.4061601581134,-7012.499497431999,7811.014884001283,car,0 days 01:19:21.680000
2024-11-03 15:57:24.706,0 days 01:19:21.960000,0 days 00:00:02.268000,9343,264,8,0,True,1,car,193.2813888888889,0.04536467483954451,-3167.8873489936223,-7184.668016562226,7812.347149902169,car,0 days 01:19:21.960000
2024-11-03 15:57:24.946,0 days 01:19:22.200000,0 days 00:00:02.508000,10446,258,8,0,True,1,car,210.48138888888892,0.04940165124852882,-3120.970121793024,-7352.295600075814,7813.3945244140705,car,0 days 01:19:22.200000
2024-11-03 15:57:25.226,0 days 01:19:22.480000,0 days 00:00:02.788000,11039,223,8,0,True,1,car,227.82583333333335,0.053472529914177724,-3051.551130741826,-7588.530669835202,7815.592116486909,car,0 days 01:19:22.480000
2024-11-03 15:57:25.426,0 days 01:19:22.680000,0 days 00:00:02.988000,10429,209,6,0,True,1,car,239.43694444444446,0.056197749776831854,-3017.0543489574893,-7702.368432797,7817.086740821293,car,0 days 01:19:22.680000
2024-11-03 15:57:25.627,0 days 01:19:22.881000,0 days 00:00:03.189000,10940,193,4,0,True,1,car,250.2127777777778,0.058726923320658216,-3000.2522905634787,-7753.368400390796,7817.969276924703,car,0 days 01:19:22.881000
