Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-30 14:27:07.817,0 days 02:19:36.706000,0 days 00:00:00.117000,10886,271,7,100,False,0,car,9.033055555555558,0.0020957914414577567,1022.7942874241702,-1228.6492958063477,7213.851002078869,car,0 days 02:19:36.706000
2024-06-30 14:27:08.177,0 days 02:19:37.066000,0 days 00:00:00.477000,11173,277,7,100,False,0,car,36.73305555555556,0.008522567250743634,698.3047379812716,-1317.17683444982,7214.0586911083265,car,0 days 02:19:37.066000
2024-06-30 14:27:08.417,0 days 02:19:37.306000,0 days 00:00:00.717000,11244,279,7,100,False,0,car,55.33305555555556,0.012838019599217184,593.2265228699905,-1344.96790084953,7214.004560207346,car,0 days 02:19:37.306000
2024-06-30 14:27:08.897,0 days 02:19:37.786000,0 days 00:00:01.197000,11447,286,7,100,False,0,car,93.4663888888889,0.021685470292145036,236.36735697381815,-1440.9198628497695,7214.010199042318,car,0 days 02:19:37.786000
2024-06-30 14:27:09.137,0 days 02:19:38.026000,0 days 00:00:01.437000,11541,289,7,100,False,0,car,112.73305555555557,0.026155598352033408,52.225140470790315,-1491.0577797011085,7213.850351533986,car,0 days 02:19:38.026000
2024-06-30 14:27:09.497,0 days 02:19:38.386000,0 days 00:00:01.797000,11656,290,7,100,False,0,car,141.73305555555555,0.032883991798578184,-226.05482319194834,-1566.768716993978,7215.158858395447,car,0 days 02:19:38.386000
2024-06-30 14:27:09.657,0 days 02:19:38.546000,0 days 00:00:01.957000,11735,292,7,100,False,0,car,154.71083333333334,0.03589501231412007,-350.9142534366636,-1600.3758134179416,7215.949635130471,car,0 days 02:19:38.546000
2024-06-30 14:27:10.097,0 days 02:19:38.986000,0 days 00:00:02.397000,11819,294,7,100,False,0,car,190.64416666666665,0.044232033159379,-807.9852769946696,-1723.3781013614803,7222.886969859246,car,0 days 02:19:38.986000
2024-06-30 14:27:10.377,0 days 02:19:39.266000,0 days 00:00:02.677000,11906,296,7,100,False,0,car,213.6663888888889,0.04957350106023754,-927.4313790384206,-1755.1774900673213,7225.801259550094,car,0 days 02:19:39.266000
2024-06-30 14:27:10.697,0 days 02:19:39.586000,0 days 00:00:02.997000,11961,298,7,100,False,0,car,240.15527777777777,0.05571928266045316,-1256.6514651357224,-1844.8319770689639,7237.76747604682,car,0 days 02:19:39.586000
2024-06-30 14:27:10.897,0 days 02:19:39.786000,0 days 00:00:03.197000,11948,299,7,100,False,0,car,256.7663888888889,0.059573285803205825,-1407.9390323132618,-1887.1251600632102,7244.043199995176,car,0 days 02:19:39.786000
2024-06-30 14:27:11.178,0 days 02:19:40.067000,0 days 00:00:03.478000,11982,299,7,100,False,0,car,280.105,0.06498816021877332,-1566.7163739924854,-1932.3447171830755,7252.163637721027,car,0 days 02:19:40.067000
2024-06-30 14:27:11.538,0 days 02:19:40.427000,0 days 00:00:03.838000,11943,299,7,100,False,0,car,310.005,0.0719253658757281,-1857.4486517676116,-2012.4631307091156,7269.597108918293,car,0 days 02:19:40.427000
2024-06-30 14:27:11.858,0 days 02:19:40.747000,0 days 00:00:04.158000,11000,266,7,0,True,0,car,333.64944444444444,0.07741119777390715,-2106.9718373453334,-2081.770648808422,7287.776829593365,car,0 days 02:19:40.747000
2024-06-30 14:27:12.058,0 days 02:19:40.947000,0 days 00:00:04.358000,10375,238,7,0,True,0,car,346.8716666666666,0.08047893271696778,-2246.5313147832303,-2119.5868575476306,7297.668428050907,car,0 days 02:19:40.947000
2024-06-30 14:27:12.258,0 days 02:19:41.147000,0 days 00:00:04.558000,9618,212,7,0,True,0,car,358.6494444444444,0.08321153695196297,-2371.4758595347676,-2152.851040351616,7307.468137617387,car,0 days 02:19:41.147000
2024-06-30 14:27:12.578,0 days 02:19:41.467000,0 days 00:00:04.878000,9710,179,6,0,True,0,car,374.56055555555554,0.08690313059773008,-2517.2303517311457,-2191.287069757929,7320.745670137153,car,0 days 02:19:41.467000
2024-06-30 14:27:13.017,0 days 02:19:41.906000,0 days 00:00:05.317000,9208,146,4,0,True,0,car,392.3644444444444,0.0910338743674891,-2705.495859648574,-2231.8692068648597,7336.207243235927,car,0 days 02:19:41.906000
2024-06-30 14:27:13.297,0 days 02:19:42.186000,0 days 00:00:05.597000,7826,130,4,0,True,0,car,402.47555555555556,0.09337978932394725,-2810.806697866258,-2242.4271530321935,7345.3766215506375,car,0 days 02:19:42.186000
2024-06-30 14:27:13.617,0 days 02:19:42.506000,0 days 00:00:05.917000,7472,120,4,0,True,0,car,413.1422222222222,0.0958546007065844,-2920.3008968117274,-2239.353744623349,7355.081658560468,car,0 days 02:19:42.506000
2024-06-30 14:27:13.857,0 days 02:19:42.746000,0 days 00:00:06.157000,7128,115,4,0,False,0,car,420.8088888888889,0.09763337138785486,-2992.4358272359495,-2229.523780177684,7360.423780929897,car,0 days 02:19:42.746000
2024-06-30 14:27:14.097,0 days 02:19:42.986000,0 days 00:00:06.397000,6835,111,4,3,False,0,car,428.2088888888889,0.09935027178455941,-3082.95258494487,-2198.09085673833,7370.045017906607,car,0 days 02:19:42.986000
2024-06-30 14:27:14.297,0 days 02:19:43.186000,0 days 00:00:06.597000,7060,109,4,22,False,0,car,434.26444444444445,0.1007552428299107,-3159.0979590367047,-2161.845086154148,7377.154968229544,car,0 days 02:19:43.186000
2024-06-30 14:27:14.657,0 days 02:19:43.546000,0 days 00:00:06.957000,7237,109,4,30,False,0,car,445.1644444444444,0.10328419071154304,-3209.008212812015,-2123.0736522887833,7378.488310501802,car,0 days 02:19:43.546000
2024-06-30 14:27:14.817,0 days 02:19:43.706000,0 days 00:00:07.117000,7416,112,4,43,False,0,car,450.1422222222222,0.10443910269010705,-3248.334968483362,-2089.0735324496286,7380.36669956532,car,0 days 02:19:43.706000
2024-06-30 14:27:15.217,0 days 02:19:44.106000,0 days 00:00:07.517000,8445,120,4,61,False,0,car,463.47555555555556,0.10753261691840352,-3339.4497019298424,-1961.0819082817839,7387.134181415517,car,0 days 02:19:44.106000
2024-06-30 14:27:15.697,0 days 02:19:44.586000,0 days 00:00:07.997000,9430,134,4,98,False,0,car,481.34222222222223,0.11167792598432076,-3406.261829998482,-1838.1163565036165,7392.541388139151,car,0 days 02:19:44.586000
2024-06-30 14:27:15.897,0 days 02:19:44.786000,0 days 00:00:08.197000,10235,142,4,100,False,0,car,489.2311111111111,0.11350825523606281,-3444.437295088842,-1766.7795146083738,7394.889448104149,car,0 days 02:19:44.786000
2024-06-30 14:27:16.057,0 days 02:19:44.946000,0 days 00:00:08.357000,11075,151,4,100,False,0,car,495.9422222222222,0.11506532406430536,-3475.2559686847926,-1710.212923064948,7396.884981156427,car,0 days 02:19:44.946000
2024-06-30 14:27:16.457,0 days 02:19:45.346000,0 days 00:00:08.757000,11548,169,4,100,False,0,car,514.72,0.11942202326915621,-3569.138642017041,-1563.0077315228907,7399.406109273009,car,0 days 02:19:45.346000
2024-06-30 14:27:16.737,0 days 02:19:45.626000,0 days 00:00:09.037000,9636,180,5,100,False,0,car,528.72,0.12267021320886748,-3646.468623219709,-1452.2439808130048,7401.3220990089685,car,0 days 02:19:45.626000
2024-06-30 14:27:16.897,0 days 02:19:45.786000,0 days 00:00:09.197000,10009,184,5,100,False,0,car,536.8977777777777,0.12456756860222262,-3692.6812671154676,-1385.3891527946287,7401.9902018084185,car,0 days 02:19:45.786000
2024-06-30 14:27:17.097,0 days 02:19:45.986000,0 days 00:00:09.397000,10352,188,5,100,False,0,car,547.3422222222222,0.12699082141438817,-3762.609681348582,-1282.226044820425,7402.09210948975,car,0 days 02:19:45.986000
2024-06-30 14:27:17.417,0 days 02:19:46.306000,0 days 00:00:09.717000,10801,197,5,100,False,0,car,564.8533333333334,0.13105363676755086,-3869.056488341922,-1121.8886364222478,7402.847367960509,car,0 days 02:19:46.306000
2024-06-30 14:27:17.818,0 days 02:19:46.707000,0 days 00:00:10.118000,10801,206,5,100,False,0,car,587.7994444444445,0.1363774458580229,-4032.6621027948213,-873.8091843952409,7400.806133118247,car,0 days 02:19:46.707000
2024-06-30 14:27:18.018,0 days 02:19:46.907000,0 days 00:00:10.318000,10801,206,5,100,False,0,car,599.2438888888889,0.13903271223731067,-4088.67468863189,-788.9740823653331,7399.953365996504,car,0 days 02:19:46.907000
