Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:57:05.530000,HUL,0 days 00:01:47.041000,1.0,1.0,,,,0 days 00:00:31.163000,0 days 00:00:45.012000,,0 days 00:56:20.685000,0 days 00:57:05.476000,275.0,266.0,253.0,314.0,False,MEDIUM,1.0,True,0 days 00:55:18.169000,2024-04-21 07:03:36.842,8.0,False
0 days 01:00:31.564000,HUL,0 days 00:01:42.347000,3.0,1.0,,,0 days 00:00:26.950000,0 days 00:00:31.368000,0 days 00:00:44.029000,0 days 00:59:16.113000,0 days 00:59:47.481000,0 days 01:00:31.510000,276.0,268.0,260.0,340.0,True,MEDIUM,3.0,True,0 days 00:58:49.217000,2024-04-21 07:07:07.890,10.0,False
0 days 01:02:14.388000,HUL,0 days 00:01:42.824000,4.0,1.0,,,0 days 00:00:27.144000,0 days 00:00:31.419000,0 days 00:00:44.261000,0 days 01:00:58.654000,0 days 01:01:30.073000,0 days 01:02:14.334000,275.0,267.0,258.0,319.0,False,MEDIUM,4.0,True,0 days 01:00:31.564000,2024-04-21 07:08:50.237,10.0,False
0 days 01:03:57.719000,HUL,0 days 00:01:43.331000,5.0,1.0,,,0 days 00:00:27.245000,0 days 00:00:31.627000,0 days 00:00:44.459000,0 days 01:02:41.579000,0 days 01:03:13.206000,0 days 01:03:57.665000,278.0,266.0,253.0,316.0,False,MEDIUM,5.0,True,0 days 01:02:14.388000,2024-04-21 07:10:33.061,10.0,False
0 days 01:05:41.103000,HUL,0 days 00:01:43.384000,6.0,1.0,,,0 days 00:00:27.468000,0 days 00:00:31.525000,0 days 00:00:44.391000,0 days 01:04:25.133000,0 days 01:04:56.658000,0 days 01:05:41.049000,276.0,267.0,253.0,318.0,False,MEDIUM,6.0,True,0 days 01:03:57.719000,2024-04-21 07:12:16.392,10.0,False
0 days 01:07:25.164000,HUL,0 days 00:01:44.061000,7.0,1.0,,,0 days 00:00:27.553000,0 days 00:00:31.328000,0 days 00:00:45.180000,0 days 01:06:08.602000,0 days 01:06:39.930000,0 days 01:07:25.110000,273.0,265.0,257.0,316.0,False,MEDIUM,7.0,True,0 days 01:05:41.103000,2024-04-21 07:13:59.776,11.0,False
0 days 01:09:14.228000,HUL,0 days 00:01:49.064000,8.0,1.0,,0 days 01:09:12.475000,0 days 00:00:27.740000,0 days 00:00:31.788000,0 days 00:00:49.536000,0 days 01:07:52.850000,0 days 01:08:24.638000,0 days 01:09:14.174000,,264.0,,315.0,False,MEDIUM,8.0,True,0 days 01:07:25.164000,2024-04-21 07:15:43.837,15.0,False
0 days 01:11:14.167000,HUL,0 days 00:01:59.939000,9.0,2.0,0 days 01:09:35.470000,,0 days 00:00:45.820000,0 days 00:00:30.578000,0 days 00:00:43.541000,0 days 01:09:59.994000,0 days 01:10:30.572000,0 days 01:11:14.113000,273.0,264.0,255.0,311.0,False,HARD,1.0,True,0 days 01:09:14.228000,2024-04-21 07:17:32.901,18.0,False
0 days 01:12:55.596000,HUL,0 days 00:01:41.429000,10.0,2.0,,,0 days 00:00:26.855000,0 days 00:00:30.843000,0 days 00:00:43.731000,0 days 01:11:40.968000,0 days 01:12:11.811000,0 days 01:12:55.542000,,263.0,254.0,311.0,True,HARD,2.0,True,0 days 01:11:14.167000,2024-04-21 07:19:32.840,14.0,False
0 days 01:14:37.016000,HUL,0 days 00:01:41.420000,11.0,2.0,,,0 days 00:00:26.861000,0 days 00:00:30.684000,0 days 00:00:43.875000,0 days 01:13:22.403000,0 days 01:13:53.087000,0 days 01:14:36.962000,276.0,267.0,255.0,315.0,True,HARD,3.0,True,0 days 01:12:55.596000,2024-04-21 07:21:14.269,14.0,False
0 days 01:16:18.837000,HUL,0 days 00:01:41.821000,12.0,2.0,,,0 days 00:00:26.987000,0 days 00:00:31.092000,0 days 00:00:43.742000,0 days 01:15:03.949000,0 days 01:15:35.041000,0 days 01:16:18.783000,277.0,266.0,255.0,316.0,False,HARD,4.0,True,0 days 01:14:37.016000,2024-04-21 07:22:55.689,13.0,False
0 days 01:18:00.898000,HUL,0 days 00:01:42.061000,13.0,2.0,,,0 days 00:00:27.103000,0 days 00:00:31.037000,0 days 00:00:43.921000,0 days 01:16:45.886000,0 days 01:17:16.923000,0 days 01:18:00.844000,,268.0,254.0,316.0,False,HARD,5.0,True,0 days 01:16:18.837000,2024-04-21 07:24:37.510,12.0,False
0 days 01:19:43.021000,HUL,0 days 00:01:42.123000,14.0,2.0,,,0 days 00:00:27.017000,0 days 00:00:31.096000,0 days 00:00:44.010000,0 days 01:18:27.861000,0 days 01:18:58.957000,0 days 01:19:42.967000,275.0,266.0,254.0,315.0,False,HARD,6.0,True,0 days 01:18:00.898000,2024-04-21 07:26:19.571,12.0,False
0 days 01:21:25.429000,HUL,0 days 00:01:42.408000,15.0,2.0,,,0 days 00:00:27.139000,0 days 00:00:31.177000,0 days 00:00:44.092000,0 days 01:20:10.106000,0 days 01:20:41.283000,0 days 01:21:25.375000,,267.0,255.0,316.0,False,HARD,7.0,True,0 days 01:19:43.021000,2024-04-21 07:28:01.694,11.0,False
