Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-21 14:35:49.285,0 days 02:27:55.672000,0 days 00:00:00.099000,10527,260,7,100,False,12,car,7.351111111111106,0.0016914657550409376,-1498.5153411599524,-101.78932881393922,2388.000000004973,car,0 days 02:27:55.672000
2024-07-21 14:35:49.525,0 days 02:27:55.912000,0 days 00:00:00.339000,10713,267,7,100,False,12,car,25.15111111111111,0.005787185433964131,-1694.365478785569,58.59735799481185,2387.9999999946426,car,0 days 02:27:55.912000
2024-07-21 14:35:49.805,0 days 02:27:56.192000,0 days 00:00:00.619000,10919,272,7,100,False,12,car,46.306666666666665,0.010655007074831645,-1854.537967184974,189.39787938586406,2388.00000010341,car,0 days 02:27:56.192000
2024-07-21 14:35:50.045,0 days 02:27:56.432000,0 days 00:00:00.859000,11073,277,7,100,False,12,car,64.77333333333333,0.014904124494538477,-1946.708545325575,265.00413798676425,2387.999999787874,car,0 days 02:27:56.432000
2024-07-21 14:35:50.285,0 days 02:27:56.672000,0 days 00:00:01.099000,11204,279,7,100,False,8,car,83.37333333333332,0.019183921462402036,-2127.524820312775,413.9967902491847,2388.0000015238597,car,0 days 02:27:56.672000
2024-07-21 14:35:50.606,0 days 02:27:56.993000,0 days 00:00:01.420000,10548,284,8,100,False,8,car,108.69666666666664,0.025010734646068605,-2329.3737972725885,579.440958149874,2387.9999881476597,car,0 days 02:27:56.993000
2024-07-21 14:35:50.926,0 days 02:27:57.313000,0 days 00:00:01.740000,10260,288,8,100,False,8,car,134.29666666666665,0.03090120789216039,-2538.2156708775406,751.2111271739514,2388.000118291765,car,0 days 02:27:57.313000
2024-07-21 14:35:51.246,0 days 02:27:57.633000,0 days 00:00:02.060000,10340,288,8,100,False,8,car,159.89666666666665,0.03679168113825217,-2744.93444476684,921.6362069759564,2387.999485812563,car,0 days 02:27:57.633000
2024-07-21 14:35:51.446,0 days 02:27:57.833000,0 days 00:00:02.260000,10408,292,8,100,False,8,car,176.11888888888885,0.04052435949732074,-2807.627871060405,973.0187195301266,2388.0004043876634,car,0 days 02:27:57.833000
2024-07-21 14:35:51.726,0 days 02:27:58.113000,0 days 00:00:02.540000,10518,295,8,100,False,8,car,199.0633333333333,0.04580379840929103,-2988.535753562569,1121.3430234644075,2387.9943040395397,car,0 days 02:27:58.113000
2024-07-21 14:35:52.086,0 days 02:27:58.473000,0 days 00:00:02.900000,10581,297,8,100,False,8,car,228.7633333333333,0.0526376677612022,-3210.1924354383127,1302.9565838004041,2388.1224339526025,car,0 days 02:27:58.473000
2024-07-21 14:35:52.326,0 days 02:27:58.713000,0 days 00:00:03.140000,10648,299,8,100,False,8,car,248.69666666666666,0.057224260210633045,-3408.7924842402685,1467.2245468312944,2387.0660517780852,car,0 days 02:27:58.713000
2024-07-21 14:35:52.486,0 days 02:27:58.873000,0 days 00:00:03.300000,10648,299,8,100,False,8,car,261.98555555555555,0.060281988510253605,-3506.7938900506056,1547.764911195018,2386.0378067735,car,0 days 02:27:58.873000
2024-07-21 14:35:52.645,0 days 02:27:59.032000,0 days 00:00:03.459000,10701,301,8,100,False,8,car,275.27972222222223,0.06334093120865537,-3581.8096097860125,1609.1252782236215,2384.945120132217,car,0 days 02:27:59.032000
2024-07-21 14:35:52.885,0 days 02:27:59.272000,0 days 00:00:03.699000,10765,302,8,100,False,8,car,295.41305555555556,0.06797354298032131,-3707.035780583882,1712.1402683934105,2382.896089614595,car,0 days 02:27:59.272000
2024-07-21 14:35:53.085,0 days 02:27:59.472000,0 days 00:00:03.899000,10765,304,8,100,False,8,car,312.3019444444445,0.07185961908017352,-3843.9060939431074,1824.4907139357067,2379.413947305858,car,0 days 02:27:59.472000
2024-07-21 14:35:53.285,0 days 02:27:59.672000,0 days 00:00:04.099000,10528,306,8,8,False,8,car,329.3019444444445,0.07577126147015635,-3981.3299114162805,1935.6193746460626,2374.8377772106396,car,0 days 02:27:59.672000
2024-07-21 14:35:53.565,0 days 02:27:59.952000,0 days 00:00:04.379000,10437,295,8,0,True,8,car,352.2463888888889,0.08105070038212663,-4233.226431739785,2133.9105409398926,2368.210417471949,car,0 days 02:27:59.952000
2024-07-21 14:35:53.765,0 days 02:28:00.152000,0 days 00:00:04.579000,10036,289,8,0,True,8,car,368.3019444444444,0.08474502930599928,-4317.270189280113,2199.5124804127895,2365.694196534755,car,0 days 02:28:00.152000
2024-07-21 14:35:54.205,0 days 02:28:00.592000,0 days 00:00:05.019000,9306,260,8,0,True,8,car,400.07972222222224,0.09205698828335282,-4540.820661166661,2376.095762214547,2359.065255965241,car,0 days 02:28:00.592000
