Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:45:59.745000,HUL,,1.0,1.0,,0 days 00:45:51.363000,,0 days 00:00:36.219000,0 days 00:00:58.435000,,0 days 00:45:01.310000,0 days 00:45:59.837000,216.0,128.0,,190.0,False,MEDIUM,7.0,False,0 days 00:43:47.919000,2024-05-04 16:03:39.995,8.0,False
0 days 00:48:30.590000,HUL,,2.0,2.0,0 days 00:46:13.368000,0 days 00:48:24.008000,0 days 00:00:55.222000,0 days 00:00:50.509000,0 days 00:00:45.149000,0 days 00:46:54.970000,0 days 00:47:45.441000,0 days 00:48:30.678000,125.0,148.0,,204.0,False,MEDIUM,8.0,False,0 days 00:45:59.745000,2024-05-04 16:05:51.821,7.0,False
0 days 00:51:04.790000,HUL,,3.0,3.0,0 days 00:48:43.507000,,0 days 00:00:53.672000,0 days 00:00:49.624000,0 days 00:00:51.010000,0 days 00:49:24.216000,0 days 00:50:13.976000,0 days 00:51:04.989000,117.0,112.0,281.0,64.0,False,MEDIUM,9.0,False,0 days 00:48:30.590000,2024-05-04 16:08:22.666,7.0,False
0 days 00:52:37.262000,HUL,0 days 00:01:32.472000,4.0,3.0,,,0 days 00:00:31.796000,0 days 00:00:34.894000,0 days 00:00:25.782000,0 days 00:51:36.586000,0 days 00:52:11.480000,0 days 00:52:37.262000,218.0,189.0,281.0,317.0,True,MEDIUM,10.0,False,0 days 00:51:04.790000,2024-05-04 16:10:56.866,7.0,False
0 days 00:54:09.350000,HUL,0 days 00:01:32.088000,5.0,3.0,,,0 days 00:00:31.500000,0 days 00:00:34.962000,0 days 00:00:25.626000,0 days 00:53:08.762000,0 days 00:53:43.724000,0 days 00:54:09.350000,215.0,187.0,283.0,323.0,True,MEDIUM,11.0,False,0 days 00:52:37.262000,2024-05-04 16:12:29.338,7.0,False
0 days 00:57:13.356000,HUL,0 days 00:01:32.067000,7.0,3.0,,,0 days 00:00:31.296000,0 days 00:00:35.130000,0 days 00:00:25.641000,0 days 00:56:12.585000,0 days 00:56:47.715000,0 days 00:57:13.356000,217.0,186.0,281.0,320.0,True,MEDIUM,13.0,False,0 days 00:55:41.289000,2024-05-04 16:15:33.365,7.0,False
0 days 00:58:45.319000,HUL,0 days 00:01:31.963000,8.0,3.0,,,0 days 00:00:31.229000,0 days 00:00:35.078000,0 days 00:00:25.656000,0 days 00:57:44.585000,0 days 00:58:19.663000,0 days 00:58:45.319000,216.0,186.0,281.0,316.0,True,MEDIUM,14.0,False,0 days 00:57:13.356000,2024-05-04 16:17:05.432,7.0,False
0 days 01:00:17.750000,HUL,0 days 00:01:32.431000,9.0,3.0,,,0 days 00:00:31.414000,0 days 00:00:35.375000,0 days 00:00:25.642000,0 days 00:59:16.733000,0 days 00:59:52.108000,0 days 01:00:17.750000,215.0,186.0,280.0,320.0,False,MEDIUM,15.0,False,0 days 00:58:45.319000,2024-05-04 16:18:37.395,7.0,False
0 days 01:01:50.250000,HUL,0 days 00:01:32.500000,10.0,3.0,,,0 days 00:00:31.434000,0 days 00:00:35.404000,0 days 00:00:25.662000,0 days 01:00:49.184000,0 days 01:01:24.588000,0 days 01:01:50.250000,216.0,186.0,279.0,323.0,False,MEDIUM,16.0,False,0 days 01:00:17.750000,2024-05-04 16:20:09.826,7.0,False
0 days 01:03:22.985000,HUL,0 days 00:01:32.735000,11.0,3.0,,,0 days 00:00:31.444000,0 days 00:00:35.594000,0 days 00:00:25.697000,0 days 01:02:21.694000,0 days 01:02:57.288000,0 days 01:03:22.985000,,187.0,281.0,319.0,False,MEDIUM,17.0,False,0 days 01:01:50.250000,2024-05-04 16:21:42.326,7.0,False
0 days 01:04:55.748000,HUL,0 days 00:01:32.763000,12.0,3.0,,,0 days 00:00:31.459000,0 days 00:00:35.592000,0 days 00:00:25.712000,0 days 01:03:54.444000,0 days 01:04:30.036000,0 days 01:04:55.748000,214.0,185.0,281.0,321.0,False,MEDIUM,18.0,False,0 days 01:03:22.985000,2024-05-04 16:23:15.061,7.0,False
0 days 01:06:28.098000,HUL,0 days 00:01:32.350000,13.0,3.0,,,0 days 00:00:31.296000,0 days 00:00:35.460000,0 days 00:00:25.594000,0 days 01:05:27.044000,0 days 01:06:02.504000,0 days 01:06:28.098000,218.0,186.0,282.0,321.0,False,MEDIUM,19.0,False,0 days 01:04:55.748000,2024-05-04 16:24:47.824,7.0,False
0 days 01:08:00.683000,HUL,0 days 00:01:32.585000,14.0,3.0,,,0 days 00:00:31.411000,0 days 00:00:35.419000,0 days 00:00:25.755000,0 days 01:06:59.509000,0 days 01:07:34.928000,0 days 01:08:00.683000,217.0,186.0,282.0,317.0,False,MEDIUM,20.0,False,0 days 01:06:28.098000,2024-05-04 16:26:20.174,7.0,False
0 days 01:09:33.230000,HUL,0 days 00:01:32.547000,15.0,3.0,,,0 days 00:00:31.456000,0 days 00:00:35.422000,0 days 00:00:25.669000,0 days 01:08:32.139000,0 days 01:09:07.561000,0 days 01:09:33.230000,216.0,185.0,282.0,319.0,False,MEDIUM,21.0,False,0 days 01:08:00.683000,2024-05-04 16:27:52.759,7.0,False
0 days 01:11:05.250000,HUL,0 days 00:01:32.020000,16.0,3.0,,,0 days 00:00:31.023000,0 days 00:00:35.232000,0 days 00:00:25.765000,0 days 01:10:04.253000,0 days 01:10:39.485000,0 days 01:11:05.250000,,185.0,282.0,317.0,False,MEDIUM,22.0,False,0 days 01:09:33.230000,2024-05-04 16:29:25.306,7.0,False
0 days 01:12:37.346000,HUL,0 days 00:01:32.096000,17.0,3.0,,,0 days 00:00:31.088000,0 days 00:00:35.301000,0 days 00:00:25.707000,0 days 01:11:36.338000,0 days 01:12:11.639000,0 days 01:12:37.346000,,187.0,282.0,319.0,False,MEDIUM,23.0,False,0 days 01:11:05.250000,2024-05-04 16:30:57.326,7.0,False
0 days 01:14:09.537000,HUL,0 days 00:01:32.191000,18.0,3.0,,,0 days 00:00:31.184000,0 days 00:00:35.368000,0 days 00:00:25.639000,0 days 01:13:08.530000,0 days 01:13:43.898000,0 days 01:14:09.537000,217.0,187.0,281.0,318.0,False,MEDIUM,24.0,False,0 days 01:12:37.346000,2024-05-04 16:32:29.422,7.0,False
0 days 01:15:41.648000,HUL,0 days 00:01:32.111000,19.0,3.0,,,0 days 00:00:31.063000,0 days 00:00:35.391000,0 days 00:00:25.657000,0 days 01:14:40.600000,0 days 01:15:15.991000,0 days 01:15:41.648000,218.0,187.0,282.0,318.0,False,MEDIUM,25.0,False,0 days 01:14:09.537000,2024-05-04 16:34:01.613,7.0,False
