Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-25 14:02:19.372,0 days 00:15:14.689000,0 days 00:00:00.191000,8061,67,1,35,False,8,car,3.6363888888888884,0.0011010687962351537,-7586,-6621,0,car,0 days 00:15:14.689000
2024-05-25 14:02:19.572,0 days 00:15:14.889000,0 days 00:00:00.391000,8891,72,1,38,False,8,car,7.636388888888888,0.002312236061210038,-7599,-6584,0,car,0 days 00:15:14.889000
2024-05-25 14:02:19.772,0 days 00:15:15.089000,0 days 00:00:00.591000,8549,78,1,41,False,8,car,11.96972222222222,0.003624333931599496,-7611,-6545,0,car,0 days 00:15:15.089000
2024-05-25 14:02:20.012,0 days 00:15:15.329000,0 days 00:00:00.831000,9764,87,1,41,False,8,car,17.76972222222222,0.005380526465813079,-7619,-6493,0,car,0 days 00:15:15.329000
2024-05-25 14:02:20.172,0 days 00:15:15.489000,0 days 00:00:00.991000,10593,90,1,46,False,8,car,21.76972222222222,0.006591693730787964,-7624,-6453,0,car,0 days 00:15:15.489000
2024-05-25 14:02:20.332,0 days 00:15:15.649000,0 days 00:00:01.151000,11256,96,1,50,False,8,car,26.036388888888887,0.007883605480094508,-7630,-6384,0,car,0 days 00:15:15.649000
2024-05-25 14:02:20.532,0 days 00:15:15.849000,0 days 00:00:01.351000,11512,102,1,54,False,8,car,31.70305555555555,0.00959942577214226,-7635,-6330,0,car,0 days 00:15:15.849000
2024-05-25 14:02:20.772,0 days 00:15:16.089000,0 days 00:00:01.591000,10002,102,2,50,False,8,car,38.50305555555555,0.011658410122599562,-7637,-6281,0,car,0 days 00:15:16.089000
2024-05-25 14:02:21.052,0 days 00:15:16.369000,0 days 00:00:01.871000,10394,117,2,58,False,8,car,47.60305555555555,0.014413815650417425,-7642,-6150,0,car,0 days 00:15:16.369000
2024-05-25 14:02:21.492,0 days 00:15:16.809000,0 days 00:00:02.311000,10241,130,2,61,False,8,car,63.491944444444435,0.01922484117517877,-7638,-6048,0,car,0 days 00:15:16.809000
2024-05-25 14:02:21.852,0 days 00:15:17.169000,0 days 00:00:02.671000,10638,142,3,63,False,8,car,77.69194444444443,0.02352448496583961,-7628,-5915,0,car,0 days 00:15:17.169000
2024-05-25 14:02:22.012,0 days 00:15:17.329000,0 days 00:00:02.831000,11042,148,3,65,False,8,car,84.26972222222221,0.025516182246020532,-7618,-5806,0,car,0 days 00:15:17.329000
2024-05-25 14:02:22.172,0 days 00:15:17.489000,0 days 00:00:02.991000,10515,151,3,64,False,8,car,90.98083333333334,0.02754825176836729,-7610,-5728,0,car,0 days 00:15:17.489000
2024-05-25 14:02:22.332,0 days 00:15:17.649000,0 days 00:00:03.151000,9860,157,4,64,False,8,car,97.9586111111111,0.02966106577504569,-7608,-5705,0,car,0 days 00:15:17.649000
2024-05-25 14:02:22.532,0 days 00:15:17.849000,0 days 00:00:03.351000,10129,162,4,67,False,8,car,106.95861111111111,0.032386192121239187,-7596,-5633,0,car,0 days 00:15:17.849000
2024-05-25 14:02:22.892,0 days 00:15:18.209000,0 days 00:00:03.711000,9592,160,4,0,True,8,car,122.95861111111111,0.037230861181138726,-7564,-5471,0,car,0 days 00:15:18.209000
2024-05-25 14:02:23.292,0 days 00:15:18.609000,0 days 00:00:04.111000,8934,146,4,0,True,8,car,139.18083333333334,0.04214281731131465,-7519,-5307,0,car,0 days 00:15:18.609000
2024-05-25 14:02:23.652,0 days 00:15:18.969000,0 days 00:00:04.471000,9794,130,4,0,True,8,car,152.18083333333334,0.04607911092248302,-7470,-5177,0,car,0 days 00:15:18.969000
2024-05-25 14:02:23.932,0 days 00:15:19.249000,0 days 00:00:04.751000,9256,121,3,0,True,8,car,161.59194444444447,0.048928718348687825,-7430,-5089,0,car,0 days 00:15:19.249000
2024-05-25 14:02:24.092,0 days 00:15:19.409000,0 days 00:00:04.911000,10096,118,3,0,True,8,car,166.83638888888888,0.050516693207210445,-7407,-5039,0,car,0 days 00:15:19.409000
2024-05-25 14:02:24.252,0 days 00:15:19.569000,0 days 00:00:05.071000,9819,113,2,0,True,8,car,171.85861111111112,0.05203738099545669,-7369,-4964,0,car,0 days 00:15:19.569000
2024-05-25 14:02:24.571,0 days 00:15:19.888000,0 days 00:00:05.390000,9601,109,2,14,False,8,car,181.51722222222222,0.05496192939618181,-7340,-4905,0,car,0 days 00:15:19.888000
2024-05-25 14:02:24.931,0 days 00:15:20.248000,0 days 00:00:05.750000,9431,109,2,19,False,8,car,192.41722222222222,0.05826236019323837,-7274,-4796,0,car,0 days 00:15:20.248000
2024-05-25 14:02:25.091,0 days 00:15:20.408000,0 days 00:00:05.910000,9391,108,2,18,False,8,car,197.21722222222223,0.059715760911208234,-7251,-4764,0,car,0 days 00:15:20.408000
2024-05-25 14:02:25.372,0 days 00:15:20.689000,0 days 00:00:06.191000,9491,107,2,14,False,8,car,205.56916666666666,0.06224466133870822,-7206,-4718,0,car,0 days 00:15:20.689000
2024-05-25 14:02:25.572,0 days 00:15:20.889000,0 days 00:00:06.391000,9491,107,2,14,False,8,car,211.51361111111112,0.06404459046860145,-7160,-4679,0,car,0 days 00:15:20.889000
2024-05-25 14:02:25.732,0 days 00:15:21.049000,0 days 00:00:06.551000,9863,107,2,36,False,8,car,216.26916666666668,0.06548453377251603,-7122,-4653,0,car,0 days 00:15:21.049000
2024-05-25 14:02:26.172,0 days 00:15:21.489000,0 days 00:00:06.991000,10538,117,2,67,False,8,car,230.56916666666666,0.06981445674480125,-6949,-4597,0,car,0 days 00:15:21.489000
2024-05-25 14:02:26.372,0 days 00:15:21.689000,0 days 00:00:07.191000,11296,124,2,74,False,8,car,237.45805555555555,0.0719003559233691,-6900,-4590,0,car,0 days 00:15:21.689000
2024-05-25 14:02:26.572,0 days 00:15:21.889000,0 days 00:00:07.391000,12308,132,2,100,False,8,car,244.7913888888889,0.07412082924248972,-6855,-4586,0,car,0 days 00:15:21.889000
2024-05-25 14:02:26.772,0 days 00:15:22.089000,0 days 00:00:07.591000,11575,141,2,100,False,8,car,252.62472222222223,0.07649269846973221,-6782,-4575,0,car,0 days 00:15:22.089000
2024-05-25 14:02:27.092,0 days 00:15:22.409000,0 days 00:00:07.911000,11796,154,3,100,False,8,car,266.3136111111111,0.08063758199875735,-6648,-4553,0,car,0 days 00:15:22.409000
2024-05-25 14:02:27.332,0 days 00:15:22.649000,0 days 00:00:08.151000,11126,154,3,100,False,8,car,276.5802777777777,0.08374624464552623,-6557,-4537,0,car,0 days 00:15:22.649000
2024-05-25 14:02:27.612,0 days 00:15:22.929000,0 days 00:00:08.431000,10803,176,4,100,False,8,car,290.2691666666666,0.08789112817455139,-6363,-4498,0,car,0 days 00:15:22.929000
2024-05-25 14:02:27.932,0 days 00:15:23.249000,0 days 00:00:08.751000,11543,184,4,100,False,8,car,306.62472222222215,0.09284345654689313,-6190,-4462,0,car,0 days 00:15:23.249000
2024-05-25 14:02:28.132,0 days 00:15:23.449000,0 days 00:00:08.951000,10838,186,4,100,False,8,car,316.9580555555555,0.09597230531474493,-6134,-4450,0,car,0 days 00:15:23.449000
2024-05-25 14:02:28.372,0 days 00:15:23.689000,0 days 00:00:09.191000,10116,191,5,100,False,8,car,329.69138888888887,0.09982785444158165,-6045,-4431,0,car,0 days 00:15:23.689000
2024-05-25 14:02:28.812,0 days 00:15:24.129000,0 days 00:00:09.631000,10761,204,5,100,False,8,car,354.62472222222215,0.10737746372659175,-5826,-4381,-1,car,0 days 00:15:24.129000
2024-05-25 14:02:28.972,0 days 00:15:24.289000,0 days 00:00:09.791000,10914,207,5,100,False,8,car,363.82472222222214,0.11016314843603398,-5627,-4336,-6,car,0 days 00:15:24.289000
2024-05-25 14:02:29.172,0 days 00:15:24.489000,0 days 00:00:09.991000,11084,210,5,100,False,8,car,375.49138888888876,0.11369571962554405,-5562,-4320,-150,car,0 days 00:15:24.489000
2024-05-25 14:02:29.572,0 days 00:15:24.889000,0 days 00:00:10.391000,9904,216,6,100,False,8,car,399.49138888888876,0.12096272321539335,-5327,-4264,813,car,0 days 00:15:24.889000
2024-05-25 14:02:29.892,0 days 00:15:25.209000,0 days 00:00:10.711000,9995,220,6,100,False,8,car,419.0469444444443,0.12688398539971502,-5121,-4222,713,car,0 days 00:15:25.209000
2024-05-25 14:02:30.052,0 days 00:15:25.369000,0 days 00:00:10.871000,10170,222,6,100,False,8,car,428.913611111111,0.12987153131998638,-4942,-4202,736,car,0 days 00:15:25.369000
2024-05-25 14:02:30.212,0 days 00:15:25.529000,0 days 00:00:11.031000,10307,225,6,100,False,8,car,438.913611111111,0.1328994494824236,-4904,-4200,738,car,0 days 00:15:25.529000
2024-05-25 14:02:30.652,0 days 00:15:25.969000,0 days 00:00:11.471000,10496,231,6,100,False,8,car,467.1469444444443,0.141448271761038,-4665,-4169,760,car,0 days 00:15:25.969000
2024-05-25 14:02:30.892,0 days 00:15:26.209000,0 days 00:00:11.711000,10675,233,6,100,False,8,car,482.68027777777763,0.14615163797335712,-4530,-4131,772,car,0 days 00:15:26.209000
2024-05-25 14:02:31.052,0 days 00:15:26.369000,0 days 00:00:11.871000,10694,234,6,100,False,8,car,493.08027777777767,0.14930067286229184,-4354,-4053,788,car,0 days 00:15:26.369000
