Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-03-09 17:10:33.821,0 days 01:06:18.601000,0 days 00:00:00.213000,10835,303,8,100,False,0,car,17.91972222222222,0.002937854301171075,-1387,481,118,car,0 days 01:06:18.601000
2024-03-09 17:10:33.981,0 days 01:06:18.761000,0 days 00:00:00.373000,10884,307,8,100,False,0,car,31.564166666666665,0.005174796888846405,-1464,689,118,car,0 days 01:06:18.761000
2024-03-09 17:10:34.181,0 days 01:06:18.961000,0 days 00:00:00.573000,10933,307,8,100,False,0,car,48.619722222222215,0.007970975123440567,-1498,781,117,car,0 days 01:06:18.961000
2024-03-09 17:10:34.341,0 days 01:06:19.121000,0 days 00:00:00.733000,11010,309,8,100,False,0,car,62.35305555555555,0.010222490626996518,-1537,888,116,car,0 days 01:06:19.121000
2024-03-09 17:10:34.581,0 days 01:06:19.361000,0 days 00:00:00.973000,11007,309,8,100,False,0,car,82.95305555555555,0.013599763882330444,-1641,1172,116,car,0 days 01:06:19.361000
2024-03-09 17:10:34.981,0 days 01:06:19.761000,0 days 00:00:01.373000,11031,311,8,100,False,0,car,117.50861111111111,0.019264984930921873,-1724,1399,117,car,0 days 01:06:19.761000
2024-03-09 17:10:35.341,0 days 01:06:20.121000,0 days 00:00:01.733000,11059,311,8,100,False,0,car,148.60861111111112,0.024363683874654162,-1856,1759,117,car,0 days 01:06:20.121000
2024-03-09 17:10:35.661,0 days 01:06:20.441000,0 days 00:00:02.053000,11058,311,8,100,False,0,car,176.25305555555553,0.028895860713527302,-1925,1947,116,car,0 days 01:06:20.441000
2024-03-09 17:10:35.901,0 days 01:06:20.681000,0 days 00:00:02.293000,11093,312,8,100,False,0,car,197.05305555555555,0.03230592302959263,-1999,2147,117,car,0 days 01:06:20.681000
2024-03-09 17:10:36.101,0 days 01:06:20.881000,0 days 00:00:02.493000,11058,311,8,100,False,0,car,214.3308333333333,0.03513853355388834,-2058,2310,116,car,0 days 01:06:20.881000
2024-03-09 17:10:36.420,0 days 01:06:21.200000,0 days 00:00:02.812000,11054,312,8,100,False,0,car,241.97749999999996,0.0396710747156585,-2152,2567,117,car,0 days 01:06:21.200000
2024-03-09 17:10:36.700,0 days 01:06:21.480000,0 days 00:00:03.092000,11052,311,8,100,False,0,car,266.1663888888889,0.04363672944967251,-2228,2815,116,car,0 days 01:06:21.480000
2024-03-09 17:10:36.900,0 days 01:06:21.680000,0 days 00:00:03.292000,11008,310,8,100,False,0,car,283.3886111111111,0.04646023190154283,-2273,2982,118,car,0 days 01:06:21.680000
2024-03-09 17:10:37.300,0 days 01:06:22.080000,0 days 00:00:03.692000,10887,307,8,0,False,0,car,317.49972222222226,0.052052588370731165,-2387,3403,118,car,0 days 01:06:22.080000
2024-03-09 17:10:37.580,0 days 01:06:22.360000,0 days 00:00:03.972000,10451,303,8,0,False,0,car,341.0663888888889,0.055916232693580814,-2463,3682,117,car,0 days 01:06:22.360000
2024-03-09 17:10:37.940,0 days 01:06:22.720000,0 days 00:00:04.332000,10137,279,8,0,True,0,car,368.9663888888889,0.06049030666561074,-2516,3874,118,car,0 days 01:06:22.720000
2024-03-09 17:10:38.100,0 days 01:06:22.880000,0 days 00:00:04.492000,10137,264,8,0,True,0,car,380.69972222222225,0.06241393156185272,-2536,3948,117,car,0 days 01:06:22.880000
2024-03-09 17:10:38.460,0 days 01:06:23.240000,0 days 00:00:04.852000,9508,215,7,0,True,0,car,402.19972222222225,0.06593875559047793,-2610,4214,116,car,0 days 01:06:23.240000
2024-03-09 17:10:38.820,0 days 01:06:23.600000,0 days 00:00:05.212000,9722,188,7,0,True,0,car,420.9997222222222,0.06902092729922928,-2664,4390,116,car,0 days 01:06:23.600000
2024-03-09 17:10:39.140,0 days 01:06:23.920000,0 days 00:00:05.532000,9814,154,6,0,True,0,car,434.68861111111113,0.07126515634484493,-2694,4468,116,car,0 days 01:06:23.920000
2024-03-09 17:10:39.340,0 days 01:06:24.120000,0 days 00:00:05.732000,10055,140,4,0,True,0,car,442.4663888888889,0.07254028648439927,-2746,4577,115,car,0 days 01:06:24.120000
2024-03-09 17:10:39.500,0 days 01:06:24.280000,0 days 00:00:05.892000,9717,135,3,0,True,0,car,448.4663888888889,0.07352395830634119,-2777,4637,114,car,0 days 01:06:24.280000
2024-03-09 17:10:39.700,0 days 01:06:24.480000,0 days 00:00:06.092000,9056,128,3,0,True,0,car,455.5775,0.07468979157679087,-2793,4657,114,car,0 days 01:06:24.480000
2024-03-09 17:10:40.060,0 days 01:06:24.840000,0 days 00:00:06.452000,8168,113,3,0,True,0,car,466.8775,0.07654237350811481,-2868,4734,113,car,0 days 01:06:24.840000
2024-03-09 17:10:40.221,0 days 01:06:25.001000,0 days 00:00:06.613000,8168,111,3,0,True,0,car,471.8416666666667,0.07735622531968538,-2915,4759,112,car,0 days 01:06:25.001000
2024-03-09 17:10:40.701,0 days 01:06:25.481000,0 days 00:00:07.093000,8828,102,2,0,False,0,car,485.44166666666666,0.0795858814494204,-3056,4784,113,car,0 days 01:06:25.481000
2024-03-09 17:10:41.021,0 days 01:06:25.801000,0 days 00:00:07.413000,9001,99,2,12,False,0,car,494.2416666666667,0.08102860012160187,-3137,4766,115,car,0 days 01:06:25.801000
2024-03-09 17:10:41.261,0 days 01:06:26.041000,0 days 00:00:07.653000,8499,98,2,6,True,0,car,500.775,0.08209970943882752,-3197,4753,116,car,0 days 01:06:26.041000
2024-03-09 17:10:41.421,0 days 01:06:26.201000,0 days 00:00:07.813000,8158,95,2,0,True,0,car,504.9972222222222,0.08279192294315703,-3264,4748,117,car,0 days 01:06:26.201000
2024-03-09 17:10:41.581,0 days 01:06:26.361000,0 days 00:00:07.973000,7814,92,2,0,True,0,car,509.0861111111111,0.08346227707366559,-3332,4747,118,car,0 days 01:06:26.361000
2024-03-09 17:10:41.861,0 days 01:06:26.641000,0 days 00:00:08.253000,7376,87,2,0,True,0,car,515.8527777777778,0.08457164029507787,-3381,4763,118,car,0 days 01:06:26.641000
2024-03-09 17:10:42.061,0 days 01:06:26.841000,0 days 00:00:08.453000,7199,84,2,0,False,0,car,520.5194444444444,0.08533671837881046,-3417,4786,119,car,0 days 01:06:26.841000
2024-03-09 17:10:42.381,0 days 01:06:27.161000,0 days 00:00:08.773000,6765,82,2,0,False,0,car,527.8083333333333,0.0865316974810214,-3469,4843,119,car,0 days 01:06:27.161000
2024-03-09 17:10:42.581,0 days 01:06:27.361000,0 days 00:00:08.973000,6814,79,2,8,False,0,car,532.1972222222222,0.08725123520262706,-3499,4907,118,car,0 days 01:06:27.361000
