Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-30 13:39:01.487,0 days 01:31:30.376000,0 days 00:00:00.095000,11164,277,7,99,False,0,car,8.05833333333333,0.0018734467053815513,1048.4286772012251,-1221.5534642034388,7215.082059410282,car,0 days 01:31:30.376000
2024-06-30 13:39:01.727,0 days 01:31:30.616000,0 days 00:00:00.335000,11217,280,7,99,False,0,car,26.724999999999998,0.006213178473793834,869.7498880192435,-1270.0547243895717,7214.270367245991,car,0 days 01:31:30.616000
2024-06-30 13:39:02.047,0 days 01:31:30.936000,0 days 00:00:00.655000,11293,284,7,99,False,0,car,51.96944444444444,0.01208214905583711,627.7619888442405,-1335.6489202250298,7214.0060070508425,car,0 days 01:31:30.936000
2024-06-30 13:39:02.247,0 days 01:31:31.136000,0 days 00:00:00.855000,11421,286,7,99,False,0,car,67.85833333333332,0.015776087406330894,475.2086366086941,-1376.016764911665,7213.997449644756,car,0 days 01:31:31.136000
2024-06-30 13:39:02.407,0 days 01:31:31.296000,0 days 00:00:01.015000,11432,286,7,99,False,0,car,80.56944444444443,0.018731238086725926,353.0252641139855,-1409.4032050756725,7214.000034541762,car,0 days 01:31:31.296000
2024-06-30 13:39:02.567,0 days 01:31:31.456000,0 days 00:00:01.175000,11496,287,7,99,False,0,car,93.32499999999999,0.02169672146180765,230.10152973685723,-1443.4340621995593,7213.999310024816,car,0 days 01:31:31.456000
2024-06-30 13:39:02.807,0 days 01:31:31.696000,0 days 00:00:01.415000,11574,287,7,99,False,0,car,112.45833333333331,0.026144946524430238,44.84266833902599,-1492.9112146940674,7213.982621638992,car,0 days 01:31:31.696000
2024-06-30 13:39:03.167,0 days 01:31:32.056000,0 days 00:00:01.775000,11663,293,7,99,False,0,car,141.7583333333333,0.03295677549663451,-234.69546754933438,-1568.6236935026375,7214.448503913508,car,0 days 01:31:32.056000
2024-06-30 13:39:03.448,0 days 01:31:32.337000,0 days 00:00:02.056000,11722,294,7,99,False,0,car,164.70666666666665,0.03829193323942637,-455.0296308419912,-1627.9190019454693,7217.245402481126,car,0 days 01:31:32.337000
2024-06-30 13:39:03.688,0 days 01:31:32.577000,0 days 00:00:02.296000,11730,294,7,99,False,0,car,184.30666666666664,0.04284865159625926,-643.519228059118,-1679.3249687492469,7219.720084251574,car,0 days 01:31:32.577000
2024-06-30 13:39:04.008,0 days 01:31:32.897000,0 days 00:00:02.616000,11711,294,7,99,False,0,car,210.44,0.04892427607203646,-897.0616010058719,-1747.3836583037616,7225.215982799391,car,0 days 01:31:32.897000
2024-06-30 13:39:04.328,0 days 01:31:33.217000,0 days 00:00:02.936000,11756,293,7,99,False,0,car,236.48444444444442,0.054979235158440255,-1166.3181199809324,-1820.703760366833,7234.166824925076,car,0 days 01:31:33.217000
2024-06-30 13:39:04.728,0 days 01:31:33.617000,0 days 00:00:03.336000,11594,291,7,99,False,0,car,268.81777777777774,0.062496270543011524,-1552.1570924625232,-1927.819467202498,7250.875436993267,car,0 days 01:31:33.617000
2024-06-30 13:39:05.008,0 days 01:31:33.897000,0 days 00:00:03.616000,11569,291,7,99,False,0,car,291.45111111111106,0.06775819531221142,-1715.3915999540839,-1973.7882788453207,7260.845933734039,car,0 days 01:31:33.897000
2024-06-30 13:39:05.288,0 days 01:31:34.177000,0 days 00:00:03.896000,11191,287,7,0,False,0,car,313.77333333333326,0.07294779121860444,-1936.0974000177105,-2034.3124350774153,7275.0627046383615,car,0 days 01:31:34.177000
2024-06-30 13:39:05.448,0 days 01:31:34.337000,0 days 00:00:04.056000,11063,281,7,0,False,0,car,326.26222222222214,0.07585127842556598,-2056.1837992642586,-2067.2972914922,7283.638924799435,car,0 days 01:31:34.337000
2024-06-30 13:39:05.768,0 days 01:31:34.657000,0 days 00:00:04.376000,9803,248,7,0,True,0,car,348.3066666666666,0.08097629499016716,-2281.599572915738,-2128.7002049381945,7300.231127902892,car,0 days 01:31:34.657000
2024-06-30 13:39:05.968,0 days 01:31:34.857000,0 days 00:00:04.576000,9762,223,7,0,True,0,car,360.6955555555555,0.08385653363408363,-2403.2268845985604,-2161.628762749945,7310.991948086704,car,0 days 01:31:34.857000
2024-06-30 13:39:06.367,0 days 01:31:35.256000,0 days 00:00:04.975000,10278,180,7,0,True,0,car,380.64555555555546,0.08849462196157426,-2652.5170106278897,-2223.330980422435,7332.131876229313,car,0 days 01:31:35.256000
2024-06-30 13:39:06.767,0 days 01:31:35.656000,0 days 00:00:05.375000,10509,153,4,0,True,0,car,397.64555555555546,0.09244687767923544,-2783.4446986896246,-2240.946129853436,7342.43985247577,car,0 days 01:31:35.656000
2024-06-30 13:39:06.967,0 days 01:31:35.856000,0 days 00:00:05.575000,10188,145,3,0,True,0,car,405.701111111111,0.09431967859119908,-2866.0636259690896,-2243.2075921743517,7350.428708330155,car,0 days 01:31:35.856000
2024-06-30 13:39:07.127,0 days 01:31:36.016000,0 days 00:00:05.735000,9940,143,3,0,False,0,car,412.05666666666656,0.09579725393139658,-2929.021463141503,-2238.4416697354745,7354.834522023125,car,0 days 01:31:36.016000
2024-06-30 13:39:07.367,0 days 01:31:36.256000,0 days 00:00:05.975000,9728,137,3,0,False,0,car,421.1899999999999,0.0979206226895126,-3013.8277537154586,-2225.060603710408,7363.190282276551,car,0 days 01:31:36.256000
2024-06-30 13:39:07.567,0 days 01:31:36.456000,0 days 00:00:06.175000,9432,134,3,0,False,0,car,428.63444444444434,0.09965134904953417,-3118.317049620896,-2183.254074950554,7374.306895392145,car,0 days 01:31:36.456000
2024-06-30 13:39:07.847,0 days 01:31:36.736000,0 days 00:00:06.455000,9420,129,3,21,False,0,car,438.6677777777777,0.10198395487505578,-3199.775789049153,-2138.1236399261415,7379.722623250229,car,0 days 01:31:36.736000
2024-06-30 13:39:08.007,0 days 01:31:36.896000,0 days 00:00:06.615000,9648,128,3,36,False,0,car,444.35666666666657,0.10330653979495284,-3222.6260631177697,-2115.2679287905103,7379.561813861643,car,0 days 01:31:36.896000
2024-06-30 13:39:08.247,0 days 01:31:37.136000,0 days 00:00:06.855000,9867,131,3,53,False,0,car,453.0899999999999,0.1053369143008886,-3279.0042983395606,-2057.776270966838,7382.755242528895,car,0 days 01:31:37.136000
2024-06-30 13:39:08.647,0 days 01:31:37.536000,0 days 00:00:07.255000,10828,139,3,72,False,0,car,468.5344444444443,0.10892752570451542,-3358.8057813254068,-1928.4694985291032,7389.065708307902,car,0 days 01:31:37.536000
2024-06-30 13:39:08.887,0 days 01:31:37.776000,0 days 00:00:07.495000,11311,146,3,79,False,0,car,478.26777777777767,0.11119038584090182,-3428.3788712607684,-1795.5355935774587,7393.958331718005,car,0 days 01:31:37.776000
2024-06-30 13:39:09.327,0 days 01:31:38.216000,0 days 00:00:07.935000,10629,163,3,97,False,0,car,498.1899999999999,0.11582201623421326,-3490.8389804612625,-1684.5275606932028,7397.2214782858355,car,0 days 01:31:38.216000
2024-06-30 13:39:09.527,0 days 01:31:38.416000,0 days 00:00:08.135000,11369,166,4,99,False,0,car,507.4122222222221,0.11796605038170266,-3542.042728119951,-1601.7708983651648,7399.150418428481,car,0 days 01:31:38.416000
